,BKNG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.6079
2020-01-02,15.7712
2020-01-03,15.6999
2020-01-04,15.6999
2020-01-05,15.6999
2020-01-06,15.5583
2020-01-07,15.7201
2020-01-08,15.6797
2020-01-09,15.8472
2020-01-10,15.8677
2020-01-11,15.8677
2020-01-12,15.8677
2020-01-13,15.8175
2020-01-14,15.7469
2020-01-15,15.6974
2020-01-16,15.6159
2020-01-17,15.6154
2020-01-18,15.6154
2020-01-19,15.6154
2020-01-20,15.6154
2020-01-21,15.1133
2020-01-22,15.189
2020-01-23,15.1339
2020-01-24,14.8971
2020-01-25,14.8971
2020-01-26,14.8971
2020-01-27,14.4737
2020-01-28,14.5407
2020-01-29,14.3567
2020-01-30,14.1855
2020-01-31,13.8602
2020-02-01,13.8602
2020-02-02,13.8602
2020-02-03,13.9266
2020-02-04,14.1262
2020-02-05,14.7118
2020-02-06,14.881
2020-02-07,14.4792
2020-02-08,14.4792
2020-02-09,14.4792
2020-02-10,14.2995
2020-02-11,14.4769
2020-02-12,14.8768
2020-02-13,14.8735
2020-02-14,15.1164
2020-02-15,15.1164
2020-02-16,15.1164
2020-02-17,15.1164
2020-02-18,15.0014
2020-02-19,14.9404
2020-02-20,14.9594
2020-02-21,14.629
2020-02-22,14.629
2020-02-23,14.629
2020-02-24,13.5626
2020-02-25,13.0461
2020-02-26,12.6672
2020-02-27,12.277
2020-02-28,12.5521
2020-02-29,12.5521
2020-03-01,12.5521
2020-03-02,12.8081
2020-03-03,12.455
2020-03-04,12.8323
2020-03-05,12.1816
2020-03-06,11.9101
2020-03-07,11.9101
2020-03-08,11.9101
2020-03-09,11.2625
2020-03-10,11.5022
2020-03-11,10.6072
2020-03-12,9.3619
2020-03-13,10.4446
2020-03-14,10.4446
2020-03-15,10.4446
2020-03-16,9.4332
2020-03-17,10.0369
2020-03-18,9.0036
2020-03-19,8.6788
2020-03-20,8.5709
2020-03-21,8.5709
2020-03-22,8.5709
2020-03-23,8.3774
2020-03-24,9.2011
2020-03-25,10.0184
2020-03-26,10.3268
2020-03-27,9.168
2020-03-28,9.168
2020-03-29,9.168
2020-03-30,9.5757
2020-03-31,12.2737
2020-04-01,11.5983
2020-04-02,11.4917
2020-04-03,11.223
2020-04-04,11.223
2020-04-05,11.223
2020-04-06,12.3778
2020-04-07,12.5583
2020-04-08,12.5188
2020-04-09,12.9641
2020-04-10,12.9641
2020-04-11,12.9641
2020-04-12,12.9641
2020-04-13,12.9675
2020-04-14,13.2279
2020-04-15,13.0005
2020-04-16,12.8427
2020-04-17,13.4245
2020-04-18,13.4245
2020-04-19,13.4245
2020-04-20,12.8815
2020-04-21,12.2453
2020-04-22,12.3624
2020-04-23,12.4083
2020-04-24,12.3936
2020-04-25,12.3936
2020-04-26,12.3936
2020-04-27,12.7611
2020-04-28,13.093
2020-04-29,13.835
2020-04-30,13.4699
2020-05-01,13.1795
2020-05-02,13.1795
2020-05-03,13.1795
2020-05-04,12.8553
2020-05-05,12.6716
2020-05-06,12.5411
2020-05-07,13.1349
2020-05-08,13.0157
2020-05-09,13.0157
2020-05-10,13.0157
2020-05-11,12.8345
2020-05-12,12.6054
2020-05-13,12.424
2020-05-14,12.5742
2020-05-15,12.5906
2020-05-16,12.5906
2020-05-17,12.5906
2020-05-18,14.1723
2020-05-19,14.0822
2020-05-20,14.5535
2020-05-21,14.5218
2020-05-22,14.8472
2020-05-23,14.8472
2020-05-24,14.8472
2020-05-25,14.8472
2020-05-26,15.9035
2020-05-27,15.4633
2020-05-28,15.0089
2020-05-29,14.9214
2020-05-30,14.9214
2020-05-31,14.9214
2020-06-01,15.2075
2020-06-02,15.0638
2020-06-03,15.7122
2020-06-04,15.8645
2020-06-05,16.504
2020-06-06,16.504
2020-06-07,16.504
2020-06-08,16.7623
2020-06-09,16.1873
2020-06-10,15.7792
2020-06-11,14.455
2020-06-12,14.7798
2020-06-13,14.7798
2020-06-14,14.7798
2020-06-15,15.0242
2020-06-16,15.235
2020-06-17,14.9106
2020-06-18,14.8203
2020-06-19,14.8071
2020-06-20,14.8071
2020-06-21,14.8071
2020-06-22,14.8675
2020-06-23,15.2657
2020-06-24,14.6556
2020-06-25,14.7019
2020-06-26,14.0245
2020-06-27,14.0245
2020-06-28,14.0245
2020-06-29,14.4993
2020-06-30,23.2262
2020-07-01,24.2156
2020-07-02,24.3822
2020-07-03,24.3822
2020-07-04,24.3822
2020-07-05,24.3822
2020-07-06,24.8852
2020-07-07,24.1957
2020-07-08,24.253
2020-07-09,24.3867
2020-07-10,24.9394
2020-07-11,24.9394
2020-07-12,24.9394
2020-07-13,24.6321
2020-07-14,24.7731
2020-07-15,26.3083
2020-07-16,25.5259
2020-07-17,25.3085
2020-07-18,25.3085
2020-07-19,25.3085
2020-07-20,25.0325
2020-07-21,25.0036
2020-07-22,25.1351
2020-07-23,24.7616
2020-07-24,24.8486
2020-07-25,24.8486
2020-07-26,24.8486
2020-07-27,24.8714
2020-07-28,24.5575
2020-07-29,24.9415
2020-07-30,24.6467
2020-07-31,24.2654
2020-08-01,24.2654
2020-08-02,24.2654
2020-08-03,24.0883
2020-08-04,24.4589
2020-08-05,25.198
2020-08-06,25.6116
2020-08-07,25.6517
2020-08-08,25.6517
2020-08-09,25.6517
2020-08-10,25.8617
2020-08-11,26.4057
2020-08-12,26.45
2020-08-13,26.2251
2020-08-14,26.015
2020-08-15,26.015
2020-08-16,26.015
2020-08-17,25.6285
2020-08-18,26.0156
2020-08-19,25.8452
2020-08-20,25.8634
2020-08-21,26.0225
2020-08-22,26.0225
2020-08-23,26.0225
2020-08-24,26.8428
2020-08-25,27.1312
2020-08-26,27.3273
2020-08-27,27.7225
2020-08-28,28.4934
2020-08-29,28.4934
2020-08-30,28.4934
2020-08-31,27.975
2020-09-01,28.2492
2020-09-02,28.5452
2020-09-03,28.4964
2020-09-04,28.0836
2020-09-05,28.0836
2020-09-06,28.0836
2020-09-07,28.0836
2020-09-08,27.6942
2020-09-09,27.3884
2020-09-10,26.5769
2020-09-11,26.0876
2020-09-12,26.0876
2020-09-13,26.0876
2020-09-14,26.1002
2020-09-15,26.1361
2020-09-16,26.429
2020-09-17,26.1393
2020-09-18,25.321
2020-09-19,25.321
2020-09-20,25.321
2020-09-21,24.131
2020-09-22,24.4529
2020-09-23,23.9236
2020-09-24,24.1039
2020-09-25,24.2111
2020-09-26,24.2111
2020-09-27,24.2111
2020-09-28,24.8461
2020-09-29,24.4377
2020-09-30,97.1038
2020-10-01,99.0096
2020-10-02,97.1055
2020-10-03,97.1055
2020-10-04,97.1055
2020-10-05,96.8742
2020-10-06,97.0465
2020-10-07,99.946
2020-10-08,101.7137
2020-10-09,103.4295
2020-10-10,103.4295
2020-10-11,103.4295
2020-10-12,105.0291
2020-10-13,101.2511
2020-10-14,98.3971
2020-10-15,96.5981
2020-10-16,94.5778
