,NVGS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,46.0843
2020-01-02,45.7077
2020-01-03,46.324
2020-01-04,46.324
2020-01-05,46.324
2020-01-06,46.1357
2020-01-07,45.9645
2020-01-08,45.5879
2020-01-09,45.6221
2020-01-10,46.5294
2020-01-11,46.5294
2020-01-12,46.5294
2020-01-13,46.1357
2020-01-14,45.7077
2020-01-15,45.6564
2020-01-16,45.8104
2020-01-17,45.3824
2020-01-18,45.3824
2020-01-19,45.3824
2020-01-20,45.3824
2020-01-21,44.7833
2020-01-22,45.2113
2020-01-23,44.7148
2020-01-24,44.6121
2020-01-25,44.6121
2020-01-26,44.6121
2020-01-27,44.4923
2020-01-28,44.5094
2020-01-29,44.3553
2020-01-30,44.0985
2020-01-31,43.6534
2020-02-01,43.6534
2020-02-02,43.6534
2020-02-03,43.4994
2020-02-04,43.5336
2020-02-05,43.5507
2020-02-06,43.4822
2020-02-07,43.4309
2020-02-08,43.4309
2020-02-09,43.4309
2020-02-10,42.3524
2020-02-11,42.9002
2020-02-12,43.5336
2020-02-13,42.9173
2020-02-14,42.7975
2020-02-15,42.7975
2020-02-16,42.7975
2020-02-17,42.7975
2020-02-18,42.4037
2020-02-19,42.4551
2020-02-20,42.5065
2020-02-21,42.2839
2020-02-22,42.2839
2020-02-23,42.2839
2020-02-24,41.4622
2020-02-25,40.4864
2020-02-26,40.1783
2020-02-27,38.98
2020-02-28,38.7916
2020-02-29,38.7916
2020-03-01,38.7916
2020-03-02,39.134
2020-03-03,38.6376
2020-03-04,38.6376
2020-03-05,37.3365
2020-03-06,36.0526
2020-03-07,36.0526
2020-03-08,36.0526
2020-03-09,34.2551
2020-03-10,36.7203
2020-03-11,36.5491
2020-03-12,34.3921
2020-03-13,34.238
2020-03-14,34.238
2020-03-15,34.238
2020-03-16,32.7829
2020-03-17,31.8071
2020-03-18,29.6672
2020-03-19,30.4718
2020-03-20,30.2664
2020-03-21,30.2664
2020-03-22,30.2664
2020-03-23,30.3006
2020-03-24,31.2079
2020-03-25,30.7971
2020-03-26,31.5846
2020-03-27,31.362
2020-03-28,31.362
2020-03-29,31.362
2020-03-30,31.362
2020-03-31,25.8944
2020-04-01,25.7289
2020-04-02,25.2324
2020-04-03,25.613
2020-04-04,25.613
2020-04-05,25.613
2020-04-06,25.9109
2020-04-07,26.275
2020-04-08,27.268
2020-04-09,27.6487
2020-04-10,27.6487
2020-04-11,27.6487
2020-04-12,27.6487
2020-04-13,27.0363
2020-04-14,27.2846
2020-04-15,27.2846
2020-04-16,26.755
2020-04-17,28.0293
2020-04-18,28.0293
2020-04-19,28.0293
2020-04-20,27.93
2020-04-21,28.8899
2020-04-22,29.0389
2020-04-23,28.923
2020-04-24,29.0058
2020-04-25,29.0058
2020-04-26,29.0058
2020-04-27,29.3202
2020-04-28,28.8072
2020-04-29,29.2375
2020-04-30,29.5519
2020-05-01,29.5023
2020-05-02,29.5023
2020-05-03,29.5023
2020-05-04,29.7009
2020-05-05,29.2706
2020-05-06,28.4596
2020-05-07,28.7741
2020-05-08,28.7079
2020-05-09,28.7079
2020-05-10,28.7079
2020-05-11,28.7575
2020-05-12,28.592
2020-05-13,27.4666
2020-05-14,27.3839
2020-05-15,27.5659
2020-05-16,27.5659
2020-05-17,27.5659
2020-05-18,27.6487
2020-05-19,26.9867
2020-05-20,27.6156
2020-05-21,27.3342
2020-05-22,27.6983
2020-05-23,27.6983
2020-05-24,27.6983
2020-05-25,27.6983
2020-05-26,28.1783
2020-05-27,28.6748
2020-05-28,27.5163
2020-05-29,30.1148
2020-05-30,30.1148
2020-05-31,30.1148
2020-06-01,32.5015
2020-06-02,32.2197
2020-06-03,31.6894
2020-06-04,30.7612
2020-06-05,31.4573
2020-06-06,31.4573
2020-06-07,31.4573
2020-06-08,31.7391
2020-06-09,31.1424
2020-06-10,30.8441
2020-06-11,29.5513
2020-06-12,29.9491
2020-06-13,29.9491
2020-06-14,29.9491
2020-06-15,30.1646
2020-06-16,30.1314
2020-06-17,30.3635
2020-06-18,30.8275
2020-06-19,31.3579
2020-06-20,31.3579
2020-06-21,31.3579
2020-06-22,31.5734
2020-06-23,30.7944
2020-06-24,29.8165
2020-06-25,29.6176
2020-06-26,28.8718
2020-06-27,28.8718
2020-06-28,28.8718
2020-06-29,29.1204
2020-06-30,25.3818
2020-07-01,25.8005
2020-07-02,25.6959
2020-07-03,25.6959
2020-07-04,25.6959
2020-07-05,25.6959
2020-07-06,25.8791
2020-07-07,25.5912
2020-07-08,25.8791
2020-07-09,25.8267
2020-07-10,25.8921
2020-07-11,25.8921
2020-07-12,25.8921
2020-07-13,25.8921
2020-07-14,26.0492
2020-07-15,26.2847
2020-07-16,26.2847
2020-07-17,26.0623
2020-07-18,26.0623
2020-07-19,26.0623
2020-07-20,26.1669
2020-07-21,26.638
2020-07-22,26.2062
2020-07-23,26.8735
2020-07-24,26.5333
2020-07-25,26.5333
2020-07-26,26.5333
2020-07-27,26.4941
2020-07-28,27.096
2020-07-29,27.3185
2020-07-30,26.8866
2020-07-31,26.9651
2020-08-01,26.9651
2020-08-02,26.9651
2020-08-03,27.1091
2020-08-04,27.1091
2020-08-05,27.1745
2020-08-06,27.2399
2020-08-07,27.8026
2020-08-08,27.8026
2020-08-09,27.8026
2020-08-10,28.2606
2020-08-11,28.6139
2020-08-12,28.7709
2020-08-13,29.3729
2020-08-14,28.9406
2020-08-15,28.9406
2020-08-16,28.9406
2020-08-17,29.778
2020-08-18,29.2808
2020-08-19,29.1892
2020-08-20,29.2677
2020-08-21,29.0714
2020-08-22,29.0714
2020-08-23,29.0714
2020-08-24,29.1107
2020-08-25,28.8882
2020-08-26,28.5742
2020-08-27,28.391
2020-08-28,29.0322
2020-08-29,29.0322
2020-08-30,29.0322
2020-08-31,29.0845
2020-09-01,29.5163
2020-09-02,29.4509
2020-09-03,29.32
2020-09-04,28.9406
2020-09-05,28.9406
2020-09-06,28.9406
2020-09-07,28.9406
2020-09-08,28.9406
2020-09-09,28.8882
2020-09-10,28.7051
2020-09-11,29.2546
2020-09-12,29.2546
2020-09-13,29.2546
2020-09-14,29.4378
2020-09-15,28.9144
2020-09-16,29.5948
2020-09-17,29.5817
2020-09-18,29.3986
2020-09-19,29.3986
2020-09-20,29.3986
2020-09-21,28.6004
2020-09-22,28.3648
2020-09-23,27.9069
2020-09-24,27.7368
2020-09-25,27.6713
2020-09-26,27.6713
2020-09-27,27.6713
2020-09-28,27.9854
2020-09-29,27.619
2020-09-30,29.2735
2020-10-01,29.4669
2020-10-02,29.5222
2020-10-03,29.5222
2020-10-04,29.5222
2020-10-05,29.8537
2020-10-06,29.536
2020-10-07,30.2819
2020-10-08,30.2405
2020-10-09,30.1023
2020-10-10,30.1023
2020-10-11,30.1023
2020-10-12,29.7708
2020-10-13,29.5084
2020-10-14,29.3979
2020-10-15,29.6189
2020-10-16,28.9973
2020-10-17,28.9973
2020-10-18,28.9973
2020-10-19,28.6105
2020-10-20,28.8868
2020-10-21,28.8315
2020-10-22,28.5967
2020-10-23,28.8868
2020-10-24,28.8868
2020-10-25,28.8868
2020-10-26,28.058
2020-10-27,27.6574
2020-10-28,27.243
2020-10-29,27.6712
2020-10-30,27.1878
2020-10-31,27.1878
2020-11-01,27.1878
2020-11-02,27.2983
2020-11-03,27.3535
2020-11-04,26.9668
2020-11-05,27.1049
2020-11-06,26.2623
2020-11-07,26.2623
2020-11-08,26.2623
2020-11-09,27.7541
2020-11-10,27.9199
2020-11-11,28.6934
2020-11-12,28.5553
2020-11-13,28.0718
2020-11-14,28.0718
2020-11-15,28.0718
2020-11-16,28.9006
2020-11-17,28.6796
2020-11-18,28.8177
2020-11-19,28.8315
2020-11-20,28.5829
2020-11-21,28.5829
2020-11-22,28.5829
2020-11-23,28.7901
2020-11-24,29.094
2020-11-25,29.3426
2020-11-26,29.3426
2020-11-27,29.1216
2020-11-28,29.1216
2020-11-29,29.1216
2020-11-30,28.5276
2020-12-01,28.3619
2020-12-02,28.3343
2020-12-03,28.431
2020-12-04,28.9144
2020-12-05,28.9144
2020-12-06,28.9144
2020-12-07,28.8453
2020-12-08,28.721
2020-12-09,28.6243
2020-12-10,29.5222
2020-12-11,30.0056
2020-12-12,30.0056
2020-12-13,30.0056
2020-12-14,30.0747
2020-12-15,31.3179
2020-12-16,31.456
2020-12-17,32.492
2020-12-18,33.1274
2020-12-19,33.1274
2020-12-20,33.1274
2020-12-21,32.8373
2020-12-22,32.782
2020-12-23,32.8925
2020-12-24,33.1274
2020-12-25,33.1274
2020-12-26,33.1274
2020-12-27,33.1274
2020-12-28,32.9202
2020-12-29,32.8925
2020-12-30,32.8787
2020-12-31,32.2664
2021-01-01,32.2664
2021-01-02,32.2664
2021-01-03,32.2664
2021-01-04,31.5701
2021-01-05,31.6371
2021-01-06,31.6772
2021-01-07,31.6237
2021-01-08,31.5701
2021-01-09,31.5701
2021-01-10,31.5701
2021-01-11,32.5475
2021-01-12,32.735
2021-01-13,32.4137
2021-01-14,33.1099
2021-01-15,32.3065
2021-01-16,32.3065
2021-01-17,32.3065
2021-01-18,32.3065
2021-01-19,32.4137
2021-01-20,32.4806
2021-01-21,32.4404
2021-01-22,32.2396
2021-01-23,32.2396
2021-01-24,32.2396
2021-01-25,32.1994
2021-01-26,31.9584
2021-01-27,30.2982
2021-01-28,30.2982
2021-01-29,30.4454
2021-01-30,30.4454
2021-01-31,30.4454
2021-02-01,30.5392
2021-02-02,30.1107
2021-02-03,30.1643
2021-02-04,30.258
2021-02-05,30.5793
2021-02-06,30.5793
2021-02-07,30.5793
2021-02-08,30.6864
2021-02-09,30.7668
2021-02-10,30.6329
2021-02-11,30.5927
2021-02-12,31.6103
2021-02-13,31.6103
2021-02-14,31.6103
2021-02-15,31.6103
2021-02-16,31.4362
2021-02-17,31.3559
2021-02-18,30.9676
2021-02-19,31.289
2021-02-20,31.289
2021-02-21,31.289
2021-02-22,31.1551
2021-02-23,30.8069
2021-02-24,31.4095
2021-02-25,31.9049
2021-02-26,31.0212
2021-02-27,31.0212
2021-02-28,31.0212
2021-03-01,31.1417
2021-03-02,31.2488
2021-03-03,31.2086
2021-03-04,30.8605
2021-03-05,31.1283
2021-03-06,31.1283
2021-03-07,31.1283
2021-03-08,31.2622
2021-03-09,30.9274
2021-03-10,31.9049
2021-03-11,31.8781
2021-03-12,32.012
2021-03-13,32.012
2021-03-14,32.012
2021-03-15,31.7977
2021-03-16,31.4764
2021-03-17,31.4362
2021-03-18,30.5392
2021-03-19,30.6168
2021-03-20,30.6168
2021-03-21,30.6168
2021-03-22,30.8042
2021-03-23,29.5191
2021-03-24,29.653
2021-03-25,29.8136
2021-03-26,30.1349
2021-03-27,30.1349
2021-03-28,30.1349
2021-03-29,29.4522
2021-03-30,29.5057
2021-03-31,27.0009
2021-04-01,27.3131
2021-04-02,27.3131
2021-04-03,27.3131
2021-04-04,27.3131
2021-04-05,27.363
2021-04-06,27.3006
2021-04-07,27.1257
2021-04-08,27.1382
2021-04-09,27.2506
2021-04-10,27.2506
2021-04-11,27.2506
2021-04-12,28.1998
2021-04-13,28.1873
2021-04-14,28.3247
2021-04-15,28.3122
2021-04-16,27.9375
2021-04-17,27.9375
2021-04-18,27.9375
2021-04-19,28.1249
2021-04-20,28.0
2021-04-21,28.3747
2021-04-22,27.8002
2021-04-23,28.587
2021-04-24,28.587
2021-04-25,28.587
2021-04-26,29.2114
2021-04-27,29.0616
2021-04-28,29.3488
2021-04-29,29.4612
2021-04-30,29.0865
2021-05-01,29.0865
2021-05-02,29.0865
2021-05-03,29.6236
2021-05-04,29.3488
2021-05-05,30.4478
2021-05-06,30.0482
2021-05-07,30.4978
2021-05-08,30.4978
2021-05-09,30.4978
2021-05-10,30.0482
2021-05-11,29.8858
2021-05-12,30.2105
2021-05-13,29.8983
2021-05-14,29.9233
2021-05-15,29.9233
2021-05-16,29.9233
2021-05-17,29.7609
2021-05-18,29.7235
2021-05-19,29.3738
2021-05-20,29.2364
2021-05-21,29.3988
2021-05-22,29.3988
2021-05-23,29.3988
2021-05-24,29.661
2021-05-25,28.8867
2021-05-26,28.7993
2021-05-27,28.9616
2021-05-28,29.0491
2021-05-29,29.0491
2021-05-30,29.0491
2021-05-31,29.0491
2021-06-01,28.9616
2021-06-02,28.9491
2021-06-03,29.0491
2021-06-04,28.5495
2021-06-05,28.5495
2021-06-06,28.5495
2021-06-07,28.8742
2021-06-08,28.9741
2021-06-09,29.1864
2021-06-10,29.4675
2021-06-11,29.7051
2021-06-12,29.7051
2021-06-13,29.7051
2021-06-14,30.1929
2021-06-15,30.2304
2021-06-16,30.2554
2021-06-17,29.7176
2021-06-18,29.1924
2021-06-19,29.1924
2021-06-20,29.1924
2021-06-21,29.4425
2021-06-22,29.6926
2021-06-23,29.7802
2021-06-24,29.9177
2021-06-25,29.8177
2021-06-26,29.8177
2021-06-27,29.8177
2021-06-28,29.2424
2021-06-29,29.1549
2021-06-30,33.2912
2021-07-01,32.988
2021-07-02,32.757
2021-07-03,32.757
2021-07-04,32.757
2021-07-05,32.757
2021-07-06,32.425
2021-07-07,32.2806
2021-07-08,32.0496
2021-07-09,32.3528
2021-07-10,32.3528
2021-07-11,32.3528
2021-07-12,32.0496
2021-07-13,31.8619
2021-07-14,31.7319
2021-07-15,31.5731
2021-07-16,31.1111
2021-07-17,31.1111
2021-07-18,31.1111
2021-07-19,30.5769
2021-07-20,30.9234
2021-07-21,31.5298
2021-07-22,31.0245
2021-07-23,30.909
2021-07-24,30.909
2021-07-25,30.909
2021-07-26,31.5009
2021-07-27,31.0389
2021-07-28,31.4143
2021-07-29,31.5876
2021-07-30,31.3421
2021-07-31,31.3421
2021-08-01,31.3421
2021-08-02,31.1689
2021-08-03,30.9667
2021-08-04,31.2988
2021-08-05,31.0245
2021-08-06,31.1833
2021-08-07,31.1833
2021-08-08,31.1833
2021-08-09,30.8512
2021-08-10,30.9234
2021-08-11,31.14
2021-08-12,31.0245
2021-08-13,30.8368
2021-08-14,30.8368
2021-08-15,30.8368
2021-08-16,35.8972
2021-08-17,35.1813
2021-08-18,35.1217
2021-08-19,34.6245
2021-08-20,34.9228
2021-08-21,34.9228
2021-08-22,34.9228
2021-08-23,35.0421
2021-08-24,35.2807
2021-08-25,35.2012
2021-08-26,34.8631
2021-08-27,35.3802
2021-08-28,35.3802
2021-08-29,35.3802
2021-08-30,35.062
2021-08-31,34.9824
2021-09-01,35.1813
2021-09-02,35.3404
2021-09-03,35.3603
2021-09-04,35.3603
2021-09-05,35.3603
2021-09-06,35.3603
2021-09-07,35.0421
2021-09-08,34.7836
2021-09-09,35.1217
2021-09-10,34.7239
2021-09-11,34.7239
2021-09-12,34.7239
2021-09-13,34.883
2021-09-14,34.883
2021-09-15,35.1217
2021-09-16,34.9228
2021-09-17,34.4654
2021-09-18,34.4654
2021-09-19,34.4654
2021-09-20,33.4909
2021-09-21,33.2523
2021-09-22,33.8688
2021-09-23,34.525
2021-09-24,34.5648
2021-09-25,34.5648
2021-09-26,34.5648
2021-09-27,34.7438
2021-09-28,35.0222
2021-09-29,34.7836
2021-09-30,34.8531
2021-10-01,35.3104
2021-10-02,35.3104
2021-10-03,35.3104
2021-10-04,34.6597
2021-10-05,34.6069
2021-10-06,34.2904
2021-10-07,34.7124
2021-10-08,34.5893
2021-10-09,34.5893
2021-10-10,34.5893
2021-10-11,34.5014
2021-10-12,34.2552
2021-10-13,34.1849
2021-10-14,34.3959
2021-10-15,34.4487
2021-10-16,34.4487
2021-10-17,34.4487
2021-10-18,34.73
2021-10-19,34.3607
2021-10-20,34.519
2021-10-21,34.1145
2021-10-22,34.1145
2021-10-23,34.1145
2021-10-24,34.1145
2021-10-25,34.3959
2021-10-26,33.7452
2021-10-27,33.3232
2021-10-28,33.9914
2021-10-29,33.798
2021-10-30,33.798
2021-10-31,33.798
2021-11-01,34.3431
2021-11-02,33.71
2021-11-03,33.8859
2021-11-04,33.7452
2021-11-05,34.0266
2021-11-06,34.0266
2021-11-07,34.0266
2021-11-08,34.6421
2021-11-09,34.6421
2021-11-10,34.009
2021-11-11,34.308
2021-11-12,35.029
2021-11-13,35.029
2021-11-14,35.029
2021-11-15,34.8355
2021-11-16,35.0114
2021-11-17,34.7828
2021-11-18,34.4135
2021-11-19,33.9211
2021-11-20,33.9211
2021-11-21,33.9211
2021-11-22,33.9197
2021-11-23,33.9726
2021-11-24,34.3071
2021-11-25,34.3071
2021-11-26,33.3388
2021-11-27,33.3388
2021-11-28,33.3388
2021-11-29,33.286
2021-11-30,35.2754
2021-12-01,34.7824
2021-12-02,35.3634
2021-12-03,36.1556
2021-12-04,36.1556
2021-12-05,36.1556
2021-12-06,36.3669
2021-12-07,36.7015
2021-12-08,36.7718
2021-12-09,36.3845
2021-12-10,36.5253
2021-12-11,36.5253
2021-12-12,36.5253
2021-12-13,35.557
2021-12-14,35.2401
2021-12-15,35.293
2021-12-16,35.2401
2021-12-17,34.712
2021-12-18,34.712
2021-12-19,34.712
2021-12-20,34.5007
2021-12-21,34.0078
2021-12-22,34.9585
2021-12-23,34.6944
2021-12-24,34.6944
2021-12-25,34.6944
2021-12-26,34.6944
2021-12-27,34.3423
2021-12-28,34.6592
2021-12-29,34.6944
2021-12-30,34.5887
2021-12-31,34.5887
2022-01-01,34.5887
2022-01-02,34.5887
2022-01-03,34.5887
2022-01-04,34.5887
2022-01-05,34.5887
2022-01-06,34.5887
2022-01-07,34.5887
2022-01-08,34.5887
2022-01-09,34.5887
2022-01-10,34.5887
2022-01-11,34.5887
2022-01-12,34.5887
2022-01-13,34.5887
2022-01-14,34.5887
2022-01-15,34.5887
2022-01-16,34.5887
2022-01-17,34.5887
2022-01-18,34.5887
2022-01-19,34.5887
2022-01-20,34.5887
2022-01-21,34.5887
2022-01-22,34.5887
2022-01-23,34.5887
2022-01-24,34.5887
2022-01-25,34.5887
2022-01-26,34.5887
2022-01-27,34.5887
2022-01-28,34.5887
2022-01-29,34.5887
2022-01-30,34.5887
2022-01-31,34.5887
2022-02-01,34.5887
2022-02-02,34.5887
2022-02-03,34.5887
2022-02-04,34.5887
2022-02-05,34.5887
2022-02-06,34.5887
2022-02-07,34.5887
2022-02-08,34.5887
2022-02-09,34.5887
