,NOC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.6529
2020-01-02,18.1509
2020-01-03,18.9709
2020-01-04,18.9709
2020-01-05,18.9709
2020-01-06,19.0057
2020-01-07,18.9692
2020-01-08,18.7705
2020-01-09,18.8584
2020-01-10,18.9446
2020-01-11,18.9446
2020-01-12,18.9446
2020-01-13,19.0482
2020-01-14,18.9565
2020-01-15,19.1938
2020-01-16,19.3433
2020-01-17,19.1815
2020-01-18,19.1815
2020-01-19,19.1815
2020-01-20,19.1815
2020-01-21,19.1034
2020-01-22,18.9841
2020-01-23,19.2465
2020-01-24,19.2524
2020-01-25,19.2524
2020-01-26,19.2524
2020-01-27,19.1433
2020-01-28,19.2609
2020-01-29,19.2953
2020-01-30,19.3027
2020-01-31,18.8677
2020-02-01,18.8677
2020-02-02,18.8677
2020-02-03,18.4107
2020-02-04,18.3287
2020-02-05,18.5817
2020-02-06,18.4107
2020-02-07,18.3123
2020-02-08,18.3123
2020-02-09,18.3123
2020-02-10,18.3913
2020-02-11,18.5919
2020-02-12,18.5788
2020-02-13,18.5902
2020-02-14,18.7144
2020-02-15,18.7144
2020-02-16,18.7144
2020-02-17,18.7144
2020-02-18,18.7769
2020-02-19,18.5121
2020-02-20,18.3896
2020-02-21,18.4639
2020-02-22,18.4639
2020-02-23,18.4639
2020-02-24,18.2265
2020-02-25,17.4063
2020-02-26,17.1677
2020-02-27,17.0515
2020-02-28,16.9362
2020-02-29,16.9362
2020-03-01,16.9362
2020-03-02,17.2382
2020-03-03,16.959
2020-03-04,17.702
2020-03-05,16.8914
2020-03-06,16.9413
2020-03-07,16.9413
2020-03-08,16.9413
2020-03-09,16.279
2020-03-10,17.1917
2020-03-11,16.472
2020-03-12,15.3169
2020-03-13,16.3305
2020-03-14,16.3305
2020-03-15,16.3305
2020-03-16,14.9828
2020-03-17,16.5345
2020-03-18,16.6895
2020-03-19,15.5876
2020-03-20,15.0432
2020-03-21,15.0432
2020-03-22,15.0432
2020-03-23,14.4451
2020-03-24,14.9274
2020-03-25,15.2265
2020-03-26,16.6131
2020-03-27,16.2313
2020-03-28,16.2313
2020-03-29,16.2313
2020-03-30,16.2976
2020-03-31,15.886
2020-04-01,16.0736
2020-04-02,16.3821
2020-04-03,16.3261
2020-04-04,16.3261
2020-04-05,16.3261
2020-04-06,17.1156
2020-04-07,16.8284
2020-04-08,17.0034
2020-04-09,17.2978
2020-04-10,17.2978
2020-04-11,17.2978
2020-04-12,17.2978
2020-04-13,17.3905
2020-04-14,17.8097
2020-04-15,17.62
2020-04-16,17.7022
2020-04-17,18.1264
2020-04-18,18.1264
2020-04-19,18.1264
2020-04-20,17.6039
2020-04-21,17.1725
2020-04-22,17.5238
2020-04-23,17.2632
2020-04-24,17.4099
2020-04-25,17.4099
2020-04-26,17.4099
2020-04-27,17.6419
2020-04-28,17.6301
2020-04-29,17.0451
2020-04-30,16.9964
2020-05-01,16.8867
2020-05-02,16.8867
2020-05-03,16.8867
