,ECHO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.3308
2020-01-02,19.1778
2020-01-03,19.1122
2020-01-04,19.1122
2020-01-05,19.1122
2020-01-06,19.0174
2020-01-07,19.1122
2020-01-08,19.3891
2020-01-09,19.4766
2020-01-10,19.5058
2020-01-11,19.5058
2020-01-12,19.5058
2020-01-13,19.9503
2020-01-14,20.1034
2020-01-15,20.6864
2020-01-16,21.08
2020-01-17,21.2112
2020-01-18,21.2112
2020-01-19,21.2112
2020-01-20,21.2112
2020-01-21,20.7156
2020-01-22,20.8176
2020-01-23,20.4386
2020-01-24,19.8738
2020-01-25,19.8738
2020-01-26,19.8738
2020-01-27,19.5568
2020-01-28,19.9503
2020-01-29,19.5349
2020-01-30,19.094
2020-01-31,18.3688
2020-02-01,18.3688
2020-02-02,18.3688
2020-02-03,18.4927
2020-02-04,18.8863
2020-02-05,19.3454
2020-02-06,20.0232
2020-02-07,20.0451
2020-02-08,20.0451
2020-02-09,20.0451
2020-02-10,19.4912
2020-02-11,19.6661
2020-02-12,19.9941
2020-02-13,19.6297
2020-02-14,19.3163
2020-02-15,19.3163
2020-02-16,19.3163
2020-02-17,19.3163
2020-02-18,19.513
2020-02-19,19.3891
2020-02-20,20.0597
2020-02-21,20.1325
2020-02-22,20.1325
2020-02-23,20.1325
2020-02-24,19.4693
2020-02-25,19.0029
2020-02-26,18.7259
2020-02-27,18.0117
2020-02-28,17.4519
2020-02-29,17.4519
2020-03-01,17.4519
2020-03-02,17.5879
2020-03-03,16.8291
2020-03-04,17.1656
2020-03-05,16.5857
2020-03-06,16.3853
2020-03-07,16.3853
2020-03-08,16.3853
2020-03-09,15.8269
2020-03-10,16.192
2020-03-11,15.3544
2020-03-12,15.2113
2020-03-13,16.328
2020-03-14,16.328
2020-03-15,16.328
2020-03-16,14.8319
2020-03-17,16.1991
2020-03-18,14.9679
2020-03-19,16.1634
2020-03-20,15.8627
2020-03-21,15.8627
2020-03-22,15.8627
2020-03-23,16.2707
2020-03-24,16.9651
2020-03-25,16.5571
2020-03-26,16.8434
2020-03-27,15.4547
2020-03-28,15.4547
2020-03-29,15.4547
2020-03-30,15.6551
2020-03-31,24.0693
2020-04-01,22.6601
2020-04-02,23.2093
2020-04-03,22.9813
2020-04-04,22.9813
2020-04-05,22.9813
2020-04-06,24.66
2020-04-07,24.3906
2020-04-08,25.1988
2020-04-09,25.6651
2020-04-10,25.6651
2020-04-11,25.6651
2020-04-12,25.6651
2020-04-13,25.0537
2020-04-14,24.3595
2020-04-15,23.5823
2020-04-16,23.2611
2020-04-17,25.147
2020-04-18,25.147
2020-04-19,25.147
2020-04-20,24.3595
2020-04-21,23.9243
2020-04-22,23.1834
2020-04-23,21.7497
2020-04-24,22.799
2020-04-25,22.799
2020-04-26,22.799
2020-04-27,23.4059
2020-04-28,24.0539
2020-04-29,24.9283
2020-04-30,24.4037
2020-05-01,23.9819
2020-05-02,23.9819
2020-05-03,23.9819
2020-05-04,23.1384
2020-05-05,23.0561
2020-05-06,23.6013
2020-05-07,23.663
2020-05-08,24.3728
2020-05-09,24.3728
2020-05-10,24.3728
2020-05-11,24.342
2020-05-12,23.5499
2020-05-13,22.1715
2020-05-14,22.0686
2020-05-15,22.1818
2020-05-16,22.1818
2020-05-17,22.1818
2020-05-18,24.0951
2020-05-19,24.63
2020-05-20,25.0209
2020-05-21,25.6278
2020-05-22,26.1524
2020-05-23,26.1524
2020-05-24,26.1524
2020-05-25,26.1524
2020-05-26,26.7902
2020-05-27,28.076
2020-05-28,28.22
2020-05-29,27.6646
2020-05-30,27.6646
2020-05-31,27.6646
2020-06-01,27.7366
2020-06-02,28.1377
2020-06-03,28.827
2020-06-04,28.8475
2020-06-05,29.2899
2020-06-06,29.2899
2020-06-07,29.2899
2020-06-08,29.7116
2020-06-09,29.2076
2020-06-10,29.3001
2020-06-11,27.86
2020-06-12,27.5823
2020-06-13,27.5823
2020-06-14,27.5823
2020-06-15,27.7674
2020-06-16,28.8784
2020-06-17,29.475
2020-06-18,29.547
2020-06-19,28.4361
2020-06-20,28.4361
2020-06-21,28.4361
2020-06-22,27.9629
2020-06-23,27.932
2020-06-24,28.1275
2020-06-25,27.3251
2020-06-26,27.1502
2020-06-27,27.1502
2020-06-28,27.1502
2020-06-29,28.2098
2020-06-30,39.9756
2020-07-01,39.5903
2020-07-02,40.1682
2020-07-03,40.1682
2020-07-04,40.1682
2020-07-05,40.1682
2020-07-06,40.9387
2020-07-07,41.2202
2020-07-08,40.3905
2020-07-09,39.8867
2020-07-10,41.0276
2020-07-11,41.0276
2020-07-12,41.0276
2020-07-13,40.6127
2020-07-14,41.4425
2020-07-15,42.6279
2020-07-16,42.702
2020-07-17,43.8429
2020-07-18,43.8429
