,PPL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.9984
2020-01-02,16.8813
2020-01-03,16.8711
2020-01-04,16.8711
2020-01-05,16.8711
2020-01-06,16.8813
2020-01-07,16.8202
2020-01-08,16.8711
2020-01-09,16.9042
2020-01-10,16.8864
2020-01-11,16.8864
2020-01-12,16.8864
2020-01-13,16.8838
2020-01-14,16.922
2020-01-15,16.9908
2020-01-16,17.0188
2020-01-17,17.0519
2020-01-18,17.0519
2020-01-19,17.0519
2020-01-20,17.0519
2020-01-21,17.0366
2020-01-22,17.0722
2020-01-23,17.2097
2020-01-24,17.1639
2020-01-25,17.1639
2020-01-26,17.1639
2020-01-27,17.0773
2020-01-28,17.1919
2020-01-29,17.2173
2020-01-30,17.1486
2020-01-31,17.0773
2020-02-01,17.0773
2020-02-02,17.0773
2020-02-03,17.0926
2020-02-04,17.0442
2020-02-05,17.1359
2020-02-06,17.0493
2020-02-07,17.034
2020-02-08,17.034
2020-02-09,17.034
2020-02-10,17.0595
2020-02-11,17.0722
2020-02-12,17.1002
2020-02-13,17.1002
2020-02-14,17.419
2020-02-15,17.419
2020-02-16,17.419
2020-02-17,17.419
2020-02-18,17.5722
2020-02-19,17.3533
2020-02-20,17.4371
2020-02-21,17.4938
2020-02-22,17.4938
2020-02-23,17.4938
2020-02-24,17.3587
2020-02-25,17.21
2020-02-26,16.8504
2020-02-27,16.2421
2020-02-28,15.9771
2020-02-29,15.9771
2020-03-01,15.9771
2020-03-02,16.4638
2020-03-03,16.2556
2020-03-04,16.5638
2020-03-05,16.4286
2020-03-06,16.3827
2020-03-07,16.3827
2020-03-08,16.3827
2020-03-09,15.7338
2020-03-10,15.9285
2020-03-11,15.7717
2020-03-12,15.0633
2020-03-13,15.2769
2020-03-14,15.2769
2020-03-15,15.2769
2020-03-16,14.2604
2020-03-17,14.7714
2020-03-18,14.0306
2020-03-19,13.7007
2020-03-20,13.1817
2020-03-21,13.1817
2020-03-22,13.1817
2020-03-23,12.8897
2020-03-24,13.6061
2020-03-25,13.8738
2020-03-26,14.5334
2020-03-27,14.7362
2020-03-28,14.7362
2020-03-29,14.7362
2020-03-30,14.8471
2020-03-31,16.7421
2020-04-01,16.1917
2020-04-02,16.2133
2020-04-03,15.8455
2020-04-04,15.8455
2020-04-05,15.8455
2020-04-06,16.5106
2020-04-07,16.7179
2020-04-08,17.0953
2020-04-09,17.3707
2020-04-10,17.3707
2020-04-11,17.3707
2020-04-12,17.3707
2020-04-13,17.1232
2020-04-14,17.315
2020-04-15,16.9252
2020-04-16,16.9345
2020-04-17,17.2748
2020-04-18,17.2748
2020-04-19,17.2748
