,BWXT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.4052
2020-01-02,20.8581
2020-01-03,21.3839
2020-01-04,21.3839
2020-01-05,21.3839
2020-01-06,21.3372
2020-01-07,21.6411
2020-01-08,21.457
2020-01-09,21.5505
2020-01-10,21.2028
2020-01-11,21.2028
2020-01-12,21.2028
2020-01-13,21.3577
2020-01-14,21.2554
2020-01-15,21.3021
2020-01-16,21.6615
2020-01-17,21.6001
2020-01-18,21.6001
2020-01-19,21.6001
2020-01-20,21.6001
2020-01-21,21.343
2020-01-22,21.1648
2020-01-23,21.6381
2020-01-24,21.5213
2020-01-25,21.5213
2020-01-26,21.5213
2020-01-27,21.3547
2020-01-28,21.5125
2020-01-29,21.4044
2020-01-30,21.3664
2020-01-31,20.8464
2020-02-01,20.8464
2020-02-02,20.8464
2020-02-03,20.8727
2020-02-04,21.1707
2020-02-05,21.457
2020-02-06,21.4161
2020-02-07,21.4599
2020-02-08,21.4599
2020-02-09,21.4599
2020-02-10,21.6615
2020-02-11,21.8982
2020-02-12,22.0939
2020-02-13,22.2955
2020-02-14,22.3189
2020-02-15,22.3189
2020-02-16,22.3189
2020-02-17,22.3189
2020-02-18,22.5292
2020-02-19,22.6636
2020-02-20,22.8448
2020-02-21,22.763
2020-02-22,22.763
2020-02-23,22.763
2020-02-24,22.5025
2020-02-25,19.9885
2020-02-26,20.1197
2020-02-27,18.8248
2020-02-28,18.2619
2020-02-29,18.2619
2020-03-01,18.2619
2020-03-02,18.4457
2020-03-03,18.1365
2020-03-04,18.2386
2020-03-05,17.6786
2020-03-06,17.3345
2020-03-07,17.3345
2020-03-08,17.3345
2020-03-09,15.8354
2020-03-10,16.6316
2020-03-11,16.5324
2020-03-12,16.8416
2020-03-13,17.5999
2020-03-14,17.5999
2020-03-15,17.5999
2020-03-16,16.4945
2020-03-17,16.1708
2020-03-18,14.5445
2020-03-19,14.6176
2020-03-20,14.7665
2020-03-21,14.7665
2020-03-22,14.7665
2020-03-23,14.9009
2020-03-24,15.6107
2020-03-25,15.3449
2020-03-26,16.3994
2020-03-27,16.0459
2020-03-28,16.0459
2020-03-29,16.0459
2020-03-30,16.1277
2020-03-31,15.2231
2020-04-01,15.0327
2020-04-02,15.625
2020-04-03,15.7175
2020-04-04,15.7175
2020-04-05,15.7175
2020-04-06,15.8286
2020-04-07,15.6091
2020-04-08,15.6805
2020-04-09,15.9079
2020-04-10,15.9079
2020-04-11,15.9079
2020-04-12,15.9079
2020-04-13,15.6594
2020-04-14,15.8312
2020-04-15,15.6647
2020-04-16,15.8074
2020-04-17,16.1829
2020-04-18,16.1829
2020-04-19,16.1829
2020-04-20,16.0375
2020-04-21,15.6594
2020-04-22,15.9079
2020-04-23,16.0719
2020-04-24,16.0163
2020-04-25,16.0163
2020-04-26,16.0163
2020-04-27,16.4685
2020-04-28,16.5557
2020-04-29,16.5557
2020-04-30,16.3733
2020-05-01,16.0163
2020-05-02,16.0163
2020-05-03,16.0163
2020-05-04,15.8445
2020-05-05,16.6615
2020-05-06,17.0661
2020-05-07,17.2141
2020-05-08,17.8355
2020-05-09,17.8355
2020-05-10,17.8355
2020-05-11,17.7774
2020-05-12,17.0819
2020-05-13,16.6351
2020-05-14,15.9925
2020-05-15,16.8863
2020-05-16,16.8863
2020-05-17,16.8863
2020-05-18,17.6108
2020-05-19,17.5262
2020-05-20,17.4786
2020-05-21,17.5182
2020-05-22,17.4283
2020-05-23,17.4283
2020-05-24,17.4283
2020-05-25,17.4283
2020-05-26,17.8884
2020-05-27,18.679
2020-05-28,19.0677
2020-05-29,18.8879
2020-05-30,18.8879
2020-05-31,18.8879
2020-06-01,18.7213
2020-06-02,18.7425
2020-06-03,18.7478
2020-06-04,18.5204
2020-06-05,18.4966
2020-06-06,18.4966
2020-06-07,18.4966
2020-06-08,19.0519
2020-06-09,19.0307
2020-06-10,18.8668
2020-06-11,18.0524
2020-06-12,17.8884
2020-06-13,17.8884
2020-06-14,17.8884
2020-06-15,18.0338
2020-06-16,18.1951
2020-06-17,18.2745
2020-06-18,17.9254
2020-06-19,17.7509
2020-06-20,17.7509
2020-06-21,17.7509
2020-06-22,17.8461
2020-06-23,17.6716
2020-06-24,17.1242
2020-06-25,17.2009
2020-06-26,16.9392
2020-06-27,16.9392
2020-06-28,16.9392
2020-06-29,17.1798
2020-06-30,17.0016
2020-07-01,16.9542
2020-07-02,16.8516
2020-07-03,16.8516
2020-07-04,16.8516
