,UFS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.2266
2020-01-02,20.1379
2020-01-03,19.931
2020-01-04,19.931
2020-01-05,19.931
2020-01-06,19.6169
2020-01-07,19.6021
2020-01-08,20.0566
2020-01-09,20.1047
2020-01-10,19.9753
2020-01-11,19.9753
2020-01-12,19.9753
2020-01-13,20.2636
2020-01-14,20.3485
2020-01-15,20.3744
2020-01-16,20.6294
2020-01-17,20.8289
2020-01-18,20.8289
2020-01-19,20.8289
2020-01-20,20.8289
2020-01-21,20.5
2020-01-22,20.8326
2020-01-23,20.7143
2020-01-24,20.0012
2020-01-25,20.0012
2020-01-26,20.0012
2020-01-27,19.4433
2020-01-28,19.6797
2020-01-29,19.5282
2020-01-30,19.3139
2020-01-31,18.9629
2020-02-01,18.9629
2020-02-02,18.9629
2020-02-03,19.0553
2020-02-04,19.2252
2020-02-05,19.6502
2020-02-06,19.5135
2020-02-07,18.5971
2020-02-08,18.5971
2020-02-09,18.5971
2020-02-10,18.889
2020-02-11,19.2437
2020-02-12,19.4137
2020-02-13,18.8151
2020-02-14,18.7338
2020-02-15,18.7338
2020-02-16,18.7338
2020-02-17,18.7338
2020-02-18,18.5564
2020-02-19,18.3828
2020-02-20,18.3532
2020-02-21,18.4456
2020-02-22,18.4456
2020-02-23,18.4456
2020-02-24,17.9652
2020-02-25,17.199
2020-02-26,16.9775
2020-02-27,16.3857
2020-02-28,16.5418
2020-02-29,16.5418
2020-03-01,16.5418
2020-03-02,17.0719
2020-03-03,16.6871
2020-03-04,16.8504
2020-03-05,16.3748
2020-03-06,16.5273
2020-03-07,16.5273
2020-03-08,16.5273
2020-03-09,15.7867
2020-03-10,16.255
2020-03-11,15.1332
2020-03-12,14.4507
2020-03-13,16.0408
2020-03-14,16.0408
2020-03-15,16.0408
2020-03-16,15.1187
2020-03-17,16.5782
2020-03-18,15.0787
2020-03-19,14.6322
2020-03-20,13.8625
2020-03-21,13.8625
2020-03-22,13.8625
2020-03-23,12.8423
2020-03-24,13.2671
2020-03-25,13.7064
2020-03-26,14.1203
2020-03-27,13.9206
2020-03-28,13.9206
2020-03-29,13.9206
2020-03-30,14.0912
2020-03-31,38.3179
2020-04-01,36.5343
2020-04-02,37.593
2020-04-03,37.3737
2020-04-04,37.3737
2020-04-05,37.3737
2020-04-06,38.1171
2020-04-07,37.4529
2020-04-08,39.0245
2020-04-09,38.9683
2020-04-10,38.9683
2020-04-11,38.9683
2020-04-12,38.9683
2020-04-13,38.8093
2020-04-14,38.5287
2020-04-15,37.5652
2020-04-16,36.8636
2020-04-17,37.9674
2020-04-18,37.9674
2020-04-19,37.9674
2020-04-20,37.0039
2020-04-21,36.6298
2020-04-22,36.8356
