,WNC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.84
2020-01-02,7.7909
2020-01-03,7.7909
2020-01-04,7.7909
2020-01-05,7.7909
2020-01-06,7.7645
2020-01-07,7.6891
2020-01-08,7.708
2020-01-09,7.6589
2020-01-10,7.5571
2020-01-11,7.5571
2020-01-12,7.5571
2020-01-13,7.4779
2020-01-14,7.4289
2020-01-15,7.263
2020-01-16,7.3535
2020-01-17,7.2856
2020-01-18,7.2856
2020-01-19,7.2856
2020-01-20,7.2856
2020-01-21,7.0367
2020-01-22,6.9726
2020-01-23,7.0066
2020-01-24,6.9312
2020-01-25,6.9312
2020-01-26,6.9312
2020-01-27,6.7577
2020-01-28,6.8406
2020-01-29,6.818
2020-01-30,6.8406
2020-01-31,6.6747
2020-02-01,6.6747
2020-02-02,6.6747
2020-02-03,6.7087
2020-02-04,6.8029
2020-02-05,6.9085
2020-02-06,6.867
2020-02-07,6.7313
2020-02-08,6.7313
2020-02-09,6.7313
2020-02-10,6.6898
2020-02-11,6.7916
2020-02-12,6.9378
2020-02-13,7.0086
2020-02-14,6.9453
2020-02-15,6.9453
2020-02-16,6.9453
2020-02-17,6.9453
2020-02-18,6.9825
2020-02-19,6.9341
2020-02-20,6.949
2020-02-21,6.9378
2020-02-22,6.9378
2020-02-23,6.9378
2020-02-24,6.6657
2020-02-25,6.606
2020-02-26,6.4672
2020-02-27,6.3747
2020-02-28,6.3636
2020-02-29,6.3636
2020-03-01,6.3636
2020-03-02,6.371
2020-03-03,6.2933
2020-03-04,6.4117
2020-03-05,6.2156
2020-03-06,6.2267
2020-03-07,6.2267
2020-03-08,6.2267
2020-03-09,6.0194
2020-03-10,5.8603
2020-03-11,5.7123
2020-03-12,5.2053
2020-03-13,5.5162
2020-03-14,5.5162
2020-03-15,5.5162
2020-03-16,5.5199
2020-03-17,5.5643
2020-03-18,5.1202
2020-03-19,5.3311
2020-03-20,5.1646
2020-03-21,5.1646
2020-03-22,5.1646
2020-03-23,4.9056
2020-03-24,5.0018
2020-03-25,4.95
2020-03-26,4.9759
2020-03-27,4.9463
2020-03-28,4.9463
2020-03-29,4.9463
2020-03-30,4.9125
2020-03-31,90.3928
2020-04-01,86.0845
2020-04-02,88.5923
2020-04-03,84.9271
2020-04-04,84.9271
2020-04-05,84.9271
2020-04-06,88.2065
2020-04-07,90.007
2020-04-08,93.4151
2020-04-09,95.2155
2020-04-10,95.2155
2020-04-11,95.2155
2020-04-12,95.2155
2020-04-13,95.4084
2020-04-14,94.894
2020-04-15,93.6723
2020-04-16,90.5857
2020-04-17,92.8363
2020-04-18,92.8363
2020-04-19,92.8363
2020-04-20,90.1999
2020-04-21,89.4283
2020-04-22,90.3285
2020-04-23,91.7432
2020-04-24,91.8075
2020-04-25,91.8075
2020-04-26,91.8075
2020-04-27,93.3508
2020-04-28,93.4794
2020-04-29,97.9806
2020-04-30,96.6945
2020-05-01,95.5371
2020-05-02,95.5371
2020-05-03,95.5371
2020-05-04,95.6657
2020-05-05,94.894
2020-05-06,93.2221
2020-05-07,93.9938
2020-05-08,98.1092
2020-05-09,98.1092
2020-05-10,98.1092
2020-05-11,96.373
2020-05-12,93.7366
2020-05-13,93.2221
2020-05-14,93.0319
2020-05-15,93.2891
2020-05-16,93.2891
2020-05-17,93.2891
2020-05-18,101.9062
2020-05-19,99.977
2020-05-20,102.4849
2020-05-21,102.6135
2020-05-22,101.5203
2020-05-23,101.5203
2020-05-24,101.5203
2020-05-25,101.5203
2020-05-26,107.6937
2020-05-27,113.5456
2020-05-28,107.5651
2020-05-29,105.3787
2020-05-30,105.3787
2020-05-31,105.3787
2020-06-01,102.4206
2020-06-02,103.964
2020-06-03,111.8094
2020-06-04,113.417
2020-06-05,118.9474
2020-06-06,118.9474
2020-06-07,118.9474
2020-06-08,120.8123
2020-06-09,117.5969
2020-06-10,112.7096
2020-06-11,106.2147
2020-06-12,108.594
2020-06-13,108.594
2020-06-14,108.594
2020-06-15,109.4943
2020-06-16,110.0088
2020-06-17,108.7226
2020-06-18,108.5297
2020-06-19,107.3722
2020-06-20,107.3722
2020-06-21,107.3722
2020-06-22,106.6005
2020-06-23,108.594
2020-06-24,106.5362
2020-06-25,108.6583
2020-06-26,108.2082
2020-06-27,108.2082
2020-06-28,108.2082
2020-06-29,112.774
2020-06-30,112.774
2020-07-01,112.774
2020-07-02,112.774
2020-07-03,112.774
2020-07-04,112.774
2020-07-05,112.774
2020-07-06,112.774
2020-07-07,112.774
2020-07-08,112.774
2020-07-09,112.774
2020-07-10,112.774
2020-07-11,112.774
2020-07-12,112.774
2020-07-13,112.774
2020-07-14,112.774
2020-07-15,112.774
2020-07-16,112.774
2020-07-17,112.774
2020-07-18,112.774
2020-07-19,112.774
2020-07-20,112.774
2020-07-21,112.774
2020-07-22,112.774
2020-07-23,112.774
2020-07-24,112.774
2020-07-25,112.774
2020-07-26,112.774
2020-07-27,112.774
2020-07-28,112.774
2020-07-29,112.774
2020-07-30,112.774
2020-07-31,112.774
2020-08-01,112.774
2020-08-02,112.774
2020-08-03,112.774
2020-08-04,112.774
2020-08-05,112.774
2020-08-06,112.774
2020-08-07,112.774
2020-08-08,112.774
2020-08-09,112.774
2020-08-10,112.774
2020-08-11,112.774
2020-08-12,112.774
2020-08-13,112.774
2020-08-14,112.774
2020-08-15,112.774
2020-08-16,112.774
2020-08-17,112.774
2020-08-18,112.774
2020-08-19,112.774
2020-08-20,112.774
2020-08-21,112.774
2020-08-22,112.774
2020-08-23,112.774
2020-08-24,112.774
2020-08-25,112.774
2020-08-26,112.774
2020-08-27,112.774
2020-08-28,112.774
2020-08-29,112.774
2020-08-30,112.774
2020-08-31,112.774
2020-09-01,112.774
2020-09-02,112.774
2020-09-03,112.774
2020-09-04,112.774
2020-09-05,112.774
2020-09-06,112.774
2020-09-07,112.774
2020-09-08,112.774
2020-09-09,112.774
2020-09-10,112.774
2020-09-11,112.774
2020-09-12,112.774
2020-09-13,112.774
2020-09-14,112.774
2020-09-15,112.774
2020-09-16,112.774
2020-09-17,112.774
2020-09-18,112.774
2020-09-19,112.774
2020-09-20,112.774
2020-09-21,112.774
2020-09-22,112.774
2020-09-23,112.774
2020-09-24,112.774
2020-09-25,112.774
2020-09-26,112.774
2020-09-27,112.774
2020-09-28,112.774
2020-09-29,112.774
2020-09-30,112.774
2020-10-01,112.774
2020-10-02,112.774
2020-10-03,112.774
2020-10-04,112.774
2020-10-05,112.774
2020-10-06,112.774
2020-10-07,112.774
2020-10-08,112.774
2020-10-09,112.774
2020-10-10,112.774
2020-10-11,112.774
2020-10-12,112.774
2020-10-13,112.774
2020-10-14,112.774
2020-10-15,112.774
2020-10-16,112.774
2020-10-17,112.774
2020-10-18,112.774
2020-10-19,112.774
2020-10-20,112.774
2020-10-21,112.774
2020-10-22,112.774
2020-10-23,112.774
2020-10-24,112.774
2020-10-25,112.774
2020-10-26,112.774
2020-10-27,112.774
2020-10-28,112.774
2020-10-29,112.774
2020-10-30,112.774
2020-10-31,112.774
2020-11-01,112.774
2020-11-02,112.774
2020-11-03,112.774
2020-11-04,112.774
2020-11-05,112.774
2020-11-06,112.774
2020-11-07,112.774
2020-11-08,112.774
2020-11-09,112.774
2020-11-10,112.774
2020-11-11,112.774
2020-11-12,112.774
2020-11-13,112.774
2020-11-14,112.774
2020-11-15,112.774
2020-11-16,112.774
2020-11-17,112.774
2020-11-18,112.774
2020-11-19,112.774
2020-11-20,112.774
2020-11-21,112.774
2020-11-22,112.774
2020-11-23,112.774
2020-11-24,112.774
2020-11-25,112.774
2020-11-26,112.774
2020-11-27,112.774
2020-11-28,112.774
2020-11-29,112.774
2020-11-30,112.774
2020-12-01,112.774
2020-12-02,112.774
2020-12-03,112.774
2020-12-04,112.774
2020-12-05,112.774
2020-12-06,112.774
2020-12-07,112.774
2020-12-08,112.774
2020-12-09,112.774
2020-12-10,112.774
2020-12-11,112.774
2020-12-12,112.774
2020-12-13,112.774
2020-12-14,112.774
2020-12-15,112.774
2020-12-16,112.774
2020-12-17,112.774
2020-12-18,112.774
2020-12-19,112.774
2020-12-20,112.774
2020-12-21,112.774
2020-12-22,112.774
2020-12-23,112.774
2020-12-24,112.774
2020-12-25,112.774
2020-12-26,112.774
2020-12-27,112.774
2020-12-28,112.774
2020-12-29,112.774
2020-12-30,112.774
2020-12-31,112.774
2021-01-01,112.774
2021-01-02,112.774
2021-01-03,112.774
2021-01-04,112.774
2021-01-05,112.774
2021-01-06,112.774
2021-01-07,112.774
2021-01-08,112.774
2021-01-09,112.774
2021-01-10,112.774
2021-01-11,112.774
2021-01-12,112.774
2021-01-13,112.774
2021-01-14,112.774
2021-01-15,112.774
2021-01-16,112.774
2021-01-17,112.774
2021-01-18,112.774
2021-01-19,112.774
2021-01-20,112.774
2021-01-21,112.774
2021-01-22,112.774
2021-01-23,112.774
2021-01-24,112.774
2021-01-25,112.774
2021-01-26,112.774
2021-01-27,112.774
2021-01-28,112.774
2021-01-29,112.774
2021-01-30,112.774
2021-01-31,112.774
2021-02-01,112.774
2021-02-02,112.774
2021-02-03,112.774
2021-02-04,112.774
2021-02-05,112.774
2021-02-06,112.774
2021-02-07,112.774
2021-02-08,112.774
2021-02-09,112.774
2021-02-10,112.774
2021-02-11,112.774
2021-02-12,112.774
2021-02-13,112.774
2021-02-14,112.774
2021-02-15,112.774
2021-02-16,112.774
2021-02-17,112.774
2021-02-18,112.774
2021-02-19,112.774
2021-02-20,112.774
2021-02-21,112.774
2021-02-22,112.774
2021-02-23,112.774
2021-02-24,112.774
2021-02-25,112.774
2021-02-26,112.774
2021-02-27,112.774
2021-02-28,112.774
2021-03-01,112.774
2021-03-02,112.774
2021-03-03,112.774
2021-03-04,112.774
