,TJX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.2852
2020-01-02,18.4551
2020-01-03,18.3329
2020-01-04,18.3329
2020-01-05,18.3329
2020-01-06,18.4365
2020-01-07,18.4259
2020-01-08,18.5135
2020-01-09,18.7046
2020-01-10,18.625
2020-01-11,18.625
2020-01-12,18.625
2020-01-13,18.6727
2020-01-14,18.7258
2020-01-15,18.4816
2020-01-16,18.7497
2020-01-17,18.7152
2020-01-18,18.7152
2020-01-19,18.7152
2020-01-20,18.7152
2020-01-21,18.6143
2020-01-22,18.6488
2020-01-23,18.6542
2020-01-24,18.3197
2020-01-25,18.3197
2020-01-26,18.3197
2020-01-27,18.2507
2020-01-28,18.3489
2020-01-29,18.2931
2020-01-30,18.1365
2020-01-31,17.9529
2020-02-01,17.9529
2020-02-02,17.9529
2020-02-03,18.2798
2020-02-04,18.5632
2020-02-05,18.8193
2020-02-06,18.7103
2020-02-07,18.5904
2020-02-08,18.5904
2020-02-09,18.5904
2020-02-10,18.664
2020-02-11,18.8847
2020-02-12,19.1108
2020-02-13,19.1299
2020-02-14,19.1353
2020-02-15,19.1353
2020-02-16,19.1353
2020-02-17,19.1353
2020-02-18,19.1571
2020-02-19,19.2525
2020-02-20,19.2688
2020-02-21,19.1162
2020-02-22,19.1162
2020-02-23,19.1162
2020-02-24,18.6912
2020-02-25,18.1381
2020-02-26,19.3015
2020-02-27,18.2471
2020-02-28,18.1599
2020-02-29,18.1599
2020-03-01,18.1599
2020-03-02,18.8111
2020-03-03,18.3806
2020-03-04,18.8329
2020-03-05,18.0973
2020-03-06,17.8221
2020-03-07,17.8221
2020-03-08,17.8221
2020-03-09,17.4516
2020-03-10,17.6614
2020-03-11,17.0184
2020-03-12,15.3156
2020-03-13,15.9177
2020-03-14,15.9177
2020-03-15,15.9177
2020-03-16,13.0516
2020-03-17,13.4493
2020-03-18,12.9971
2020-03-19,13.215
2020-03-20,12.049
2020-03-21,12.049
2020-03-22,12.049
2020-03-23,11.8828
2020-03-24,13.0488
2020-03-25,13.8771
2020-03-26,14.9342
2020-03-27,14.6181
2020-03-28,14.6181
2020-03-29,14.6181
2020-03-30,14.7634
2020-03-31,14.8339
2020-04-01,13.9688
2020-04-02,13.7437
2020-04-03,12.9762
2020-04-04,12.9762
2020-04-05,12.9762
2020-04-06,14.3729
2020-04-07,14.5275
2020-04-08,15.1865
2020-04-09,15.1051
2020-04-10,15.1051
2020-04-11,15.1051
2020-04-12,15.1051
2020-04-13,14.8448
2020-04-14,15.4875
2020-04-15,14.9641
2020-04-16,14.4651
2020-04-17,15.3546
2020-04-18,15.3546
2020-04-19,15.3546
2020-04-20,14.8285
2020-04-21,14.3566
2020-04-22,14.4461
2020-04-23,14.2739
2020-04-24,14.358
2020-04-25,14.358
2020-04-26,14.358
2020-04-27,14.8435
2020-04-28,15.1825
2020-04-29,15.847
2020-04-30,15.1717
2020-05-01,32.4227
2020-05-02,32.4227
2020-05-03,32.4227
2020-05-04,32.1176
2020-05-05,32.3783
2020-05-06,32.1065
2020-05-07,32.5614
2020-05-08,32.5669
2020-05-09,32.5669
2020-05-10,32.5669
2020-05-11,32.4782
2020-05-12,31.1524
2020-05-13,30.0819
2020-05-14,30.4757
2020-05-15,31.8236
2020-05-16,31.8236
2020-05-17,31.8236
2020-05-18,33.2603
2020-05-19,33.5376
2020-05-20,33.8649
2020-05-21,35.7798
2020-05-22,35.2861
2020-05-23,35.2861
2020-05-24,35.2861
2020-05-25,35.2861
2020-05-26,36.3345
2020-05-27,36.329
2020-05-28,35.6578
2020-05-29,34.9256
2020-05-30,34.9256
2020-05-31,34.9256
2020-06-01,35.2417
2020-06-02,35.802
2020-06-03,36.3013
2020-06-04,36.0738
2020-06-05,37.4218
2020-06-06,37.4218
2020-06-07,37.4218
2020-06-08,37.5106
2020-06-09,36.856
2020-06-10,36.0627
2020-06-11,34.8701
2020-06-12,34.7591
2020-06-13,34.7591
2020-06-14,34.7591
2020-06-15,34.8368
2020-06-16,36.4732
2020-06-17,35.913
2020-06-18,35.3083
2020-06-19,34.859
2020-06-20,34.859
2020-06-21,34.859
2020-06-22,34.9588
2020-06-23,35.1974
2020-06-24,34.2432
2020-06-25,33.8771
2020-06-26,33.1393
2020-06-27,33.1393
2020-06-28,33.1393
2020-06-29,33.8217
2020-06-30,33.7052
2020-07-01,34.0491
2020-07-02,34.3653
2020-07-03,34.3653
2020-07-04,34.3653
2020-07-05,34.3653
2020-07-06,34.859
2020-07-07,33.8383
2020-07-08,33.8771
2020-07-09,33.389
2020-07-10,33.9881
