,MDU US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.9542
2020-01-02,16.7358
2020-01-03,16.7523
2020-01-04,16.7523
2020-01-05,16.7523
2020-01-06,16.7688
2020-01-07,16.7194
2020-01-08,16.6081
2020-01-09,16.6493
2020-01-10,16.604
2020-01-11,16.604
2020-01-12,16.604
2020-01-13,16.6328
2020-01-14,16.6287
2020-01-15,16.7523
2020-01-16,16.8388
2020-01-17,16.9089
2020-01-18,16.9089
2020-01-19,16.9089
2020-01-20,16.9089
2020-01-21,16.8924
2020-01-22,16.9336
2020-01-23,17.1067
2020-01-24,16.9913
2020-01-25,16.9913
2020-01-26,16.9913
2020-01-27,16.7853
2020-01-28,16.9377
2020-01-29,16.9419
2020-01-30,17.0613
2020-01-31,16.913
2020-02-01,16.913
2020-02-02,16.913
2020-02-03,17.0201
2020-02-04,17.0449
2020-02-05,17.597
2020-02-06,17.6959
2020-02-07,17.4816
2020-02-08,17.4816
2020-02-09,17.4816
2020-02-10,17.4651
2020-02-11,17.4692
2020-02-12,17.667
2020-02-13,17.7453
2020-02-14,17.8648
2020-02-15,17.8648
2020-02-16,17.8648
2020-02-17,17.8648
2020-02-18,17.803
2020-02-19,17.8236
2020-02-20,17.9802
2020-02-21,17.8405
2020-02-22,17.8405
2020-02-23,17.8405
2020-02-24,17.6633
2020-02-25,17.3213
2020-02-26,17.2842
2020-02-27,16.7362
2020-02-28,16.1387
2020-02-29,16.1387
2020-03-01,16.1387
2020-03-02,16.7279
2020-03-03,16.5837
2020-03-04,17.2924
2020-03-05,17.0452
2020-03-06,16.8845
2020-03-07,16.8845
2020-03-08,16.8845
2020-03-09,15.8503
2020-03-10,16.3818
2020-03-11,15.5948
2020-03-12,14.1156
2020-03-13,14.3216
2020-03-14,14.3216
2020-03-15,14.3216
2020-03-16,12.8012
2020-03-17,12.7271
2020-03-18,11.1119
2020-03-19,12.5416
2020-03-20,12.2862
2020-03-21,12.2862
2020-03-22,12.2862
2020-03-23,11.973
2020-03-24,12.8548
2020-03-25,12.8548
2020-03-26,13.8725
2020-03-27,13.6995
2020-03-28,13.6995
2020-03-29,13.6995
2020-03-30,13.5182
2020-03-31,14.2674
2020-04-01,13.8868
2020-04-02,13.9714
2020-04-03,13.7219
2020-04-04,13.7219
2020-04-05,13.7219
2020-04-06,14.4704
2020-04-07,14.4915
2020-04-08,15.1259
2020-04-09,15.6122
2020-04-10,15.6122
2020-04-11,15.6122
2020-04-12,15.6122
2020-04-13,15.2654
2020-04-14,15.1513
2020-04-15,14.7072
2020-04-16,14.6269
2020-04-17,14.9144
2020-04-18,14.9144
2020-04-19,14.9144
2020-04-20,14.3774
2020-04-21,14.2505
2020-04-22,14.4577
2020-04-23,14.4535
2020-04-24,14.593
2020-04-25,14.593
2020-04-26,14.593
2020-04-27,14.9271
2020-04-28,14.9398
2020-04-29,15.1893
2020-04-30,14.6734
2020-05-01,14.1067
2020-05-02,14.1067
2020-05-03,14.1067
2020-05-04,14.1278
2020-05-05,14.1997
2020-05-06,13.9037
2020-05-07,14.0348
2020-05-08,14.4303
2020-05-09,14.4303
2020-05-10,14.4303
2020-05-11,14.0538
2020-05-12,13.7704
2020-05-13,13.3136
2020-05-14,13.6985
2020-05-15,13.5758
2020-05-16,13.5758
2020-05-17,13.5758
2020-05-18,14.3711
2020-05-19,14.0877
2020-05-20,14.0454
2020-05-21,14.075
2020-05-22,14.1215
2020-05-23,14.1215
2020-05-24,14.1215
2020-05-25,14.1215
2020-05-26,14.6418
2020-05-27,14.6799
2020-05-28,14.5233
2020-05-29,14.3795
2020-05-30,14.3795
2020-05-31,14.3795
2020-06-01,14.481
2020-06-02,14.5614
2020-06-03,14.7475
2020-06-04,14.6079
2020-06-05,15.2932
2020-06-06,15.2932
2020-06-07,15.2932
2020-06-08,15.6824
2020-06-09,15.1536
2020-06-10,14.7645
2020-06-11,13.8381
2020-06-12,14.0284
2020-06-13,14.0284
2020-06-14,14.0284
2020-06-15,14.1003
2020-06-16,14.4345
2020-06-17,14.223
2020-06-18,14.2484
2020-06-19,14.1342
2020-06-20,14.1342
2020-06-21,14.1342
2020-06-22,14.2949
2020-06-23,14.223
2020-06-24,14.2061
2020-06-25,14.2442
2020-06-26,14.0961
2020-06-27,14.0961
2020-06-28,14.0961
2020-06-29,14.5107
2020-06-30,13.3135
2020-07-01,13.2902
2020-07-02,13.3447
2020-07-03,13.3447
2020-07-04,13.3447
2020-07-05,13.3447
2020-07-06,13.3135
2020-07-07,13.0293
2020-07-08,12.9826
2020-07-09,12.6866
2020-07-10,12.893
2020-07-11,12.893
2020-07-12,12.893
2020-07-13,12.893
2020-07-14,12.9904
2020-07-15,13.0799
2020-07-16,13.1072
2020-07-17,13.2434
2020-07-18,13.2434
2020-07-19,13.2434
2020-07-20,12.9865
2020-07-21,13.0799
2020-07-22,13.2201
2020-07-23,13.2707
2020-07-24,13.1695
2020-07-25,13.1695
2020-07-26,13.1695
2020-07-27,13.1188
2020-07-28,13.1227
2020-07-29,13.3135
2020-07-30,12.9826
