,PII US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.273
2020-01-02,16.4412
2020-01-03,16.1882
2020-01-04,16.1882
2020-01-05,16.1882
2020-01-06,15.6887
2020-01-07,15.4269
2020-01-08,15.3737
2020-01-09,15.4243
2020-01-10,15.0879
2020-01-11,15.0879
2020-01-12,15.0879
2020-01-13,15.3801
2020-01-14,15.4294
2020-01-15,15.2941
2020-01-16,15.3522
2020-01-17,15.1828
2020-01-18,15.1828
2020-01-19,15.1828
2020-01-20,15.1828
2020-01-21,15.0082
2020-01-22,15.16
2020-01-23,15.16
2020-01-24,15.0247
2020-01-25,15.0247
2020-01-26,15.0247
2020-01-27,14.9172
2020-01-28,15.5786
2020-01-29,15.3674
2020-01-30,15.3624
2020-01-31,15.0259
2020-02-01,15.0259
2020-02-02,15.0259
2020-02-03,15.0158
2020-02-04,15.0575
2020-02-05,15.394
2020-02-06,15.098
2020-02-07,14.8413
2020-02-08,14.8413
2020-02-09,14.8413
2020-02-10,14.8425
2020-02-11,15.1701
2020-02-12,15.4256
2020-02-13,15.3839
2020-02-14,15.3622
2020-02-15,15.3622
2020-02-16,15.3622
2020-02-17,15.3622
2020-02-18,15.3571
2020-02-19,15.2578
2020-02-20,15.4411
2020-02-21,15.0478
2020-02-22,15.0478
2020-02-23,15.0478
2020-02-24,14.4216
2020-02-25,14.0792
2020-02-26,14.013
2020-02-27,14.0232
2020-02-28,13.915
2020-02-29,13.915
2020-03-01,13.915
2020-03-02,14.2383
2020-03-03,14.1594
2020-03-04,15.1814
2020-03-05,14.3592
2020-03-06,14.3045
2020-03-07,14.3045
2020-03-08,14.3045
2020-03-09,12.7542
2020-03-10,13.1271
2020-03-11,12.6358
2020-03-12,11.0829
2020-03-13,12.1162
2020-03-14,12.1162
2020-03-15,12.1162
2020-03-16,10.4149
2020-03-17,10.3451
2020-03-18,9.7784
2020-03-19,10.1125
2020-03-20,9.5713
2020-03-21,9.5713
2020-03-22,9.5713
2020-03-23,8.7175
2020-03-24,9.3731
2020-03-25,9.5446
2020-03-26,10.1557
2020-03-27,9.4379
2020-03-28,9.4379
2020-03-29,9.4379
2020-03-30,9.4036
2020-03-31,11.8133
2020-04-01,11.5069
2020-04-02,11.2987
2020-04-03,10.4325
2020-04-04,10.4325
2020-04-05,10.4325
2020-04-06,11.1659
2020-04-07,11.8993
2020-04-08,12.5286
2020-04-09,12.9979
2020-04-10,12.9979
2020-04-11,12.9979
2020-04-12,12.9979
2020-04-13,12.7051
2020-04-14,13.0613
2020-04-15,12.7806
2020-04-16,12.9073
2020-04-17,13.609
2020-04-18,13.609
2020-04-19,13.609
2020-04-20,13.4581
2020-04-21,13.4687
2020-04-22,13.4898
2020-04-23,13.8233
2020-04-24,14.104
2020-04-25,14.104
2020-04-26,14.104
2020-04-27,14.7348
2020-04-28,15.0755
2020-04-29,15.838
2020-04-30,15.2153
2020-05-01,14.4197
2020-05-02,14.4197
2020-05-03,14.4197
2020-05-04,14.7175
2020-05-05,14.9401
2020-05-06,14.8168
2020-05-07,14.8107
2020-05-08,15.5161
2020-05-09,15.5161
2020-05-10,15.5161
2020-05-11,15.5883
2020-05-12,14.9777
2020-05-13,14.4047
2020-05-14,15.2228
2020-05-15,15.6695
2020-05-16,15.6695
2020-05-17,15.6695
2020-05-18,16.5133
2020-05-19,16.4892
2020-05-20,16.969
2020-05-21,17.0397
2020-05-22,17.139
2020-05-23,17.139
2020-05-24,17.139
2020-05-25,17.139
2020-05-26,17.4984
2020-05-27,18.2174
2020-05-28,17.9075
2020-05-29,17.6834
2020-05-30,17.6834
2020-05-31,17.6834
2020-06-01,17.9722
2020-06-02,17.9692
2020-06-03,18.449
2020-06-04,18.9558
2020-06-05,19.1228
2020-06-06,19.1228
2020-06-07,19.1228
2020-06-08,19.941
2020-06-09,19.583
2020-06-10,19.0145
2020-06-11,18.4776
2020-06-12,18.8039
2020-06-13,18.8039
2020-06-14,18.8039
2020-06-15,18.9649
2020-06-16,19.186
2020-06-17,19.0807
2020-06-18,18.7032
2020-06-19,18.6866
2020-06-20,18.6866
2020-06-21,18.6866
2020-06-22,18.8506
2020-06-23,18.8897
2020-06-24,18.3031
2020-06-25,18.5347
2020-06-26,18.079
2020-06-27,18.079
2020-06-28,18.079
2020-06-29,18.4234
2020-06-30,18.4234
2020-07-01,18.4234
2020-07-02,18.4234
2020-07-03,18.4234
2020-07-04,18.4234
2020-07-05,18.4234
2020-07-06,18.4234
2020-07-07,18.4234
2020-07-08,18.4234
2020-07-09,18.4234
2020-07-10,18.4234
2020-07-11,18.4234
2020-07-12,18.4234
2020-07-13,18.4234
2020-07-14,18.4234
2020-07-15,18.4234
2020-07-16,18.4234
2020-07-17,18.4234
2020-07-18,18.4234
2020-07-19,18.4234
2020-07-20,18.4234
2020-07-21,18.4234
2020-07-22,18.4234
2020-07-23,18.4234
2020-07-24,18.4234
2020-07-25,18.4234
2020-07-26,18.4234
2020-07-27,18.4234
2020-07-28,18.4234
2020-07-29,18.4234
2020-07-30,18.4234
2020-07-31,18.4234
2020-08-01,18.4234
2020-08-02,18.4234
2020-08-03,18.4234
2020-08-04,18.4234
2020-08-05,18.4234
2020-08-06,18.4234
2020-08-07,18.4234
2020-08-08,18.4234
