,LNT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,25.8263
2020-01-02,25.4841
2020-01-03,25.5375
2020-01-04,25.5375
2020-01-05,25.5375
2020-01-06,25.5218
2020-01-07,25.5375
2020-01-08,25.5752
2020-01-09,25.7666
2020-01-10,25.9361
2020-01-11,25.9361
2020-01-12,25.9361
2020-01-13,26.0962
2020-01-14,26.1088
2020-01-15,26.3096
2020-01-16,26.4729
2020-01-17,26.5921
2020-01-18,26.5921
2020-01-19,26.5921
2020-01-20,26.5921
2020-01-21,26.6549
2020-01-22,26.7773
2020-01-23,27.0002
2020-01-24,27.1477
2020-01-25,27.1477
2020-01-26,27.1477
2020-01-27,27.1163
2020-01-28,27.2167
2020-01-29,27.1948
2020-01-30,27.3015
2020-01-31,27.2827
2020-02-01,27.2827
2020-02-02,27.2827
2020-02-03,27.3329
2020-02-04,27.0629
2020-02-05,27.0316
2020-02-06,27.0221
2020-02-07,26.9594
2020-02-08,26.9594
2020-02-09,26.9594
2020-02-10,26.9876
2020-02-11,26.9782
2020-02-12,27.0629
2020-02-13,27.2889
2020-02-14,27.4019
2020-02-15,27.4019
2020-02-16,27.4019
2020-02-17,27.4019
2020-02-18,27.5353
2020-02-19,27.3156
2020-02-20,27.3486
2020-02-21,27.2867
2020-02-22,27.2867
2020-02-23,27.2867
2020-02-24,27.1906
2020-02-25,26.9306
2020-02-26,26.8739
2020-02-27,25.9664
2020-02-28,25.0746
2020-02-29,25.0746
2020-03-01,25.0746
2020-03-02,26.0956
2020-03-03,25.9097
2020-03-04,26.8834
2020-03-05,26.7352
2020-03-06,26.7668
2020-03-07,26.7668
2020-03-08,26.7668
2020-03-09,25.7174
2020-03-10,25.667
2020-03-11,24.9076
2020-03-12,23.8331
2020-03-13,24.6902
2020-03-14,24.6902
2020-03-15,24.6902
2020-03-16,23.6377
2020-03-17,25.1534
2020-03-18,24.082
2020-03-19,22.8405
2020-03-20,21.476
2020-03-21,21.476
2020-03-22,21.476
2020-03-23,21.2523
2020-03-24,22.4718
2020-03-25,22.5726
2020-03-26,23.7448
2020-03-27,23.6976
2020-03-28,23.6976
2020-03-29,23.6976
2020-03-30,24.5862
2020-03-31,23.3759
2020-04-01,22.3446
2020-04-02,22.9504
2020-04-03,22.4005
2020-04-04,22.4005
2020-04-05,22.4005
2020-04-06,23.2331
2020-04-07,23.2952
2020-04-08,24.2892
2020-04-09,24.8959
2020-04-10,24.8959
2020-04-11,24.8959
2020-04-12,24.8959
2020-04-13,24.3176
2020-04-14,25.0451
2020-04-15,24.386
2020-04-16,24.4202
2020-04-17,24.8119
2020-04-18,24.8119
2020-04-19,24.8119
2020-04-20,23.9166
2020-04-21,23.8264
2020-04-22,24.2399
2020-04-23,23.9476
2020-04-24,23.9134
2020-04-25,23.9134
2020-04-26,23.9134
2020-04-27,24.0254
2020-04-28,24.1217
2020-04-29,23.7362
2020-04-30,23.4689
2020-05-01,23.0647
2020-05-02,23.0647
2020-05-03,23.0647
2020-05-04,23.1409
2020-05-05,23.3041
2020-05-06,22.729
2020-05-07,22.7507
2020-05-08,23.5549
2020-05-09,23.5549
2020-05-10,23.5549
2020-05-11,23.267
2020-05-12,23.0504
2020-05-13,22.8811
2020-05-14,22.9064
2020-05-15,22.9096
2020-05-16,22.9096
2020-05-17,22.9096
2020-05-18,23.4758
2020-05-19,23.0266
2020-05-20,23.1342
2020-05-21,22.9349
2020-05-22,23.0456
2020-05-23,23.0456
2020-05-24,23.0456
2020-05-25,23.0456
2020-05-26,23.2133
2020-05-27,23.3461
2020-05-28,23.8301
2020-05-29,23.9882
2020-05-30,23.9882
2020-05-31,23.9882
2020-06-01,24.0198
2020-06-02,24.2413
2020-06-03,24.5196
2020-06-04,24.2223
2020-06-05,24.3931
2020-06-06,24.3931
2020-06-07,24.3931
2020-06-08,24.9245
2020-06-09,24.4342
2020-06-10,24.4184
2020-06-11,23.7763
2020-06-12,23.732
2020-06-13,23.732
2020-06-14,23.732
2020-06-15,23.849
2020-06-16,23.8743
2020-06-17,23.8459
2020-06-18,23.8838
2020-06-19,23.5549
2020-06-20,23.5549
2020-06-21,23.5549
2020-06-22,23.7114
2020-06-23,23.5232
2020-06-24,23.2797
2020-06-25,23.169
