,BBDC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.6432
2020-01-02,19.66
2020-01-03,19.66
2020-01-04,19.66
2020-01-05,19.66
2020-01-06,19.6768
2020-01-07,19.7523
2020-01-08,19.7691
2020-01-09,19.7691
2020-01-10,19.7943
2020-01-11,19.7943
2020-01-12,19.7943
2020-01-13,19.7775
2020-01-14,19.8278
2020-01-15,19.8362
2020-01-16,19.8111
2020-01-17,19.7943
2020-01-18,19.7943
2020-01-19,19.7943
2020-01-20,19.7943
2020-01-21,19.7775
2020-01-22,19.8614
2020-01-23,19.7691
2020-01-24,19.7355
2020-01-25,19.7355
2020-01-26,19.7355
2020-01-27,19.6852
2020-01-28,19.7775
2020-01-29,19.7691
2020-01-30,19.7439
2020-01-31,19.66
2020-02-01,19.66
2020-02-02,19.66
2020-02-03,19.6936
2020-02-04,19.7439
2020-02-05,19.7691
2020-02-06,19.7523
2020-02-07,19.7943
2020-02-08,19.7943
2020-02-09,19.7943
2020-02-10,19.8111
2020-02-11,19.7859
2020-02-12,19.7271
2020-02-13,19.7859
2020-02-14,19.8278
2020-02-15,19.8278
2020-02-16,19.8278
2020-02-17,19.8278
2020-02-18,19.853
2020-02-19,19.853
2020-02-20,19.7691
2020-02-21,19.66
2020-02-22,19.66
2020-02-23,19.66
2020-02-24,19.5929
2020-02-25,19.4251
2020-02-26,19.3915
2020-02-27,19.2321
2020-02-28,18.8847
2020-02-29,18.8847
2020-03-01,18.8847
2020-03-02,19.2597
2020-03-03,19.343
2020-03-04,19.4514
2020-03-05,19.368
2020-03-06,19.193
2020-03-07,19.193
2020-03-08,19.193
2020-03-09,18.768
2020-03-10,18.7597
2020-03-11,18.418
2020-03-12,17.8513
2020-03-13,17.8763
2020-03-14,17.8763
2020-03-15,17.8763
2020-03-16,16.9513
2020-03-17,16.7596
2020-03-18,15.4679
2020-03-19,15.9846
2020-03-20,16.2429
2020-03-21,16.2429
2020-03-22,16.2429
2020-03-23,15.5595
2020-03-24,16.2012
2020-03-25,16.5179
2020-03-26,17.2263
2020-03-27,17.2596
2020-03-28,17.2596
2020-03-29,17.2596
2020-03-30,17.3346
2020-03-31,17.3346
2020-04-01,17.3346
2020-04-02,17.3346
2020-04-03,17.3346
2020-04-04,17.3346
2020-04-05,17.3346
2020-04-06,17.3346
2020-04-07,17.3346
2020-04-08,17.3346
2020-04-09,17.3346
2020-04-10,17.3346
2020-04-11,17.3346
2020-04-12,17.3346
2020-04-13,17.3346
2020-04-14,17.3346
2020-04-15,17.3346
2020-04-16,17.3346
2020-04-17,17.3346
2020-04-18,17.3346
2020-04-19,17.3346
2020-04-20,17.3346
2020-04-21,17.3346
2020-04-22,17.3346
2020-04-23,17.3346
2020-04-24,17.3346
2020-04-25,17.3346
2020-04-26,17.3346
2020-04-27,17.3346
2020-04-28,17.3346
2020-04-29,17.3346
2020-04-30,17.3346
2020-05-01,17.3346
2020-05-02,17.3346
2020-05-03,17.3346
2020-05-04,17.3346
2020-05-05,17.3346
2020-05-06,17.3346
2020-05-07,17.3346
2020-05-08,17.3346
2020-05-09,17.3346
2020-05-10,17.3346
2020-05-11,17.3346
2020-05-12,17.3346
2020-05-13,17.3346
2020-05-14,17.3346
2020-05-15,17.3346
2020-05-16,17.3346
2020-05-17,17.3346
2020-05-18,17.3346
2020-05-19,17.3346
2020-05-20,17.3346
2020-05-21,17.3346
2020-05-22,17.3346
2020-05-23,17.3346
2020-05-24,17.3346
2020-05-25,17.3346
2020-05-26,17.3346
2020-05-27,17.3346
2020-05-28,17.3346
2020-05-29,17.3346
2020-05-30,17.3346
2020-05-31,17.3346
2020-06-01,17.3346
2020-06-02,17.3346
2020-06-03,17.3346
2020-06-04,17.3346
2020-06-05,17.3346
2020-06-06,17.3346
2020-06-07,17.3346
2020-06-08,17.3346
2020-06-09,17.3346
2020-06-10,17.3346
2020-06-11,17.3346
2020-06-12,17.3346
2020-06-13,17.3346
2020-06-14,17.3346
2020-06-15,17.3346
2020-06-16,17.3346
2020-06-17,17.3346
2020-06-18,17.3346
2020-06-19,17.3346
2020-06-20,17.3346
2020-06-21,17.3346
2020-06-22,17.3346
2020-06-23,17.3346
2020-06-24,17.3346
2020-06-25,17.3346
2020-06-26,17.3346
2020-06-27,17.3346
2020-06-28,17.3346
2020-06-29,17.3346
2020-06-30,17.3346
2020-07-01,17.3346
2020-07-02,17.3346
2020-07-03,17.3346
2020-07-04,17.3346
2020-07-05,17.3346
2020-07-06,17.3346
2020-07-07,17.3346
2020-07-08,17.3346
2020-07-09,17.3346
2020-07-10,17.3346
2020-07-11,17.3346
2020-07-12,17.3346
2020-07-13,17.3346
2020-07-14,17.3346
2020-07-15,17.3346
2020-07-16,17.3346
2020-07-17,17.3346
2020-07-18,17.3346
2020-07-19,17.3346
2020-07-20,17.3346
2020-07-21,17.3346
2020-07-22,17.3346
2020-07-23,17.3346
2020-07-24,17.3346
2020-07-25,17.3346
2020-07-26,17.3346
2020-07-27,17.3346
2020-07-28,17.3346
2020-07-29,17.3346
2020-07-30,17.3346
2020-07-31,17.3346
2020-08-01,17.3346
2020-08-02,17.3346
2020-08-03,17.3346
2020-08-04,17.3346
2020-08-05,17.3346
2020-08-06,17.3346
2020-08-07,17.3346
2020-08-08,17.3346
2020-08-09,17.3346
2020-08-10,17.3346
2020-08-11,17.3346
2020-08-12,17.3346
2020-08-13,17.3346
2020-08-14,17.3346
2020-08-15,17.3346
2020-08-16,17.3346
2020-08-17,17.3346
2020-08-18,17.3346
2020-08-19,17.3346
2020-08-20,17.3346
2020-08-21,17.3346
2020-08-22,17.3346
2020-08-23,17.3346
2020-08-24,17.3346
2020-08-25,17.3346
2020-08-26,17.3346
2020-08-27,17.3346
2020-08-28,17.3346
2020-08-29,17.3346
2020-08-30,17.3346
2020-08-31,17.3346
2020-09-01,17.3346
2020-09-02,17.3346
2020-09-03,17.3346
2020-09-04,17.3346
2020-09-05,17.3346
2020-09-06,17.3346
2020-09-07,17.3346
2020-09-08,17.3346
2020-09-09,17.3346
2020-09-10,17.3346
2020-09-11,17.3346
2020-09-12,17.3346
2020-09-13,17.3346
2020-09-14,17.3346
2020-09-15,17.3346
2020-09-16,17.3346
2020-09-17,17.3346
2020-09-18,17.3346
2020-09-19,17.3346
2020-09-20,17.3346
2020-09-21,17.3346
2020-09-22,17.3346
2020-09-23,17.3346
2020-09-24,17.3346
2020-09-25,17.3346
