,LVS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.954
2020-01-02,17.318
2020-01-03,17.0946
2020-01-04,17.0946
2020-01-05,17.0946
2020-01-06,17.1712
2020-01-07,17.1856
2020-01-08,17.318
2020-01-09,17.4669
2020-01-10,17.3408
2020-01-11,17.3408
2020-01-12,17.3408
2020-01-13,17.5993
2020-01-14,17.8475
2020-01-15,17.7255
2020-01-16,17.8558
2020-01-17,17.9923
2020-01-18,17.9923
2020-01-19,17.9923
2020-01-20,17.9923
2020-01-21,17.1649
2020-01-22,17.0388
2020-01-23,17.0388
2020-01-24,16.7078
2020-01-25,16.7078
2020-01-26,16.7078
2020-01-27,15.7605
2020-01-28,15.9963
2020-01-29,16.0563
2020-01-30,16.3665
2020-01-31,16.1824
2020-02-01,16.1824
2020-02-02,16.1824
2020-02-03,16.441
2020-02-04,16.7058
2020-02-05,16.7161
2020-02-06,17.0429
2020-02-07,16.4124
2020-02-08,16.4124
2020-02-09,16.4124
2020-02-10,16.6921
2020-02-11,16.834
2020-02-12,17.3029
2020-02-13,16.9286
2020-02-14,16.6736
2020-02-15,16.6736
2020-02-16,16.6736
2020-02-17,16.6736
2020-02-18,16.6921
2020-02-19,16.8854
2020-02-20,16.544
2020-02-21,16.1655
2020-02-22,16.1655
2020-02-23,16.1655
2020-02-24,15.4683
2020-02-25,15.0467
2020-02-26,14.841
2020-02-27,14.6909
2020-02-28,14.6662
2020-02-29,14.6662
2020-03-01,14.6662
2020-03-02,14.6559
2020-03-03,14.1705
2020-03-04,14.4482
2020-03-05,13.9731
2020-03-06,13.9566
2020-03-07,13.9566
2020-03-08,13.9566
2020-03-09,12.8871
2020-03-10,13.6522
2020-03-11,12.6753
2020-03-12,11.7539
2020-03-13,12.7535
2020-03-14,12.7535
2020-03-15,12.7535
2020-03-16,10.9806
2020-03-17,11.0772
2020-03-18,10.4232
2020-03-19,10.9744
2020-03-20,11.5811
2020-03-21,11.5811
2020-03-22,11.5811
2020-03-23,11.6099
2020-03-24,11.8958
2020-03-25,12.412
2020-03-26,12.6198
2020-03-27,11.3323
2020-03-28,11.3323
2020-03-29,11.3323
2020-03-30,11.6181
2020-03-31,15.7782
2020-04-01,15.1725
2020-04-02,15.1641
2020-04-03,14.5074
