,CXT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.4435
2020-01-02,27.7673
2020-01-03,27.5384
2020-01-04,27.5384
2020-01-05,27.5384
2020-01-06,27.5608
2020-01-07,27.4184
2020-01-08,27.4966
2020-01-09,27.6724
2020-01-10,27.3123
2020-01-11,27.3123
2020-01-12,27.3123
2020-01-13,27.7143
2020-01-14,27.6585
2020-01-15,27.6306
2020-01-16,27.8092
2020-01-17,27.7283
2020-01-18,27.7283
2020-01-19,27.7283
2020-01-20,27.7283
2020-01-21,27.223
2020-01-22,27.2062
2020-01-23,27.1727
2020-01-24,27.2035
2020-01-25,27.2035
2020-01-26,27.2035
2020-01-27,26.6619
2020-01-28,27.1672
2020-01-29,27.4882
2020-01-30,27.6082
2020-01-31,27.1867
2020-02-01,27.1867
2020-02-02,27.1867
2020-02-03,27.5217
2020-02-04,27.8511
2020-02-05,28.2782
2020-02-06,28.1554
2020-02-07,27.8511
2020-02-08,27.8511
2020-02-09,27.8511
2020-02-10,28.0521
2020-02-11,28.0046
2020-02-12,28.0939
2020-02-13,27.8734
2020-02-14,27.7087
2020-02-15,27.7087
2020-02-16,27.7087
2020-02-17,27.7087
2020-02-18,27.5636
2020-02-19,27.2509
2020-02-20,27.3542
2020-02-21,27.0388
2020-02-22,27.0388
2020-02-23,27.0388
2020-02-24,26.0617
2020-02-25,24.7151
2020-02-26,24.0379
2020-02-27,22.8789
2020-02-28,22.0366
2020-02-29,22.0366
2020-03-01,22.0366
2020-03-02,23.0304
2020-03-03,22.3669
2020-03-04,22.7248
2020-03-05,21.5713
2020-03-06,21.2299
2020-03-07,21.2299
2020-03-08,21.2299
2020-03-09,19.4185
2020-03-10,20.2857
2020-03-11,19.2478
2020-03-12,17.2245
2020-03-13,18.6092
2020-03-14,18.6092
2020-03-15,18.6092
2020-03-16,16.2358
2020-03-17,16.9273
2020-03-18,14.9326
2020-03-19,15.1861
2020-03-20,14.3705
2020-03-21,14.3705
2020-03-22,14.3705
2020-03-23,13.9876
2020-03-24,15.3073
2020-03-25,16.0071
2020-03-26,17.1147
2020-03-27,16.8915
2020-03-28,16.8915
2020-03-29,16.8915
2020-03-30,16.9962
2020-03-31,20.6788
2020-04-01,19.9344
2020-04-02,19.8737
2020-04-03,19.5127
2020-04-04,19.5127
2020-04-05,19.5127
2020-04-06,20.5542
2020-04-07,21.2666
2020-04-08,22.1899
2020-04-09,22.2314
2020-04-10,22.2314
2020-04-11,22.2314
2020-04-12,22.2314
2020-04-13,21.7011
2020-04-14,22.1356
2020-04-15,21.0813
2020-04-16,20.9088
2020-04-17,21.9215
2020-04-18,21.9215
2020-04-19,21.9215
2020-04-20,21.273
2020-04-21,20.6117
2020-04-22,20.9567
2020-04-23,21.3976
2020-04-24,21.2602
2020-04-25,21.2602
2020-04-26,21.2602
2020-04-27,22.1803
2020-04-28,22.388
2020-04-29,23.2154
