,FE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.6658
2020-01-02,18.4355
2020-01-03,18.4204
2020-01-04,18.4204
2020-01-05,18.4204
2020-01-06,18.4398
2020-01-07,18.4333
2020-01-08,18.4548
2020-01-09,18.5087
2020-01-10,18.4591
2020-01-11,18.4591
2020-01-12,18.4591
2020-01-13,18.4871
2020-01-14,18.5452
2020-01-15,18.6335
2020-01-16,18.7045
2020-01-17,18.7648
2020-01-18,18.7648
2020-01-19,18.7648
2020-01-20,18.7648
2020-01-21,18.8165
2020-01-22,18.9435
2020-01-23,19.0425
2020-01-24,19.0683
2020-01-25,19.0683
2020-01-26,19.0683
2020-01-27,19.0231
2020-01-28,19.1157
2020-01-29,19.176
2020-01-30,19.1781
2020-01-31,19.1372
2020-02-01,19.1372
2020-02-02,19.1372
2020-02-03,19.2901
2020-02-04,19.2879
2020-02-05,19.3783
2020-02-06,19.2362
2020-02-07,19.2319
2020-02-08,19.2319
2020-02-09,19.2319
2020-02-10,19.2682
2020-02-11,19.3069
2020-02-12,19.294
2020-02-13,19.4017
2020-02-14,19.4556
2020-02-15,19.4556
2020-02-16,19.4556
2020-02-17,19.4556
2020-02-18,19.4642
2020-02-19,19.4383
2020-02-20,19.3608
2020-02-21,19.3134
2020-02-22,19.3134
2020-02-23,19.3134
2020-02-24,19.1109
2020-02-25,18.7361
2020-02-26,18.609
2020-02-27,18.163
2020-02-28,17.7968
2020-02-29,17.7968
2020-03-01,17.7968
2020-03-02,18.3978
2020-03-03,18.0962
2020-03-04,18.652
2020-03-05,18.3569
2020-03-06,18.2169
2020-03-07,18.2169
2020-03-08,18.2169
2020-03-09,17.4521
2020-03-10,17.8873
2020-03-11,17.4952
2020-03-12,16.5021
2020-03-13,17.0881
2020-03-14,17.0881
2020-03-15,17.0881
2020-03-16,15.593
2020-03-17,16.8446
2020-03-18,16.2178
2020-03-19,15.9571
2020-03-20,15.5887
2020-03-21,15.5887
2020-03-22,15.5887
2020-03-23,15.3539
2020-03-24,15.8472
2020-03-25,15.8515
2020-03-26,16.5344
2020-03-27,16.5193
2020-03-28,16.5193
2020-03-29,16.5193
2020-03-30,16.9265
2020-03-31,17.9998
2020-04-01,17.7286
2020-04-02,18.0009
2020-04-03,17.5407
2020-04-04,17.5407
2020-04-05,17.5407
2020-04-06,18.3062
2020-04-07,18.1064
2020-04-08,18.7261
2020-04-09,19.0673
2020-04-10,19.0673
2020-04-11,19.0673
2020-04-12,19.0673
2020-04-13,18.8832
2020-04-14,19.229
2020-04-15,18.8877
2020-04-16,19.092
2020-04-17,19.3951
2020-04-18,19.3951
2020-04-19,19.3951
2020-04-20,19.0089
2020-04-21,18.7193
2020-04-22,18.9483
2020-04-23,18.6816
2020-04-24,18.5222
2020-04-25,18.5222
2020-04-26,18.5222
2020-04-27,18.7894
2020-04-28,18.594
2020-04-29,18.5289
2020-04-30,18.2864
2020-05-01,18.1899
2020-05-02,18.1899
2020-05-03,18.1899
2020-05-04,18.2685
2020-05-05,18.3785
2020-05-06,18.0013
2020-05-07,18.0485
2020-05-08,18.136
2020-05-09,18.136
2020-05-10,18.136
2020-05-11,18.0956
2020-05-12,17.9115
2020-05-13,17.788
2020-05-14,17.9923
2020-05-15,17.8419
2020-05-16,17.8419
2020-05-17,17.8419
2020-05-18,18.2505
2020-05-19,18.0821
2020-05-20,18.0642
2020-05-21,18.0978
2020-05-22,18.145
2020-05-23,18.145
2020-05-24,18.145
2020-05-25,18.145
2020-05-26,18.1607
2020-05-27,18.3066
2020-05-28,18.6052
2020-05-29,18.5087
2020-05-30,18.5087
2020-05-31,18.5087
2020-06-01,18.621
2020-06-02,18.6906
2020-06-03,18.7849
2020-06-04,18.5312
2020-06-05,18.7355
2020-06-06,18.7355
2020-06-07,18.7355
2020-06-08,18.8949
2020-06-09,18.6502
2020-06-10,18.5065
2020-06-11,18.1136
2020-06-12,18.0978
2020-06-13,18.0978
2020-06-14,18.0978
2020-06-15,18.1068
2020-06-16,18.1158
2020-06-17,18.0574
2020-06-18,18.1158
2020-06-19,17.7723
2020-06-20,17.7723
2020-06-21,17.7723
2020-06-22,17.934
2020-06-23,17.7274
2020-06-24,17.5029
2020-06-25,17.4468
2020-06-26,17.2941
2020-06-27,17.2941
2020-06-28,17.2941
2020-06-29,17.55
2020-06-30,18.3612
2020-07-01,18.6155
2020-07-02,18.6248
2020-07-03,18.6248
2020-07-04,18.6248
2020-07-05,18.6248
2020-07-06,18.6849
2020-07-07,18.7011
2020-07-08,18.7889
2020-07-09,18.6872
2020-07-10,18.9369
2020-07-11,18.9369
2020-07-12,18.9369
2020-07-13,18.8375
2020-07-14,18.856
2020-07-15,18.8329
2020-07-16,18.9415
2020-07-17,19.1381
2020-07-18,19.1381
2020-07-19,19.1381
2020-07-20,18.9346
2020-07-21,17.3137
2020-07-22,15.6582
2020-07-23,15.7299
2020-07-24,16.2108
2020-07-25,16.2108
2020-07-26,16.2108
2020-07-27,16.1646
2020-07-28,16.1322
2020-07-29,16.0166
2020-07-30,16.0698
2020-07-31,16.0998
2020-08-01,16.0998
2020-08-02,16.0998
2020-08-03,16.1437
2020-08-04,16.2478
2020-08-05,16.0859
2020-08-06,16.1414
2020-08-07,16.2015
2020-08-08,16.2015
2020-08-09,16.2015
2020-08-10,16.3449
2020-08-11,16.3079
2020-08-12,16.301
2020-08-13,16.2385
2020-08-14,16.1761
2020-08-15,16.1761
2020-08-16,16.1761
2020-08-17,16.0903
2020-08-18,16.0765
2020-08-19,16.0209
2020-08-20,15.9561
2020-08-21,15.8983
2020-08-22,15.8983
2020-08-23,15.8983
2020-08-24,15.9446
2020-08-25,15.859
2020-08-26,15.8752
2020-08-27,15.896
2020-08-28,15.9446
2020-08-29,15.9446
2020-08-30,15.9446
2020-08-31,16.0094
2020-09-01,15.933
2020-09-02,16.1366
2020-09-03,16.1945
2020-09-04,16.1968
2020-09-05,16.1968
2020-09-06,16.1968
2020-09-07,16.1968
2020-09-08,16.1343
2020-09-09,16.1366
2020-09-10,16.1158
2020-09-11,16.1806
2020-09-12,16.1806
2020-09-13,16.1806
2020-09-14,16.2569
2020-09-15,16.1852
2020-09-16,16.2801
2020-09-17,16.2893
2020-09-18,16.095
2020-09-19,16.095
2020-09-20,16.095
2020-09-21,16.0186
2020-09-22,16.0047
2020-09-23,15.7757
2020-09-24,15.9099
2020-09-25,16.0117
2020-09-26,16.0117
2020-09-27,16.0117
2020-09-28,15.977
2020-09-29,16.0117
2020-09-30,15.8825
2020-10-01,15.8939
2020-10-02,16.0668
2020-10-03,16.0668
2020-10-04,16.0668
2020-10-05,16.1555
2020-10-06,16.2692
2020-10-07,16.3034
2020-10-08,16.4671
2020-10-09,16.4535
2020-10-10,16.4535
2020-10-11,16.4535
2020-10-12,16.4626
2020-10-13,16.474
2020-10-14,16.5013
2020-10-15,16.5195
2020-10-16,16.5604
2020-10-17,16.5604
2020-10-18,16.5604
2020-10-19,16.5695
2020-10-20,16.5923
2020-10-21,16.706
2020-10-22,16.8653
2020-10-23,16.9267
2020-10-24,16.9267
2020-10-25,16.9267
2020-10-26,16.9312
2020-10-27,16.9472
2020-10-28,16.5763
2020-10-29,16.5877
2020-10-30,16.1123
2020-10-31,16.1123
2020-11-01,16.1123
2020-11-02,16.16
2020-11-03,16.2033
2020-11-04,15.9621
2020-11-05,16.0372
2020-11-06,15.9644
2020-11-07,15.9644
2020-11-08,15.9644
2020-11-09,16.0668
2020-11-10,16.019
2020-11-11,16.1282
2020-11-12,16.0235
2020-11-13,16.0645
2020-11-14,16.0645
2020-11-15,16.0645
2020-11-16,15.8347
2020-11-17,15.8893
2020-11-18,15.8461
2020-11-19,15.9634
2020-11-20,15.7266
2020-11-21,15.7266
2020-11-22,15.7266
2020-11-23,15.6606
2020-11-24,15.4215
2020-11-25,15.3987
2020-11-26,15.3987
2020-11-27,15.4352
2020-11-28,15.4352
2020-11-29,15.4352
2020-11-30,15.3987
2020-12-01,15.5376
2020-12-02,15.5718
2020-12-03,15.7038
2020-12-04,15.9429
2020-12-05,15.9429
2020-12-06,15.9429
2020-12-07,16.0613
2020-12-08,16.2412
2020-12-09,16.3277
2020-12-10,16.2321
2020-12-11,16.2685
2020-12-12,16.2685
2020-12-13,16.2685
2020-12-14,16.2617
2020-12-15,16.5008
2020-12-16,16.3892
2020-12-17,16.2958
2020-12-18,16.2594
2020-12-19,16.2594
2020-12-20,16.2594
2020-12-21,16.1797
2020-12-22,16.1706
2020-12-23,16.0203
2020-12-24,16.1091
2020-12-25,16.1091
2020-12-26,16.1091
2020-12-27,16.1091
2020-12-28,16.0955
2020-12-29,16.116
2020-12-30,16.207
2020-12-31,18.3116
2021-01-01,18.3116
2021-01-02,18.3116
2021-01-03,18.3116
2021-01-04,18.0355
2021-01-05,18.1184
2021-01-06,18.2338
2021-01-07,18.0657
2021-01-08,18.1359
2021-01-09,18.1359
2021-01-10,18.1359
2021-01-11,18.2087
2021-01-12,18.2815
2021-01-13,18.3568
2021-01-14,18.4722
2021-01-15,18.5776
2021-01-16,18.5776
2021-01-17,18.5776
2021-01-18,18.5776
2021-01-19,18.4371
2021-01-20,18.4923
2021-01-21,18.427
2021-01-22,18.4772
2021-01-23,18.4772
2021-01-24,18.4772
2021-01-25,18.6253
2021-01-26,18.6429
2021-01-27,18.3743
2021-01-28,18.3743
2021-01-29,18.3492
2021-01-30,18.3492
2021-01-31,18.3492
2021-02-01,18.4547
2021-02-02,18.6379
2021-02-03,18.7608
2021-02-04,18.7182
2021-02-05,18.7307
2021-02-06,18.7307
2021-02-07,18.7307
2021-02-08,18.6931
2021-02-09,18.7935
2021-02-10,18.5977
2021-02-11,18.4396
2021-02-12,18.4697
2021-02-13,18.4697
2021-02-14,18.4697
2021-02-15,18.4697
2021-02-16,18.6429
2021-02-17,18.6479
2021-02-18,19.235
2021-02-19,19.1797
2021-02-20,19.1797
2021-02-21,19.1797
2021-02-22,19.1421
2021-02-23,19.0541
2021-02-24,19.235
2021-02-25,19.0491
2021-02-26,18.9561
2021-02-27,18.9561
2021-02-28,18.9561
2021-03-01,19.024
2021-03-02,18.8732
2021-03-03,18.8958
2021-03-04,18.9762
2021-03-05,18.9737
2021-03-06,18.9737
2021-03-07,18.9737
2021-03-08,19.0139
2021-03-09,19.2174
2021-03-10,19.3104
2021-03-11,19.3355
2021-03-12,19.4059
2021-03-13,19.4059
2021-03-14,19.4059
2021-03-15,19.4863
2021-03-16,19.5642
2021-03-17,19.4737
2021-03-18,19.3305
2021-03-19,19.3883
2021-03-20,19.3883
2021-03-21,19.3883
2021-03-22,19.2652
2021-03-23,19.2702
2021-03-24,19.2551
2021-03-25,19.235
2021-03-26,19.24
2021-03-27,19.24
2021-03-28,19.24
2021-03-29,19.4388
2021-03-30,19.3079
2021-03-31,19.0674
2021-04-01,18.973
2021-04-02,18.973
2021-04-03,18.973
2021-04-04,18.973
2021-04-05,19.0948
2021-04-06,19.0948
2021-04-07,19.1519
2021-04-08,19.142
2021-04-09,19.0873
2021-04-10,19.0873
2021-04-11,19.0873
2021-04-12,19.0674
2021-04-13,19.1842
2021-04-14,19.1842
2021-04-15,19.2737
2021-04-16,19.3159
2021-04-17,19.3159
2021-04-18,19.3159
2021-04-19,19.3433
2021-04-20,19.4626
2021-04-21,19.5893
2021-04-22,19.48
2021-04-23,19.5652
2021-04-24,19.5652
2021-04-25,19.5652
2021-04-26,19.5627
2021-04-27,19.6074
2021-04-28,19.7441
2021-04-29,19.8186
2021-04-30,19.8683
2021-05-01,19.8683
2021-05-02,19.8683
2021-05-03,19.9677
2021-05-04,19.836
2021-05-05,19.8584
2021-05-06,19.7441
2021-05-07,19.7689
2021-05-08,19.7689
2021-05-09,19.7689
2021-05-10,19.8012
2021-05-11,19.6894
