,MTZ US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.3098
2020-01-02,11.2474
2020-01-03,11.2553
2020-01-04,11.2553
2020-01-05,11.2553
2020-01-06,11.3337
2020-01-07,11.2049
2020-01-08,11.181
2020-01-09,11.0534
2020-01-10,10.9844
2020-01-11,10.9844
2020-01-12,10.9844
2020-01-13,11.068
2020-01-14,11.2009
2020-01-15,11.1929
2020-01-16,11.2633
2020-01-17,11.2553
2020-01-18,11.2553
2020-01-19,11.2553
2020-01-20,11.2553
2020-01-21,11.1982
2020-01-22,11.2221
2020-01-23,11.092
2020-01-24,10.8821
2020-01-25,10.8821
2020-01-26,10.8821
2020-01-27,10.7346
2020-01-28,10.5593
2020-01-29,10.5181
2020-01-30,10.554
2020-01-31,10.4583
2020-02-01,10.4583
2020-02-02,10.4583
2020-02-03,10.4557
2020-02-04,10.5301
2020-02-05,10.5832
2020-02-06,10.4092
2020-02-07,10.3401
2020-02-08,10.3401
2020-02-09,10.3401
2020-02-10,10.3069
2020-02-11,10.6908
2020-02-12,10.8289
2020-02-13,10.8568
2020-02-14,10.8236
2020-02-15,10.8236
2020-02-16,10.8236
2020-02-17,10.8236
2020-02-18,10.8316
2020-02-19,10.9458
2020-02-20,10.9578
2020-02-21,10.9698
2020-02-22,10.9698
2020-02-23,10.9698
2020-02-24,10.5792
2020-02-25,10.2259
2020-02-26,9.8672
2020-02-27,9.745
2020-02-28,9.3282
2020-02-29,9.3282
2020-03-01,9.3282
2020-03-02,9.5454
2020-03-03,9.3575
2020-03-04,9.5747
2020-03-05,9.2842
2020-03-06,8.9657
2020-03-07,8.9657
2020-03-08,8.9657
2020-03-09,7.8155
2020-03-10,7.7756
2020-03-11,7.2944
2020-03-12,6.3415
2020-03-13,6.5854
2020-03-14,6.5854
2020-03-15,6.5854
2020-03-16,6.4655
2020-03-17,6.3176
2020-03-18,5.9004
2020-03-19,6.4215
2020-03-20,6.3509
2020-03-21,6.3509
2020-03-22,6.3509
2020-03-23,6.2522
2020-03-24,6.6068
2020-03-25,6.732
2020-03-26,7.0092
2020-03-27,6.7187
2020-03-28,6.7187
2020-03-29,6.7187
2020-03-30,6.9119
2020-03-31,7.4993
2020-04-01,6.9618
2020-04-02,7.2277
2020-04-03,7.0878
2020-04-04,7.0878
2020-04-05,7.0878
2020-04-06,7.4698
2020-04-07,7.689
2020-04-08,8.0889
2020-04-09,8.2434
2020-04-10,8.2434
2020-04-11,8.2434
2020-04-12,8.2434
2020-04-13,7.9041
2020-04-14,7.8545
2020-04-15,7.478
2020-04-16,7.4753
2020-04-17,7.6932
2020-04-18,7.6932
2020-04-19,7.6932
2020-04-20,7.3319
2020-04-21,7.1222
2020-04-22,7.1291
2020-04-23,7.3705
2020-04-24,7.4766
2020-04-25,7.4766
2020-04-26,7.4766
2020-04-27,7.6435
2020-04-28,7.8462
2020-04-29,8.1248
2020-04-30,7.7585
2020-05-01,7.9252
2020-05-02,7.9252
2020-05-03,7.9252
2020-05-04,7.6474
2020-05-05,7.6975
2020-05-06,7.5214
2020-05-07,7.623
2020-05-08,7.8398
2020-05-09,7.8398
2020-05-10,7.8398
2020-05-11,7.6352
2020-05-12,7.2951
2020-05-13,7.0986
2020-05-14,7.2897
2020-05-15,7.3818
2020-05-16,7.3818
2020-05-17,7.3818
2020-05-18,7.8588
2020-05-19,7.8642
2020-05-20,7.9956
2020-05-21,7.9049
2020-05-22,7.8371
2020-05-23,7.8371
2020-05-24,7.8371
2020-05-25,7.8371
2020-05-26,8.3357
2020-05-27,8.5349
2020-05-28,8.2463
2020-05-29,8.1989
2020-05-30,8.1989
2020-05-31,8.1989
2020-06-01,8.4157
2020-06-02,8.6867
2020-06-03,8.8777
2020-06-04,8.9346
2020-06-05,9.272
2020-06-06,9.272
2020-06-07,9.272
2020-06-08,9.1596
2020-06-09,8.9075
2020-06-10,8.5674
2020-06-11,7.9767
2020-06-12,8.1799
2020-06-13,8.1799
2020-06-14,8.1799
2020-06-15,8.4319
2020-06-16,8.9929
2020-06-17,8.7869
2020-06-18,8.7084
2020-06-19,8.9577
2020-06-20,8.9577
2020-06-21,8.9577
2020-06-22,9.0444
2020-06-23,9.039
2020-06-24,8.5444
2020-06-25,8.7842
2020-06-26,8.7761
2020-06-27,8.7761
2020-06-28,8.7761
2020-06-29,8.9292
2020-06-30,10.6161
2020-07-01,10.3457
2020-07-02,10.4087
2020-07-03,10.4087
2020-07-04,10.4087
2020-07-05,10.4087
2020-07-06,10.2528
2020-07-07,9.8446
2020-07-08,9.7533
2020-07-09,9.3336
2020-07-10,9.4879
2020-07-11,9.4879
2020-07-12,9.4879
2020-07-13,9.4812
2020-07-14,9.6007
2020-07-15,9.8794
2020-07-16,9.901
2020-07-17,9.9441
2020-07-18,9.9441
2020-07-19,9.9441
2020-07-20,9.7732
2020-07-21,10.1499
2020-07-22,10.12
2020-07-23,9.9176
