,FICO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,45.138
2020-01-02,46.0556
2020-01-03,45.9442
2020-01-04,45.9442
2020-01-05,45.9442
2020-01-06,46.1759
2020-01-07,46.6758
2020-01-08,46.9921
2020-01-09,48.1257
2020-01-10,48.4041
2020-01-11,48.4041
2020-01-12,48.4041
2020-01-13,48.9508
2020-01-14,48.266
2020-01-15,48.3885
2020-01-16,48.8305
2020-01-17,48.511
2020-01-18,48.511
2020-01-19,48.511
2020-01-20,48.511
2020-01-21,48.796
2020-01-22,49.1791
2020-01-23,49.6367
2020-01-24,48.9931
2020-01-25,48.9931
2020-01-26,48.9931
2020-01-27,48.3751
2020-01-28,48.9881
2020-01-29,49.0338
2020-01-30,49.3526
2020-01-31,48.511
2020-02-01,48.511
2020-02-02,48.511
2020-02-03,50.0183
2020-02-04,50.6628
2020-02-05,49.4557
2020-02-06,49.7819
2020-02-07,50.2167
2020-02-08,50.2167
2020-02-09,50.2167
2020-02-10,50.4543
2020-02-11,49.5611
2020-02-12,49.4289
2020-02-13,50.2716
2020-02-14,50.999
2020-02-15,50.999
2020-02-16,50.999
2020-02-17,50.999
2020-02-18,51.668
2020-02-19,51.8059
2020-02-20,50.4991
2020-02-21,49.3067
2020-02-22,49.3067
2020-02-23,49.3067
2020-02-24,48.548
2020-02-25,47.1661
2020-02-26,47.1639
2020-02-27,44.4451
2020-02-28,45.5579
2020-02-29,45.5579
2020-03-01,45.5579
2020-03-02,46.7941
2020-03-03,45.1746
2020-03-04,47.2995
2020-03-05,46.0477
2020-03-06,43.5294
2020-03-07,43.5294
2020-03-08,43.5294
2020-03-09,38.8146
2020-03-10,41.1345
2020-03-11,38.6667
2020-03-12,34.6983
2020-03-13,37.435
2020-03-14,37.435
2020-03-15,37.435
2020-03-16,30.3891
2020-03-17,30.9506
2020-03-18,27.1749
2020-03-19,30.8486
2020-03-20,30.4732
2020-03-21,30.4732
2020-03-22,30.4732
2020-03-23,29.32
2020-03-24,33.5977
2020-03-25,33.5551
2020-03-26,37.5975
2020-03-27,36.0353
2020-03-28,36.0353
2020-03-29,36.0353
2020-03-30,38.5871
2020-03-31,34.4037
2020-04-01,32.4892
2020-04-02,31.8906
2020-04-03,29.9558
2020-04-04,29.9558
2020-04-05,29.9558
2020-04-06,33.7858
2020-04-07,33.3789
2020-04-08,33.6935
2020-04-09,33.7361
2020-04-10,33.7361
2020-04-11,33.7361
2020-04-12,33.7361
2020-04-13,33.4205
2020-04-14,34.9607
2020-04-15,34.634
2020-04-16,33.7777
2020-04-17,35.5775
2020-04-18,35.5775
2020-04-19,35.5775
2020-04-20,34.3682
2020-04-21,32.7672
2020-04-22,34.0171
2020-04-23,33.8528
2020-04-24,33.6275
2020-04-25,33.6275
2020-04-26,33.6275
2020-04-27,34.6035
2020-04-28,36.1487
2020-04-29,39.2259
2020-04-30,38.817
2020-05-01,37.1684
2020-05-02,37.1684
2020-05-03,37.1684
2020-05-04,38.0992
2020-05-05,38.8645
2020-05-06,39.2572
2020-05-07,40.194
2020-05-08,40.6503
