,AEO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.2236
2020-01-02,9.043
2020-01-03,9.0992
2020-01-04,9.0992
2020-01-05,9.0992
2020-01-06,9.1152
2020-01-07,9.055
2020-01-08,9.1032
2020-01-09,9.0791
2020-01-10,9.0028
2020-01-11,9.0028
2020-01-12,9.0028
2020-01-13,9.1835
2020-01-14,9.2357
2020-01-15,9.051
2020-01-16,9.2276
2020-01-17,9.2236
2020-01-18,9.2236
2020-01-19,9.2236
2020-01-20,9.2236
2020-01-21,9.0992
2020-01-22,9.2076
2020-01-23,9.2196
2020-01-24,9.1514
2020-01-25,9.1514
2020-01-26,9.1514
2020-01-27,9.1474
2020-01-28,9.2357
2020-01-29,9.2477
2020-01-30,9.2959
2020-01-31,11.382
2020-02-01,11.382
2020-02-02,11.382
2020-02-03,11.3767
2020-02-04,11.4138
2020-02-05,11.6521
2020-02-06,11.5303
2020-02-07,11.3025
2020-02-08,11.3025
2020-02-09,11.3025
2020-02-10,11.329
2020-02-11,11.4667
2020-02-12,11.6786
2020-02-13,11.5726
2020-02-14,11.6044
2020-02-15,11.6044
2020-02-16,11.6044
2020-02-17,11.6044
2020-02-18,11.3502
2020-02-19,11.1754
2020-02-20,11.5726
2020-02-21,11.5938
2020-02-22,11.5938
2020-02-23,11.5938
2020-02-24,11.2231
2020-02-25,10.8735
2020-02-26,10.6246
2020-02-27,10.5399
2020-02-28,10.5769
2020-02-29,10.5769
2020-03-01,10.5769
2020-03-02,10.6776
2020-03-03,10.418
2020-03-04,10.5716
2020-03-05,10.0367
2020-03-06,10.0791
2020-03-07,10.0791
2020-03-08,10.0791
2020-03-09,9.5389
2020-03-10,9.3535
2020-03-11,8.8715
2020-03-12,8.4964
2020-03-13,9.1116
2020-03-14,9.1116
2020-03-15,9.1116
2020-03-16,8.2843
2020-03-17,8.4222
2020-03-18,7.9077
2020-03-19,8.6184
2020-03-20,8.3903
2020-03-21,8.3903
2020-03-22,8.3903
2020-03-23,7.8653
2020-03-24,8.0721
2020-03-25,8.2949
2020-03-26,8.3267
2020-03-27,8.0721
