,COR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.8009
2020-01-02,20.8144
2020-01-03,20.5744
2020-01-04,20.5744
2020-01-05,20.5744
2020-01-06,20.8503
2020-01-07,20.7134
2020-01-08,20.8974
2020-01-09,21.1688
2020-01-10,21.254
2020-01-11,21.254
2020-01-12,21.254
2020-01-13,21.0544
2020-01-14,21.6555
2020-01-15,22.2253
2020-01-16,22.2455
2020-01-17,22.1557
2020-01-18,22.1557
2020-01-19,22.1557
2020-01-20,22.1557
2020-01-21,22.1984
2020-01-22,22.3733
2020-01-23,22.1782
2020-01-24,21.6491
2020-01-25,21.6491
2020-01-26,21.6491
2020-01-27,21.3355
2020-01-28,21.6916
2020-01-29,21.8596
2020-01-30,21.6638
2020-01-31,20.9192
2020-02-01,20.9192
2020-02-02,20.9192
2020-02-03,20.9506
2020-02-04,21.4866
2020-02-05,22.2379
2020-02-06,22.4712
2020-02-07,22.3501
2020-02-08,22.3501
2020-02-09,22.3501
2020-02-10,22.7224
2020-02-11,22.9399
2020-02-12,23.2113
2020-02-13,22.9287
2020-02-14,22.8928
2020-02-15,22.8928
2020-02-16,22.8928
2020-02-17,22.8928
2020-02-18,22.8816
2020-02-19,23.0655
2020-02-20,23.3795
2020-02-21,23.4849
2020-02-22,23.4849
2020-02-23,23.4849
2020-02-24,23.0207
2020-02-25,22.5721
2020-02-26,22.747
2020-02-27,21.1502
2020-02-28,20.6411
2020-02-29,20.6411
2020-03-01,20.6411
2020-03-02,21.2781
2020-03-03,20.9887
2020-03-04,22.0002
2020-03-05,21.2354
2020-03-06,20.9753
2020-03-07,20.9753
2020-03-08,20.9753
2020-03-09,20.4056
2020-03-10,21.0336
2020-03-11,20.7846
2020-03-12,19.7821
2020-03-13,21.915
2020-03-14,21.915
2020-03-15,21.915
2020-03-16,19.7844
2020-03-17,21.8029
2020-03-18,20.7869
2020-03-19,21.0179
2020-03-20,19.8091
2020-03-21,19.8091
2020-03-22,19.8091
2020-03-23,18.3109
2020-03-24,19.6386
2020-03-25,18.6294
2020-03-26,20.6052
2020-03-27,20.0715
2020-03-28,20.0715
2020-03-29,20.0715
2020-03-30,21.4889
2020-03-31,16.6584
2020-04-01,16.2553
2020-04-02,15.8398
2020-04-03,15.387
2020-04-04,15.387
2020-04-05,15.387
2020-04-06,16.2659
2020-04-07,16.4275
2020-04-08,16.6282
2020-04-09,16.5358
2020-04-10,16.5358
