,TNET US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.2312
2020-01-02,15.3755
2020-01-03,15.1952
2020-01-04,15.1952
2020-01-05,15.1952
2020-01-06,15.3008
2020-01-07,15.1101
2020-01-08,14.9839
2020-01-09,15.0535
2020-01-10,15.0638
2020-01-11,15.0638
2020-01-12,15.0638
2020-01-13,15.1333
2020-01-14,15.1952
2020-01-15,15.4296
2020-01-16,15.6023
2020-01-17,15.8058
2020-01-18,15.8058
2020-01-19,15.8058
2020-01-20,15.8058
2020-01-21,15.4399
2020-01-22,15.5043
2020-01-23,15.3317
2020-01-24,15.1565
2020-01-25,15.1565
2020-01-26,15.1565
2020-01-27,14.8293
2020-01-28,14.9066
2020-01-29,15.0741
2020-01-30,15.4425
2020-01-31,15.3472
2020-02-01,15.3472
2020-02-02,15.3472
2020-02-03,15.5146
2020-02-04,15.8109
2020-02-05,15.9604
2020-02-06,15.5945
2020-02-07,15.3575
2020-02-08,15.3575
2020-02-09,15.3575
2020-02-10,14.9092
2020-02-11,14.618
2020-02-12,13.7987
2020-02-13,13.5403
2020-02-14,16.1172
2020-02-15,16.1172
2020-02-16,16.1172
2020-02-17,16.1172
2020-02-18,15.4932
2020-02-19,16.3708
2020-02-20,16.2541
2020-02-21,15.7621
2020-02-22,15.7621
2020-02-23,15.7621
2020-02-24,15.544
2020-02-25,14.8541
2020-02-26,14.1388
2020-02-27,13.7077
2020-02-28,14.0526
2020-02-29,14.0526
2020-03-01,14.0526
2020-03-02,14.4863
2020-03-03,14.1718
2020-03-04,14.8972
2020-03-05,14.2251
2020-03-06,14.3062
2020-03-07,14.3062
2020-03-08,14.3062
2020-03-09,13.6671
2020-03-10,14.5852
2020-03-11,13.35
2020-03-12,12.5689
2020-03-13,12.5891
2020-03-14,12.5891
2020-03-15,12.5891
2020-03-16,11.0572
2020-03-17,10.4028
2020-03-18,8.1455
2020-03-19,9.5202
2020-03-20,9.8169
2020-03-21,9.8169
2020-03-22,9.8169
2020-03-23,8.8506
2020-03-24,9.8398
2020-03-25,9.434
2020-03-26,10.7807
2020-03-27,10.4358
2020-03-28,10.4358
2020-03-29,10.4358
2020-03-30,10.5068
2020-03-31,8.7717
2020-04-01,8.1426
2020-04-02,8.0595
2020-04-03,7.8753
2020-04-04,7.8753
2020-04-05,7.8753
2020-04-06,8.8458
2020-04-07,9.2031
2020-04-08,9.5873
2020-04-09,10.1422
2020-04-10,10.1422
2020-04-11,10.1422
2020-04-12,10.1422
2020-04-13,9.8636
2020-04-14,10.2591
2020-04-15,10.0119
2020-04-16,10.0479
2020-04-17,10.7017
2020-04-18,10.7017
2020-04-19,10.7017
2020-04-20,10.5107
2020-04-21,10.3265
2020-04-22,10.6118
2020-04-23,10.1153
2020-04-24,9.9105
2020-04-25,9.9105
2020-04-26,9.9105
2020-04-27,10.2751
2020-04-28,10.6173
2020-04-29,12.0621
2020-04-30,11.0791
2020-05-01,10.7647
2020-05-02,10.7647
2020-05-03,10.7647
2020-05-04,10.9142
2020-05-05,11.3892
2020-05-06,10.8834
2020-05-07,11.4002
2020-05-08,11.6575
2020-05-09,11.6575
2020-05-10,11.6575
2020-05-11,11.332
2020-05-12,10.6547
2020-05-13,10.1929
2020-05-14,9.9312
2020-05-15,10.1621
2020-05-16,10.1621
2020-05-17,10.1621
2020-05-18,10.9494
2020-05-19,10.7515
2020-05-20,11.0483
2020-05-21,11.1011
2020-05-22,11.1253
2020-05-23,11.1253
2020-05-24,11.1253
2020-05-25,11.1253
2020-05-26,11.7146
2020-05-27,12.8098
2020-05-28,12.1478
2020-05-29,12.1259
2020-05-30,12.1259
2020-05-31,12.1259
2020-06-01,12.2886
2020-06-02,12.5151
2020-06-03,13.0692
2020-06-04,12.8647
2020-06-05,13.5178
2020-06-06,13.5178
2020-06-07,13.5178
2020-06-08,13.5728
2020-06-09,13.177
2020-06-10,12.8076
