,FNF US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.0755
2020-01-02,9.0016
2020-01-03,9.0385
2020-01-04,9.0385
2020-01-05,9.0385
2020-01-06,9.1765
2020-01-07,9.1065
2020-01-08,9.1298
2020-01-09,9.1881
2020-01-10,9.157
2020-01-11,9.157
2020-01-12,9.157
2020-01-13,9.2639
2020-01-14,9.2697
2020-01-15,9.3591
2020-01-16,9.3494
2020-01-17,9.4562
2020-01-18,9.4562
2020-01-19,9.4562
2020-01-20,9.4562
2020-01-21,9.4271
2020-01-22,9.5281
2020-01-23,9.5961
2020-01-24,9.6485
2020-01-25,9.6485
2020-01-26,9.6485
2020-01-27,9.7068
2020-01-28,9.7165
2020-01-29,9.7845
2020-01-30,9.8253
2020-01-31,9.736
2020-02-01,9.736
2020-02-02,9.736
2020-02-03,9.7398
2020-02-04,9.6952
2020-02-05,9.7903
2020-02-06,9.7923
2020-02-07,9.1978
2020-02-08,9.1978
2020-02-09,9.1978
2020-02-10,9.0735
2020-02-11,9.126
2020-02-12,8.9589
2020-02-13,9.0463
2020-02-14,9.0398
2020-02-15,9.0398
2020-02-16,9.0398
2020-02-17,9.0398
2020-02-18,8.9231
2020-02-19,8.8179
2020-02-20,8.8335
2020-02-21,8.8102
2020-02-22,8.8102
2020-02-23,8.8102
2020-02-24,8.7323
2020-02-25,8.4871
2020-02-26,8.2924
2020-02-27,8.0452
2020-02-28,7.8097
2020-02-29,7.8097
2020-03-01,7.8097
2020-03-02,8.2087
2020-03-03,8.162
2020-03-04,8.6428
2020-03-05,8.5766
2020-03-06,8.6603
2020-03-07,8.6603
2020-03-08,8.6603
2020-03-09,7.8662
2020-03-10,7.872
2020-03-11,7.5586
2020-03-12,7.0876
2020-03-13,6.9144
2020-03-14,6.9144
2020-03-15,6.9144
2020-03-16,5.7719
2020-03-17,5.4624
2020-03-18,4.4191
2020-03-19,4.8785
2020-03-20,4.5807
2020-03-21,4.5807
2020-03-22,4.5807
