,CUROQ US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,6.2996
2020-01-02,6.2045
2020-01-03,6.1384
2020-01-04,6.1384
2020-01-05,6.1384
2020-01-06,5.9539
2020-01-07,5.9578
2020-01-08,5.9189
2020-01-09,5.9481
2020-01-10,5.8568
2020-01-11,5.8568
2020-01-12,5.8568
2020-01-13,5.8743
2020-01-14,5.8976
2020-01-15,5.9248
2020-01-16,5.9772
2020-01-17,6.0471
2020-01-18,6.0471
2020-01-19,6.0471
2020-01-20,6.0471
2020-01-21,6.0141
2020-01-22,5.9325
2020-01-23,5.9675
2020-01-24,5.9384
2020-01-25,5.9384
2020-01-26,5.9384
2020-01-27,5.917
2020-01-28,5.9597
2020-01-29,5.9869
2020-01-30,6.0588
2020-01-31,5.9558
2020-02-01,5.9558
2020-02-02,5.9558
2020-02-03,5.8393
2020-02-04,5.7946
2020-02-05,5.9364
2020-02-06,6.4705
2020-02-07,6.4705
2020-02-08,6.4705
2020-02-09,6.4705
2020-02-10,6.4841
2020-02-11,6.6279
2020-02-12,6.6182
2020-02-13,6.6589
2020-02-14,6.6881
2020-02-15,6.6881
2020-02-16,6.6881
2020-02-17,6.6881
2020-02-18,6.591
2020-02-19,6.6492
2020-02-20,6.589
2020-02-21,6.5754
2020-02-22,6.5754
2020-02-23,6.5754
2020-02-24,6.2763
2020-02-25,5.9714
2020-02-26,5.8141
2020-02-27,5.8063
2020-02-28,5.7267
2020-02-29,5.7267
2020-03-01,5.7267
2020-03-02,5.7713
2020-03-03,5.7558
2020-03-04,5.7791
2020-03-05,5.6431
2020-03-06,5.5383
2020-03-07,5.5383
2020-03-08,5.5383
2020-03-09,5.3203
2020-03-10,5.3833
2020-03-11,5.3776
2020-03-12,5.1869
2020-03-13,5.3261
2020-03-14,5.3261
2020-03-15,5.3261
2020-03-16,5.0171
2020-03-17,4.9485
2020-03-18,4.7273
2020-03-19,4.8169
2020-03-20,4.7273
2020-03-21,4.7273
2020-03-22,4.7273
2020-03-23,4.6968
2020-03-24,4.754
2020-03-25,4.958
2020-03-26,4.979
2020-03-27,4.937
2020-03-28,4.937
2020-03-29,4.937
2020-03-30,4.9695
2020-03-31,4.8757
2020-04-01,4.7406
2020-04-02,4.7064
2020-04-03,4.6664
2020-04-04,4.6664
2020-04-05,4.6664
2020-04-06,4.7444
2020-04-07,4.8681
2020-04-08,4.9233
2020-04-09,5.0584
2020-04-10,5.0584
2020-04-11,5.0584
2020-04-12,5.0584
2020-04-13,5.094
2020-04-14,5.1264
2020-04-15,5.0635
2020-04-16,4.9283
2020-04-17,4.9873
2020-04-18,4.9873
2020-04-19,4.9873
2020-04-20,4.9016
2020-04-21,4.8826
2020-04-22,4.8235
2020-04-23,4.8768
2020-04-24,5.1188
2020-04-25,5.1188
2020-04-26,5.1188
2020-04-27,5.3454
2020-04-28,5.5683
2020-04-29,5.7969
