,MC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.7748
2020-01-02,17.0401
2020-01-03,16.5997
2020-01-04,16.5997
2020-01-05,16.5997
2020-01-06,16.5837
2020-01-07,16.796
2020-01-08,16.918
2020-01-09,16.8119
2020-01-10,16.5997
2020-01-11,16.5997
2020-01-12,16.5997
2020-01-13,17.0401
2020-01-14,17.2046
2020-01-15,17.5867
2020-01-16,18.3667
2020-01-17,18.4039
2020-01-18,18.4039
2020-01-19,18.4039
2020-01-20,18.4039
2020-01-21,18.4039
2020-01-22,18.4888
2020-01-23,18.5365
2020-01-24,18.5684
2020-01-25,18.5684
2020-01-26,18.5684
2020-01-27,18.4304
2020-01-28,18.7594
2020-01-29,18.9982
2020-01-30,19.1892
2020-01-31,18.9398
2020-02-01,18.9398
2020-02-02,18.9398
2020-02-03,19.1043
2020-02-04,19.3909
2020-02-05,20.0648
2020-02-06,21.0359
2020-02-07,20.5954
2020-02-08,20.5954
2020-02-09,20.5954
2020-02-10,20.6007
2020-02-11,20.5954
2020-02-12,20.2983
2020-02-13,19.9693
2020-02-14,19.1945
2020-02-15,19.1945
2020-02-16,19.1945
2020-02-17,19.1945
2020-02-18,19.4121
2020-02-19,19.9268
2020-02-20,19.6668
2020-02-21,20.4131
2020-02-22,20.4131
2020-02-23,20.4131
2020-02-24,19.6758
2020-02-25,19.355
2020-02-26,19.0905
2020-02-27,18.4939
2020-02-28,17.8241
2020-02-29,17.8241
2020-03-01,17.8241
2020-03-02,18.0042
2020-03-03,17.1696
2020-03-04,17.7046
2020-03-05,16.4094
2020-03-06,16.2292
2020-03-07,16.2292
2020-03-08,16.2292
2020-03-09,15.1705
2020-03-10,15.9927
2020-03-11,15.4465
2020-03-12,14.0499
2020-03-13,15.9871
2020-03-14,15.9871
2020-03-15,15.9871
2020-03-16,15.1705
2020-03-17,15.9364
2020-03-18,13.2559
2020-03-19,14.3089
2020-03-20,14.0048
2020-03-21,14.0048
2020-03-22,14.0048
2020-03-23,14.2808
2020-03-24,15.5028
2020-03-25,15.7843
2020-03-26,17.3386
2020-03-27,16.6572
2020-03-28,16.6572
2020-03-29,16.6572
2020-03-30,16.6403
2020-03-31,13.9861
2020-04-01,13.4854
2020-04-02,14.343
2020-04-03,14.8536
2020-04-04,14.8536
2020-04-05,14.8536
2020-04-06,15.1213
2020-04-07,14.5562
2020-04-08,14.69
2020-04-09,14.9032
2020-04-10,14.9032
2020-04-11,14.9032
2020-04-12,14.9032
2020-04-13,14.5413
2020-04-14,14.4719
2020-04-15,14.4818
2020-04-16,14.6355
2020-04-17,15.0321
2020-04-18,15.0321
2020-04-19,15.0321
2020-04-20,14.9627
2020-04-21,14.9578
2020-04-22,15.4775
2020-04-23,14.5065
2020-04-24,13.618
2020-04-25,13.618
2020-04-26,13.618
2020-04-27,14.5133
2020-04-28,15.0198
2020-04-29,15.2245
2020-04-30,15.337
2020-05-01,14.8408
2020-05-02,14.8408
2020-05-03,14.8408
2020-05-04,14.6771
2020-05-05,15.1631
2020-05-06,15.2552
2020-05-07,15.2961
2020-05-08,15.7105
2020-05-09,15.7105
2020-05-10,15.7105
2020-05-11,15.8589
2020-05-12,15.1631
2020-05-13,14.2831
2020-05-14,14.585
2020-05-15,14.6106
2020-05-16,14.6106
2020-05-17,14.6106
2020-05-18,15.3473
2020-05-19,14.8868
2020-05-20,15.1631
2020-05-21,15.0761
2020-05-22,15.291
2020-05-23,15.291
2020-05-24,15.291
2020-05-25,15.291
2020-05-26,16.0175
2020-05-27,17.1737
2020-05-28,17.0969
2020-05-29,17.2606
2020-05-30,17.2606
2020-05-31,17.2606
2020-06-01,17.2555
2020-06-02,17.8746
2020-06-03,18.335
2020-06-04,18.8466
2020-06-05,19.4196
2020-06-06,19.4196
2020-06-07,19.4196
2020-06-08,19.3071
2020-06-09,19.2047
2020-06-10,19.0257
2020-06-11,18.2071
2020-06-12,17.7774
2020-06-13,17.7774
2020-06-14,17.7774
2020-06-15,18.0178
2020-06-16,18.0587
2020-06-17,17.8132
2020-06-18,18.3197
2020-06-19,17.5318
2020-06-20,17.5318
2020-06-21,17.5318
2020-06-22,17.7722
2020-06-23,17.3016
2020-06-24,16.3449
2020-06-25,16.5342
2020-06-26,15.4547
2020-06-27,15.4547
2020-06-28,15.4547
2020-06-29,15.8077
2020-06-30,25.9752
2020-07-01,25.5337
2020-07-02,25.6236
2020-07-03,25.6236
2020-07-04,25.6236
2020-07-05,25.6236
2020-07-06,26.2122
2020-07-07,24.3892
2020-07-08,24.8552
2020-07-09,24.1685
2020-07-10,24.6917
2020-07-11,24.6917
2020-07-12,24.6917
2020-07-13,24.3729
2020-07-14,24.5364
2020-07-15,25.7217
2020-07-16,25.8852
2020-07-17,25.9016
2020-07-18,25.9016
2020-07-19,25.9016
2020-07-20,26.1959
2020-07-21,26.6291
2020-07-22,25.689
2020-07-23,25.5909
2020-07-24,25.5746
2020-07-25,25.5746
2020-07-26,25.5746
2020-07-27,25.5419
2020-07-28,25.2639
2020-07-29,25.2558
2020-07-30,24.8961
2020-07-31,24.8578
2020-08-01,24.8578
2020-08-02,24.8578
2020-08-03,25.3974
2020-08-04,25.144
2020-08-05,25.5773
2020-08-06,25.9125
2020-08-07,25.9779
2020-08-08,25.9779
2020-08-09,25.9779
2020-08-10,26.4112
2020-08-11,26.7137
2020-08-12,26.8527
2020-08-13,26.681
2020-08-14,26.4521
2020-08-15,26.4521
2020-08-16,26.4521
2020-08-17,26.0597
2020-08-18,26.4276
2020-08-19,26.493
2020-08-20,26.4685
2020-08-21,26.7056
2020-08-22,26.7056
2020-08-23,26.7056
2020-08-24,27.4005
2020-08-25,27.6703
2020-08-26,27.4414
2020-08-27,27.0571
2020-08-28,26.7628
2020-08-29,26.7628
2020-08-30,26.7628
2020-08-31,26.5911
2020-09-01,26.8609
2020-09-02,27.098
2020-09-03,26.5339
2020-09-04,26.3049
2020-09-05,26.3049
2020-09-06,26.3049
2020-09-07,26.3049
2020-09-08,26.2068
2020-09-09,26.5257
2020-09-10,25.6345
2020-09-11,26.0842
2020-09-12,26.0842
2020-09-13,26.0842
2020-09-14,27.3514
2020-09-15,27.1143
2020-09-16,27.7929
2020-09-17,28.2262
2020-09-18,28.4715
2020-09-19,28.4715
2020-09-20,28.4715
2020-09-21,27.3187
2020-09-22,27.564
2020-09-23,27.0898
2020-09-24,27.2697
2020-09-25,27.4414
2020-09-26,27.4414
2020-09-27,27.4414
2020-09-28,28.496
2020-09-29,28.4551
2020-09-30,29.7945
2020-10-01,29.7862
2020-10-02,30.5324
