,PEP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.1155
2020-01-02,21.001
2020-01-03,20.9754
2020-01-04,20.9754
2020-01-05,20.9754
2020-01-06,21.0455
2020-01-07,20.7572
2020-01-08,20.8501
2020-01-09,20.8623
2020-01-10,20.8272
2020-01-11,20.8272
2020-01-12,20.8272
2020-01-13,21.0967
2020-01-14,21.1398
2020-01-15,21.4564
2020-01-16,21.5116
2020-01-17,21.7339
2020-01-18,21.7339
2020-01-19,21.7339
2020-01-20,21.7339
2020-01-21,21.8148
2020-01-22,22.0195
2020-01-23,22.0559
2020-01-24,21.9569
2020-01-25,21.9569
2020-01-26,21.9569
2020-01-27,21.8525
2020-01-28,21.8929
2020-01-29,21.7972
2020-01-30,22.0802
2020-01-31,21.8363
2020-02-01,21.8363
2020-02-02,21.8363
2020-02-03,21.9023
2020-02-04,21.998
2020-02-05,22.1435
2020-02-06,22.1475
2020-02-07,22.2876
2020-02-08,22.2876
2020-02-09,22.2876
2020-02-10,22.3267
2020-02-11,22.3833
2020-02-12,22.3833
2020-02-13,22.3666
2020-02-14,22.4364
2020-02-15,22.4364
2020-02-16,22.4364
2020-02-17,22.4364
2020-02-18,22.2498
2020-02-19,22.2404
2020-02-20,22.1908
2020-02-21,22.2834
2020-02-22,22.2834
2020-02-23,22.2834
2020-02-24,21.8524
2020-02-25,21.6457
2020-02-26,21.7638
2020-02-27,21.0107
2020-02-28,20.428
2020-02-29,20.428
2020-03-01,20.428
2020-03-02,21.1731
2020-03-03,20.9046
2020-03-04,21.8189
2020-03-05,21.2429
2020-03-06,21.1302
2020-03-07,21.1302
2020-03-08,21.1302
2020-03-09,20.177
2020-03-10,20.7113
2020-03-11,20.1219
2020-03-12,18.1873
2020-03-13,19.8131
2020-03-14,19.8131
2020-03-15,19.8131
2020-03-16,17.8853
2020-03-17,19.8494
2020-03-18,18.9365
2020-03-19,18.4558
2020-03-20,17.0935
2020-03-21,17.0935
2020-03-22,17.0935
2020-03-23,17.2637
2020-03-24,18.4424
2020-03-25,18.26
2020-03-26,19.3162
2020-03-27,19.3434
2020-03-28,19.3434
2020-03-29,19.3434
2020-03-30,20.0266
2020-03-31,19.2944
2020-04-01,19.0249
2020-04-02,19.8062
2020-04-03,19.9055
2020-04-04,19.9055
2020-04-05,19.9055
2020-04-06,20.7997
2020-04-07,20.7072
2020-04-08,20.9971
2020-04-09,21.1359
2020-04-10,21.1359
2020-04-11,21.1359
2020-04-12,21.1359
2020-04-13,20.763
2020-04-14,21.7851
2020-04-15,21.3265
2020-04-16,21.4095
2020-04-17,21.6695
2020-04-18,21.6695
2020-04-19,21.6695
2020-04-20,21.2611
2020-04-21,20.7698
2020-04-22,20.9984
2020-04-23,20.6772
2020-04-24,21.2353
2020-04-25,21.2353
2020-04-26,21.2353
2020-04-27,21.2489
2020-04-28,21.4788
2020-04-29,21.0764
2020-04-30,20.931
2020-05-01,20.6387
2020-05-02,20.6387
2020-05-03,20.6387
2020-05-04,20.7447
2020-05-05,20.8467
2020-05-06,20.7257
2020-05-07,20.8304
2020-05-08,21.1947
2020-05-09,21.1947
2020-05-10,21.1947
2020-05-11,21.2151
2020-05-12,21.0193
2020-05-13,21.022
2020-05-14,21.0384
2020-05-15,21.4285
2020-05-16,21.4285
2020-05-17,21.4285
2020-05-18,21.37
2020-05-19,20.8548
2020-05-20,20.791
2020-05-21,20.6482
2020-05-22,20.6849
2020-05-23,20.6849
2020-05-24,20.6849
2020-05-25,20.6849
2020-05-26,20.5857
2020-05-27,20.7298
2020-05-28,20.931
2020-05-29,20.8304
2020-05-30,20.8304
2020-05-31,20.8304
2020-06-01,21.0261
2020-06-02,20.9772
2020-06-03,21.003
2020-06-04,20.6972
2020-06-05,20.9514
2020-06-06,20.9514
2020-06-07,20.9514
2020-06-08,20.9201
2020-06-09,21.0234
2020-06-10,21.1811
2020-06-11,20.3261
2020-06-12,21.9392
2020-06-13,21.9392
2020-06-14,21.9392
2020-06-15,22.1488
2020-06-16,22.3174
2020-06-17,22.3301
2020-06-18,22.4746
2020-06-19,22.2621
2020-06-20,22.2621
2020-06-21,22.2621
2020-06-22,22.2296
2020-06-23,22.2735
2020-06-24,22.0185
2020-06-25,22.2805
2020-06-26,21.9293
2020-06-27,21.9293
2020-06-28,21.9293
2020-06-29,22.2338
2020-06-30,22.4009
2020-07-01,22.4151
2020-07-02,22.4845
2020-07-03,22.4845
2020-07-04,22.4845
2020-07-05,22.4845
2020-07-06,22.5482
2020-07-07,22.5864
2020-07-08,22.6785
2020-07-09,22.4647
2020-07-10,22.7125
2020-07-11,22.7125
2020-07-12,22.7125
2020-07-13,22.7367
2020-07-14,22.823
2020-07-15,22.5643
2020-07-16,22.5912
2020-07-17,22.7014
2020-07-18,22.7014
2020-07-19,22.7014
2020-07-20,22.4823
2020-07-21,22.6689
2020-07-22,22.8922
2020-07-23,23.0434
2020-07-24,22.8993
2020-07-25,22.8993
2020-07-26,22.8993
2020-07-27,23.1268
2020-07-28,23.0858
2020-07-29,23.1636
2020-07-30,23.1296
2020-07-31,23.1254
2020-08-01,23.1254
2020-08-02,23.1254
2020-08-03,22.9897
2020-08-04,23.0985
2020-08-05,22.9261
2020-08-06,22.871
2020-08-07,22.9954
2020-08-08,22.9954
2020-08-09,22.9954
2020-08-10,22.888
2020-08-11,22.7664
2020-08-12,23.1452
2020-08-13,23.1876
2020-08-14,23.1113
2020-08-15,23.1113
2020-08-16,23.1113
2020-08-17,23.1621
2020-08-18,23.189
