,OMF US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.9251
2020-01-02,19.9808
2020-01-03,19.9065
2020-01-04,19.9065
2020-01-05,19.9065
2020-01-06,19.8656
2020-01-07,19.7728
2020-01-08,19.8409
2020-01-09,19.8656
2020-01-10,19.8198
2020-01-11,19.8198
2020-01-12,19.8198
2020-01-13,19.9176
2020-01-14,19.8805
2020-01-15,19.8718
2020-01-16,19.9994
2020-01-17,20.0539
2020-01-18,20.0539
2020-01-19,20.0539
2020-01-20,20.0539
2020-01-21,19.982
2020-01-22,20.1319
2020-01-23,20.1108
2020-01-24,19.9882
2020-01-25,19.9882
2020-01-26,19.9882
2020-01-27,19.8136
2020-01-28,19.8954
2020-01-29,19.9189
2020-01-30,19.9771
2020-01-31,19.9523
2020-02-01,19.9523
2020-02-02,19.9523
2020-02-03,19.7096
2020-02-04,19.7889
2020-02-05,20.018
2020-02-06,20.1071
2020-02-07,20.122
2020-02-08,20.122
2020-02-09,20.122
2020-02-10,20.2755
2020-02-11,20.5245
2020-02-12,20.4997
2020-02-13,20.5245
2020-02-14,20.6384
2020-02-15,20.6384
2020-02-16,20.6384
2020-02-17,20.6384
2020-02-18,20.6186
2020-02-19,20.652
2020-02-20,20.7387
2020-02-21,20.6458
2020-02-22,20.6458
2020-02-23,20.6458
2020-02-24,20.4601
2020-02-25,19.7133
2020-02-26,19.5783
2020-02-27,19.3938
2020-02-28,19.2563
2020-02-29,19.2563
2020-03-01,19.2563
2020-03-02,19.4817
2020-03-03,19.213
2020-03-04,19.5758
2020-03-05,19.3566
2020-03-06,19.1696
2020-03-07,19.1696
2020-03-08,19.1696
2020-03-09,18.5108
2020-03-10,18.9975
2020-03-11,18.6495
2020-03-12,18.2718
2020-03-13,18.6161
2020-03-14,18.6161
2020-03-15,18.6161
2020-03-16,17.7888
2020-03-17,17.3554
2020-03-18,16.4811
2020-03-19,16.7969
2020-03-20,16.969
2020-03-21,16.969
2020-03-22,16.969
2020-03-23,16.8774
2020-03-24,17.2142
2020-03-25,17.4111
2020-03-26,17.5077
2020-03-27,17.4805
2020-03-28,17.4805
2020-03-29,17.4805
2020-03-30,17.177
2020-03-31,20.0449
2020-04-01,19.6424
2020-04-02,19.7192
2020-04-03,19.4875
2020-04-04,19.4875
2020-04-05,19.4875
2020-04-06,19.7985
2020-04-07,19.9914
2020-04-08,20.1514
2020-04-09,20.4615
2020-04-10,20.4615
2020-04-11,20.4615
2020-04-12,20.4615
2020-04-13,20.2557
2020-04-14,20.17
2020-04-15,19.9314
2020-04-16,19.8085
2020-04-17,20.2457
2020-04-18,20.2457
2020-04-19,20.2457
2020-04-20,20.0671
2020-04-21,19.8871
2020-04-22,19.8356
2020-04-23,19.8899
2020-04-24,20.0014
2020-04-25,20.0014
2020-04-26,20.0014
2020-04-27,20.2114
2020-04-28,20.5586
2020-04-29,21.033
2020-04-30,20.7358
2020-05-01,20.49
2020-05-02,20.49
2020-05-03,20.49
2020-05-04,20.4586
2020-05-05,20.4229
2020-05-06,20.2571
2020-05-07,20.3071
2020-05-08,20.4857
2020-05-09,20.4857
2020-05-10,20.4857
2020-05-11,20.3171
2020-05-12,20.09
2020-05-13,19.9356
2020-05-14,20.1928
2020-05-15,20.1643
2020-05-16,20.1643
2020-05-17,20.1643
2020-05-18,20.4386
2020-05-19,20.3771
2020-05-20,20.4272
2020-05-21,20.42
2020-05-22,20.3729
2020-05-23,20.3729
2020-05-24,20.3729
2020-05-25,20.3729
2020-05-26,20.6372
2020-05-27,20.9372
2020-05-28,20.8301
2020-05-29,20.61
2020-05-30,20.61
2020-05-31,20.61
2020-06-01,20.8029
2020-06-02,20.9444
2020-06-03,21.1916
2020-06-04,21.2587
2020-06-05,21.5774
2020-06-06,21.5774
2020-06-07,21.5774
2020-06-08,21.7845
2020-06-09,21.5202
2020-06-10,21.2302
2020-06-11,20.7801
2020-06-12,21.0644
2020-06-13,21.0644
2020-06-14,21.0644
2020-06-15,21.1244
2020-06-16,21.1559
2020-06-17,21.0401
2020-06-18,20.9987
2020-06-19,20.9858
2020-06-20,20.9858
2020-06-21,20.9858
2020-06-22,20.983
2020-06-23,21.0244
2020-06-24,20.8444
2020-06-25,20.9172
2020-06-26,20.6615
2020-06-27,20.6615
2020-06-28,20.6615
2020-06-29,20.7315
2020-06-30,23.1496
2020-07-01,23.0156
2020-07-02,23.0809
2020-07-03,23.0809
2020-07-04,23.0809
2020-07-05,23.0809
2020-07-06,23.2434
2020-07-07,22.9855
2020-07-08,23.0524
2020-07-09,22.828
2020-07-10,22.9771
2020-07-11,22.9771
2020-07-12,22.9771
2020-07-13,22.9704
2020-07-14,23.0173
2020-07-15,23.2115
2020-07-16,23.2132
2020-07-17,23.0608
2020-07-18,23.0608
2020-07-19,23.0608
2020-07-20,23.019
2020-07-21,23.2969
2020-07-22,23.3489
2020-07-23,23.2819
2020-07-24,23.2601
2020-07-25,23.2601
2020-07-26,23.2601
2020-07-27,23.3036
2020-07-28,23.8044
2020-07-29,23.8931
2020-07-30,23.8797
2020-07-31,23.8462
2020-08-01,23.8462
2020-08-02,23.8462
2020-08-03,23.8814
2020-08-04,24.0003
2020-08-05,24.3939
2020-08-06,24.4073
2020-08-07,23.9668
2020-08-08,23.9668
2020-08-09,23.9668
2020-08-10,24.0958
2020-08-11,24.1845
2020-08-12,24.0154
2020-08-13,24.002
2020-08-14,24.0623
2020-08-15,24.0623
2020-08-16,24.0623
2020-08-17,24.0037
2020-08-18,23.8965
2020-08-19,23.9518
2020-08-20,23.8563
2020-08-21,23.8781
2020-08-22,23.8781
2020-08-23,23.8781
2020-08-24,23.997
2020-08-25,23.9819
2020-08-26,23.8915
2020-08-27,24.0221
2020-08-28,24.064
