,PBH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,58.7186
2020-01-02,58.7107
2020-01-03,58.506
2020-01-04,58.506
2020-01-05,58.506
2020-01-06,59.0494
2020-01-07,58.1753
2020-01-08,57.813
2020-01-09,57.3563
2020-01-10,57.0728
2020-01-11,57.0728
2020-01-12,57.0728
2020-01-13,57.6634
2020-01-14,57.9311
2020-01-15,59.2305
2020-01-16,59.8132
2020-01-17,60.0573
2020-01-18,60.0573
2020-01-19,60.0573
2020-01-20,60.0573
2020-01-21,59.6951
2020-01-22,59.4667
2020-01-23,59.6006
2020-01-24,59.0179
2020-01-25,59.0179
2020-01-26,59.0179
2020-01-27,59.1202
2020-01-28,60.1833
2020-01-29,59.829
2020-01-30,59.5297
2020-01-31,58.7659
2020-02-01,58.7659
2020-02-02,58.7659
2020-02-03,58.4902
2020-02-04,59.3328
2020-02-05,59.5061
2020-02-06,62.2779
2020-02-07,63.0422
2020-02-08,63.0422
2020-02-09,63.0422
2020-02-10,61.1668
2020-02-11,61.3874
2020-02-12,61.3953
2020-02-13,61.0486
2020-02-14,60.2921
2020-02-15,60.2921
2020-02-16,60.2921
2020-02-17,60.2921
2020-02-18,60.0399
2020-02-19,60.2291
2020-02-20,60.3236
2020-02-21,60.2369
2020-02-22,60.2369
2020-02-23,60.2369
2020-02-24,58.9446
2020-02-25,58.0384
2020-02-26,57.4395
2020-02-27,56.4939
2020-02-28,56.2654
2020-02-29,56.2654
2020-03-01,56.2654
2020-03-02,57.6602
2020-03-03,57.1401
2020-03-04,57.7626
2020-03-05,57.4317
2020-03-06,56.8249
2020-03-07,56.8249
2020-03-08,56.8249
2020-03-09,54.0433
2020-03-10,56.2733
2020-03-11,55.1228
2020-03-12,53.0031
2020-03-13,53.7359
2020-03-14,53.7359
2020-03-15,53.7359
2020-03-16,50.6864
2020-03-17,50.0875
2020-03-18,50.4657
2020-03-19,51.498
2020-03-20,50.6076
2020-03-21,50.6076
2020-03-22,50.6076
2020-03-23,50.0717
