,IBM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.7143
2020-01-02,17.8358
2020-01-03,17.7407
2020-01-04,17.7407
2020-01-05,17.7407
2020-01-06,17.7196
2020-01-07,17.7275
2020-01-08,17.8262
2020-01-09,17.9521
2020-01-10,17.9477
2020-01-11,17.9477
2020-01-12,17.9477
2020-01-13,17.9398
2020-01-14,17.8711
2020-01-15,17.9415
2020-01-16,18.0613
2020-01-17,18.0903
2020-01-18,18.0903
2020-01-19,18.0903
2020-01-20,18.0903
2020-01-21,18.1661
2020-01-22,18.5817
2020-01-23,18.4919
2020-01-24,18.2885
2020-01-25,18.2885
2020-01-26,18.2885
2020-01-27,18.1176
2020-01-28,18.1995
2020-01-29,18.0357
2020-01-30,17.9547
2020-01-31,18.5677
2020-02-01,18.5677
2020-02-02,18.5677
2020-02-03,18.7913
2020-02-04,19.0414
2020-02-05,19.6773
2020-02-06,19.7151
2020-02-07,19.4201
2020-02-08,19.4201
2020-02-09,19.4201
2020-02-10,19.51
2020-02-11,19.4263
2020-02-12,19.5875
2020-02-13,19.4994
2020-02-14,19.1815
2020-02-15,19.1815
2020-02-16,19.1815
2020-02-17,19.1815
2020-02-18,19.2167
2020-02-19,19.1956
2020-02-20,19.2273
2020-02-21,19.1057
2020-02-22,19.1057
2020-02-23,19.1057
2020-02-24,18.8054
2020-02-25,18.3898
2020-02-26,18.2557
2020-02-27,17.6691
2020-02-28,17.4076
2020-02-29,17.4076
2020-03-01,17.4076
2020-03-02,17.7742
2020-03-03,17.2972
2020-03-04,17.7671
2020-03-05,17.3546
2020-03-06,17.1938
2020-03-07,17.1938
2020-03-08,17.1938
2020-03-09,16.3175
2020-03-10,16.9323
2020-03-11,16.3316
2020-03-12,14.9924
2020-03-13,15.4464
2020-03-14,15.4464
2020-03-15,15.4464
2020-03-16,14.6629
2020-03-17,15.3316
2020-03-18,15.0577
2020-03-19,14.7742
2020-03-20,14.3369
2020-03-21,14.3369
2020-03-22,14.3369
2020-03-23,14.2821
2020-03-24,15.2282
2020-03-25,15.2609
2020-03-26,15.8828
2020-03-27,15.4535
2020-03-28,15.4535
2020-03-29,15.4535
2020-03-30,15.8864
2020-03-31,18.7822
2020-04-01,18.164
2020-04-02,18.6829
2020-04-03,18.2921
2020-04-04,18.2921
2020-04-05,18.2921
2020-04-06,19.1976
2020-04-07,19.2104
2020-04-08,19.6749
2020-04-09,19.9109
2020-04-10,19.9109
2020-04-11,19.9109
2020-04-12,19.9109
2020-04-13,19.8735
2020-04-14,20.1682
2020-04-15,19.6108
2020-04-16,19.2948
2020-04-17,19.7635
2020-04-18,19.7635
2020-04-19,19.7635
2020-04-20,19.7945
2020-04-21,19.4048
2020-04-22,19.677
2020-04-23,19.8949
2020-04-24,20.2547
2020-04-25,20.2547
2020-04-26,20.2547
2020-04-27,20.3829
2020-04-28,20.4124
2020-04-29,20.6707
2020-04-30,20.3366
2020-05-01,19.9428
2020-05-02,19.9428
2020-05-03,19.9428
2020-05-04,19.9226
2020-05-05,20.0186
2020-05-06,20.0816
2020-05-07,19.8745
2020-05-08,20.0624
2020-05-09,20.0624
2020-05-10,20.0624
2020-05-11,20.0197
2020-05-12,19.771
2020-05-13,19.2876
2020-05-14,19.4178
2020-05-15,19.421
2020-05-16,19.421
2020-05-17,19.421
2020-05-18,19.9098
2020-05-19,19.7742
2020-05-20,19.8905
2020-05-21,19.6494
2020-05-22,19.5715
2020-05-23,19.5715
2020-05-24,19.5715
2020-05-25,19.5715
2020-05-26,19.9311
2020-05-27,20.3345
2020-05-28,20.2267
2020-05-29,20.2662
2020-05-30,20.2662
2020-05-31,20.2662
2020-06-01,20.2651
2020-06-02,20.3836
2020-06-03,20.7091
2020-06-04,20.692
2020-06-05,21.0303
2020-06-06,21.0303
2020-06-07,21.0303
2020-06-08,21.4241
2020-06-09,21.01
2020-06-10,20.7966
2020-06-11,19.5309
2020-06-12,19.9471
2020-06-13,19.9471
2020-06-14,19.9471
2020-06-15,19.9194
2020-06-16,20.2929
2020-06-17,20.1862
2020-06-18,20.1872
2020-06-19,20.0069
2020-06-20,20.0069
2020-06-21,20.0069
2020-06-22,19.8575
2020-06-23,19.6803
2020-06-24,19.3612
2020-06-25,19.6398
2020-06-26,19.4434
2020-06-27,19.4434
2020-06-28,19.4434
2020-06-29,19.7166
2020-06-30,20.2696
2020-07-01,20.0235
2020-07-02,20.1515
2020-07-03,20.1515
2020-07-04,20.1515
2020-07-05,20.1515
2020-07-06,20.2056
2020-07-07,19.9175
2020-07-08,19.9318
2020-07-09,19.7111
2020-07-10,20.0025
2020-07-11,20.0025
