,VRTS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.2517
2020-01-02,7.3226
2020-01-03,7.3546
2020-01-04,7.3546
2020-01-05,7.3546
2020-01-06,7.3325
2020-01-07,7.3359
2020-01-08,7.3689
2020-01-09,7.3985
2020-01-10,7.4975
2020-01-11,7.4975
2020-01-12,7.4975
2020-01-13,7.5734
2020-01-14,7.5113
2020-01-15,7.4689
2020-01-16,7.5143
2020-01-17,7.5773
2020-01-18,7.5773
2020-01-19,7.5773
2020-01-20,7.5773
2020-01-21,7.5773
2020-01-22,7.6675
2020-01-23,7.6468
2020-01-24,7.5088
2020-01-25,7.5088
2020-01-26,7.5088
2020-01-27,7.4492
2020-01-28,7.4965
2020-01-29,7.4862
2020-01-30,7.4886
2020-01-31,7.3162
2020-02-01,7.3162
2020-02-02,7.3162
2020-02-03,7.5054
2020-02-04,7.6532
2020-02-05,7.9005
2020-02-06,7.9276
2020-02-07,7.8685
2020-02-08,7.8685
2020-02-09,7.8685
2020-02-10,8.0602
2020-02-11,8.0241
2020-02-12,8.008
2020-02-13,7.8919
2020-02-14,7.8914
2020-02-15,7.8914
2020-02-16,7.8914
2020-02-17,7.8914
2020-02-18,7.8255
2020-02-19,7.9475
2020-02-20,7.9602
2020-02-21,7.8187
2020-02-22,7.8187
2020-02-23,7.8187
2020-02-24,7.4305
2020-02-25,7.2437
2020-02-26,7.1335
2020-02-27,6.9642
2020-02-28,7.3627
2020-02-29,7.3627
2020-03-01,7.3627
2020-03-02,7.4811
2020-03-03,7.278
2020-03-04,7.4645
2020-03-05,6.9256
2020-03-06,6.8819
2020-03-07,6.8819
2020-03-08,6.8819
2020-03-09,6.2147
2020-03-10,6.7525
2020-03-11,6.3812
2020-03-12,5.7123
2020-03-13,5.9502
2020-03-14,5.9502
2020-03-15,5.9502
2020-03-16,5.2631
2020-03-17,5.6216
2020-03-18,5.3035
2020-03-19,5.371
2020-03-20,5.0014
2020-03-21,5.0014
2020-03-22,5.0014
2020-03-23,4.426
2020-03-24,5.0639
2020-03-25,5.1314
2020-03-26,5.5934
2020-03-27,5.4042
2020-03-28,5.4042
2020-03-29,5.4042
2020-03-30,5.4357
2020-03-31,4.4839
2020-04-01,4.2498
2020-04-02,4.163
2020-04-03,3.7879
2020-04-04,3.7879
2020-04-05,3.7879
2020-04-06,4.1968
2020-04-07,4.5973
2020-04-08,4.7217
2020-04-09,5.0147
2020-04-10,5.0147
2020-04-11,5.0147
2020-04-12,5.0147
2020-04-13,5.0066
2020-04-14,4.855
2020-04-15,4.6608
2020-04-16,4.5545
2020-04-17,4.7664
2020-04-18,4.7664
2020-04-19,4.7664
2020-04-20,4.5614
2020-04-21,4.513
2020-04-22,4.4721
2020-04-23,4.4093
2020-04-24,4.4508
2020-04-25,4.4508
2020-04-26,4.4508
2020-04-27,4.7475
2020-04-28,4.8494
2020-04-29,5.0927
2020-04-30,4.8035
2020-05-01,5.541
2020-05-02,5.541
2020-05-03,5.541
2020-05-04,5.573
2020-05-05,5.2423
2020-05-06,5.2051
2020-05-07,5.3186
2020-05-08,5.6804
2020-05-09,5.6804
2020-05-10,5.6804
2020-05-11,5.4309
2020-05-12,5.1117
2020-05-13,4.8496
2020-05-14,4.8903
2020-05-15,4.7856
2020-05-16,4.7856
2020-05-17,4.7856
2020-05-18,5.2848
2020-05-19,5.0095
2020-05-20,5.2415
2020-05-21,5.2791
2020-05-22,5.3888
2020-05-23,5.3888
2020-05-24,5.3888
2020-05-25,5.3888
2020-05-26,5.772
2020-05-27,5.9382
2020-05-28,5.5701
2020-05-29,5.5243
2020-05-30,5.5243
2020-05-31,5.5243
2020-06-01,6.0811
2020-06-02,6.2893
2020-06-03,6.8016
2020-06-04,6.6612
2020-06-05,6.6699
2020-06-06,6.6699
2020-06-07,6.6699
2020-06-08,6.9132
2020-06-09,6.848
2020-06-10,6.759
2020-06-11,6.0749
2020-06-12,6.5339
2020-06-13,6.5339
2020-06-14,6.5339
2020-06-15,6.8048
2020-06-16,6.9603
2020-06-17,6.9979
2020-06-18,7.0311
2020-06-19,6.9089
2020-06-20,6.9089
2020-06-21,6.9089
2020-06-22,6.8806
2020-06-23,6.9157
2020-06-24,6.5859
2020-06-25,6.8593
2020-06-26,6.4059
2020-06-27,6.4059
2020-06-28,6.4059
2020-06-29,6.7728
2020-06-30,8.8312
2020-07-01,8.6086
2020-07-02,8.6777
2020-07-03,8.6777
2020-07-04,8.6777
2020-07-05,8.6777
2020-07-06,8.9521
2020-07-07,9.6268
2020-07-08,9.577
2020-07-09,9.228
2020-07-10,9.5902
2020-07-11,9.5902
2020-07-12,9.5902
2020-07-13,9.3731
2020-07-14,9.595
2020-07-15,9.7609
2020-07-16,9.7665
2020-07-17,9.5943
2020-07-18,9.5943
2020-07-19,9.5943
2020-07-20,9.6344
2020-07-21,9.8681
2020-07-22,9.8743
2020-07-23,9.9275
2020-07-24,10.0395
2020-07-25,10.0395
2020-07-26,10.0395
2020-07-27,10.3755
2020-07-28,10.2282
2020-07-29,10.3879
2020-07-30,10.2006
2020-07-31,10.1881
2020-08-01,10.1881
2020-08-02,10.1881
2020-08-03,10.2206
2020-08-04,10.1404
2020-08-05,10.4785
2020-08-06,10.3415
2020-08-07,10.6409
2020-08-08,10.6409
2020-08-09,10.6409
2020-08-10,10.6072
2020-08-11,10.6485
2020-08-12,10.7718
2020-08-13,10.5673
2020-08-14,10.6113
2020-08-15,10.6113
2020-08-16,10.6113
2020-08-17,10.6499
2020-08-18,10.442
2020-08-19,10.517
2020-08-20,10.4544
2020-08-21,10.4034
2020-08-22,10.4034
2020-08-23,10.4034
2020-08-24,10.4323
2020-08-25,10.4764
2020-08-26,10.3669
2020-08-27,10.4303
2020-08-28,10.3745
2020-08-29,10.3745
2020-08-30,10.3745
2020-08-31,10.5618
2020-09-01,10.5838
2020-09-02,10.6595
2020-09-03,10.5108
2020-09-04,10.3394
2020-09-05,10.3394
2020-09-06,10.3394
2020-09-07,10.3394
2020-09-08,9.949
2020-09-09,10.0881
2020-09-10,9.9125
2020-09-11,10.0867
2020-09-12,10.0867
2020-09-13,10.0867
2020-09-14,10.1907
2020-09-15,10.1611
2020-09-16,10.4138
2020-09-17,10.3745
2020-09-18,10.3711
2020-09-19,10.3711
2020-09-20,10.3711
2020-09-21,9.8058
2020-09-22,10.159
2020-09-23,10.0778
2020-09-24,9.9752
2020-09-25,10.0695
2020-09-26,10.0695
2020-09-27,10.0695
2020-09-28,10.327
2020-09-29,10.2341
2020-09-30,8.9098
2020-10-01,8.8888
2020-10-02,9.1353
2020-10-03,9.1353
2020-10-04,9.1353
2020-10-05,9.4982
2020-10-06,9.3315
2020-10-07,9.2427
2020-10-08,9.8467
2020-10-09,9.9271
2020-10-10,9.9271
2020-10-11,9.9271
2020-10-12,9.9822
2020-10-13,9.9595
2020-10-14,10.1214
2020-10-15,10.3541
2020-10-16,10.4849
2020-10-17,10.4849
2020-10-18,10.4849
2020-10-19,10.3769
2020-10-20,10.5946
2020-10-21,10.5952
2020-10-22,10.7302
2020-10-23,11.2436
2020-10-24,11.2436
2020-10-25,11.2436
2020-10-26,10.9803
2020-10-27,10.5287
2020-10-28,10.1394
2020-10-29,10.1148
2020-10-30,10.1634
2020-10-31,10.1634
2020-11-01,10.1634
2020-11-02,10.3865
2020-11-03,10.5239
2020-11-04,10.6954
2020-11-05,10.9778
2020-11-06,10.6638
2020-11-07,10.6638
2020-11-08,10.6638
2020-11-09,10.9158
2020-11-10,11.1619
2020-11-11,11.2781
2020-11-12,11.0517
2020-11-13,11.424
2020-11-14,11.424
2020-11-15,11.424
2020-11-16,11.7213
2020-11-17,11.9549
2020-11-18,11.492
2020-11-19,11.2822
2020-11-20,11.2435
2020-11-21,11.2435
2020-11-22,11.2435
2020-11-23,11.4765
2020-11-24,11.5414
2020-11-25,11.4729
2020-11-26,11.4729
2020-11-27,11.623
2020-11-28,11.623
2020-11-29,11.623
2020-11-30,11.2513
2020-12-01,11.3114
2020-12-02,11.5801
2020-12-03,12.4816
2020-12-04,12.8671
2020-12-05,12.8671
2020-12-06,12.8671
2020-12-07,12.8456
2020-12-08,13.3634
2020-12-09,13.2913
2020-12-10,13.3556
2020-12-11,13.1543
2020-12-12,13.1543
2020-12-13,13.1543
2020-12-14,12.7598
2020-12-15,13.3294
2020-12-16,13.2841
2020-12-17,13.3926
2020-12-18,13.0142
2020-12-19,13.0142
2020-12-20,13.0142
2020-12-21,12.7932
2020-12-22,12.9559
2020-12-23,13.2269
2020-12-24,13.395
2020-12-25,13.395
2020-12-26,13.395
2020-12-27,13.395
2020-12-28,13.3121
2020-12-29,13.2049
2020-12-30,13.4122
2020-12-31,10.3066
2021-01-01,10.3066
2021-01-02,10.3066
2021-01-03,10.3066
2021-01-04,10.1012
2021-01-05,10.2441
2021-01-06,10.9066
2021-01-07,11.0208
2021-01-08,11.0988
2021-01-09,11.0988
2021-01-10,11.0988
2021-01-11,11.0593
2021-01-12,11.1279
2021-01-13,11.0965
2021-01-14,11.1693
2021-01-15,10.7751
2021-01-16,10.7751
2021-01-17,10.7751
2021-01-18,10.7751
2021-01-19,10.6054
2021-01-20,10.6703
2021-01-21,10.4414
2021-01-22,10.5899
2021-01-23,10.5899
2021-01-24,10.5899
2021-01-25,10.2615
2021-01-26,10.2958
2021-01-27,9.692
2021-01-28,10.3164
2021-01-29,9.9777
2021-01-30,9.9777
2021-01-31,9.9777
2021-02-01,10.5246
2021-02-02,11.1073
2021-02-03,11.0246
2021-02-04,11.2064
2021-02-05,11.4648
2021-02-06,11.4648
2021-02-07,11.4648
2021-02-08,11.6589
2021-02-09,11.86
2021-02-10,12.0198
2021-02-11,12.0926
2021-02-12,12.2303
2021-02-13,12.2303
2021-02-14,12.2303
2021-02-15,12.2303
2021-02-16,12.4309
2021-02-17,12.0207
2021-02-18,11.8102
2021-02-19,11.7162
2021-02-20,11.7162
2021-02-21,11.7162
2021-02-22,11.5396
2021-02-23,12.1067
2021-02-24,12.2444
2021-02-25,11.8995
2021-02-26,11.8537
2021-02-27,11.8537
2021-02-28,11.8537
2021-03-01,12.456
2021-03-02,11.9861
2021-03-03,11.6234
2021-03-04,11.241
2021-03-05,11.6201
2021-03-06,11.6201
2021-03-07,11.6201
2021-03-08,11.607
2021-03-09,11.9988
2021-03-10,12.2515
2021-03-11,12.3109
2021-03-12,12.2473
2021-03-13,12.2473
2021-03-14,12.2473
2021-03-15,12.3568
2021-03-16,12.1588
2021-03-17,12.3306
2021-03-18,12.047
2021-03-19,12.1078
2021-03-20,12.1078
2021-03-21,12.1078
2021-03-22,11.9519
2021-03-23,11.373
2021-03-24,11.1211
2021-03-25,11.0963
2021-03-26,11.3472
2021-03-27,11.3472
2021-03-28,11.3472
2021-03-29,11.3435
2021-03-30,11.2808
2021-03-31,7.8
2021-04-01,7.9891
2021-04-02,7.9891
2021-04-03,7.9891
2021-04-04,7.9891
2021-04-05,8.1594
2021-04-06,8.1355
2021-04-07,8.0487
2021-04-08,8.2163
2021-04-09,8.4043
2021-04-10,8.4043
2021-04-11,8.4043
2021-04-12,8.4407
2021-04-13,8.3564
2021-04-14,8.4782
2021-04-15,8.5333
2021-04-16,8.6499
2021-04-17,8.6499
2021-04-18,8.6499
2021-04-19,8.5347
2021-04-20,8.2468
2021-04-21,8.4244
2021-04-22,8.3599
2021-04-23,8.5392
2021-04-24,8.5392
2021-04-25,8.5392
2021-04-26,8.7082
2021-04-27,8.6735
2021-04-28,9.0693
2021-04-29,9.2035
2021-04-30,9.1168
2021-05-01,9.1168
2021-05-02,9.1168
2021-05-03,9.1421
2021-05-04,8.9933
2021-05-05,9.1355
2021-05-06,9.225
2021-05-07,9.1817
2021-05-08,9.1817
2021-05-09,9.1817
2021-05-10,8.9745
2021-05-11,8.7686
2021-05-12,8.3846
2021-05-13,8.6335
2021-05-14,8.9204
2021-05-15,8.9204
2021-05-16,8.9204
2021-05-17,9.1114
2021-05-18,9.214
2021-05-19,9.0053
2021-05-20,9.2656
2021-05-21,9.2472
2021-05-22,9.2472
2021-05-23,9.2472
2021-05-24,9.2843
2021-05-25,9.0927
2021-05-26,9.2174
2021-05-27,9.276
2021-05-28,9.3775
2021-05-29,9.3775
2021-05-30,9.3775
2021-05-31,9.3775
2021-06-01,9.5817
2021-06-02,9.878
2021-06-03,9.9646
2021-06-04,9.8288
2021-06-05,9.8288
2021-06-06,9.8288
2021-06-07,9.7141
2021-06-08,9.9026
2021-06-09,9.6548
2021-06-10,9.7425
2021-06-11,9.8111
2021-06-12,9.8111
2021-06-13,9.8111
2021-06-14,9.6815
2021-06-15,9.6323
2021-06-16,9.5124
2021-06-17,9.2195
2021-06-18,8.7669
2021-06-19,8.7669
2021-06-20,8.7669
2021-06-21,9.015
2021-06-22,9.1284
2021-06-23,9.1363
2021-06-24,9.1374
2021-06-25,9.1547
2021-06-26,9.1547
2021-06-27,9.1547
2021-06-28,9.1582
2021-06-29,9.0379
2021-06-30,6.9785
2021-07-01,6.9517
2021-07-02,6.8949
2021-07-03,6.8949
2021-07-04,6.8949
2021-07-05,6.8949
2021-07-06,6.8257
2021-07-07,6.8439
2021-07-08,6.6741
2021-07-09,6.9392
2021-07-10,6.9392
2021-07-11,6.9392
2021-07-12,7.0806
2021-07-13,6.953
2021-07-14,6.7377
2021-07-15,6.6458
2021-07-16,6.5635
2021-07-17,6.5635
2021-07-18,6.5635
2021-07-19,6.2685
2021-07-20,6.4692
2021-07-21,6.6322
2021-07-22,6.5768
2021-07-23,6.646
2021-07-24,6.646
2021-07-25,6.646
2021-07-26,6.6791
2021-07-27,6.5887
2021-07-28,6.7507
2021-07-29,6.8819
2021-07-30,6.9358
2021-07-31,6.9358
2021-08-01,6.9358
2021-08-02,6.9749
2021-08-03,7.0785
2021-08-04,7.1657
2021-08-05,7.8052
2021-08-06,7.8894
2021-08-07,7.8894
2021-08-08,7.8894
2021-08-09,7.8899
2021-08-10,7.8459
2021-08-11,7.8396
2021-08-12,7.88
2021-08-13,7.9
2021-08-14,7.9
2021-08-15,7.9
2021-08-16,7.8946
2021-08-17,7.9149
2021-08-18,7.692
2021-08-19,7.5451
2021-08-20,7.531
2021-08-21,7.531
2021-08-22,7.531
2021-08-23,7.7131
2021-08-24,7.7855
2021-08-25,7.8664
2021-08-26,7.6584
2021-08-27,8.0024
2021-08-28,8.0024
2021-08-29,8.0024
2021-08-30,7.8503
2021-08-31,7.8899
2021-09-01,7.9396
2021-09-02,8.0487
2021-09-03,8.0016
2021-09-04,8.0016
2021-09-05,8.0016
2021-09-06,8.0016
2021-09-07,7.9201
2021-09-08,7.9016
2021-09-09,7.9852
2021-09-10,7.8894
2021-09-11,7.8894
2021-09-12,7.8894
2021-09-13,7.9993
2021-09-14,7.9636
2021-09-15,8.162
2021-09-16,8.2196
2021-09-17,8.1222
2021-09-18,8.1222
2021-09-19,8.1222
2021-09-20,7.655
2021-09-21,7.6576
2021-09-22,7.8625
2021-09-23,8.1326
2021-09-24,8.1761
2021-09-25,8.1761
2021-09-26,8.1761
2021-09-27,8.1771
2021-09-28,7.8972
2021-09-29,7.8675
2021-09-30,6.4521
2021-10-01,6.5532
2021-10-02,6.5532
2021-10-03,6.5532
2021-10-04,6.5681
2021-10-05,6.7045
2021-10-06,6.6504
2021-10-07,6.707
2021-10-08,6.7832
2021-10-09,6.7832
2021-10-10,6.7832
2021-10-11,6.6118
2021-10-12,6.4539
2021-10-13,6.4449
2021-10-14,6.6795
2021-10-15,6.7077
2021-10-16,6.7077
2021-10-17,6.7077
2021-10-18,6.6285
2021-10-19,6.7936
2021-10-20,6.7368
2021-10-21,6.6978
2021-10-22,6.7853
2021-10-23,6.7853
2021-10-24,6.7853
2021-10-25,6.9626
2021-10-26,6.9414
2021-10-27,6.4298
2021-10-28,6.472
2021-10-29,6.6705
2021-10-30,6.6705
2021-10-31,6.6705
2021-11-01,6.7289
2021-11-02,6.7329
2021-11-03,6.8608
2021-11-04,6.8164
2021-11-05,6.8739
2021-11-06,6.8739
