,ZUMZ US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.2488
2020-01-02,12.1146
2020-01-03,12.037
2020-01-04,12.037
2020-01-05,12.037
2020-01-06,12.21
2020-01-07,12.1414
2020-01-08,12.2309
2020-01-09,12.0773
2020-01-10,12.0221
2020-01-11,12.0221
2020-01-12,12.0221
2020-01-13,11.8014
2020-01-14,12.2637
2020-01-15,12.0609
2020-01-16,12.2995
2020-01-17,12.2458
2020-01-18,12.2458
2020-01-19,12.2458
2020-01-20,12.2458
2020-01-21,11.8521
2020-01-22,11.5867
2020-01-23,11.5748
2020-01-24,11.5211
2020-01-25,11.5211
2020-01-26,11.5211
2020-01-27,11.4704
2020-01-28,11.6076
2020-01-29,11.6255
2020-01-30,11.6911
2020-01-31,9.2199
2020-02-01,9.2199
2020-02-02,9.2199
2020-02-03,9.5954
2020-02-04,9.4738
2020-02-05,9.6166
2020-02-06,9.5848
2020-02-07,9.4076
2020-02-08,9.4076
2020-02-09,9.4076
2020-02-10,9.4711
2020-02-11,9.6562
2020-02-12,10.0344
2020-02-13,9.9286
2020-02-14,9.6007
2020-02-15,9.6007
2020-02-16,9.6007
2020-02-17,9.6007
2020-02-18,9.5425
2020-02-19,9.4394
2020-02-20,9.5161
2020-02-21,9.286
2020-02-22,9.286
2020-02-23,9.286
2020-02-24,9.1062
2020-02-25,8.7862
2020-02-26,8.6011
2020-02-27,8.1621
2020-02-28,7.9928
2020-02-29,7.9928
2020-03-01,7.9928
2020-03-02,7.7813
2020-03-03,7.5988
2020-03-04,7.8289
2020-03-05,7.6702
2020-03-06,7.5988
2020-03-07,7.5988
2020-03-08,7.5988
2020-03-09,7.4084
2020-03-10,6.8213
2020-03-11,6.5145
2020-03-12,5.8323
2020-03-13,6.0487
2020-03-14,6.0487
2020-03-15,6.0487
2020-03-16,5.8964
2020-03-17,5.5737
2020-03-18,5.4758
2020-03-19,6.0762
2020-03-20,5.7112
2020-03-21,5.7112
2020-03-22,5.7112
2020-03-23,5.5314
2020-03-24,6.2243
2020-03-25,6.0947
2020-03-26,5.9069
2020-03-27,5.5975
2020-03-28,5.5975
2020-03-29,5.5975
2020-03-30,5.5869
2020-03-31,5.5578
2020-04-01,4.9151
2020-04-02,4.8173
2020-04-03,4.8199
2020-04-04,4.8199
2020-04-05,4.8199
2020-04-06,5.4996
2020-04-07,6.0445
2020-04-08,6.4914
2020-04-09,6.7639
2020-04-10,6.7639
2020-04-11,6.7639
2020-04-12,6.7639
2020-04-13,6.5919
2020-04-14,6.6634
2020-04-15,6.4888
2020-04-16,6.3645
2020-04-17,6.7004
2020-04-18,6.7004
2020-04-19,6.7004
2020-04-20,6.3777
2020-04-21,6.2428
2020-04-22,5.9307
2020-04-23,5.8884
2020-04-24,5.8703
2020-04-25,5.8703
2020-04-26,5.8703
2020-04-27,6.4693
2020-04-28,6.5709
2020-04-29,6.8756
2020-04-30,6.4823
2020-05-01,9.6741
2020-05-02,9.6741
2020-05-03,9.6741
2020-05-04,9.3224
2020-05-05,9.1743
2020-05-06,8.9633
2020-05-07,8.904
2020-05-08,9.3335
2020-05-09,9.3335
2020-05-10,9.3335
2020-05-11,9.4557
2020-05-12,8.941
2020-05-13,8.6041
2020-05-14,8.4819
2020-05-15,8.8522
2020-05-16,8.8522
2020-05-17,8.8522
2020-05-18,9.4705
2020-05-19,9.2039
2020-05-20,9.1965
2020-05-21,9.8777
2020-05-22,9.7
2020-05-23,9.7
2020-05-24,9.7
2020-05-25,9.7
2020-05-26,10.4368
2020-05-27,11.1588
2020-05-28,10.9403
2020-05-29,10.8145
2020-05-30,10.8145
2020-05-31,10.8145
2020-06-01,10.9329
2020-06-02,11.5105
2020-06-03,12.0436
2020-06-04,12.6116
2020-06-05,12.7079
2020-06-06,12.7079
2020-06-07,12.7079
2020-06-08,12.9746
2020-06-09,12.4633
2020-06-10,11.8445
2020-06-11,11.2405
2020-06-12,11.5369
2020-06-13,11.5369
2020-06-14,11.5369
2020-06-15,11.7593
2020-06-16,12.2669
2020-06-17,11.8297
2020-06-18,12.1669
2020-06-19,11.7
2020-06-20,11.7
2020-06-21,11.7
2020-06-22,12.2002
2020-06-23,12.178
2020-06-24,11.6129
2020-06-25,11.4258
2020-06-26,11.3961
2020-06-27,11.3961
2020-06-28,11.3961
