,TVTY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.2467
2020-01-02,14.3585
2020-01-03,14.2384
2020-01-04,14.2384
2020-01-05,14.2384
2020-01-06,14.5386
2020-01-07,14.3752
2020-01-08,14.6954
2020-01-09,14.7188
2020-01-10,15.0824
2020-01-11,15.0824
2020-01-12,15.0824
2020-01-13,15.3793
2020-01-14,15.5595
2020-01-15,15.8164
2020-01-16,16.0833
2020-01-17,15.9865
2020-01-18,15.9865
2020-01-19,15.9865
2020-01-20,15.9865
2020-01-21,15.8264
2020-01-22,15.7096
2020-01-23,15.6629
2020-01-24,15.5628
2020-01-25,15.5628
2020-01-26,15.5628
2020-01-27,15.1892
2020-01-28,15.0991
2020-01-29,14.9089
2020-01-30,14.8656
2020-01-31,14.6804
2020-02-01,14.6804
2020-02-02,14.6804
2020-02-03,14.6487
2020-02-04,14.7755
2020-02-05,15.1024
2020-02-06,15.0924
2020-02-07,14.979
2020-02-08,14.979
2020-02-09,14.979
2020-02-10,15.0391
2020-02-11,15.2159
2020-02-12,15.4994
2020-02-13,15.1491
2020-02-14,14.9456
2020-02-15,14.9456
2020-02-16,14.9456
2020-02-17,14.9456
2020-02-18,15.0858
2020-02-19,15.1091
2020-02-20,11.6437
2020-02-21,11.4763
2020-02-22,11.4763
2020-02-23,11.4763
2020-02-24,11.8144
2020-02-25,11.9316
2020-02-26,11.5232
2020-02-27,11.4797
2020-02-28,11.725
2020-02-29,11.725
2020-03-01,11.725
2020-03-02,11.9371
2020-03-03,11.4523
2020-03-04,11.4994
2020-03-05,11.3749
2020-03-06,11.1325
2020-03-07,11.1325
2020-03-08,11.1325
2020-03-09,10.4524
2020-03-10,10.4894
2020-03-11,10.1191
2020-03-12,9.1192
2020-03-13,8.9273
2020-03-14,8.9273
2020-03-15,8.9273
2020-03-16,8.5233
2020-03-17,8.5233
2020-03-18,8.3617
2020-03-19,8.4997
2020-03-20,8.7522
2020-03-21,8.7522
2020-03-22,8.7522
2020-03-23,8.9138
2020-03-24,9.3818
2020-03-25,9.8834
2020-03-26,9.779
2020-03-27,9.8396
2020-03-28,9.8396
2020-03-29,9.8396
2020-03-30,9.6242
2020-03-31,9.0466
2020-04-01,8.7157
2020-04-02,8.6638
2020-04-03,8.5405
2020-04-04,8.5405
2020-04-05,8.5405
2020-04-06,8.7482
2020-04-07,8.8297
2020-04-08,9.0341
2020-04-09,9.1152
2020-04-10,9.1152
2020-04-11,9.1152
2020-04-12,9.1152
2020-04-13,9.0828
2020-04-14,9.2061
2020-04-15,9.0795
2020-04-16,9.0276
2020-04-17,9.1931
2020-04-18,9.1931
2020-04-19,9.1931
2020-04-20,9.2093
2020-04-21,9.1964
2020-04-22,9.2223
2020-04-23,9.3846
2020-04-24,9.3294
2020-04-25,9.3294
2020-04-26,9.3294
2020-04-27,9.4884
2020-04-28,9.6263
2020-04-29,10.0822
2020-04-30,9.9167
2020-05-01,9.9557
2020-05-02,9.9557
2020-05-03,9.9557
2020-05-04,9.7447
2020-05-05,10.1374
2020-05-06,10.1925
2020-05-07,10.6923
2020-05-08,10.3349
2020-05-09,10.3349
2020-05-10,10.3349
2020-05-11,10.0491
2020-05-12,10.2505
2020-05-13,9.7666
2020-05-14,9.8283
2020-05-15,9.8153
2020-05-16,9.8153
2020-05-17,9.8153
2020-05-18,10.153
2020-05-19,9.9809
2020-05-20,10.153
2020-05-21,10.3057
2020-05-22,10.1823
2020-05-23,10.1823
2020-05-24,10.1823
2020-05-25,10.1823
2020-05-26,10.205
2020-05-27,10.6727
2020-05-28,10.4746
2020-05-29,10.4648
2020-05-30,10.4648
2020-05-31,10.4648
2020-06-01,10.611
2020-06-02,10.6174
2020-06-03,10.6564
2020-06-04,10.5168
2020-06-05,10.7019
2020-06-06,10.7019
2020-06-07,10.7019
2020-06-08,10.7733
2020-06-09,10.6921
2020-06-10,10.5752
2020-06-11,10.14
2020-06-12,10.3057
2020-06-13,10.3057
2020-06-14,10.3057
2020-06-15,10.4031
2020-06-16,10.6532
2020-06-17,10.3999
2020-06-18,10.4908
2020-06-19,10.5038
2020-06-20,10.5038
2020-06-21,10.5038
2020-06-22,10.5395
2020-06-23,10.6239
2020-06-24,10.507
2020-06-25,10.5947
2020-06-26,10.585
2020-06-27,10.585
2020-06-28,10.585
2020-06-29,10.6207
2020-06-30,9.917
2020-07-01,9.8858
2020-07-02,9.892
2020-07-03,9.892
2020-07-04,9.892
2020-07-05,9.892
2020-07-06,10.0076
2020-07-07,9.967
2020-07-08,9.892
2020-07-09,9.7483
2020-07-10,9.8764
2020-07-11,9.8764
2020-07-12,9.8764
2020-07-13,9.9701
2020-07-14,10.0857
2020-07-15,10.3043
2020-07-16,10.3074
2020-07-17,10.4074
2020-07-18,10.4074
2020-07-19,10.4074
2020-07-20,10.348
2020-07-21,10.4324
2020-07-22,10.3543
2020-07-23,10.2965
2020-07-24,10.2387
2020-07-25,10.2387
2020-07-26,10.2387
2020-07-27,10.3012
2020-07-28,10.3543
2020-07-29,10.6322
2020-07-30,10.601
2020-07-31,10.4761
2020-08-01,10.4761
2020-08-02,10.4761
2020-08-03,10.5885
2020-08-04,10.6416
2020-08-05,10.6291
2020-08-06,11.7192
2020-08-07,11.4803
2020-08-08,11.4803
2020-08-09,11.4803
2020-08-10,11.5397
2020-08-11,11.596
2020-08-12,11.8525
2020-08-13,11.8025
2020-08-14,11.7743
2020-08-15,11.7743
2020-08-16,11.7743
2020-08-17,11.7493
2020-08-18,11.8838
2020-08-19,11.9401
2020-08-20,11.8275
2020-08-21,11.8056
2020-08-22,11.8056
2020-08-23,11.8056
2020-08-24,11.5303
2020-08-25,11.6022
2020-08-26,11.499
2020-08-27,11.4271
2020-08-28,11.4239
2020-08-29,11.4239
2020-08-30,11.4239
2020-08-31,11.4959
2020-09-01,11.4239
2020-09-02,11.6554
2020-09-03,11.4146
2020-09-04,11.3395
2020-09-05,11.3395
2020-09-06,11.3395
2020-09-07,11.3395
2020-09-08,11.2926
2020-09-09,11.3958
2020-09-10,11.4271
2020-09-11,10.9031
2020-09-12,10.9031
2020-09-13,10.9031
2020-09-14,10.9172
2020-09-15,10.8171
2020-09-16,10.7889
2020-09-17,10.7483
2020-09-18,10.7107
2020-09-19,10.7107
2020-09-20,10.7107
2020-09-21,10.8296
2020-09-22,10.8515
2020-09-23,10.6732
2020-09-24,10.6341
2020-09-25,10.6857
2020-09-26,10.6857
2020-09-27,10.6857
2020-09-28,10.767
2020-09-29,10.7576
2020-09-30,11.1062
2020-10-01,11.3009
2020-10-02,11.3108
2020-10-03,11.3108
2020-10-04,11.3108
2020-10-05,11.5286
2020-10-06,11.3867
2020-10-07,11.621
2020-10-08,11.588
2020-10-09,11.5286
2020-10-10,11.5286
2020-10-11,11.5286
2020-10-12,11.5946
2020-10-13,11.6012
2020-10-14,11.5847
2020-10-15,11.6804
2020-10-16,11.5715
2020-10-17,11.5715
2020-10-18,11.5715
2020-10-19,11.654
2020-10-20,11.3867
2020-10-21,11.0699
2020-10-22,11.017
2020-10-23,11.3042
2020-10-24,11.3042
2020-10-25,11.3042
2020-10-26,11.2943
2020-10-27,11.2481
2020-10-28,11.1161
2020-10-29,11.0401
2020-10-30,11.017
2020-10-31,11.017
2020-11-01,11.017
2020-11-02,11.2844
2020-11-03,11.4725
2020-11-04,11.4032
2020-11-05,11.5022
2020-11-06,11.0821
2020-11-07,11.0821
