,MAT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,106.2988
2020-01-02,105.0042
2020-01-03,105.9434
2020-01-04,105.9434
2020-01-05,105.9434
2020-01-06,108.9387
2020-01-07,109.4972
2020-01-08,109.2433
2020-01-09,109.9033
2020-01-10,108.9387
2020-01-11,108.9387
2020-01-12,108.9387
2020-01-13,110.7663
2020-01-14,112.0355
2020-01-15,108.5833
2020-01-16,108.6341
2020-01-17,110.0048
2020-01-18,110.0048
2020-01-19,110.0048
2020-01-20,110.0048
2020-01-21,110.3602
2020-01-22,110.5633
2020-01-23,110.8425
2020-01-24,110.0048
2020-01-25,110.0048
2020-01-26,110.0048
2020-01-27,109.1925
2020-01-28,111.1725
2020-01-29,111.2232
2020-01-30,111.6294
2020-01-31,111.7817
2020-02-01,111.7817
2020-02-02,111.7817
2020-02-03,110.7663
2020-02-04,110.4617
2020-02-05,109.5479
2020-02-06,110.1571
2020-02-07,108.9895
2020-02-08,108.9895
2020-02-09,108.9895
2020-02-10,110.0048
2020-02-11,110.0556
2020-02-12,111.1725
2020-02-13,110.614
2020-02-14,108.3295
2020-02-15,108.3295
2020-02-16,108.3295
2020-02-17,108.3295
2020-02-18,105.0042
2020-02-19,103.8112
2020-02-20,104.7758
2020-02-21,103.202
2020-02-22,103.202
2020-02-23,103.202
2020-02-24,100.5113
2020-02-25,97.8968
2020-02-26,96.6794
2020-02-27,96.07
2020-02-28,97.3905
2020-02-29,97.3905
2020-03-01,97.3905
2020-03-02,98.2539
2020-03-03,97.6953
2020-03-04,102.3934
2020-03-05,101.3014
2020-03-06,96.781
2020-03-07,96.781
2020-03-08,96.781
2020-03-09,89.4164
2020-03-10,88.6038
2020-03-11,82.966
2020-03-12,77.6331
2020-03-13,79.4107
2020-03-14,79.4107
2020-03-15,79.4107
2020-03-16,77.4299
2020-03-17,81.7471
2020-03-18,80.8836
2020-03-19,80.6805
2020-03-20,75.1951
2020-03-21,75.1951
2020-03-22,75.1951
2020-03-23,74.2301
2020-03-24,78.9028
2020-03-25,80.8836
2020-03-26,83.5247
