,NSP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.8189
2020-01-02,18.0465
2020-01-03,17.9137
2020-01-04,17.9137
2020-01-05,17.9137
2020-01-06,18.1982
2020-01-07,17.9411
2020-01-08,18.0528
2020-01-09,18.3646
2020-01-10,18.5437
2020-01-11,18.5437
2020-01-12,18.5437
2020-01-13,18.6722
2020-01-14,18.8239
2020-01-15,19.0725
2020-01-16,19.4497
2020-01-17,19.3233
2020-01-18,19.3233
2020-01-19,19.3233
2020-01-20,19.3233
2020-01-21,19.2664
2020-01-22,19.2158
2020-01-23,19.2221
2020-01-24,19.0346
2020-01-25,19.0346
2020-01-26,19.0346
2020-01-27,18.7586
2020-01-28,18.885
2020-01-29,18.5037
2020-01-30,18.5121
2020-01-31,18.0991
2020-02-01,18.0991
2020-02-02,18.0991
2020-02-03,18.4363
2020-02-04,18.6954
2020-02-05,18.826
2020-02-06,18.4826
2020-02-07,18.0402
2020-02-08,18.0402
2020-02-09,18.0402
2020-02-10,17.9053
2020-02-11,18.4594
2020-02-12,14.5518
2020-02-13,14.8402
2020-02-14,14.9397
2020-02-15,14.9397
2020-02-16,14.9397
2020-02-17,14.9397
2020-02-18,14.7095
2020-02-19,14.5663
2020-02-20,14.7758
2020-02-21,14.614
2020-02-22,14.614
2020-02-23,14.614
2020-02-24,14.4709
2020-02-25,14.0726
2020-02-26,13.7698
2020-02-27,13.5457
2020-02-28,13.6453
2020-02-29,13.6453
2020-03-01,13.6453
2020-03-02,14.0892
2020-03-03,13.3632
2020-03-04,13.6806
2020-03-05,13.0209
2020-03-06,13.1288
2020-03-07,13.1288
2020-03-08,13.1288
2020-03-09,12.4733
2020-03-10,12.5978
2020-03-11,11.5398
2020-03-12,10.1168
2020-03-13,10.3616
2020-03-14,10.3616
2020-03-15,10.3616
2020-03-16,8.1835
2020-03-17,7.5446
2020-03-18,5.1072
2020-03-19,6.4659
2020-03-20,6.1112
2020-03-21,6.1112
2020-03-22,6.1112
2020-03-23,5.9017
2020-03-24,6.9969
2020-03-25,6.9223
2020-03-26,7.8433
2020-03-27,7.7354
2020-03-28,7.7354
2020-03-29,7.7354
2020-03-30,7.4823
2020-03-31,7.9169
2020-04-01,7.2451
2020-04-02,7.5958
2020-04-03,6.5923
2020-04-04,6.5923
2020-04-05,6.5923
2020-04-06,7.1711
2020-04-07,7.7479
2020-04-08,8.4578
2020-04-09,8.648
2020-04-10,8.648
2020-04-11,8.648
2020-04-12,8.648
2020-04-13,8.4198
2020-04-14,8.817
