,COP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.1783
2020-01-02,9.233
2020-01-03,9.2636
2020-01-04,9.2636
2020-01-05,9.2636
2020-01-06,9.3628
2020-01-07,9.3628
2020-01-08,9.1669
2020-01-09,9.3107
2020-01-10,9.2279
2020-01-11,9.2279
2020-01-12,9.2279
2020-01-13,9.191
2020-01-14,9.1923
2020-01-15,9.1745
2020-01-16,9.1834
2020-01-17,9.1834
2020-01-18,9.1834
2020-01-19,9.1834
2020-01-20,9.1834
2020-01-21,9.051
2020-01-22,8.9212
2020-01-23,8.9378
2020-01-24,8.8716
2020-01-25,8.8716
2020-01-26,8.8716
2020-01-27,8.6705
2020-01-28,8.6883
2020-01-29,8.6005
2020-01-30,8.6514
2020-01-31,8.4656
2020-02-01,8.4656
2020-02-02,8.4656
2020-02-03,8.4338
2020-02-04,8.0915
2020-02-05,8.3829
2020-02-06,8.3358
2020-02-07,8.2824
2020-02-08,8.2824
2020-02-09,8.2824
2020-02-10,8.2671
2020-02-11,8.374
2020-02-12,8.5076
2020-02-13,8.388
2020-02-14,8.3625
2020-02-15,8.3625
2020-02-16,8.3625
2020-02-17,8.3625
2020-02-18,8.2127
2020-02-19,8.3331
2020-02-20,8.2854
2020-02-21,8.2303
2020-02-22,8.2303
2020-02-23,8.2303
2020-02-24,7.972
2020-02-25,7.6522
2020-02-26,7.3187
2020-02-27,6.8121
2020-02-28,6.9738
2020-02-29,6.9738
2020-03-01,6.9738
2020-03-02,7.0754
2020-03-03,6.9362
2020-03-04,7.1005
2020-03-05,6.8836
2020-03-06,6.5864
2020-03-07,6.5864
2020-03-08,6.5864
2020-03-09,5.1745
2020-03-10,5.276
2020-03-11,4.9851
2020-03-12,4.4384
2020-03-13,4.8372
2020-03-14,4.8372
2020-03-15,4.8372
2020-03-16,4.1726
2020-03-17,4.1939
2020-03-18,3.745
2020-03-19,4.1111
2020-03-20,4.2679
2020-03-21,4.2679
2020-03-22,4.2679
2020-03-23,3.9807
2020-03-24,4.7569
2020-03-25,4.782
2020-03-26,4.9262
2020-03-27,4.5701
2020-03-28,4.5701
2020-03-29,4.5701
2020-03-30,4.5751
2020-03-31,6.3175
2020-04-01,6.119
2020-04-02,6.8323
2020-04-03,6.6725
2020-04-04,6.6725
2020-04-05,6.6725
2020-04-06,6.654
2020-04-07,6.733
2020-04-08,7.1385
2020-04-09,6.9787
2020-04-10,6.9787
2020-04-11,6.9787
2020-04-12,6.9787
2020-04-13,6.9063
2020-04-14,6.8693
2020-04-15,6.553
2020-04-16,6.3629
2020-04-17,7.0678
2020-04-18,7.0678
2020-04-19,7.0678
2020-04-20,6.9517
2020-04-21,6.7196
2020-04-22,7.0207
2020-04-23,7.2226
2020-04-24,7.2074
2020-04-25,7.2074
2020-04-26,7.2074
2020-04-27,7.3858
2020-04-28,7.6095
2020-04-29,8.237
2020-04-30,8.2185
2020-05-01,7.7206
2020-05-02,7.7206
2020-05-03,7.7206
2020-05-04,7.9258
2020-05-05,7.9917
2020-05-06,7.9196
2020-05-07,8.243
2020-05-08,8.3536
2020-05-09,8.3536
2020-05-10,8.3536
2020-05-11,8.2178
2020-05-12,8.1022
2020-05-13,7.8191
2020-05-14,7.8258
2020-05-15,7.9833
2020-05-16,7.9833
2020-05-17,7.9833
2020-05-18,8.4407
2020-05-19,8.2849
2020-05-20,8.5328
2020-05-21,8.4608
2020-05-22,8.3871
2020-05-23,8.3871
2020-05-24,8.3871
2020-05-25,8.3871
2020-05-26,8.4524
2020-05-27,8.6199
2020-05-28,8.3418
2020-05-29,8.2028
2020-05-30,8.2028
2020-05-31,8.2028
2020-06-01,8.4055
2020-06-02,8.5412
2020-06-03,8.6953
