,HBI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.0466
2020-01-02,9.9327
2020-01-03,9.8677
2020-01-04,9.8677
2020-01-05,9.8677
2020-01-06,9.9734
2020-01-07,9.9327
2020-01-08,9.8596
2020-01-09,9.7213
2020-01-10,9.636
2020-01-11,9.636
2020-01-12,9.636
2020-01-13,9.7579
2020-01-14,9.8108
2020-01-15,9.7051
2020-01-16,9.8189
2020-01-17,9.8311
2020-01-18,9.8311
2020-01-19,9.8311
2020-01-20,9.8311
2020-01-21,9.7945
2020-01-22,9.8352
2020-01-23,9.8799
2020-01-24,9.8026
2020-01-25,9.8026
2020-01-26,9.8026
2020-01-27,9.7173
2020-01-28,9.7945
2020-01-29,9.8392
2020-01-30,9.8108
2020-01-31,9.6034
2020-02-01,9.6034
2020-02-02,9.6034
2020-02-03,9.4449
2020-02-04,9.64
2020-02-05,9.9653
2020-02-06,9.8718
2020-02-07,9.7823
2020-02-08,9.7823
2020-02-09,9.7823
2020-02-10,9.6563
2020-02-11,9.8555
2020-02-12,10.0266
2020-02-13,9.8718
2020-02-14,9.8352
2020-02-15,9.8352
2020-02-16,9.8352
2020-02-17,9.8352
2020-02-18,9.9207
2020-02-19,9.8311
2020-02-20,10.0063
2020-02-21,9.9126
2020-02-22,9.9126
2020-02-23,9.9126
2020-02-24,9.7455
2020-02-25,9.4767
2020-02-26,9.1711
2020-02-27,9.2485
2020-02-28,9.4033
2020-02-29,9.4033
2020-03-01,9.4033
2020-03-02,9.4522
2020-03-03,9.0408
2020-03-04,9.22
2020-03-05,9.0611
2020-03-06,8.9063
2020-03-07,8.9063
2020-03-08,8.9063
2020-03-09,8.5967
2020-03-10,8.6212
2020-03-11,8.1527
2020-03-12,7.7983
2020-03-13,7.9531
2020-03-14,7.9531
2020-03-15,7.9531
2020-03-16,7.4235
2020-03-17,8.002
2020-03-18,7.6097
2020-03-19,7.7062
2020-03-20,7.6218
2020-03-21,7.6218
2020-03-22,7.6218
2020-03-23,7.6218
2020-03-24,7.6298
2020-03-25,7.5976
2020-03-26,7.6097
2020-03-27,8.6668
2020-03-28,8.6668
2020-03-29,8.6668
2020-03-30,8.6077
2020-03-31,8.5214
2020-04-01,8.3034
2020-04-02,8.2399
2020-04-03,8.2035
2020-04-04,8.2035
2020-04-05,8.2035
2020-04-06,8.6032
2020-04-07,8.744
2020-04-08,9.13
2020-04-09,9.2935
2020-04-10,9.2935
2020-04-11,9.2935
2020-04-12,9.2935
2020-04-13,9.1936
2020-04-14,9.2481
2020-04-15,8.9847
2020-04-16,8.8893
2020-04-17,9.13
2020-04-18,9.13
2020-04-19,9.13
2020-04-20,8.9392
2020-04-21,8.8893
2020-04-22,8.7485
2020-04-23,8.7122
2020-04-24,8.7803
2020-04-25,8.7803
2020-04-26,8.7803
2020-04-27,9.1164
2020-04-28,9.3752
2020-04-29,9.6659
2020-04-30,9.3373
2020-05-01,9.1783
2020-05-02,9.1783
2020-05-03,9.1783
2020-05-04,9.1474
2020-05-05,9.3859
2020-05-06,9.1871
2020-05-07,9.0591
2020-05-08,9.1297
2020-05-09,9.1297
2020-05-10,9.1297
2020-05-11,8.9089
2020-05-12,8.7676
2020-05-13,8.5909
