,SON US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.203
2020-01-02,17.0229
2020-01-03,16.9072
2020-01-04,16.9072
2020-01-05,16.9072
2020-01-06,16.6779
2020-01-07,16.4529
2020-01-08,16.4015
2020-01-09,16.4036
2020-01-10,16.4422
2020-01-11,16.4422
2020-01-12,16.4422
2020-01-13,16.6136
2020-01-14,16.7272
2020-01-15,16.7358
2020-01-16,16.8815
2020-01-17,16.7765
2020-01-18,16.7765
2020-01-19,16.7765
2020-01-20,16.7765
2020-01-21,16.7272
2020-01-22,16.6222
2020-01-23,16.7058
2020-01-24,16.5708
2020-01-25,16.5708
2020-01-26,16.5708
2020-01-27,16.5429
2020-01-28,16.4872
2020-01-29,16.4593
2020-01-30,16.4379
2020-01-31,16.2214
2020-02-01,16.2214
2020-02-02,16.2214
2020-02-03,16.3629
2020-02-04,16.5043
2020-02-05,16.7015
2020-02-06,16.6243
2020-02-07,16.3907
2020-02-08,16.3907
2020-02-09,16.3907
2020-02-10,16.185
2020-02-11,16.1229
2020-02-12,16.1486
2020-02-13,16.3222
2020-02-14,16.1486
2020-02-15,16.1486
2020-02-16,16.1486
2020-02-17,16.1486
2020-02-18,16.1357
2020-02-19,16.08
2020-02-20,16.1914
2020-02-21,16.23
2020-02-22,16.23
2020-02-23,16.23
2020-02-24,15.6514
2020-02-25,15.1263
2020-02-26,15.0256
2020-02-27,14.6656
2020-02-28,14.3239
2020-02-29,14.3239
2020-03-01,14.3239
2020-03-02,14.8584
2020-03-03,14.8262
2020-03-04,15.1975
2020-03-05,14.779
2020-03-06,14.8348
2020-03-07,14.8348
2020-03-08,14.8348
2020-03-09,14.2617
2020-03-10,14.8648
2020-03-11,14.2102
2020-03-12,13.4782
2020-03-13,14.0833
2020-03-14,14.0833
2020-03-15,14.0833
2020-03-16,12.8201
2020-03-17,14.1219
2020-03-18,12.8717
2020-03-19,12.7815
2020-03-20,13.0564
2020-03-21,13.0564
2020-03-22,13.0564
2020-03-23,12.122
2020-03-24,13.0371
2020-03-25,12.8889
2020-03-26,13.4259
2020-03-27,12.6596
2020-03-28,12.6596
2020-03-29,12.6596
2020-03-30,13.6018
2020-03-31,13.4806
2020-04-01,13.2989
2020-04-02,13.3783
2020-04-03,13.0816
2020-04-04,13.0816
2020-04-05,13.0816
2020-04-06,13.7439
2020-04-07,13.654
2020-04-08,14.0719
2020-04-09,14.3539
2020-04-10,14.3539
2020-04-11,14.3539
2020-04-12,14.3539
2020-04-13,14.1115
2020-04-14,14.3142
2020-04-15,13.9674
2020-04-16,13.7564
2020-04-17,14.2118
2020-04-18,14.2118
2020-04-19,14.2118
2020-04-20,13.7
2020-04-21,13.5162
2020-04-22,13.6248
2020-04-23,13.5914
2020-04-24,13.6185
2020-04-25,13.6185
2020-04-26,13.6185
2020-04-27,13.9507
2020-04-28,14.122
2020-04-29,14.3706
2020-04-30,14.0008
2020-05-01,13.9862
2020-05-02,13.9862
2020-05-03,13.9862
2020-05-04,13.7648
2020-05-05,13.6352
2020-05-06,13.5383
2020-05-07,13.6532
2020-05-08,14.1629
2020-05-09,14.1629
2020-05-10,14.1629
2020-05-11,13.8329
2020-05-12,13.484
2020-05-13,13.0788
2020-05-14,13.202
2020-05-15,13.2668
2020-05-16,13.2668
2020-05-17,13.2668
2020-05-18,13.8663
2020-05-19,13.6428
2020-05-20,13.8099
2020-05-21,14.0856
2020-05-22,14.0626
2020-05-23,14.0626
2020-05-24,14.0626
2020-05-25,14.0626
