,PAG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.8096
2020-01-02,15.8006
2020-01-03,15.7626
2020-01-04,15.7626
2020-01-05,15.7626
2020-01-06,15.7056
2020-01-07,15.6526
2020-01-08,15.6196
2020-01-09,15.5507
2020-01-10,15.5687
2020-01-11,15.5687
2020-01-12,15.5687
2020-01-13,15.5876
2020-01-14,15.6126
2020-01-15,15.5886
2020-01-16,15.6416
2020-01-17,15.6086
2020-01-18,15.6086
2020-01-19,15.6086
2020-01-20,15.6086
2020-01-21,15.5796
2020-01-22,15.5996
2020-01-23,15.6956
2020-01-24,15.6196
2020-01-25,15.6196
2020-01-26,15.6196
2020-01-27,15.6076
2020-01-28,15.6166
2020-01-29,15.6456
2020-01-30,15.6026
2020-01-31,15.4847
2020-02-01,15.4847
2020-02-02,15.4847
2020-02-03,15.5197
2020-02-04,15.5077
2020-02-05,15.9665
2020-02-06,15.7996
2020-02-07,15.8176
2020-02-08,15.8176
2020-02-09,15.8176
2020-02-10,15.8356
2020-02-11,15.9505
2020-02-12,16.0045
2020-02-13,15.9975
2020-02-14,15.9685
2020-02-15,15.9685
2020-02-16,15.9685
2020-02-17,15.9685
2020-02-18,15.9725
2020-02-19,16.0385
2020-02-20,16.0845
2020-02-21,16.0883
2020-02-22,16.0883
2020-02-23,16.0883
2020-02-24,15.8837
2020-02-25,15.659
2020-02-26,15.5456
2020-02-27,15.3179
2020-02-28,15.4061
2020-02-29,15.4061
2020-03-01,15.4061
2020-03-02,15.4834
2020-03-03,15.3038
2020-03-04,15.3921
2020-03-05,15.1714
2020-03-06,15.2296
2020-03-07,15.2296
2020-03-08,15.2296
2020-03-09,14.9035
2020-03-10,15.0279
2020-03-11,14.8052
2020-03-12,14.2444
2020-03-13,14.4149
2020-03-14,14.4149
2020-03-15,14.4149
2020-03-16,13.6675
2020-03-17,13.4548
2020-03-18,12.9682
2020-03-19,13.1287
2020-03-20,12.9926
2020-03-21,12.9926
2020-03-22,12.9926
2020-03-23,12.9158
2020-03-24,13.254
2020-03-25,13.625
2020-03-26,13.623
2020-03-27,13.5452
2020-03-28,13.5452
2020-03-29,13.5452
2020-03-30,13.625
2020-03-31,14.1376
2020-04-01,13.9395
2020-04-02,13.7672
2020-04-03,13.6055
2020-04-04,13.6055
2020-04-05,13.6055
2020-04-06,13.9609
2020-04-07,14.2061
2020-04-08,14.5379
2020-04-09,14.7306
2020-04-10,14.7306
2020-04-11,14.7306
2020-04-12,14.7306
2020-04-13,14.5593
2020-04-14,14.5593
2020-04-15,14.388
2020-04-16,14.3463
2020-04-17,14.6096
2020-04-18,14.6096
2020-04-19,14.6096
2020-04-20,14.3688
2020-04-21,14.2863
2020-04-22,14.2403
2020-04-23,14.3409
2020-04-24,14.4876
2020-04-25,14.4876
2020-04-26,14.4876
2020-04-27,14.6653
2020-04-28,14.828
2020-04-29,15.1256
2020-04-30,14.9918
2020-05-01,14.7948
2020-05-02,14.7948
2020-05-03,14.7948
2020-05-04,14.8055
2020-05-05,14.767
2020-05-06,14.6659
2020-05-07,14.8352
2020-05-08,14.9736
2020-05-09,14.9736
2020-05-10,14.9736
2020-05-11,14.9204
2020-05-12,14.6989
2020-05-13,14.5296
2020-05-14,14.4423
2020-05-15,14.3997
2020-05-16,14.3997
2020-05-17,14.3997
2020-05-18,14.7234
2020-05-19,14.8054
2020-05-20,14.8064
2020-05-21,14.8458
2020-05-22,14.7702
2020-05-23,14.7702
2020-05-24,14.7702
2020-05-25,14.7702
2020-05-26,14.947
2020-05-27,15.1876
2020-05-28,15.0662
2020-05-29,14.948
2020-05-30,14.948
2020-05-31,14.948
2020-06-01,14.9725
2020-06-02,15.0961
2020-06-03,15.3388
2020-06-04,15.3697
2020-06-05,15.785
2020-06-06,15.785
2020-06-07,15.785
2020-06-08,15.8563
2020-06-09,15.7552
2020-06-10,15.5284
2020-06-11,15.1962
2020-06-12,15.3697
2020-06-13,15.3697
2020-06-14,15.3697
2020-06-15,15.4443
2020-06-16,15.4911
2020-06-17,15.3655
2020-06-18,15.4315
2020-06-19,15.2089
2020-06-20,15.2089
2020-06-21,15.2089
2020-06-22,15.2994
2020-06-23,15.4506
2020-06-24,15.1536
2020-06-25,15.1003
2020-06-26,15.0215
2020-06-27,15.0215
2020-06-28,15.0215
2020-06-29,15.2441
2020-06-30,16.3321
2020-07-01,16.3788
2020-07-02,16.4022
2020-07-03,16.4022
2020-07-04,16.4022
2020-07-05,16.4022
2020-07-06,16.5448
2020-07-07,16.4919
2020-07-08,16.6222
2020-07-09,16.4182
2020-07-10,16.6001
2020-07-11,16.6001
2020-07-12,16.6001
2020-07-13,16.5484
2020-07-14,16.7844
2020-07-15,17.0696
2020-07-16,17.2798
2020-07-17,17.2306
2020-07-18,17.2306
2020-07-19,17.2306
2020-07-20,17.1175
2020-07-21,17.238
2020-07-22,17.3818
2020-07-23,17.3707
2020-07-24,17.3228
2020-07-25,17.3228
2020-07-26,17.3228
2020-07-27,17.3671
2020-07-28,17.2921
2020-07-29,17.4445
2020-07-30,17.2822
2020-07-31,17.0747
2020-08-01,17.0747
2020-08-02,17.0747
2020-08-03,17.0673
2020-08-04,17.0796
2020-08-05,17.2575
2020-08-06,17.1974
2020-08-07,17.1741
2020-08-08,17.1741
2020-08-09,17.1741
2020-08-10,17.2759
2020-08-11,17.4073
2020-08-12,17.4883
2020-08-13,17.3704
2020-08-14,17.4318
2020-08-15,17.4318
2020-08-16,17.4318
2020-08-17,17.5153
2020-08-18,17.5815
2020-08-19,17.4674
2020-08-20,17.4159
2020-08-21,17.4686
2020-08-22,17.4686
2020-08-23,17.4686
2020-08-24,17.5423
2020-08-25,17.5484
2020-08-26,17.46
2020-08-27,17.568
2020-08-28,17.5815
2020-08-29,17.5815
2020-08-30,17.5815
2020-08-31,17.3631
2020-09-01,17.5766
2020-09-02,17.6196
2020-09-03,17.5374
2020-09-04,17.4956
2020-09-05,17.4956
2020-09-06,17.4956
2020-09-07,17.4956
2020-09-08,17.4969
2020-09-09,17.6613
2020-09-10,17.476
2020-09-11,17.4588
2020-09-12,17.4588
2020-09-13,17.4588
2020-09-14,17.5926
2020-09-15,17.676
2020-09-16,17.6343
2020-09-17,17.584
2020-09-18,17.4649
2020-09-19,17.4649
2020-09-20,17.4649
2020-09-21,17.2993
2020-09-22,17.3741
2020-09-23,17.3373
2020-09-24,17.2477
2020-09-25,17.2575
2020-09-26,17.2575
2020-09-27,17.2575
2020-09-28,17.487
2020-09-29,17.4195
2020-09-30,14.3056
2020-10-01,14.338
2020-10-02,14.5156
2020-10-03,14.5156
2020-10-04,14.5156
2020-10-05,14.7581
2020-10-06,14.9212
2020-10-07,15.0466
2020-10-08,15.1375
2020-10-09,15.1156
2020-10-10,15.1156
2020-10-11,15.1156
2020-10-12,15.0549
2020-10-13,14.8888
2020-10-14,14.824
2020-10-15,15.0643
2020-10-16,15.0863
2020-10-17,15.0863
2020-10-18,15.0863
2020-10-19,15.1762
2020-10-20,15.1877
2020-10-21,15.2107
2020-10-22,15.1051
2020-10-23,15.0863
2020-10-24,15.0863
2020-10-25,15.0863
2020-10-26,14.9786
2020-10-27,14.8635
2020-10-28,14.7099
2020-10-29,14.7643
2020-10-30,14.6712
2020-10-31,14.6712
2020-11-01,14.6712
2020-11-02,14.8186
2020-11-03,14.9984
2020-11-04,14.9984
2020-11-05,15.175
2020-11-06,15.0809
2020-11-07,15.0809
2020-11-08,15.0809
2020-11-09,15.3934
2020-11-10,15.5815
2020-11-11,15.5575
2020-11-12,15.3683
2020-11-13,15.546
2020-11-14,15.546
2020-11-15,15.546
2020-11-16,15.7372
2020-11-17,15.7174
2020-11-18,15.5575
2020-11-19,15.3913
2020-11-20,15.2638
2020-11-21,15.2638
2020-11-22,15.2638
2020-11-23,15.4822
2020-11-24,15.6442
2020-11-25,15.4896
2020-11-26,15.4896
2020-11-27,15.3798
2020-11-28,15.3798
2020-11-29,15.3798
2020-11-30,15.0799
2020-12-01,15.3276
2020-12-02,15.3391
2020-12-03,15.3903
2020-12-04,15.4415
2020-12-05,15.4415
2020-12-06,15.4415
2020-12-07,15.2795
2020-12-08,15.1812
2020-12-09,15.4728
2020-12-10,15.2722
2020-12-11,15.3809
2020-12-12,15.3809
2020-12-13,15.3809
2020-12-14,15.2502
2020-12-15,15.3986
2020-12-16,15.4195
2020-12-17,15.4613
2020-12-18,15.2993
2020-12-19,15.2993
2020-12-20,15.2993
2020-12-21,15.2492
2020-12-22,15.1781
2020-12-23,15.3997
2020-12-24,15.3537
2020-12-25,15.3537
2020-12-26,15.3537
2020-12-27,15.3537
2020-12-28,15.385
2020-12-29,15.3777
2020-12-30,15.4749
2020-12-31,14.0218
2021-01-01,14.0218
2021-01-02,14.0218
2021-01-03,14.0218
2021-01-04,13.8419
2021-01-05,13.974
2021-01-06,14.1988
2021-01-07,14.359
2021-01-08,14.3038
2021-01-09,14.3038
2021-01-10,14.3038
2021-01-11,14.36
2021-01-12,14.5408
2021-01-13,14.3506
2021-01-14,14.5249
2021-01-15,14.4921
2021-01-16,14.4921
2021-01-17,14.4921
2021-01-18,14.4921
2021-01-19,14.464
2021-01-20,14.6232
2021-01-21,14.6495
2021-01-22,14.5773
2021-01-23,14.5773
2021-01-24,14.5773
2021-01-25,14.4687
2021-01-26,14.5876
2021-01-27,14.1323
2021-01-28,14.256
2021-01-29,14.0639
2021-01-30,14.0639
2021-01-31,14.0639
2021-02-01,14.2007
2021-02-02,14.2157
2021-02-03,14.3778
2021-02-04,14.5043
2021-02-05,14.5755
2021-02-06,14.5755
2021-02-07,14.5755
2021-02-08,14.716
2021-02-09,14.6036
2021-02-10,14.6354
2021-02-11,14.582
2021-02-12,14.6542
2021-02-13,14.6542
2021-02-14,14.6542
2021-02-15,14.6542
2021-02-16,14.6195
2021-02-17,14.5258
2021-02-18,14.4162
2021-02-19,14.6425
2021-02-20,14.6425
2021-02-21,14.6425
2021-02-22,14.6809
2021-02-23,14.6725
2021-02-24,14.9687
2021-02-25,14.7447
2021-02-26,14.8309
2021-02-27,14.8309
2021-02-28,14.8309
2021-03-01,14.98
2021-03-02,14.9922
2021-03-03,15.1103
2021-03-04,15.1544
2021-03-05,15.745
2021-03-06,15.745
2021-03-07,15.745
2021-03-08,15.9634
2021-03-09,15.9166
2021-03-10,16.2794
2021-03-11,16.3563
2021-03-12,16.4088
2021-03-13,16.4088
2021-03-14,16.4088
2021-03-15,16.4294
2021-03-16,16.4078
2021-03-17,16.4294
2021-03-18,16.1866
2021-03-19,16.1399
2021-03-20,16.1399
2021-03-21,16.1399
2021-03-22,16.0107
2021-03-23,15.7742
2021-03-24,15.6563
2021-03-25,15.9363
2021-03-26,16.1474
2021-03-27,16.1474
2021-03-28,16.1474
2021-03-29,15.9551
2021-03-30,16.1946
2021-03-31,13.839
2021-04-01,13.8914
2021-04-02,13.8914
2021-04-03,13.8914
2021-04-04,13.8914
2021-04-05,13.9919
2021-04-06,13.9421
2021-04-07,13.8814
2021-04-08,13.9113
2021-04-09,14.1074
2021-04-10,14.1074
2021-04-11,14.1074
2021-04-12,14.2221
2021-04-13,14.1241
2021-04-14,14.3185
2021-04-15,14.3592
2021-04-16,14.4008
2021-04-17,14.4008
2021-04-18,14.4008
2021-04-19,14.3567
2021-04-20,14.2445
2021-04-21,14.4249
2021-04-22,14.272
2021-04-23,14.5337
2021-04-24,14.5337
2021-04-25,14.5337
2021-04-26,14.5329
2021-04-27,14.5213
2021-04-28,14.5462
2021-04-29,14.5495
2021-04-30,14.4581
2021-05-01,14.4581
2021-05-02,14.4581
2021-05-03,14.6733
2021-05-04,14.6925
2021-05-05,14.695
2021-05-06,14.847
2021-05-07,14.8271
2021-05-08,14.8271
2021-05-09,14.8271
2021-05-10,14.803
2021-05-11,14.6019
2021-05-12,14.3684
2021-05-13,14.5512
2021-05-14,14.8221
2021-05-15,14.8221
2021-05-16,14.8221
2021-05-17,14.8586
2021-05-18,14.6501
2021-05-19,14.2371
2021-05-20,14.2188
2021-05-21,14.3011
2021-05-22,14.3011
2021-05-23,14.3011
2021-05-24,14.2695
2021-05-25,14.1457
2021-05-26,14.2521
2021-05-27,14.2894
2021-05-28,14.2836
2021-05-29,14.2836
2021-05-30,14.2836
2021-05-31,14.2836
2021-06-01,14.3975
2021-06-02,14.1191
2021-06-03,14.0742
2021-06-04,13.9055
2021-06-05,13.9055
2021-06-06,13.9055
2021-06-07,13.7751
2021-06-08,13.874
2021-06-09,13.7377
2021-06-10,13.7585
2021-06-11,13.8308
