,SYF US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,6.4945
2020-01-02,6.5209
2020-01-03,6.4521
2020-01-04,6.4521
2020-01-05,6.4521
2020-01-06,6.4508
2020-01-07,6.3847
2020-01-08,6.4204
2020-01-09,6.4178
2020-01-10,6.4231
2020-01-11,6.4231
2020-01-12,6.4231
2020-01-13,6.4151
2020-01-14,6.4138
2020-01-15,6.3874
2020-01-16,6.4244
2020-01-17,6.4614
2020-01-18,6.4614
2020-01-19,6.4614
2020-01-20,6.4614
2020-01-21,6.4561
2020-01-22,6.5487
2020-01-23,6.5196
2020-01-24,5.8453
2020-01-25,5.8453
2020-01-26,5.8453
2020-01-27,5.7911
2020-01-28,5.8377
2020-01-29,5.8465
2020-01-30,5.907
2020-01-31,5.8175
2020-02-01,5.8175
2020-02-02,5.8175
2020-02-03,5.8188
2020-02-04,5.8478
2020-02-05,5.9461
2020-02-06,5.9158
2020-02-07,5.9158
2020-02-08,5.9158
2020-02-09,5.9158
2020-02-10,5.9259
2020-02-11,5.9335
2020-02-12,5.965
2020-02-13,5.9952
2020-02-14,5.9697
2020-02-15,5.9697
2020-02-16,5.9697
2020-02-17,5.9697
2020-02-18,5.9094
2020-02-19,5.922
2020-02-20,5.9559
2020-02-21,5.917
2020-02-22,5.917
2020-02-23,5.917
2020-02-24,5.7814
2020-02-25,5.5943
2020-02-26,5.573
2020-02-27,5.4588
2020-02-28,5.386
2020-02-29,5.386
2020-03-01,5.386
2020-03-02,5.5479
2020-03-03,5.3571
2020-03-04,5.5165
2020-03-05,5.406
2020-03-06,5.2793
2020-03-07,5.2793
2020-03-08,5.2793
2020-03-09,4.8738
2020-03-10,5.0307
2020-03-11,4.8073
2020-03-12,4.4533
2020-03-13,4.7621
2020-03-14,4.7621
2020-03-15,4.7621
2020-03-16,3.9737
2020-03-17,3.9248
2020-03-18,3.4816
2020-03-19,3.5657
2020-03-20,3.4164
2020-03-21,3.4164
2020-03-22,3.4164
2020-03-23,3.3398
2020-03-24,3.5833
2020-03-25,3.8243
2020-03-26,4.1218
2020-03-27,3.8796
2020-03-28,3.8796
2020-03-29,3.8796
2020-03-30,3.8381
2020-03-31,3.7207
2020-04-01,3.4661
2020-04-02,3.4339
2020-04-03,3.2631
