,LAUR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,32.055
2020-01-02,32.3354
2020-01-03,32.4437
2020-01-04,32.4437
2020-01-05,32.4437
2020-01-06,32.6413
2020-01-07,32.7687
2020-01-08,32.9344
2020-01-09,32.7432
2020-01-10,32.3099
2020-01-11,32.3099
2020-01-12,32.3099
2020-01-13,32.4756
2020-01-14,32.5011
2020-01-15,32.4246
2020-01-16,32.7432
2020-01-17,32.807
2020-01-18,32.807
2020-01-19,32.807
2020-01-20,32.807
2020-01-21,32.5521
2020-01-22,32.2971
2020-01-23,32.2143
2020-01-24,32.106
2020-01-25,32.106
2020-01-26,32.106
2020-01-27,32.1697
2020-01-28,35.713
2020-01-29,36.5542
2020-01-30,37.166
2020-01-31,36.1718
2020-02-01,36.1718
2020-02-02,36.1718
2020-02-03,35.5919
2020-02-04,35.3561
2020-02-05,35.1904
2020-02-06,35.2541
2020-02-07,34.8208
2020-02-08,34.8208
2020-02-09,34.8208
2020-02-10,34.757
2020-02-11,35.6492
2020-02-12,36.1463
2020-02-13,36.2228
2020-02-14,36.6944
2020-02-15,36.6944
2020-02-16,36.6944
2020-02-17,36.6944
2020-02-18,36.4649
2020-02-19,36.7836
2020-02-20,36.7963
2020-02-21,36.4904
2020-02-22,36.4904
2020-02-23,36.4904
2020-02-24,36.1081
2020-02-25,36.1973
2020-02-26,35.0629
2020-02-27,32.6459
2020-02-28,32.4384
2020-02-29,32.4384
2020-03-01,32.4384
2020-03-02,33.3662
2020-03-03,32.9633
2020-03-04,33.824
2020-03-05,32.1698
2020-03-06,31.9379
2020-03-07,31.9379
2020-03-08,31.9379
2020-03-09,30.0945
2020-03-10,30.7293
2020-03-11,29.826
2020-03-12,26.4811
2020-03-13,27.7385
2020-03-14,27.7385
2020-03-15,27.7385
2020-03-16,24.0762
2020-03-17,22.6479
2020-03-18,19.3518
2020-03-19,22.6601
2020-03-20,20.597
2020-03-21,20.597
2020-03-22,20.597
2020-03-23,20.4505
2020-03-24,21.7811
2020-03-25,22.1595
2020-03-26,22.7455
2020-03-27,22.2816
2020-03-28,22.2816
2020-03-29,22.2816
2020-03-30,22.5868
2020-03-31,22.6576
2020-04-01,22.2945
2020-04-02,21.8377
2020-04-03,21.17
2020-04-04,21.17
2020-04-05,21.17
2020-04-06,21.9665
2020-04-07,22.8333
2020-04-08,21.9548
2020-04-09,22.517
2020-04-10,22.517
2020-04-11,22.517
2020-04-12,22.517
2020-04-13,22.2008
2020-04-14,22.5873
2020-04-15,21.6268
2020-04-16,21.17
2020-04-17,21.2286
2020-04-18,21.2286
2020-04-19,21.2286
2020-04-20,20.5609
2020-04-21,20.2388
2020-04-22,20.1978
2020-04-23,20.104
2020-04-24,20.2095
2020-04-25,20.2095
2020-04-26,20.2095
2020-04-27,20.8771
2020-04-28,21.6151
2020-04-29,21.7205
2020-04-30,21.4394
2020-05-01,21.1348
2020-05-02,21.1348
2020-05-03,21.1348
2020-05-04,21.3164
2020-05-05,21.5917
2020-05-06,21.2988
2020-05-07,20.667
2020-05-08,21.0306
2020-05-09,21.0306
2020-05-10,21.0306
2020-05-11,20.3738
2020-05-12,20.0337
2020-05-13,19.3418
2020-05-14,20.1158
2020-05-15,20.3269
2020-05-16,20.3269
2020-05-17,20.3269
2020-05-18,20.8664
2020-05-19,20.5732
2020-05-20,20.8195
2020-05-21,21.054
2020-05-22,20.9719
2020-05-23,20.9719
2020-05-24,20.9719
2020-05-25,20.9719
2020-05-26,21.7284
2020-05-27,22.2972
2020-05-28,22.004
2020-05-29,21.7577
2020-05-30,21.7577
2020-05-31,21.7577
2020-06-01,22.0861
2020-06-02,22.2268
2020-06-03,23.0712
2020-06-04,23.3116
2020-06-05,23.7748
2020-06-06,23.7748
2020-06-07,23.7748
2020-06-08,24.3964
2020-06-09,24.027
2020-06-10,23.5051
2020-06-11,22.3558
2020-06-12,22.52
2020-06-13,22.52
2020-06-14,22.52
2020-06-15,22.2502
2020-06-16,22.4262
2020-06-17,22.3675
2020-06-18,22.1681
2020-06-19,22.262
2020-06-20,22.262
2020-06-21,22.262
2020-06-22,22.2972
2020-06-23,22.4144
2020-06-24,21.7811
2020-06-25,21.8398
2020-06-26,21.7225
2020-06-27,21.7225
2020-06-28,21.7225
2020-06-29,21.9746
2020-06-30,21.9746
2020-07-01,21.9746
2020-07-02,21.9746
2020-07-03,21.9746
2020-07-04,21.9746
2020-07-05,21.9746
2020-07-06,21.9746
2020-07-07,21.9746
2020-07-08,21.9746
2020-07-09,21.9746
2020-07-10,21.9746
2020-07-11,21.9746
2020-07-12,21.9746
2020-07-13,21.9746
2020-07-14,21.9746
2020-07-15,21.9746
2020-07-16,21.9746
2020-07-17,21.9746
2020-07-18,21.9746
2020-07-19,21.9746
2020-07-20,21.9746
2020-07-21,21.9746
2020-07-22,21.9746
2020-07-23,21.9746
2020-07-24,21.9746
2020-07-25,21.9746
2020-07-26,21.9746
2020-07-27,21.9746
2020-07-28,21.9746
2020-07-29,21.9746
2020-07-30,21.9746
2020-07-31,21.9746
2020-08-01,21.9746
2020-08-02,21.9746
2020-08-03,21.9746
2020-08-04,21.9746
2020-08-05,21.9746
2020-08-06,21.9746
2020-08-07,21.9746
2020-08-08,21.9746
2020-08-09,21.9746
2020-08-10,21.9746
2020-08-11,21.9746
2020-08-12,21.9746
2020-08-13,21.9746
2020-08-14,21.9746
2020-08-15,21.9746
2020-08-16,21.9746
2020-08-17,21.9746
2020-08-18,21.9746
2020-08-19,21.9746
2020-08-20,21.9746
2020-08-21,21.9746
2020-08-22,21.9746
2020-08-23,21.9746
2020-08-24,21.9746
2020-08-25,21.9746
2020-08-26,21.9746
2020-08-27,21.9746
2020-08-28,21.9746
2020-08-29,21.9746
2020-08-30,21.9746
2020-08-31,21.9746
2020-09-01,21.9746
2020-09-02,21.9746
2020-09-03,21.9746
2020-09-04,21.9746
2020-09-05,21.9746
2020-09-06,21.9746
2020-09-07,21.9746
2020-09-08,21.9746
2020-09-09,21.9746
2020-09-10,21.9746
2020-09-11,21.9746
2020-09-12,21.9746
2020-09-13,21.9746
2020-09-14,21.9746
2020-09-15,21.9746
2020-09-16,21.9746
2020-09-17,21.9746
2020-09-18,21.9746
2020-09-19,21.9746
2020-09-20,21.9746
2020-09-21,21.9746
2020-09-22,21.9746
2020-09-23,21.9746
2020-09-24,21.9746
2020-09-25,21.9746
2020-09-26,21.9746
2020-09-27,21.9746
2020-09-28,21.9746
2020-09-29,21.9746
2020-09-30,21.9746
2020-10-01,21.9746
2020-10-02,21.9746
2020-10-03,21.9746
2020-10-04,21.9746
2020-10-05,21.9746
2020-10-06,21.9746
2020-10-07,21.9746
2020-10-08,21.9746
2020-10-09,21.9746
2020-10-10,21.9746
2020-10-11,21.9746
2020-10-12,21.9746
2020-10-13,21.9746
2020-10-14,21.9746
2020-10-15,21.9746
2020-10-16,21.9746
2020-10-17,21.9746
2020-10-18,21.9746
2020-10-19,21.9746
2020-10-20,21.9746
2020-10-21,21.9746
2020-10-22,21.9746
2020-10-23,21.9746
2020-10-24,21.9746
2020-10-25,21.9746
2020-10-26,21.9746
2020-10-27,21.9746
2020-10-28,21.9746
2020-10-29,21.9746
2020-10-30,21.9746
2020-10-31,21.9746
2020-11-01,21.9746
2020-11-02,21.9746
2020-11-03,21.9746
2020-11-04,21.9746
2020-11-05,21.9746
2020-11-06,21.9746
2020-11-07,21.9746
2020-11-08,21.9746
2020-11-09,21.9746
2020-11-10,21.9746
2020-11-11,21.9746
2020-11-12,21.9746
2020-11-13,21.9746
2020-11-14,21.9746
2020-11-15,21.9746
2020-11-16,21.9746
2020-11-17,21.9746
2020-11-18,21.9746
2020-11-19,21.9746
2020-11-20,21.9746
2020-11-21,21.9746
2020-11-22,21.9746
2020-11-23,21.9746
2020-11-24,21.9746
2020-11-25,21.9746
2020-11-26,21.9746
2020-11-27,21.9746
2020-11-28,21.9746
2020-11-29,21.9746
2020-11-30,21.9746
2020-12-01,21.9746
2020-12-02,21.9746
2020-12-03,21.9746
2020-12-04,21.9746
2020-12-05,21.9746
2020-12-06,21.9746
2020-12-07,21.9746
2020-12-08,21.9746
2020-12-09,21.9746
2020-12-10,21.9746
