,DFS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.9779
2020-01-02,12.0172
2020-01-03,11.9011
2020-01-04,11.9011
2020-01-05,11.9011
2020-01-06,11.7801
2020-01-07,11.7057
2020-01-08,11.7777
2020-01-09,11.8643
2020-01-10,11.803
2020-01-11,11.803
2020-01-12,11.803
2020-01-13,11.8194
2020-01-14,11.8324
2020-01-15,11.8553
2020-01-16,11.8815
2020-01-17,11.9469
2020-01-18,11.9469
2020-01-19,11.9469
2020-01-20,11.9469
2020-01-21,11.8848
2020-01-22,12.0204
2020-01-23,11.9845
2020-01-24,11.2117
2020-01-25,11.2117
2020-01-26,11.2117
2020-01-27,11.0193
2020-01-28,11.126
2020-01-29,11.1721
2020-01-30,11.2182
2020-01-31,11.1179
2020-02-01,11.1179
2020-02-02,11.1179
2020-02-03,11.1147
2020-02-04,11.1721
2020-02-05,11.2998
2020-02-06,11.2166
2020-02-07,11.1309
2020-02-08,11.1309
2020-02-09,11.1309
2020-02-10,11.1745
2020-02-11,11.1681
2020-02-12,11.1915
2020-02-13,11.2044
2020-02-14,11.2222
2020-02-15,11.2222
2020-02-16,11.2222
2020-02-17,11.2222
2020-02-18,11.1357
2020-02-19,11.1527
2020-02-20,11.1713
2020-02-21,11.1333
2020-02-22,11.1333
2020-02-23,11.1333
2020-02-24,10.9579
2020-02-25,10.662
2020-02-26,10.6224
2020-02-27,10.3658
2020-02-28,10.3175
2020-02-29,10.3175
2020-03-01,10.3175
2020-03-02,10.5025
2020-03-03,10.2154
2020-03-04,10.4068
2020-03-05,10.2363
2020-03-06,10.0763
2020-03-07,10.0763
2020-03-08,10.0763
2020-03-09,9.4476
2020-03-10,9.6832
2020-03-11,9.3222
2020-03-12,8.6532
2020-03-13,9.2064
2020-03-14,9.2064
2020-03-15,9.2064
2020-03-16,8.0896
2020-03-17,8.0092
2020-03-18,7.2157
2020-03-19,7.3226
2020-03-20,7.075
2020-03-21,7.075
2020-03-22,7.075
2020-03-23,7.1875
2020-03-24,7.7608
2020-03-25,8.0559
2020-03-26,8.3984
2020-03-27,8.1331
2020-03-28,8.1331
2020-03-29,8.1331
2020-03-30,8.0465
2020-03-31,9.7501
2020-04-01,9.3016
2020-04-02,9.2431
2020-04-03,8.9766
2020-04-04,8.9766
2020-04-05,8.9766
2020-04-06,9.5107
2020-04-07,9.6775
2020-04-08,9.918
2020-04-09,10.1336
2020-04-10,10.1336
2020-04-11,10.1336
2020-04-12,10.1336
2020-04-13,9.8053
2020-04-14,9.7349
2020-04-15,9.4587
2020-04-16,9.319
2020-04-17,9.6818
2020-04-18,9.6818
2020-04-19,9.6818
2020-04-20,9.7013
2020-04-21,9.6017
2020-04-22,9.6938
2020-04-23,9.6551
2020-04-24,9.8077
2020-04-25,9.8077
2020-04-26,9.8077
2020-04-27,9.9387
2020-04-28,10.2223
2020-04-29,10.8555
2020-04-30,10.5418
2020-05-01,10.3685
2020-05-02,10.3685
2020-05-03,10.3685
2020-05-04,10.3685
2020-05-05,10.3392
2020-05-06,10.1269
2020-05-07,10.272
2020-05-08,10.5147
2020-05-09,10.5147
2020-05-10,10.5147
2020-05-11,10.2699
2020-05-12,10.1334
2020-05-13,9.8289
2020-05-14,10.1366
2020-05-15,10.0033
2020-05-16,10.0033
2020-05-17,10.0033
2020-05-18,10.3349
2020-05-19,10.1929
2020-05-20,10.3295
2020-05-21,10.3013
2020-05-22,10.271
2020-05-23,10.271
2020-05-24,10.271
2020-05-25,10.271
2020-05-26,10.6621
2020-05-27,11.2602
2020-05-28,11.2461
2020-05-29,11.0337
2020-05-30,11.0337
2020-05-31,11.0337
2020-06-01,11.2862
2020-06-02,11.5625
2020-06-03,12.0771
2020-06-04,12.1985
2020-06-05,12.4542
2020-06-06,12.4542
2020-06-07,12.4542
2020-06-08,12.5268
2020-06-09,12.2624
