,TPX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.5789
2020-01-02,18.529
2020-01-03,18.3449
2020-01-04,18.3449
2020-01-05,18.3449
2020-01-06,18.5196
2020-01-07,18.1982
2020-01-08,18.2981
2020-01-09,18.3043
2020-01-10,18.3277
2020-01-11,18.3277
2020-01-12,18.3277
2020-01-13,18.6085
2020-01-14,18.6709
2020-01-15,18.7037
2020-01-16,18.6506
2020-01-17,18.7037
2020-01-18,18.7037
2020-01-19,18.7037
2020-01-20,18.7037
2020-01-21,18.7957
2020-01-22,18.7911
2020-01-23,18.7427
2020-01-24,18.6132
2020-01-25,18.6132
2020-01-26,18.6132
2020-01-27,18.7989
2020-01-28,19.4073
2020-01-29,19.5384
2020-01-30,19.5571
2020-01-31,19.2903
2020-02-01,19.2903
2020-02-02,19.2903
2020-02-03,19.359
2020-02-04,19.6398
2020-02-05,19.4323
2020-02-06,19.451
2020-02-07,19.114
2020-02-08,19.114
2020-02-09,19.114
2020-02-10,19.0937
2020-02-11,19.4089
2020-02-12,19.763
2020-02-13,19.6605
2020-02-14,19.8793
2020-02-15,19.8793
2020-02-16,19.8793
2020-02-17,19.8793
2020-02-18,19.6776
2020-02-19,19.6372
2020-02-20,19.6031
2020-02-21,19.1127
2020-02-22,19.1127
2020-02-23,19.1127
2020-02-24,18.424
2020-02-25,17.7202
2020-02-26,17.4219
2020-02-27,17.0335
2020-02-28,16.6094
2020-02-29,16.6094
2020-03-01,16.6094
2020-03-02,17.0413
2020-03-03,17.1143
2020-03-04,17.7233
2020-03-05,16.4525
2020-03-06,16.4929
2020-03-07,16.4929
2020-03-08,16.4929
2020-03-09,14.8507
2020-03-10,15.4908
2020-03-11,14.1733
2020-03-12,13.2412
2020-03-13,13.5581
2020-03-14,13.5581
2020-03-15,13.5581
2020-03-16,11.1112
2020-03-17,10.1915
2020-03-18,8.7342
2020-03-19,10.1868
2020-03-20,10.1386
2020-03-21,10.1386
2020-03-22,10.1386
2020-03-23,10.6218
2020-03-24,11.714
2020-03-25,12.355
2020-03-26,12.2227
2020-03-27,11.9402
2020-03-28,11.9402
2020-03-29,11.9402
2020-03-30,11.7343
2020-03-31,11.0348
2020-04-01,10.2018
2020-04-02,10.1153
2020-04-03,9.76
2020-04-04,9.76
2020-04-05,9.76
2020-04-06,10.597
2020-04-07,10.8072
2020-04-08,11.4606
2020-04-09,11.5165
2020-04-10,11.5165
2020-04-11,11.5165
2020-04-12,11.5165
2020-04-13,11.2557
2020-04-14,11.2624
2020-04-15,10.7607
2020-04-16,10.6489
2020-04-17,11.0667
2020-04-18,11.0667
2020-04-19,11.0667
2020-04-20,10.8858
2020-04-21,10.6888
2020-04-22,10.7514
2020-04-23,10.9869
2020-04-24,11.3116
