,PHM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.2235
2020-01-02,9.1995
2020-01-03,9.2676
2020-01-04,9.2676
2020-01-05,9.2676
2020-01-06,9.3257
2020-01-07,9.3777
2020-01-08,9.4498
2020-01-09,9.4258
2020-01-10,9.4619
2020-01-11,9.4619
2020-01-12,9.4619
2020-01-13,9.55
2020-01-14,9.6521
2020-01-15,9.7262
2020-01-16,9.7963
2020-01-17,9.8224
2020-01-18,9.8224
2020-01-19,9.8224
2020-01-20,9.8224
2020-01-21,9.9726
2020-01-22,10.0407
2020-01-23,10.235
2020-01-24,10.2069
2020-01-25,10.2069
2020-01-26,10.2069
2020-01-27,10.3251
2020-01-28,10.8338
2020-01-29,10.6676
2020-01-30,10.5669
2020-01-31,10.3614
2020-02-01,10.3614
2020-02-02,10.3614
2020-02-03,10.3634
2020-02-04,10.2477
2020-02-05,10.4851
2020-02-06,10.529
2020-02-07,10.6507
2020-02-08,10.6507
2020-02-09,10.6507
2020-02-10,10.7624
2020-02-11,10.8263
2020-02-12,10.7704
2020-02-13,10.7684
2020-02-14,10.7684
2020-02-15,10.7684
2020-02-16,10.7684
2020-02-17,10.7684
2020-02-18,10.7604
2020-02-19,10.7405
2020-02-20,10.7644
2020-02-21,10.7126
2020-02-22,10.7126
2020-02-23,10.7126
2020-02-24,10.4811
2020-02-25,10.102
2020-02-26,9.8466
2020-02-27,9.7808
2020-02-28,9.4735
2020-02-29,9.4735
2020-03-01,9.4735
2020-03-02,9.7428
2020-03-03,9.8705
2020-03-04,10.3155
2020-03-05,10.0242
2020-03-06,9.7329
2020-03-07,9.7329
2020-03-08,9.7329
2020-03-09,9.1602
2020-03-10,9.3597
2020-03-11,8.5038
2020-03-12,7.536
2020-03-13,7.544
2020-03-14,7.544
2020-03-15,7.544
2020-03-16,6.257
2020-03-17,6.0595
2020-03-18,5.3352
2020-03-19,5.3492
2020-03-20,5.3971
2020-03-21,5.3971
2020-03-22,5.3971
2020-03-23,4.992
2020-03-24,5.858
2020-03-25,6.285
2020-03-26,6.5823
2020-03-27,6.3448
2020-03-28,6.3448
2020-03-29,6.3448
2020-03-30,6.1845
2020-03-31,5.7223
2020-04-01,5.4301
2020-04-02,5.2359
2020-04-03,5.0686
2020-04-04,5.0686
2020-04-05,5.0686
2020-04-06,5.6031
2020-04-07,5.8588
2020-04-08,6.3375
2020-04-09,6.4952
2020-04-10,6.4952
2020-04-11,6.4952
2020-04-12,6.4952
2020-04-13,6.1991
2020-04-14,6.3683
2020-04-15,6.0222
2020-04-16,6.0972
2020-04-17,6.3375
2020-04-18,6.3375
2020-04-19,6.3375
2020-04-20,6.1049
2020-04-21,6.0799
2020-04-22,6.0587
2020-04-23,5.9976
2020-04-24,6.3362
2020-04-25,6.3362
2020-04-26,6.3362
2020-04-27,6.6423
2020-04-28,6.9771
2020-04-29,7.2258
2020-04-30,6.8394
2020-05-01,6.6423
2020-05-02,6.6423
2020-05-03,6.6423
2020-05-04,6.648
2020-05-05,6.7494
2020-05-06,6.7169
2020-05-07,6.8221
2020-05-08,7.1474
2020-05-09,7.1474
2020-05-10,7.1474
2020-05-11,7.0594
2020-05-12,6.8049
2020-05-13,6.6308
2020-05-14,6.7093
2020-05-15,6.7341
2020-05-16,6.7341
2020-05-17,6.7341
2020-05-18,7.3865
2020-05-19,7.4362
2020-05-20,7.4439
2020-05-21,7.6849
2020-05-22,7.8035
2020-05-23,7.8035
2020-05-24,7.8035
2020-05-25,7.8035
2020-05-26,8.0006
2020-05-27,8.4042
2020-05-28,8.014
2020-05-29,7.9298
2020-05-30,7.9298
2020-05-31,7.9298
2020-06-01,7.9987
2020-06-02,8.079
2020-06-03,8.3143
2020-06-04,8.1288
2020-06-05,8.4559
2020-06-06,8.4559
2020-06-07,8.4559
2020-06-08,8.4463
2020-06-09,8.2875
2020-06-10,8.3794
2020-06-11,7.727
2020-06-12,7.9145
2020-06-13,7.9145
2020-06-14,7.9145
2020-06-15,8.2646
2020-06-16,8.4195
2020-06-17,8.3947
2020-06-18,8.2435
2020-06-19,8.0637
2020-06-20,8.0637
2020-06-21,8.0637
2020-06-22,8.1402
2020-06-23,8.1498
2020-06-24,7.9049
2020-06-25,7.6639
2020-06-26,7.5395
2020-06-27,7.5395
2020-06-28,7.5395
2020-06-29,7.8399
2020-06-30,6.8791
2020-07-01,6.6962
2020-07-02,6.6788
2020-07-03,6.6788
2020-07-04,6.6788
2020-07-05,6.6788
2020-07-06,6.8913
2020-07-07,6.8599
2020-07-08,7.095
2020-07-09,6.853
2020-07-10,7.0498
2020-07-11,7.0498
2020-07-12,7.0498
2020-07-13,6.8547
2020-07-14,7.1264
2020-07-15,7.2535
2020-07-16,7.3528
2020-07-17,7.4486
2020-07-18,7.4486
2020-07-19,7.4486
2020-07-20,7.4973
2020-07-21,7.5182
2020-07-22,7.8213
2020-07-23,8.1442
2020-07-24,8.3759
2020-07-25,8.3759
2020-07-26,8.3759
2020-07-27,8.6581
2020-07-28,8.5274
2020-07-29,8.7382
2020-07-30,8.5936
2020-07-31,8.5466
2020-08-01,8.5466
2020-08-02,8.5466
2020-08-03,8.6215
2020-08-04,8.6406
2020-08-05,8.7051
2020-08-06,8.7417
2020-08-07,8.6615
2020-08-08,8.6615
2020-08-09,8.6615
