,CCK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.7545
2020-01-02,14.7174
2020-01-03,14.7219
2020-01-04,14.7219
2020-01-05,14.7219
2020-01-06,14.66
2020-01-07,14.5284
2020-01-08,14.5037
2020-01-09,14.5858
2020-01-10,14.5914
2020-01-11,14.5914
2020-01-12,14.5914
2020-01-13,14.7523
2020-01-14,14.669
2020-01-15,14.7309
2020-01-16,14.885
2020-01-17,14.8557
2020-01-18,14.8557
2020-01-19,14.8557
2020-01-20,14.8557
2020-01-21,14.8344
2020-01-22,15.0436
2020-01-23,15.1291
2020-01-24,15.0312
2020-01-25,15.0312
2020-01-26,15.0312
2020-01-27,15.1493
2020-01-28,15.0908
2020-01-29,15.0076
2020-01-30,15.1234
2020-01-31,14.9221
2020-02-01,14.9221
2020-02-02,14.9221
2020-02-03,14.9896
2020-02-04,15.1493
2020-02-05,15.4519
2020-02-06,15.5486
2020-02-07,15.435
2020-02-08,15.435
2020-02-09,15.435
2020-02-10,15.5092
2020-02-11,15.5205
2020-02-12,15.4665
2020-02-13,15.5902
2020-02-14,15.5936
2020-02-15,15.5936
2020-02-16,15.5936
2020-02-17,15.5936
2020-02-18,15.5655
2020-02-19,15.4766
2020-02-20,15.4687
2020-02-21,15.5025
2020-02-22,15.5025
2020-02-23,15.5025
2020-02-24,15.3405
2020-02-25,15.0469
2020-02-26,14.9772
2020-02-27,14.4958
2020-02-28,14.5383
2020-02-29,14.5383
2020-03-01,14.5383
2020-03-02,14.9563
2020-03-03,14.9844
2020-03-04,15.23
2020-03-05,14.9867
2020-03-06,14.8323
2020-03-07,14.8323
2020-03-08,14.8323
2020-03-09,13.806
2020-03-10,14.0944
2020-03-11,13.5209
2020-03-12,12.7289
2020-03-13,13.3384
2020-03-14,13.3384
2020-03-15,13.3384
2020-03-16,12.1092
2020-03-17,12.2635
2020-03-18,12.1126
2020-03-19,12.2691
2020-03-20,11.8839
2020-03-21,11.8839
2020-03-22,11.8839
2020-03-23,11.5157
2020-03-24,12.5349
2020-03-25,12.6835
2020-03-26,13.134
2020-03-27,13.0417
2020-03-28,13.0417
2020-03-29,13.0417
2020-03-30,13.1858
2020-03-31,13.999
2020-04-01,13.6609
2020-04-02,13.6494
2020-04-03,13.3803
2020-04-04,13.3803
2020-04-05,13.3803
2020-04-06,13.8967
2020-04-07,13.8219
2020-04-08,14.2037
2020-04-09,14.4774
2020-04-10,14.4774
2020-04-11,14.4774
2020-04-12,14.4774
2020-04-13,14.3463
2020-04-14,14.5096
2020-04-15,14.3498
2020-04-16,14.2946
2020-04-17,14.5579
2020-04-18,14.5579
2020-04-19,14.5579
2020-04-20,14.3716
2020-04-21,14.1646
2020-04-22,14.1773
2020-04-23,14.1474
2020-04-24,14.1347
2020-04-25,14.1347
2020-04-26,14.1347
2020-04-27,14.6051
2020-04-28,14.5671
2020-04-29,14.8144
2020-04-30,14.6758
2020-05-01,14.4601
2020-05-02,14.4601
2020-05-03,14.4601
2020-05-04,14.4795
2020-05-05,14.4612
2020-05-06,14.3243
2020-05-07,14.4532
2020-05-08,14.5229
2020-05-09,14.5229
2020-05-10,14.5229
2020-05-11,14.2558
2020-05-12,14.1063
2020-05-13,13.8586
2020-05-14,14.1862
2020-05-15,14.1017
2020-05-16,14.1017
2020-05-17,14.1017
2020-05-18,14.4806
2020-05-19,14.4704
2020-05-20,14.508
2020-05-21,14.4144
2020-05-22,14.4099
2020-05-23,14.4099
2020-05-24,14.4099
2020-05-25,14.4099
2020-05-26,14.7249
2020-05-27,14.8687
2020-05-28,14.9121
2020-05-29,14.7922
2020-05-30,14.7922
2020-05-31,14.7922
2020-06-01,14.944
2020-06-02,15.0102
2020-06-03,15.146
2020-06-04,15.259
2020-06-05,15.3035
2020-06-06,15.3035
2020-06-07,15.3035
2020-06-08,15.4062
2020-06-09,15.1118
2020-06-10,14.9703
2020-06-11,14.5172
2020-06-12,14.7694
2020-06-13,14.7694
2020-06-14,14.7694
2020-06-15,14.8481
2020-06-16,14.9805
2020-06-17,14.8344
2020-06-18,14.807
2020-06-19,14.8196
2020-06-20,14.8196
2020-06-21,14.8196
2020-06-22,14.7968
2020-06-23,14.7363
2020-06-24,14.4338
2020-06-25,14.5069
2020-06-26,14.5948
2020-06-27,14.5948
2020-06-28,14.5948
2020-06-29,14.7374
2020-06-30,17.1367
2020-07-01,17.1836
2020-07-02,17.3766
2020-07-03,17.3766
2020-07-04,17.3766
2020-07-05,17.3766
2020-07-06,17.3578
2020-07-07,17.323
2020-07-08,17.3471
2020-07-09,17.1582
2020-07-10,17.4329
2020-07-11,17.4329
2020-07-12,17.4329
2020-07-13,17.2962
2020-07-14,17.6232
2020-07-15,17.4007
2020-07-16,17.3967
2020-07-17,17.5562
2020-07-18,17.5562
2020-07-19,17.5562
2020-07-20,17.7384
2020-07-21,17.8818
2020-07-22,17.8898
2020-07-23,17.9073
2020-07-24,17.8831
2020-07-25,17.8831
2020-07-26,17.8831
2020-07-27,18.1201
2020-07-28,17.915
2020-07-29,18.1107
2020-07-30,18.0638
2020-07-31,18.0075
2020-08-01,18.0075
2020-08-02,18.0075
2020-08-03,18.1402
2020-08-04,18.1469
2020-08-05,18.2167
2020-08-06,18.273
2020-08-07,18.3521
2020-08-08,18.3521
2020-08-09,18.3521
2020-08-10,18.3079
2020-08-11,18.2717
2020-08-12,18.4862
2020-08-13,18.7115
2020-08-14,18.6485
2020-08-15,18.6485
2020-08-16,18.6485
2020-08-17,18.6377
2020-08-18,18.5251
2020-08-19,18.3964
2020-08-20,18.3803
2020-08-21,18.4621
2020-08-22,18.4621
2020-08-23,18.4621
2020-08-24,18.5237
2020-08-25,18.5077
2020-08-26,18.7276
2020-08-27,18.7303
2020-08-28,18.7598
2020-08-29,18.7598
2020-08-30,18.7598
2020-08-31,18.7142
2020-09-01,18.9193
2020-09-02,19.162
2020-09-03,18.8831
2020-09-04,18.7812
2020-09-05,18.7812
2020-09-06,18.7812
2020-09-07,18.7812
2020-09-08,18.387
2020-09-09,18.5331
2020-09-10,18.4071
2020-09-11,18.5385
2020-09-12,18.5385
2020-09-13,18.5385
2020-09-14,18.5653
2020-09-15,18.5653
2020-09-16,18.6686
2020-09-17,18.6216
2020-09-18,18.4969
2020-09-19,18.4969
2020-09-20,18.4969
2020-09-21,18.2194
2020-09-22,18.3655
2020-09-23,18.218
2020-09-24,18.3105
2020-09-25,18.4406
2020-09-26,18.4406
2020-09-27,18.4406
2020-09-28,18.6485
2020-09-29,18.6485
2020-09-30,19.2253
2020-10-01,19.1028
2020-10-02,19.2044
2020-10-03,19.2044
2020-10-04,19.2044
2020-10-05,19.4731
2020-10-06,19.3951
2020-10-07,19.668
2020-10-08,19.9687
2020-10-09,19.8922
2020-10-10,19.8922
2020-10-11,19.8922
2020-10-12,19.8991
2020-10-13,19.9144
2020-10-14,19.927
2020-10-15,20.0035
2020-10-16,20.1163
2020-10-17,20.1163
2020-10-18,20.1163
2020-10-19,19.9632
2020-10-20,20.637
2020-10-21,21.0797
2020-10-22,21.2551
2020-10-23,21.1073
2020-10-24,21.1073
2020-10-25,21.1073
2020-10-26,20.8038
2020-10-27,20.7564
2020-10-28,20.4599
2020-10-29,20.666
2020-10-30,20.4697
2020-10-31,20.4697
2020-11-01,20.4697
2020-11-02,20.9931
2020-11-03,21.369
2020-11-04,21.5514
2020-11-05,21.802
2020-11-06,21.7686
2020-11-07,21.7686
2020-11-08,21.7686
2020-11-09,21.2423
2020-11-10,21.6363
2020-11-11,21.6586
2020-11-12,21.5959
2020-11-13,21.7658
2020-11-14,21.7658
2020-11-15,21.7658
2020-11-16,21.7936
2020-11-17,21.8326
2020-11-18,21.841
2020-11-19,21.9217
2020-11-20,21.9287
2020-11-21,21.9287
2020-11-22,21.9287
2020-11-23,21.8577
2020-11-24,21.9955
2020-11-25,21.8632
2020-11-26,21.8632
2020-11-27,21.8284
2020-11-28,21.8284
2020-11-29,21.8284
2020-11-30,21.646
2020-12-01,22.2127
2020-12-02,21.9871
2020-12-03,21.9746
2020-12-04,22.2029
2020-12-05,22.2029
2020-12-06,22.2029
2020-12-07,22.2043
2020-12-08,22.2015
2020-12-09,22.0428
2020-12-10,22.0762
2020-12-11,22.0011
2020-12-12,22.0011
2020-12-13,22.0011
2020-12-14,21.7769
2020-12-15,22.221
2020-12-16,22.0693
2020-12-17,22.1793
2020-12-18,21.9301
2020-12-19,21.9301
2020-12-20,21.9301
2020-12-21,22.125
2020-12-22,22.0776
2020-12-23,22.0233
2020-12-24,22.2516
2020-12-25,22.2516
2020-12-26,22.2516
2020-12-27,22.2516
2020-12-28,22.1208
2020-12-29,22.1932
2020-12-30,22.4243
2020-12-31,19.6257
2021-01-01,19.6257
2021-01-02,19.6257
2021-01-03,19.6257
2021-01-04,19.2587
2021-01-05,19.28
2021-01-06,19.6319
2021-01-07,19.6971
2021-01-08,19.5568
2021-01-09,19.5568
2021-01-10,19.5568
2021-01-11,19.6056
2021-01-12,19.4478
2021-01-13,19.399
2021-01-14,19.0683
2021-01-15,18.9994
2021-01-16,18.9994
2021-01-17,18.9994
2021-01-18,18.9994
2021-01-19,18.8216
2021-01-20,19.0646
2021-01-21,18.9218
2021-01-22,18.8166
2021-01-23,18.8166
2021-01-24,18.8166
2021-01-25,18.7227
2021-01-26,18.7527
2021-01-27,17.8472
2021-01-28,18.3832
2021-01-29,18.367
2021-01-30,18.367
2021-01-31,18.367
2021-02-01,18.5761
2021-02-02,18.6751
2021-02-03,18.5711
2021-02-04,18.4559
2021-02-05,18.6926
2021-02-06,18.6926
2021-02-07,18.6926
2021-02-08,18.8103
2021-02-09,18.6901
2021-02-10,19.3564
2021-02-11,19.1873
2021-02-12,19.4704
2021-02-13,19.4704
2021-02-14,19.4704
2021-02-15,19.4704
2021-02-16,19.5367
2021-02-17,19.4741
2021-02-18,19.4841
2021-02-19,19.7271
2021-02-20,19.7271
2021-02-21,19.7271
2021-02-22,19.6207
2021-02-23,19.3313
2021-02-24,19.4866
2021-02-25,19.156
2021-02-26,19.0445
2021-02-27,19.0445
2021-02-28,19.0445
2021-03-01,19.4123
2021-03-02,19.4487
2021-03-03,19.312
2021-03-04,19.1364
2021-03-05,19.2205
2021-03-06,19.2205
2021-03-07,19.2205
2021-03-08,19.1515
2021-03-09,19.3271
2021-03-10,19.3684
2021-03-11,19.2832
2021-03-12,19.1151
2021-03-13,19.1151
2021-03-14,19.1151
2021-03-15,19.2418
2021-03-16,19.2384
2021-03-17,19.2296
2021-03-18,19.1305
2021-03-19,19.1732
2021-03-20,19.1732
2021-03-21,19.1732
2021-03-22,19.38
2021-03-23,19.1844
2021-03-24,19.2421
2021-03-25,19.3286
2021-03-26,19.3612
2021-03-27,19.3612
2021-03-28,19.3612
2021-03-29,19.4327
2021-03-30,19.2446
2021-03-31,18.305
2021-04-01,18.6944
2021-04-02,18.6944
2021-04-03,18.6944
2021-04-04,18.6944
2021-04-05,18.8495
2021-04-06,18.9871
2021-04-07,18.7609
2021-04-08,18.8822
2021-04-09,19.218
2021-04-10,19.218
2021-04-11,19.218
2021-04-12,19.2961
2021-04-13,19.3999
2021-04-14,19.4139
2021-04-15,19.6296
2021-04-16,19.7101
2021-04-17,19.7101
2021-04-18,19.7101
2021-04-19,19.6728
2021-04-20,19.569
2021-04-21,19.5608
2021-04-22,19.4862
2021-04-23,19.7695
2021-04-24,19.7695
2021-04-25,19.7695
2021-04-26,19.7916
2021-04-27,19.7916
2021-04-28,19.5911
2021-04-29,19.6074
2021-04-30,19.7916
2021-05-01,19.7916
2021-05-02,19.7916
2021-05-03,19.8662
2021-05-04,19.9409
2021-05-05,19.9036
2021-05-06,20.1309
2021-05-07,20.2277
2021-05-08,20.2277
2021-05-09,20.2277
2021-05-10,20.1192
2021-05-11,20.0936
2021-05-12,19.6762
2021-05-13,19.9175
2021-05-14,20.012
2021-05-15,20.012
2021-05-16,20.012
2021-05-17,19.9758
2021-05-18,19.7193
2021-05-19,19.6704
2021-05-20,19.9374
2021-05-21,19.8453
2021-05-22,19.8453
2021-05-23,19.8453
2021-05-24,19.9001
2021-05-25,19.5911
2021-05-26,18.895
2021-05-27,18.9591
2021-05-28,19.0268
2021-05-29,19.0268
2021-05-30,19.0268
2021-05-31,19.0268
2021-06-01,19.0186
2021-06-02,18.7271
2021-06-03,18.719
2021-06-04,18.7003
2021-06-05,18.7003
2021-06-06,18.7003
2021-06-07,18.6012
2021-06-08,18.5651
2021-06-09,18.6129
2021-06-10,18.6886
2021-06-11,18.8006
2021-06-12,18.8006
2021-06-13,18.8006
2021-06-14,18.6618
2021-06-15,18.7994
2021-06-16,18.8309
2021-06-17,18.6082
2021-06-18,18.4671
2021-06-19,18.4671
2021-06-20,18.4671
2021-06-21,18.6199
2021-06-22,18.6968
2021-06-23,18.5417
2021-06-24,18.691
2021-06-25,18.9172
2021-06-26,18.9172
2021-06-27,18.9172
2021-06-28,18.8845
2021-06-29,18.8997
2021-06-30,16.4288
2021-07-01,16.5582
2021-07-02,16.5077
2021-07-03,16.5077
2021-07-04,16.5077
2021-07-05,16.5077
2021-07-06,16.4399
2021-07-07,16.5886
2021-07-08,16.6826
2021-07-09,16.7686
2021-07-10,16.7686
2021-07-11,16.7686
2021-07-12,16.7949
2021-07-13,16.7726
2021-07-14,16.7423
2021-07-15,16.6675
2021-07-16,16.5896
2021-07-17,16.5896
2021-07-18,16.5896
2021-07-19,16.3408
2021-07-20,16.4824
2021-07-21,16.3853
2021-07-22,16.2084
2021-07-23,15.6737
2021-07-24,15.6737
2021-07-25,15.6737
2021-07-26,15.915
2021-07-27,15.8953
2021-07-28,15.9278
2021-07-29,15.9288
2021-07-30,15.917
2021-07-31,15.917
2021-08-01,15.917
2021-08-02,15.9258
2021-08-03,15.9022
2021-08-04,15.6885
2021-08-05,15.9544
2021-08-06,16.0617
2021-08-07,16.0617
2021-08-08,16.0617
2021-08-09,16.2528
2021-08-10,16.5088
2021-08-11,16.6792
2021-08-12,16.7442
2021-08-13,16.755
2021-08-14,16.755
2021-08-15,16.755
2021-08-16,16.6644
2021-08-17,16.6122
2021-08-18,16.6851
2021-08-19,16.6112
2021-08-20,16.7993
2021-08-21,16.7993
2021-08-22,16.7993
2021-08-23,16.7629
2021-08-24,16.8456
2021-08-25,17.0081
2021-08-26,16.8761
2021-08-27,16.8545
2021-08-28,16.8545
2021-08-29,16.8545
2021-08-30,16.9224
2021-08-31,16.9047
2021-09-01,16.9116
2021-09-02,17.0957
2021-09-03,17.1026
2021-09-04,17.1026
2021-09-05,17.1026
2021-09-06,17.1026
2021-09-07,16.9579
2021-09-08,16.8949
2021-09-09,16.5748
2021-09-10,16.5462
2021-09-11,16.5462
2021-09-12,16.5462
2021-09-13,16.432
2021-09-14,16.4911
2021-09-15,16.8052
2021-09-16,16.7284
2021-09-17,16.5167
2021-09-18,16.5167
2021-09-19,16.5167
2021-09-20,16.4793
2021-09-21,16.3385
2021-09-22,16.4389
2021-09-23,16.5531
2021-09-24,16.371
2021-09-25,16.371
2021-09-26,16.371
2021-09-27,16.1986
2021-09-28,15.9899
2021-09-29,16.0371
2021-09-30,14.333
2021-10-01,14.2658
2021-10-02,14.2658
2021-10-03,14.2658
2021-10-04,14.3023
2021-10-05,14.4243
2021-10-06,14.5531
2021-10-07,14.6569
2021-10-08,14.6079
2021-10-09,14.6079
2021-10-10,14.6079
2021-10-11,14.5147
2021-10-12,14.3609
2021-10-13,14.4704
2021-10-14,14.704
2021-10-15,14.6204
2021-10-16,14.6204
2021-10-17,14.6204
2021-10-18,14.5291
2021-10-19,14.5935
2021-10-20,14.7751
2021-10-21,14.6972
2021-10-22,14.7386
2021-10-23,14.7386
2021-10-24,14.7386
2021-10-25,14.3599
2021-10-26,14.3763
2021-10-27,14.5089
2021-10-28,14.7482
2021-10-29,14.6415
2021-10-30,14.6415
2021-10-31,14.6415
2021-11-01,14.4052
2021-11-02,14.5708
2021-11-03,14.6989
2021-11-04,14.5745
2021-11-05,14.654
2021-11-06,14.654
2021-11-07,14.654
2021-11-08,14.5745
2021-11-09,14.6372
2021-11-10,14.6409
2021-11-11,14.7831
2021-11-12,14.9318
2021-11-13,14.9318
2021-11-14,14.9318
2021-11-15,15.1133
2021-11-16,15.1591
2021-11-17,15.0459
2021-11-18,14.9617
2021-11-19,15.0824
2021-11-20,15.0824
2021-11-21,15.0824
2021-11-22,15.1198
2021-11-23,15.0833
2021-11-24,14.9776
2021-11-25,14.9776
2021-11-26,15.0862
2021-11-27,15.0862
2021-11-28,15.0862
2021-11-29,14.7878
2021-11-30,14.5446
2021-12-01,14.5165
2021-12-02,14.61
2021-12-03,14.6793
2021-12-04,14.6793
2021-12-05,14.6793
2021-12-06,14.756
2021-12-07,14.6718
2021-12-08,14.5876
2021-12-09,14.3612
2021-12-10,14.8027
2021-12-11,14.8027
2021-12-12,14.8027
2021-12-13,14.5932
2021-12-14,14.51
2021-12-15,14.7662
2021-12-16,14.8373
2021-12-17,14.6503
2021-12-18,14.6503
2021-12-19,14.6503
2021-12-20,14.3135
2021-12-21,14.5277
2021-12-22,14.5156
2021-12-23,14.5343
2021-12-24,14.5343
2021-12-25,14.5343
2021-12-26,14.5343
2021-12-27,14.6147
2021-12-28,14.7728
2021-12-29,14.9066
2021-12-30,14.8785
2021-12-31,15.0372
2022-01-01,15.0372
2022-01-02,15.0372
2022-01-03,14.8402
2022-01-04,14.8027
2022-01-05,14.8777
2022-01-06,14.9565
2022-01-07,14.9359
2022-01-08,14.9359
2022-01-09,14.9359
2022-01-10,14.8712
2022-01-11,14.9181
2022-01-12,15.1376
2022-01-13,15.2023
2022-01-14,15.2727
2022-01-15,15.2727
2022-01-16,15.2727
2022-01-17,15.2727
2022-01-18,15.2483
2022-01-19,15.587
2022-01-20,15.5176
2022-01-21,15.2277
2022-01-22,15.2277
2022-01-23,15.2277
2022-01-24,14.8093
2022-01-25,14.723
2022-01-26,14.6948
2022-01-27,15.2127
2022-01-28,15.162
2022-01-29,15.162
2022-01-30,15.162
2022-01-31,15.3918
2022-02-01,15.5448
2022-02-02,15.4312
2022-02-03,15.1948
2022-02-04,15.2614
2022-02-05,15.2614
2022-02-06,15.2614
2022-02-07,15.0916
2022-02-08,15.3581
2022-02-09,15.4716
2022-02-10,15.4885
2022-02-11,15.5964
2022-02-12,15.5964
2022-02-13,15.5964
2022-02-14,15.7633
2022-02-15,16.0832
2022-02-16,16.2962
2022-02-17,16.0701
2022-02-18,15.9847
2022-02-19,15.9847
2022-02-20,15.9847
2022-02-21,15.9847
2022-02-22,15.9838
2022-02-23,15.9163
2022-02-24,15.7286
2022-02-25,16.1583
2022-02-26,16.1583
2022-02-27,16.1583
2022-02-28,15.8711
2022-03-01,15.5375
2022-03-02,15.8181
2022-03-03,15.8565
2022-03-04,16.0219
2022-03-05,16.0219
2022-03-06,16.0219
2022-03-07,15.8702
2022-03-08,15.3373
2022-03-09,15.5155
2022-03-10,15.7751
2022-03-11,15.7568
2022-03-12,15.7568
2022-03-13,15.7568
2022-03-14,16.0191
2022-03-15,16.2741
2022-03-16,16.1791
2022-03-17,16.2504
2022-03-18,16.3692
2022-03-19,16.3692
2022-03-20,16.3692
2022-03-21,16.3853
2022-03-22,16.2665
2022-03-23,16.1287
2022-03-24,16.31
2022-03-25,16.4179
2022-03-26,16.4179
2022-03-27,16.4179
2022-03-28,16.3155
2022-03-29,16.1767
2022-03-30,16.2184
2022-03-31,16.3758
2022-04-01,16.4358
2022-04-02,16.4358
