,OMC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.7532
2020-01-02,9.6352
2020-01-03,9.6414
2020-01-04,9.6414
2020-01-05,9.6414
2020-01-06,9.6004
2020-01-07,9.5573
2020-01-08,9.5788
2020-01-09,9.6229
2020-01-10,9.5716
2020-01-11,9.5716
2020-01-12,9.5716
2020-01-13,9.6157
2020-01-14,9.6106
2020-01-15,9.5932
2020-01-16,9.6178
2020-01-17,9.6988
2020-01-18,9.6988
2020-01-19,9.6988
2020-01-20,9.6988
2020-01-21,9.6763
2020-01-22,9.5942
2020-01-23,9.5203
2020-01-24,9.4126
2020-01-25,9.4126
2020-01-26,9.4126
2020-01-27,9.3275
2020-01-28,9.3162
2020-01-29,9.2597
2020-01-30,9.2372
2020-01-31,9.1674
2020-02-01,9.1674
2020-02-02,9.1674
2020-02-03,9.2013
2020-02-04,9.3131
2020-02-05,9.4198
2020-02-06,9.2987
2020-02-07,9.2115
2020-02-08,9.2115
2020-02-09,9.2115
2020-02-10,9.3408
2020-02-11,9.338
2020-02-12,9.4985
2020-02-13,9.568
2020-02-14,9.4259
2020-02-15,9.4259
2020-02-16,9.4259
2020-02-17,9.4259
2020-02-18,9.474
2020-02-19,9.475
2020-02-20,9.4913
2020-02-21,9.4392
2020-02-22,9.4392
2020-02-23,9.4392
2020-02-24,9.2318
2020-02-25,9.0049
2020-02-26,8.8404
2020-02-27,8.5451
2020-02-28,8.5206
2020-02-29,8.5206
2020-03-01,8.5206
2020-03-02,8.6309
2020-03-03,8.5114
2020-03-04,8.6943
2020-03-05,8.402
2020-03-06,8.167
2020-03-07,8.167
2020-03-08,8.167
2020-03-09,7.6101
2020-03-10,7.9994
2020-03-11,7.7991
2020-03-12,7.2197
2020-03-13,7.8696
2020-03-14,7.8696
2020-03-15,7.8696
2020-03-16,7.2892
2020-03-17,7.5222
2020-03-18,7.1666
2020-03-19,7.045
2020-03-20,6.5004
2020-03-21,6.5004
2020-03-22,6.5004
2020-03-23,6.3767
2020-03-24,6.7017
2020-03-25,6.7712
2020-03-26,7.1993
2020-03-27,6.7528
2020-03-28,6.7528
2020-03-29,6.7528
2020-03-30,7.0532
2020-03-31,7.6769
2020-04-01,7.3455
2020-04-02,7.3906
2020-04-03,7.132
2020-04-04,7.132
2020-04-05,7.132
2020-04-06,7.5537
2020-04-07,7.6112
2020-04-08,7.6533
2020-04-09,7.8718
2020-04-10,7.8718
2020-04-11,7.8718
2020-04-12,7.8718
2020-04-13,7.7641
2020-04-14,7.7477
2020-04-15,7.3752
2020-04-16,7.484
2020-04-17,7.643
2020-04-18,7.643
2020-04-19,7.643
2020-04-20,7.5763
2020-04-21,7.3116
2020-04-22,7.2449
2020-04-23,7.327
2020-04-24,7.3824
2020-04-25,7.3824
2020-04-26,7.3824
2020-04-27,7.6194
2020-04-28,7.7719
2020-04-29,8.2647
2020-04-30,7.8257
2020-05-01,7.7101
2020-05-02,7.7101
2020-05-03,7.7101
2020-05-04,7.5459
2020-05-05,7.5408
2020-05-06,7.553
2020-05-07,7.481
2020-05-08,7.631
2020-05-09,7.631
2020-05-10,7.631
2020-05-11,7.4779
2020-05-12,7.3015
2020-05-13,7.0177
2020-05-14,7.1373
2020-05-15,7.2042
2020-05-16,7.2042
2020-05-17,7.2042
2020-05-18,7.4343
2020-05-19,7.3451
2020-05-20,7.3603
2020-05-21,7.3015
2020-05-22,7.2934
2020-05-23,7.2934
2020-05-24,7.2934
2020-05-25,7.2934
2020-05-26,7.5276
2020-05-27,7.9048
2020-05-28,7.6371
2020-05-29,7.5986
2020-05-30,7.5986
2020-05-31,7.5986
2020-06-01,7.6787
2020-06-02,7.6462
2020-06-03,7.8358
2020-06-04,7.9098
2020-06-05,8.2059
2020-06-06,8.2059
2020-06-07,8.2059
2020-06-08,8.5222
2020-06-09,8.1613
2020-06-10,7.9362
2020-06-11,7.5641
2020-06-12,7.6229
2020-06-13,7.6229
2020-06-14,7.6229
2020-06-15,7.7537
2020-06-16,7.7578
2020-06-17,7.6594
2020-06-18,7.6625
2020-06-19,7.4506
2020-06-20,7.4506
2020-06-21,7.4506
2020-06-22,7.3928
2020-06-23,7.5286
2020-06-24,7.3613
2020-06-25,7.3968
2020-06-26,7.3948
2020-06-27,7.3948
2020-06-28,7.3948
2020-06-29,7.5479
2020-06-30,9.8374
2020-07-01,9.8294
2020-07-02,9.8387
2020-07-03,9.8387
2020-07-04,9.8387
2020-07-05,9.8387
2020-07-06,9.9257
2020-07-07,9.9858
2020-07-08,9.7037
2020-07-09,9.4442
2020-07-10,9.7331
2020-07-11,9.7331
2020-07-12,9.7331
2020-07-13,9.828
2020-07-14,9.8722
2020-07-15,10.0554
2020-07-16,10.058
2020-07-17,9.9832
2020-07-18,9.9832
2020-07-19,9.9832
2020-07-20,9.7531
2020-07-21,9.824
2020-07-22,9.8882
2020-07-23,10.0687
2020-07-24,10.0995
2020-07-25,10.0995
2020-07-26,10.0995
2020-07-27,10.1597
2020-07-28,9.8654
2020-07-29,9.7796
2020-07-30,9.6777
2020-07-31,9.7407
2020-08-01,9.7407
2020-08-02,9.7407
2020-08-03,9.7367
2020-08-04,9.6616
2020-08-05,9.6026
2020-08-06,9.734
2020-08-07,9.679
2020-08-08,9.679
2020-08-09,9.679
2020-08-10,9.9123
2020-08-11,10.0102
2020-08-12,9.797
