,SFM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.6334
2020-01-02,12.3452
2020-01-03,12.3092
2020-01-04,12.3092
2020-01-05,12.3092
2020-01-06,12.3812
2020-01-07,12.2504
2020-01-08,12.2428
2020-01-09,12.129
2020-01-10,12.0267
2020-01-11,12.0267
2020-01-12,12.0267
2020-01-13,11.8712
2020-01-14,12.0077
2020-01-15,12.0532
2020-01-16,12.0646
2020-01-17,11.966
2020-01-18,11.966
2020-01-19,11.966
2020-01-20,11.966
2020-01-21,11.875
2020-01-22,11.8598
2020-01-23,11.8522
2020-01-24,11.7536
2020-01-25,11.7536
2020-01-26,11.7536
2020-01-27,11.583
2020-01-28,11.492
2020-01-29,11.2531
2020-01-30,11.2834
2020-01-31,11.2228
2020-02-01,11.2228
2020-02-02,11.2228
2020-02-03,10.9194
2020-02-04,10.8018
2020-02-05,11.1204
2020-02-06,11.0294
2020-02-07,10.9573
2020-02-08,10.9573
2020-02-09,10.9573
2020-02-10,10.9004
2020-02-11,11.0407
2020-02-12,11.1469
2020-02-13,11.1545
2020-02-14,11.1545
2020-02-15,11.1545
2020-02-16,11.1545
2020-02-17,11.1545
2020-02-18,11.3517
2020-02-19,11.31
2020-02-20,11.3495
2020-02-21,12.0833
2020-02-22,12.0833
2020-02-23,12.0833
2020-02-24,11.8456
2020-02-25,11.6155
2020-02-26,11.374
2020-02-27,11.5023
2020-02-28,11.3249
2020-02-29,11.3249
2020-03-01,11.3249
2020-03-02,11.5664
2020-03-03,11.5004
2020-03-04,11.6419
2020-03-05,11.8041
2020-03-06,11.7966
2020-03-07,11.7966
2020-03-08,11.7966
2020-03-09,11.5098
2020-03-10,11.6041
2020-03-11,11.3589
2020-03-12,10.3214
2020-03-13,10.7854
2020-03-14,10.7854
2020-03-15,10.7854
2020-03-16,11.4683
2020-03-17,12.4379
2020-03-18,11.9701
2020-03-19,11.9437
2020-03-20,11.9362
2020-03-21,11.9362
2020-03-22,11.9362
2020-03-23,11.5513
2020-03-24,11.9324
2020-03-25,11.7626
2020-03-26,12.2267
2020-03-27,13.2349
2020-03-28,13.2349
2020-03-29,13.2349
2020-03-30,13.514
2020-03-31,13.5095
2020-04-01,13.5472
2020-04-02,13.6778
2020-04-03,13.7
2020-04-04,13.7
2020-04-05,13.7
2020-04-06,13.8638
2020-04-07,13.8063
2020-04-08,13.793
2020-04-09,13.6911
2020-04-10,13.6911
2020-04-11,13.6911
2020-04-12,13.6911
2020-04-13,13.607
2020-04-14,13.7221
2020-04-15,13.6823
2020-04-16,14.289
2020-04-17,14.3289
2020-04-18,14.3289
2020-04-19,14.3289
2020-04-20,14.1606
2020-04-21,14.3422
2020-04-22,14.5415
2020-04-23,14.7541
2020-04-24,14.8825
2020-04-25,14.8825
2020-04-26,14.8825
2020-04-27,14.7452
2020-04-28,14.6965
2020-04-29,14.4662
2020-04-30,14.4795
2020-05-01,14.5902
2020-05-02,14.5902
2020-05-03,14.5902
2020-05-04,14.9135
2020-05-05,15.1554
2020-05-06,15.8788
2020-05-07,16.0341
2020-05-08,16.4513
2020-05-09,16.4513
2020-05-10,16.4513
2020-05-11,17.046
2020-05-12,16.6288
2020-05-13,16.6377
2020-05-14,16.2072
2020-05-15,16.3093
2020-05-16,16.3093
2020-05-17,16.3093
2020-05-18,16.4336
2020-05-19,16.5046
2020-05-20,16.509
2020-05-21,16.154
2020-05-22,16.0563
2020-05-23,16.0563
2020-05-24,16.0563
2020-05-25,16.0563
2020-05-26,16.1229
2020-05-27,16.2915
2020-05-28,16.2649
2020-05-29,16.4291
2020-05-30,16.4291
2020-05-31,16.4291
2020-06-01,16.5845
2020-06-02,16.7132
2020-06-03,16.6466
2020-06-04,16.3404
2020-06-05,16.3492
2020-06-06,16.3492
2020-06-07,16.3492
2020-06-08,16.2938
2020-06-09,16.3182
2020-06-10,16.0652
2020-06-11,15.8655
2020-06-12,15.4882
2020-06-13,15.4882
2020-06-14,15.4882
2020-06-15,15.4305
