,THG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.4027
2020-01-02,10.3893
2020-01-03,10.3893
2020-01-04,10.3893
2020-01-05,10.3893
2020-01-06,10.4351
2020-01-07,10.3696
2020-01-08,10.3879
2020-01-09,10.4928
2020-01-10,10.4224
2020-01-11,10.4224
2020-01-12,10.4224
2020-01-13,10.4154
2020-01-14,10.4822
2020-01-15,10.5266
2020-01-16,10.5568
2020-01-17,10.5864
2020-01-18,10.5864
2020-01-19,10.5864
2020-01-20,10.5864
2020-01-21,10.5407
2020-01-22,10.559
2020-01-23,10.4597
2020-01-24,10.4083
2020-01-25,10.4083
2020-01-26,10.4083
2020-01-27,10.4273
2020-01-28,10.4984
2020-01-29,10.4752
2020-01-30,10.6244
2020-01-31,10.5371
2020-02-01,10.5371
2020-02-02,10.5371
2020-02-03,10.5892
2020-02-04,10.6751
2020-02-05,10.3581
2020-02-06,10.2998
2020-02-07,10.2916
2020-02-08,10.2916
2020-02-09,10.2916
2020-02-10,10.2991
2020-02-11,10.2436
2020-02-12,10.1996
2020-02-13,10.2353
2020-02-14,10.2367
2020-02-15,10.2367
2020-02-16,10.2367
2020-02-17,10.2367
2020-02-18,10.2264
2020-02-19,10.2182
2020-02-20,10.2113
2020-02-21,10.1626
2020-02-22,10.1626
2020-02-23,10.1626
2020-02-24,10.0034
2020-02-25,9.7334
2020-02-26,9.7437
2020-02-27,9.3666
2020-02-28,8.9262
2020-02-29,8.9262
2020-03-01,8.9262
2020-03-02,9.3329
2020-03-03,9.065
2020-03-04,9.2374
2020-03-05,8.9543
2020-03-06,8.9104
2020-03-07,8.9104
2020-03-08,8.9104
2020-03-09,8.393
2020-03-10,8.5888
2020-03-11,8.0667
2020-03-12,7.2574
2020-03-13,7.8606
2020-03-14,7.8606
2020-03-15,7.8606
2020-03-16,6.7744
2020-03-17,7.1667
2020-03-18,6.5566
2020-03-19,6.7256
2020-03-20,6.6246
2020-03-21,6.6246
2020-03-22,6.6246
2020-03-23,6.5305
2020-03-24,7.0245
2020-03-25,7.0973
2020-03-26,7.2333
2020-03-27,7.0437
2020-03-28,7.0437
2020-03-29,7.0437
2020-03-30,7.1495
2020-03-31,11.2602
2020-04-01,10.9737
2020-04-02,11.0251
2020-04-03,10.6253
2020-04-04,10.6253
2020-04-05,10.6253
2020-04-06,11.1223
2020-04-07,11.5509
2020-04-08,11.7444
2020-04-09,12.1153
2020-04-10,12.1153
2020-04-11,12.1153
2020-04-12,12.1153
2020-04-13,12.1976
2020-04-14,12.4242
2020-04-15,11.7754
2020-04-16,11.8085
2020-04-17,12.2821
2020-04-18,12.2821
2020-04-19,12.2821
2020-04-20,12.0052
2020-04-21,11.9689
2020-04-22,11.8438
2020-04-23,11.8118
2020-04-24,11.7487
2020-04-25,11.7487
2020-04-26,11.7487
2020-04-27,12.1794
2020-04-28,12.3419
2020-04-29,12.6935
2020-04-30,12.2594
2020-05-01,11.7412
2020-05-02,11.7412
2020-05-03,11.7412
2020-05-04,11.5986
2020-05-05,11.5901
2020-05-06,11.3815
2020-05-07,11.6752
2020-05-08,11.9647
2020-05-09,11.9647
2020-05-10,11.9647
2020-05-11,11.7678
2020-05-12,11.2347
2020-05-13,10.6495
2020-05-14,10.6814
2020-05-15,10.7303
2020-05-16,10.7303
2020-05-17,10.7303
2020-05-18,11.2571
2020-05-19,11.0432
2020-05-20,11.5316
2020-05-21,12.0211
2020-05-22,11.9561
2020-05-23,11.9561
2020-05-24,11.9561
2020-05-25,11.9561
2020-05-26,12.203
2020-05-27,12.5318
2020-05-28,12.5318
2020-05-29,12.2562
2020-05-30,12.2562
2020-05-31,12.2562
2020-06-01,12.419
2020-06-02,12.5084
2020-06-03,12.7829
2020-06-04,12.9457
2020-06-05,13.3448
2020-06-06,13.3448
2020-06-07,13.3448
2020-06-08,13.8215
2020-06-09,13.6118
2020-06-10,13.2841
2020-06-11,12.2956
2020-06-12,12.3041
2020-06-13,12.3041
2020-06-14,12.3041
2020-06-15,12.3743
2020-06-16,12.3935
2020-06-17,12.3509
2020-06-18,12.4169
2020-06-19,12.4807
2020-06-20,12.4807
2020-06-21,12.4807
2020-06-22,12.485
2020-06-23,12.3967
2020-06-24,12.0647
2020-06-25,12.1402
2020-06-26,11.7784
2020-06-27,11.7784
2020-06-28,11.7784
2020-06-29,12.2211
2020-06-30,11.0641
2020-07-01,10.8588
2020-07-02,10.8092
2020-07-03,10.8092
2020-07-04,10.8092
2020-07-05,10.8092
2020-07-06,10.8315
2020-07-07,10.5172
2020-07-08,10.6389
2020-07-09,10.2886
2020-07-10,10.5095
2020-07-11,10.5095
2020-07-12,10.5095
2020-07-13,10.6058
2020-07-14,10.7683
2020-07-15,11.1225
2020-07-16,11.0193
2020-07-17,10.7839
2020-07-18,10.7839
2020-07-19,10.7839
2020-07-20,10.5435
2020-07-21,10.8549
2020-07-22,10.9259
2020-07-23,11.0213
2020-07-24,10.9979
2020-07-25,10.9979
2020-07-26,10.9979
2020-07-27,10.7702
2020-07-28,11.2385
2020-07-29,10.9647
2020-07-30,11.0121
2020-07-31,11.0498
2020-08-01,11.0498
2020-08-02,11.0498
2020-08-03,11.129
2020-08-04,11.0469
2020-08-05,11.1706
2020-08-06,11.1571
2020-08-07,11.4692
2020-08-08,11.4692
2020-08-09,11.4692
2020-08-10,11.5794
2020-08-11,11.5562
2020-08-12,11.4663
2020-08-13,11.4489
2020-08-14,11.4972
2020-08-15,11.4972
2020-08-16,11.4972
2020-08-17,11.3619
2020-08-18,11.418
2020-08-19,11.1309
2020-08-20,11.0034
2020-08-21,10.9329
2020-08-22,10.9329
2020-08-23,10.9329
2020-08-24,11.1502
2020-08-25,11.1512
2020-08-26,11.0468
2020-08-27,11.2574
2020-08-28,11.3395
2020-08-29,11.3395
2020-08-30,11.3395
2020-08-31,11.1038
2020-09-01,11.0526
2020-09-02,11.1038
2020-09-03,10.8739
2020-09-04,10.8797
2020-09-05,10.8797
2020-09-06,10.8797
2020-09-07,10.8797
2020-09-08,10.5909
2020-09-09,10.6827
2020-09-10,10.4229
2020-09-11,10.4084
2020-09-12,10.4084
2020-09-13,10.4084
2020-09-14,10.5088
2020-09-15,10.3301
2020-09-16,10.4673
2020-09-17,10.4567
2020-09-18,10.2693
2020-09-19,10.2693
2020-09-20,10.2693
2020-09-21,10.1814
2020-09-22,10.0858
2020-09-23,9.8655
2020-09-24,9.8105
2020-09-25,9.9544
2020-09-26,9.9544
2020-09-27,9.9544
2020-09-28,10.1669
2020-09-29,10.0906
2020-09-30,9.9306
2020-10-01,9.9674
2020-10-02,9.973
2020-10-03,9.973
2020-10-04,9.973
2020-10-05,10.1776
2020-10-06,10.114
2020-10-07,10.2108
2020-10-08,10.2403
2020-10-09,10.185
2020-10-10,10.185
2020-10-11,10.185
2020-10-12,10.3739
2020-10-13,10.1905
2020-10-14,10.161
2020-10-15,10.2615
2020-10-16,10.3195
2020-10-17,10.3195
2020-10-18,10.3195
2020-10-19,10.2624
2020-10-20,10.4366
2020-10-21,10.6809
2020-10-22,10.8468
2020-10-23,10.7187
2020-10-24,10.7187
2020-10-25,10.7187
2020-10-26,10.5048
2020-10-27,10.2642
2020-10-28,9.9899
2020-10-29,10.081
2020-10-30,10.05
2020-10-31,10.05
2020-11-01,10.05
2020-11-02,10.3222
2020-11-03,10.4597
2020-11-04,10.2184
2020-11-05,10.4997
2020-11-06,10.4661
2020-11-07,10.4661
2020-11-08,10.4661
2020-11-09,11.2717
2020-11-10,11.6122
2020-11-11,11.4584
2020-11-12,11.3919
2020-11-13,11.6678
2020-11-14,11.6678
2020-11-15,11.6678
2020-11-16,12.0437
2020-11-17,11.8908
2020-11-18,11.8216
2020-11-19,11.8234
2020-11-20,11.8316
2020-11-21,11.8316
2020-11-22,11.8316
2020-11-23,11.9044
2020-11-24,12.1147
2020-11-25,12.0155
2020-11-26,12.0155
2020-11-27,11.9026
2020-11-28,11.9026
2020-11-29,11.9026
2020-11-30,11.5694
2020-12-01,11.7988
2020-12-02,11.777
2020-12-03,11.7105
2020-12-04,11.9946
2020-12-05,11.9946
2020-12-06,11.9946
2020-12-07,11.7961
2020-12-08,11.8535
2020-12-09,11.9072
2020-12-10,11.9345
2020-12-11,11.9236
2020-12-12,11.9236
2020-12-13,11.9236
2020-12-14,11.878
2020-12-15,12.102
2020-12-16,12.0765
2020-12-17,12.0465
2020-12-18,11.9991
2020-12-19,11.9991
2020-12-20,11.9991
2020-12-21,11.8771
2020-12-22,11.818
2020-12-23,11.919
2020-12-24,11.909
2020-12-25,11.909
2020-12-26,11.909
2020-12-27,11.909
2020-12-28,11.9217
2020-12-29,11.8735
2020-12-30,11.9136
2020-12-31,10.4083
2021-01-01,10.4083
2021-01-02,10.4083
2021-01-03,10.4083
2021-01-04,10.225
2021-01-05,10.2552
2021-01-06,10.5853
2021-01-07,10.6309
2021-01-08,10.6294
2021-01-09,10.6294
2021-01-10,10.6294
2021-01-11,10.5629
2021-01-12,10.6943
2021-01-13,10.6781
2021-01-14,10.6642
2021-01-15,10.6
2021-01-16,10.6
2021-01-17,10.6
2021-01-18,10.6
2021-01-19,10.6441
2021-01-20,10.7809
2021-01-21,10.5737
2021-01-22,10.4129
2021-01-23,10.4129
2021-01-24,10.4129
2021-01-25,10.3843
2021-01-26,10.28
2021-01-27,10.0705
2021-01-28,10.1702
2021-01-29,10.0643
2021-01-30,10.0643
2021-01-31,10.0643
2021-02-01,10.137
2021-02-02,10.1617
2021-02-03,10.2166
2021-02-04,10.0202
2021-02-05,9.9424
2021-02-06,9.9424
2021-02-07,9.9424
2021-02-08,9.9265
2021-02-09,10.1055
2021-02-10,10.1267
2021-02-11,10.1675
2021-02-12,10.0799
2021-02-13,10.0799
2021-02-14,10.0799
2021-02-15,10.0799
2021-02-16,10.0496
2021-02-17,10.1735
2021-02-18,10.0708
2021-02-19,9.9288
2021-02-20,9.9288
2021-02-21,9.9288
2021-02-22,10.1131
2021-02-23,10.2083
2021-02-24,10.3464
2021-02-25,10.1984
2021-02-26,10.0799
2021-02-27,10.0799
2021-02-28,10.0799
2021-03-01,10.4061
2021-03-02,10.4106
2021-03-03,10.508
2021-03-04,10.4393
2021-03-05,10.6084
2021-03-06,10.6084
2021-03-07,10.6084
2021-03-08,10.9142
2021-03-09,10.8138
2021-03-10,11.0139
2021-03-11,10.9822
2021-03-12,11.1015
2021-03-13,11.1015
2021-03-14,11.1015
2021-03-15,11.1694
2021-03-16,11.0932
2021-03-17,11.14
2021-03-18,11.4216
2021-03-19,11.2887
2021-03-20,11.2887
2021-03-21,11.2887
2021-03-22,11.1687
2021-03-23,11.0418
2021-03-24,11.0713
2021-03-25,11.2646
2021-03-26,11.268
2021-03-27,11.268
2021-03-28,11.268
2021-03-29,11.2672
2021-03-30,11.2816
2021-03-31,8.2877
2021-04-01,8.341
2021-04-02,8.341
2021-04-03,8.341
2021-04-04,8.341
2021-04-05,8.406
2021-04-06,8.4957
2021-04-07,8.5618
2021-04-08,8.5545
2021-04-09,8.5848
2021-04-10,8.5848
2021-04-11,8.5848
2021-04-12,8.5876
2021-04-13,8.5803
2021-04-14,8.6442
2021-04-15,8.5938
2021-04-16,8.5478
2021-04-17,8.5478
2021-04-18,8.5478
2021-04-19,8.6078
2021-04-20,8.5775
2021-04-21,8.5865
2021-04-22,8.508
2021-04-23,8.5713
2021-04-24,8.5713
2021-04-25,8.5713
2021-04-26,8.596
2021-04-27,8.679
2021-04-28,8.573
2021-04-29,8.735
2021-04-30,8.6807
2021-05-01,8.6807
2021-05-02,8.6807
2021-05-03,8.7665
2021-05-04,8.8035
