,VNOM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,22.5541
2020-01-02,23.4654
2020-01-03,23.6555
2020-01-04,23.6555
2020-01-05,23.6555
2020-01-06,24.1389
2020-01-07,24.1231
2020-01-08,23.8616
2020-01-09,23.5604
2020-01-10,23.188
2020-01-11,23.188
2020-01-12,23.188
2020-01-13,23.1246
2020-01-14,22.776
2020-01-15,22.4828
2020-01-16,22.5382
2020-01-17,22.1024
2020-01-18,22.1024
2020-01-19,22.1024
2020-01-20,22.1024
2020-01-21,21.9043
2020-01-22,21.8013
2020-01-23,21.3258
2020-01-24,20.7632
2020-01-25,20.7632
2020-01-26,20.7632
2020-01-27,20.3749
2020-01-28,20.5017
2020-01-29,21.2545
2020-01-30,21.0881
2020-01-31,20.2957
2020-02-01,20.2957
2020-02-02,20.2957
2020-02-03,20.2165
2020-02-04,20.7949
2020-02-05,21.5873
2020-02-06,21.3892
2020-02-07,20.5334
2020-02-08,20.5334
2020-02-09,20.5334
2020-02-10,20.2323
2020-02-11,20.0025
2020-02-12,21.3759
2020-02-13,21.6626
2020-02-14,22.3178
2020-02-15,22.3178
2020-02-16,22.3178
2020-02-17,22.3178
2020-02-18,22.0639
2020-02-19,22.3669
2020-02-20,21.6708
2020-02-21,21.6216
2020-02-22,21.6216
2020-02-23,21.6216
2020-02-24,20.3931
2020-02-25,18.9761
2020-02-26,18.7796
2020-02-27,17.6739
2020-02-28,17.6165
2020-02-29,17.6165
2020-03-01,17.6165
2020-03-02,17.6247
2020-03-03,17.6739
2020-03-04,17.7599
2020-03-05,16.9367
2020-03-06,15.0284
2020-03-07,15.0284
2020-03-08,15.0284
2020-03-09,9.631
2020-03-10,9.9094
2020-03-11,9.6474
2020-03-12,9.1232
2020-03-13,10.0323
2020-03-14,10.0323
2020-03-15,10.0323
2020-03-16,9.7702
2020-03-17,8.8611
2020-03-18,7.4442
2020-03-19,8.1895
2020-03-20,7.7144
2020-03-21,7.7144
2020-03-22,7.7144
2020-03-23,7.2558
2020-03-24,8.1321
2020-03-25,8.4106
2020-03-26,8.5417
2020-03-27,7.8537
2020-03-28,7.8537
2020-03-29,7.8537
2020-03-30,7.9683
2020-03-31,8.4253
2020-04-01,8.5609
2020-04-02,9.5179
2020-04-03,9.3105
2020-04-04,9.3105
2020-04-05,9.3105
2020-04-06,9.3344
2020-04-07,9.4461
2020-04-08,9.9166
2020-04-09,9.5577
2020-04-10,9.5577
2020-04-11,9.5577
2020-04-12,9.5577
2020-04-13,9.3584
2020-04-14,9.5657
2020-04-15,9.1112
2020-04-16,8.5609
2020-04-17,8.8799
2020-04-18,8.8799
2020-04-19,8.8799
2020-04-20,8.6566
2020-04-21,8.8161
2020-04-22,9.2786
2020-04-23,9.6853
2020-04-24,9.6375
2020-04-25,9.6375
2020-04-26,9.6375
2020-04-27,9.6375
2020-04-28,9.8528
2020-04-29,10.116
2020-04-30,10.5386
2020-05-01,9.9963
2020-05-02,9.9963
2020-05-03,9.9963
2020-05-04,9.9963
2020-05-05,9.6625
2020-05-06,9.487
2020-05-07,9.6784
2020-05-08,10.1889
2020-05-09,10.1889
2020-05-10,10.1889
2020-05-11,10.2686
2020-05-12,10.157
2020-05-13,9.814
2020-05-14,9.7422
2020-05-15,9.9975
2020-05-16,9.9975
2020-05-17,9.9975
2020-05-18,10.9785
2020-05-19,10.8589
2020-05-20,11.5927
2020-05-21,11.5129
2020-05-22,11.5288
2020-05-23,11.5288
2020-05-24,11.5288
2020-05-25,11.5288
2020-05-26,11.8798
2020-05-27,11.5288
2020-05-28,11.6325
2020-05-29,11.5049
2020-05-30,11.5049
2020-05-31,11.5049
2020-06-01,11.5528
2020-06-02,12.0393
2020-06-03,12.1829
2020-06-04,12.3583
2020-06-05,13.4271
2020-06-06,13.4271
2020-06-07,13.4271
2020-06-08,14.0652
2020-06-09,13.7462
2020-06-10,13.124
2020-06-11,12.0632
2020-06-12,12.3743
2020-06-13,12.3743
2020-06-14,12.3743
2020-06-15,12.5338
2020-06-16,12.6535
2020-06-17,12.135
2020-06-18,12.2547
2020-06-19,12.0632
2020-06-20,12.0632
2020-06-21,12.0632
2020-06-22,12.2228
2020-06-23,12.3504
2020-06-24,11.4331
2020-06-25,11.5927
2020-06-26,11.3055
2020-06-27,11.3055
2020-06-28,11.3055
2020-06-29,11.473
2020-06-30,14.6687
2020-07-01,14.4632
2020-07-02,14.6687
2020-07-03,14.6687
2020-07-04,14.6687
2020-07-05,14.6687
2020-07-06,14.6481
2020-07-07,14.3501
2020-07-08,14.2782
2020-07-09,13.7028
2020-07-10,14.1138
2020-07-11,14.1138
2020-07-12,14.1138
2020-07-13,13.8672
2020-07-14,14.3296
2020-07-15,14.5556
2020-07-16,14.6378
2020-07-17,14.381
2020-07-18,14.381
2020-07-19,14.381
2020-07-20,14.5351
2020-07-21,15.2338
2020-07-22,15.0591
2020-07-23,14.7714
2020-07-24,14.8331
2020-07-25,14.8331
2020-07-26,14.8331
2020-07-27,14.6378
2020-07-28,14.5145
2020-07-29,14.905
2020-07-30,14.7714
2020-07-31,14.6481
2020-08-01,14.6481
2020-08-02,14.6481
2020-08-03,14.8639
2020-08-04,14.7406
2020-08-05,15.1833
2020-08-06,14.5976
2020-08-07,14.6593
2020-08-08,14.6593
2020-08-09,14.6593
2020-08-10,15.2655
2020-08-11,15.2758
2020-08-12,15.6355
2020-08-13,15.1422
2020-08-14,15.2655
2020-08-15,15.2655
2020-08-16,15.2655
2020-08-17,14.9162
2020-08-18,14.649
2020-08-19,14.649
2020-08-20,14.4846
2020-08-21,14.3715
2020-08-22,14.3715
2020-08-23,14.3715
2020-08-24,14.5873
2020-08-25,14.7209
2020-08-26,14.464
2020-08-27,14.5257
2020-08-28,14.6182
2020-08-29,14.6182
2020-08-30,14.6182
2020-08-31,14.4846
2020-09-01,14.4435
2020-09-02,14.0222
2020-09-03,13.9194
2020-09-04,13.7653
2020-09-05,13.7653
2020-09-06,13.7653
2020-09-07,13.7653
2020-09-08,13.0357
2020-09-09,13.0768
2020-09-10,12.378
2020-09-11,12.1828
2020-09-12,12.1828
2020-09-13,12.1828
2020-09-14,12.3061
2020-09-15,12.193
2020-09-16,12.5219
2020-09-17,12.4294
2020-09-18,12.2342
2020-09-19,12.2342
2020-09-20,12.2342
2020-09-21,11.9978
2020-09-22,12.0903
2020-09-23,11.7306
2020-09-24,11.8334
2020-09-25,11.7512
2020-09-26,11.7512
