,L US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.3333
2020-01-02,19.4224
2020-01-03,19.3845
2020-01-04,19.3845
2020-01-05,19.3845
2020-01-06,19.2555
2020-01-07,19.21
2020-01-08,19.2119
2020-01-09,19.375
2020-01-10,19.2536
2020-01-11,19.2536
2020-01-12,19.2536
2020-01-13,19.2593
2020-01-14,19.246
2020-01-15,19.1796
2020-01-16,19.2669
2020-01-17,19.3143
2020-01-18,19.3143
2020-01-19,19.3143
2020-01-20,19.3143
2020-01-21,19.1455
2020-01-22,19.2176
2020-01-23,19.1379
2020-01-24,19.117
2020-01-25,19.117
2020-01-26,19.117
2020-01-27,19.0108
2020-01-28,19.1436
2020-01-29,19.1777
2020-01-30,19.3124
2020-01-31,19.136
2020-02-01,19.136
2020-02-02,19.136
2020-02-03,19.3162
2020-02-04,19.3788
2020-02-05,19.54
2020-02-06,19.4888
2020-02-07,19.4774
2020-02-08,19.4774
2020-02-09,19.4774
2020-02-10,19.9631
2020-02-11,19.7563
2020-02-12,19.2739
2020-02-13,19.2977
2020-02-14,19.3216
2020-02-15,19.3216
2020-02-16,19.3216
2020-02-17,19.3216
2020-02-18,19.2317
2020-02-19,19.2335
2020-02-20,19.2665
2020-02-21,19.2188
2020-02-22,19.2188
2020-02-23,19.2188
2020-02-24,18.9802
2020-02-25,18.6187
2020-02-26,18.3599
2020-02-27,17.8571
2020-02-28,17.7506
2020-02-29,17.7506
2020-03-01,17.7506
2020-03-02,18.3122
2020-03-03,18.0167
2020-03-04,18.2773
2020-03-05,17.7323
2020-03-06,17.4845
2020-03-07,17.4845
2020-03-08,17.4845
2020-03-09,16.6054
2020-03-10,17.301
2020-03-11,16.6678
2020-03-12,15.4675
2020-03-13,16.1686
2020-03-14,16.1686
2020-03-15,16.1686
2020-03-16,15.5097
2020-03-17,16.1154
2020-03-18,15.7245
2020-03-19,16.2237
2020-03-20,15.1133
2020-03-21,15.1133
2020-03-22,15.1133
2020-03-23,14.8344
2020-03-24,15.5685
2020-03-25,15.4859
2020-03-26,15.875
2020-03-27,15.5611
2020-03-28,15.5611
2020-03-29,15.5611
2020-03-30,15.8786
2020-03-31,15.8786
2020-04-01,15.8786
2020-04-02,15.8786
2020-04-03,15.8786
2020-04-04,15.8786
2020-04-05,15.8786
2020-04-06,15.8786
2020-04-07,15.8786
2020-04-08,15.8786
2020-04-09,15.8786
2020-04-10,15.8786
2020-04-11,15.8786
2020-04-12,15.8786
2020-04-13,15.8786
2020-04-14,15.8786
2020-04-15,15.8786
2020-04-16,15.8786
2020-04-17,15.8786
2020-04-18,15.8786
2020-04-19,15.8786
2020-04-20,15.8786
2020-04-21,15.8786
2020-04-22,15.8786
2020-04-23,15.8786
2020-04-24,15.8786
2020-04-25,15.8786
2020-04-26,15.8786
2020-04-27,15.8786
2020-04-28,15.8786
2020-04-29,15.8786
2020-04-30,15.8786
2020-05-01,15.8786
2020-05-02,15.8786
2020-05-03,15.8786
2020-05-04,15.8786
2020-05-05,15.8786
2020-05-06,15.8786
2020-05-07,15.8786
2020-05-08,15.8786
2020-05-09,15.8786
2020-05-10,15.8786
2020-05-11,15.8786
2020-05-12,15.8786
2020-05-13,15.8786
2020-05-14,15.8786
2020-05-15,15.8786
2020-05-16,15.8786
2020-05-17,15.8786
2020-05-18,15.8786
2020-05-19,15.8786
2020-05-20,15.8786
2020-05-21,15.8786
2020-05-22,15.8786
2020-05-23,15.8786
2020-05-24,15.8786
2020-05-25,15.8786
2020-05-26,15.8786
2020-05-27,15.8786
2020-05-28,15.8786
2020-05-29,15.8786
2020-05-30,15.8786
2020-05-31,15.8786
2020-06-01,15.8786
2020-06-02,15.8786
2020-06-03,15.8786
2020-06-04,15.8786
2020-06-05,15.8786
2020-06-06,15.8786
2020-06-07,15.8786
2020-06-08,15.8786
