,CLB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.369
2020-01-02,20.6958
2020-01-03,21.4378
2020-01-04,21.4378
2020-01-05,21.4378
2020-01-06,21.8132
2020-01-07,21.9457
2020-01-08,21.4864
2020-01-09,21.4025
2020-01-10,21.4996
2020-01-11,21.4996
2020-01-12,21.4996
2020-01-13,21.5041
2020-01-14,21.7249
2020-01-15,21.3407
2020-01-16,21.3716
2020-01-17,21.323
2020-01-18,21.323
2020-01-19,21.323
2020-01-20,21.323
2020-01-21,21.0933
2020-01-22,20.9829
2020-01-23,20.8151
2020-01-24,20.4573
2020-01-25,20.4573
2020-01-26,20.4573
2020-01-27,19.6138
2020-01-28,19.6315
2020-01-29,19.4813
2020-01-30,19.733
2020-01-31,19.2472
2020-02-01,19.2472
2020-02-02,19.2472
2020-02-03,19.1456
2020-02-04,19.8081
2020-02-05,20.0599
2020-02-06,19.8876
2020-02-07,19.0396
2020-02-08,19.0396
2020-02-09,19.0396
2020-02-10,18.8208
2020-02-11,18.6836
2020-02-12,18.75
2020-02-13,18.4713
2020-02-14,18.6615
2020-02-15,18.6615
2020-02-16,18.6615
2020-02-17,18.6615
2020-02-18,18.343
2020-02-19,18.2236
2020-02-20,18.1882
2020-02-21,17.5335
2020-02-22,17.5335
2020-02-23,17.5335
2020-02-24,16.9496
2020-02-25,16.5647
2020-02-26,16.2595
2020-02-27,15.6535
2020-02-28,15.6048
2020-02-29,15.6048
2020-03-01,15.6048
2020-03-02,15.9587
2020-03-03,15.7552
2020-03-04,15.5208
2020-03-05,15.0076
2020-03-06,14.2778
2020-03-07,14.2778
2020-03-08,14.2778
2020-03-09,9.7126
2020-03-10,9.5091
2020-03-11,8.5669
2020-03-12,7.2974
2020-03-13,7.4876
2020-03-14,7.4876
2020-03-15,7.4876
2020-03-16,7.3416
2020-03-17,7.2664
2020-03-18,7.2929
2020-03-19,7.8857
2020-03-20,8.1333
2020-03-21,8.1333
2020-03-22,8.1333
2020-03-23,8.0669
2020-03-24,8.5579
2020-03-25,8.2748
2020-03-26,8.2704
2020-03-27,8.0448
2020-03-28,8.0448
2020-03-29,8.0448
2020-03-30,7.9386
2020-03-31,7.9386
2020-04-01,7.9386
2020-04-02,7.9386
2020-04-03,7.9386
2020-04-04,7.9386
2020-04-05,7.9386
2020-04-06,7.9386
2020-04-07,7.9386
2020-04-08,7.9386
2020-04-09,7.9386
2020-04-10,7.9386
2020-04-11,7.9386
2020-04-12,7.9386
2020-04-13,7.9386
2020-04-14,7.9386
2020-04-15,7.9386
2020-04-16,7.9386
2020-04-17,7.9386
2020-04-18,7.9386
2020-04-19,7.9386
2020-04-20,7.9386
2020-04-21,7.9386
2020-04-22,7.9386
2020-04-23,7.9386
2020-04-24,7.9386
2020-04-25,7.9386
2020-04-26,7.9386
2020-04-27,7.9386
2020-04-28,7.9386
2020-04-29,7.9386
2020-04-30,7.9386
2020-05-01,7.9386
2020-05-02,7.9386
2020-05-03,7.9386
2020-05-04,7.9386
2020-05-05,7.9386
2020-05-06,7.9386
2020-05-07,7.9386
2020-05-08,7.9386
2020-05-09,7.9386
2020-05-10,7.9386
2020-05-11,7.9386
2020-05-12,7.9386
2020-05-13,7.9386
2020-05-14,7.9386
2020-05-15,7.9386
2020-05-16,7.9386
2020-05-17,7.9386
2020-05-18,7.9386
2020-05-19,7.9386
2020-05-20,7.9386
2020-05-21,7.9386
2020-05-22,7.9386
2020-05-23,7.9386
2020-05-24,7.9386
2020-05-25,7.9386
2020-05-26,7.9386
2020-05-27,7.9386
2020-05-28,7.9386
2020-05-29,7.9386
2020-05-30,7.9386
2020-05-31,7.9386
2020-06-01,7.9386
2020-06-02,7.9386
2020-06-03,7.9386
2020-06-04,7.9386
2020-06-05,7.9386
2020-06-06,7.9386
2020-06-07,7.9386
2020-06-08,7.9386
2020-06-09,7.9386
2020-06-10,7.9386
2020-06-11,7.9386
2020-06-12,7.9386
2020-06-13,7.9386
2020-06-14,7.9386
2020-06-15,7.9386
2020-06-16,7.9386
2020-06-17,7.9386
2020-06-18,7.9386
2020-06-19,7.9386
2020-06-20,7.9386
2020-06-21,7.9386
2020-06-22,7.9386
2020-06-23,7.9386
2020-06-24,7.9386
2020-06-25,7.9386
2020-06-26,7.9386
2020-06-27,7.9386
2020-06-28,7.9386
2020-06-29,7.9386
2020-06-30,7.9386
2020-07-01,7.9386
2020-07-02,7.9386
2020-07-03,7.9386
2020-07-04,7.9386
2020-07-05,7.9386
2020-07-06,7.9386
2020-07-07,7.9386
2020-07-08,7.9386
2020-07-09,7.9386
2020-07-10,7.9386
2020-07-11,7.9386
2020-07-12,7.9386
2020-07-13,7.9386
2020-07-14,7.9386
2020-07-15,7.9386
2020-07-16,7.9386
2020-07-17,7.9386
2020-07-18,7.9386
2020-07-19,7.9386
2020-07-20,7.9386
2020-07-21,7.9386
2020-07-22,7.9386
2020-07-23,7.9386
2020-07-24,7.9386
2020-07-25,7.9386
2020-07-26,7.9386
2020-07-27,7.9386
2020-07-28,7.9386
2020-07-29,7.9386
2020-07-30,7.9386
2020-07-31,7.9386
2020-08-01,7.9386
2020-08-02,7.9386
2020-08-03,7.9386
2020-08-04,7.9386
2020-08-05,7.9386
2020-08-06,7.9386
2020-08-07,7.9386
2020-08-08,7.9386
2020-08-09,7.9386
2020-08-10,7.9386
2020-08-11,7.9386
2020-08-12,7.9386
2020-08-13,7.9386
2020-08-14,7.9386
2020-08-15,7.9386
2020-08-16,7.9386
2020-08-17,7.9386
2020-08-18,7.9386
2020-08-19,7.9386
2020-08-20,7.9386
2020-08-21,7.9386
2020-08-22,7.9386
2020-08-23,7.9386
2020-08-24,7.9386
2020-08-25,7.9386
2020-08-26,7.9386
2020-08-27,7.9386
2020-08-28,7.9386
2020-08-29,7.9386
2020-08-30,7.9386
2020-08-31,7.9386
2020-09-01,7.9386
2020-09-02,7.9386
2020-09-03,7.9386
2020-09-04,7.9386
2020-09-05,7.9386
2020-09-06,7.9386
2020-09-07,7.9386
2020-09-08,7.9386
2020-09-09,7.9386
2020-09-10,7.9386
2020-09-11,7.9386
2020-09-12,7.9386
2020-09-13,7.9386
2020-09-14,7.9386
2020-09-15,7.9386
2020-09-16,7.9386
2020-09-17,7.9386
2020-09-18,7.9386
2020-09-19,7.9386
2020-09-20,7.9386
2020-09-21,7.9386
2020-09-22,7.9386
2020-09-23,7.9386
