,AMP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.3275
2020-01-02,9.4779
2020-01-03,9.3581
2020-01-04,9.3581
2020-01-05,9.3581
2020-01-06,9.3894
2020-01-07,9.2747
2020-01-08,9.3593
2020-01-09,9.4575
2020-01-10,9.4739
2020-01-11,9.4739
2020-01-12,9.4739
2020-01-13,9.5063
2020-01-14,9.4319
2020-01-15,9.4246
2020-01-16,9.6323
2020-01-17,9.6596
2020-01-18,9.6596
2020-01-19,9.6596
2020-01-20,9.6596
2020-01-21,9.5358
2020-01-22,9.5863
2020-01-23,9.6
2020-01-24,9.3837
2020-01-25,9.3837
2020-01-26,9.3837
2020-01-27,9.0902
2020-01-28,9.2446
2020-01-29,9.2968
2020-01-30,9.5506
2020-01-31,9.2611
2020-02-01,9.2611
2020-02-02,9.2611
2020-02-03,9.3774
2020-02-04,9.7078
2020-02-05,9.8656
2020-02-06,9.8571
2020-02-07,9.8236
2020-02-08,9.8236
2020-02-09,9.8236
2020-02-10,9.8491
2020-02-11,9.9547
2020-02-12,10.0121
2020-02-13,9.9984
2020-02-14,10.0223
2020-02-15,10.0223
2020-02-16,10.0223
2020-02-17,10.0223
2020-02-18,9.9354
2020-02-19,10.0348
2020-02-20,10.0734
2020-02-21,9.8298
2020-02-22,9.8298
2020-02-23,9.8298
2020-02-24,9.2077
2020-02-25,8.74
2020-02-26,8.7269
2020-02-27,7.9435
2020-02-28,7.674
2020-02-29,7.674
2020-03-01,7.674
2020-03-02,8.2019
2020-03-03,7.6332
2020-03-04,7.8485
2020-03-05,7.2991
2020-03-06,6.8623
2020-03-07,6.8623
2020-03-08,6.8623
2020-03-09,5.8977
2020-03-10,6.4582
2020-03-11,5.9888
2020-03-12,4.975
2020-03-13,6.1302
2020-03-14,6.1302
2020-03-15,6.1302
2020-03-16,4.6393
2020-03-17,5.2798
2020-03-18,5.0573
2020-03-19,5.1412
2020-03-20,4.832
2020-03-21,4.832
2020-03-22,4.832
2020-03-23,4.438
2020-03-24,5.3845
2020-03-25,5.5795
2020-03-26,5.9801
2020-03-27,5.5647
2020-03-28,5.5647
2020-03-29,5.5647
2020-03-30,5.8853
2020-03-31,1.5358
2020-04-01,1.2916
2020-04-02,1.2838
2020-04-03,1.1723
2020-04-04,1.1723
2020-04-05,1.1723
2020-04-06,1.5388
2020-04-07,1.5657
2020-04-08,1.8112
2020-04-09,2.0737
2020-04-10,2.0737
2020-04-11,2.0737
2020-04-12,2.0737
2020-04-13,1.9077
2020-04-14,1.8892
2020-04-15,1.5857
2020-04-16,1.5122
2020-04-17,1.7891
2020-04-18,1.7891
2020-04-19,1.7891
2020-04-20,1.7639
2020-04-21,1.5648
2020-04-22,1.6085
2020-04-23,1.5917
2020-04-24,1.6853
2020-04-25,1.6853
2020-04-26,1.6853
2020-04-27,1.8339
2020-04-28,1.8647
2020-04-29,2.0004
2020-04-30,1.9083
2020-05-01,1.7983
2020-05-02,1.7983
2020-05-03,1.7983
2020-05-04,1.8521
2020-05-05,1.7825
2020-05-06,1.6793
2020-05-07,2.1113
2020-05-08,2.2273
2020-05-09,2.2273
2020-05-10,2.2273
2020-05-11,2.1753
2020-05-12,2.0754
2020-05-13,1.963
2020-05-14,2.1185
2020-05-15,2.1001
2020-05-16,2.1001
2020-05-17,2.1001
2020-05-18,2.396
2020-05-19,2.2952
2020-05-20,2.3871
2020-05-21,2.4017
2020-05-22,2.4118
2020-05-23,2.4118
2020-05-24,2.4118
2020-05-25,2.4118
2020-05-26,2.6373
2020-05-27,2.8211
2020-05-28,2.7444
2020-05-29,2.6382
2020-05-30,2.6382
2020-05-31,2.6382
2020-06-01,2.7533
2020-06-02,2.8264
2020-06-03,2.9775
2020-06-04,3.0263
2020-06-05,3.0992
2020-06-06,3.0992
2020-06-07,3.0992
2020-06-08,3.3113
2020-06-09,3.2188
2020-06-10,3.054
2020-06-11,2.609
2020-06-12,2.8336
2020-06-13,2.8336
2020-06-14,2.8336
2020-06-15,2.9389
2020-06-16,3.0379
2020-06-17,2.9243
2020-06-18,2.9493
2020-06-19,2.8844
2020-06-20,2.8844
2020-06-21,2.8844
2020-06-22,2.8824
2020-06-23,2.8922
2020-06-24,2.7241
2020-06-25,2.9796
2020-06-26,2.8452
2020-06-27,2.8452
2020-06-28,2.8452
2020-06-29,2.8847
2020-06-30,4.5625
2020-07-01,4.3908
2020-07-02,4.3753
2020-07-03,4.3753
2020-07-04,4.3753
2020-07-05,4.3753
2020-07-06,4.569
2020-07-07,4.403
2020-07-08,4.496
2020-07-09,4.2872
2020-07-10,4.503
2020-07-11,4.503
2020-07-12,4.503
2020-07-13,4.4789
2020-07-14,4.5527
2020-07-15,4.7281
2020-07-16,4.6787
2020-07-17,4.6983
2020-07-18,4.6983
2020-07-19,4.6983
2020-07-20,4.7395
2020-07-21,4.8598
2020-07-22,4.8855
2020-07-23,4.8386
2020-07-24,4.7754
2020-07-25,4.7754
