,FHI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.8202
2020-01-02,9.8944
2020-01-03,9.8059
2020-01-04,9.8059
2020-01-05,9.8059
2020-01-06,9.8059
2020-01-07,9.9429
2020-01-08,10.0627
2020-01-09,10.0856
2020-01-10,10.0028
2020-01-11,10.0028
2020-01-12,10.0028
2020-01-13,10.2283
2020-01-14,10.2768
2020-01-15,10.3167
2020-01-16,10.3424
2020-01-17,10.2112
2020-01-18,10.2112
2020-01-19,10.2112
2020-01-20,10.2112
2020-01-21,10.1798
2020-01-22,10.3025
2020-01-23,10.3396
2020-01-24,10.1855
2020-01-25,10.1855
2020-01-26,10.1855
2020-01-27,10.254
2020-01-28,10.2825
2020-01-29,10.2654
2020-01-30,10.4566
2020-01-31,10.859
2020-02-01,10.859
2020-02-02,10.859
2020-02-03,11.19
2020-02-04,11.2072
2020-02-05,11.2015
2020-02-06,11.1444
2020-02-07,10.8733
2020-02-08,10.8733
2020-02-09,10.8733
2020-02-10,10.9018
2020-02-11,10.9075
2020-02-12,10.839
2020-02-13,10.9018
2020-02-14,10.6706
2020-02-15,10.6706
2020-02-16,10.6706
2020-02-17,10.6706
2020-02-18,10.7734
2020-02-19,10.9646
2020-02-20,10.9132
2020-02-21,10.6808
2020-02-22,10.6808
2020-02-23,10.6808
2020-02-24,10.4097
2020-02-25,9.9674
2020-02-26,9.8989
2020-02-27,9.2797
2020-02-28,8.7518
2020-02-29,8.7518
2020-03-01,8.7518
2020-03-02,9.3368
2020-03-03,9.02
2020-03-04,8.6633
2020-03-05,8.0441
2020-03-06,8.0869
2020-03-07,8.0869
2020-03-08,8.0869
2020-03-09,7.0454
2020-03-10,7.6732
2020-03-11,6.7886
2020-03-12,5.8726
2020-03-13,6.292
2020-03-14,6.292
2020-03-15,6.292
2020-03-16,5.5986
2020-03-17,5.7185
2020-03-18,5.0992
2020-03-19,5.8012
2020-03-20,5.0564
2020-03-21,5.0564
2020-03-22,5.0564
2020-03-23,4.2489
2020-03-24,4.7825
2020-03-25,5.0992
2020-03-26,5.9125
2020-03-27,5.6956
2020-03-28,5.6956
2020-03-29,5.6956
