,TGE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,28.5139
2020-01-02,28.4979
2020-01-03,28.5059
2020-01-04,28.5059
2020-01-05,28.5059
2020-01-06,28.5856
2020-01-07,28.6096
2020-01-08,28.5777
2020-01-09,28.6096
2020-01-10,28.6175
2020-01-11,28.6175
2020-01-12,28.6175
2020-01-13,28.6096
2020-01-14,28.6175
2020-01-15,28.6415
2020-01-16,28.6096
2020-01-17,28.6494
2020-01-18,28.6494
2020-01-19,28.6494
2020-01-20,28.6494
2020-01-21,28.6335
2020-01-22,28.6335
2020-01-23,28.6415
2020-01-24,28.6813
2020-01-25,28.6813
2020-01-26,28.6813
2020-01-27,28.6734
2020-01-28,28.6415
2020-01-29,28.6175
2020-01-30,28.6175
2020-01-31,28.6654
2020-02-01,28.6654
2020-02-02,28.6654
2020-02-03,28.6574
2020-02-04,28.6574
2020-02-05,28.6654
2020-02-06,28.6574
2020-02-07,28.6494
2020-02-08,28.6494
2020-02-09,28.6494
2020-02-10,28.6415
2020-02-11,28.6415
2020-02-12,28.6849
2020-02-13,28.661
2020-02-14,28.6849
2020-02-15,28.6849
2020-02-16,28.6849
2020-02-17,28.6849
2020-02-18,28.6849
2020-02-19,28.6849
2020-02-20,28.7009
2020-02-21,28.7009
2020-02-22,28.7009
2020-02-23,28.7009
2020-02-24,28.7009
2020-02-25,28.6689
2020-02-26,28.653
2020-02-27,28.5092
2020-02-28,28.5012
2020-02-29,28.5012
2020-03-01,28.5012
2020-03-02,28.1817
2020-03-03,28.3814
2020-03-04,28.4693
2020-03-05,28.2376
2020-03-06,27.335
2020-03-07,27.335
2020-03-08,27.335
2020-03-09,25.2343
2020-03-10,25.7375
2020-03-11,24.9308
2020-03-12,23.5409
2020-03-13,24.132
2020-03-14,24.132
2020-03-15,24.132
2020-03-16,21.0648
2020-03-17,23.0217
2020-03-18,21.4961
2020-03-19,21.8396
2020-03-20,22.1351
2020-03-21,22.1351
2020-03-22,22.1351
2020-03-23,22.239
2020-03-24,23.1975
2020-03-25,23.6847
2020-03-26,24.3317
2020-03-27,24.803
2020-03-28,24.803
2020-03-29,24.803
2020-03-30,24.763
2020-03-31,24.0202
2020-04-01,23.8604
2020-04-02,24.132
2020-04-03,24.2758
2020-04-04,24.2758
2020-04-05,24.2758
2020-04-06,24.7391
2020-04-07,25.0186
2020-04-08,25.3381
2020-04-09,25.6816
2020-04-10,25.6816
2020-04-11,25.6816
2020-04-12,25.6816
2020-04-13,26.1688
2020-04-14,26.5283
2020-04-15,28.1098
2020-04-16,28.7568
2020-04-17,28.7568
2020-04-18,28.7568
2020-04-19,28.7568
2020-04-20,28.7568
2020-04-21,28.7568
2020-04-22,28.7568
2020-04-23,28.7568
2020-04-24,28.7568
2020-04-25,28.7568
2020-04-26,28.7568
2020-04-27,28.7568
2020-04-28,28.7568
2020-04-29,28.7568
2020-04-30,28.7568
2020-05-01,28.7568
2020-05-02,28.7568
2020-05-03,28.7568
2020-05-04,28.7568
2020-05-05,28.7568
2020-05-06,28.7568
2020-05-07,28.7568
2020-05-08,28.7568
2020-05-09,28.7568
2020-05-10,28.7568
2020-05-11,28.7568
2020-05-12,28.7568
2020-05-13,28.7568
2020-05-14,28.7568
2020-05-15,28.7568
2020-05-16,28.7568
2020-05-17,28.7568
2020-05-18,28.7568
2020-05-19,28.7568
2020-05-20,28.7568
2020-05-21,28.7568
2020-05-22,28.7568
2020-05-23,28.7568
2020-05-24,28.7568
2020-05-25,28.7568
2020-05-26,28.7568
2020-05-27,28.7568
2020-05-28,28.7568
2020-05-29,28.7568
2020-05-30,28.7568
2020-05-31,28.7568
2020-06-01,28.7568
2020-06-02,28.7568
2020-06-03,28.7568
2020-06-04,28.7568
2020-06-05,28.7568
2020-06-06,28.7568
2020-06-07,28.7568
2020-06-08,28.7568
2020-06-09,28.7568
2020-06-10,28.7568
2020-06-11,28.7568
2020-06-12,28.7568
2020-06-13,28.7568
2020-06-14,28.7568
2020-06-15,28.7568
2020-06-16,28.7568
2020-06-17,28.7568
2020-06-18,28.7568
2020-06-19,28.7568
2020-06-20,28.7568
2020-06-21,28.7568
2020-06-22,28.7568
2020-06-23,28.7568
2020-06-24,28.7568
2020-06-25,28.7568
2020-06-26,28.7568
2020-06-27,28.7568
2020-06-28,28.7568
2020-06-29,28.7568
2020-06-30,28.7568
2020-07-01,28.7568
2020-07-02,28.7568
2020-07-03,28.7568
2020-07-04,28.7568
2020-07-05,28.7568
2020-07-06,28.7568
2020-07-07,28.7568
2020-07-08,28.7568
2020-07-09,28.7568
2020-07-10,28.7568
2020-07-11,28.7568
2020-07-12,28.7568
2020-07-13,28.7568
2020-07-14,28.7568
2020-07-15,28.7568
2020-07-16,28.7568
2020-07-17,28.7568
2020-07-18,28.7568
2020-07-19,28.7568
2020-07-20,28.7568
2020-07-21,28.7568
2020-07-22,28.7568
2020-07-23,28.7568
2020-07-24,28.7568
2020-07-25,28.7568
2020-07-26,28.7568
2020-07-27,28.7568
2020-07-28,28.7568
2020-07-29,28.7568
2020-07-30,28.7568
2020-07-31,28.7568
2020-08-01,28.7568
2020-08-02,28.7568
2020-08-03,28.7568
2020-08-04,28.7568
2020-08-05,28.7568
2020-08-06,28.7568
2020-08-07,28.7568
2020-08-08,28.7568
2020-08-09,28.7568
2020-08-10,28.7568
2020-08-11,28.7568
2020-08-12,28.7568
2020-08-13,28.7568
2020-08-14,28.7568
2020-08-15,28.7568
2020-08-16,28.7568
2020-08-17,28.7568
2020-08-18,28.7568
2020-08-19,28.7568
2020-08-20,28.7568
2020-08-21,28.7568
2020-08-22,28.7568
2020-08-23,28.7568
2020-08-24,28.7568
2020-08-25,28.7568
2020-08-26,28.7568
2020-08-27,28.7568
2020-08-28,28.7568
2020-08-29,28.7568
2020-08-30,28.7568
2020-08-31,28.7568
2020-09-01,28.7568
2020-09-02,28.7568
2020-09-03,28.7568
2020-09-04,28.7568
2020-09-05,28.7568
2020-09-06,28.7568
2020-09-07,28.7568
2020-09-08,28.7568
2020-09-09,28.7568
2020-09-10,28.7568
2020-09-11,28.7568
2020-09-12,28.7568
2020-09-13,28.7568
2020-09-14,28.7568
2020-09-15,28.7568
2020-09-16,28.7568
2020-09-17,28.7568
2020-09-18,28.7568
2020-09-19,28.7568
2020-09-20,28.7568
2020-09-21,28.7568
2020-09-22,28.7568
2020-09-23,28.7568
2020-09-24,28.7568
2020-09-25,28.7568
2020-09-26,28.7568
2020-09-27,28.7568
2020-09-28,28.7568
2020-09-29,28.7568
2020-09-30,28.7568
2020-10-01,28.7568
2020-10-02,28.7568
2020-10-03,28.7568
2020-10-04,28.7568
2020-10-05,28.7568
2020-10-06,28.7568
2020-10-07,28.7568
2020-10-08,28.7568
2020-10-09,28.7568
2020-10-10,28.7568
2020-10-11,28.7568
2020-10-12,28.7568
2020-10-13,28.7568
2020-10-14,28.7568
2020-10-15,28.7568
2020-10-16,28.7568
2020-10-17,28.7568
2020-10-18,28.7568
2020-10-19,28.7568
2020-10-20,28.7568
2020-10-21,28.7568
2020-10-22,28.7568
2020-10-23,28.7568
2020-10-24,28.7568
2020-10-25,28.7568
2020-10-26,28.7568
2020-10-27,28.7568
2020-10-28,28.7568
2020-10-29,28.7568
2020-10-30,28.7568
2020-10-31,28.7568
2020-11-01,28.7568
2020-11-02,28.7568
2020-11-03,28.7568
2020-11-04,28.7568
2020-11-05,28.7568
2020-11-06,28.7568
2020-11-07,28.7568
2020-11-08,28.7568
2020-11-09,28.7568
2020-11-10,28.7568
2020-11-11,28.7568
2020-11-12,28.7568
2020-11-13,28.7568
2020-11-14,28.7568
2020-11-15,28.7568
2020-11-16,28.7568
2020-11-17,28.7568
2020-11-18,28.7568
2020-11-19,28.7568
2020-11-20,28.7568
2020-11-21,28.7568
2020-11-22,28.7568
2020-11-23,28.7568
2020-11-24,28.7568
2020-11-25,28.7568
2020-11-26,28.7568
2020-11-27,28.7568
2020-11-28,28.7568
2020-11-29,28.7568
2020-11-30,28.7568
2020-12-01,28.7568
2020-12-02,28.7568
2020-12-03,28.7568
2020-12-04,28.7568
2020-12-05,28.7568
2020-12-06,28.7568
2020-12-07,28.7568
2020-12-08,28.7568
2020-12-09,28.7568
2020-12-10,28.7568
2020-12-11,28.7568
2020-12-12,28.7568
2020-12-13,28.7568
2020-12-14,28.7568
2020-12-15,28.7568
2020-12-16,28.7568
2020-12-17,28.7568
2020-12-18,28.7568
2020-12-19,28.7568
2020-12-20,28.7568
2020-12-21,28.7568
2020-12-22,28.7568
2020-12-23,28.7568
2020-12-24,28.7568
2020-12-25,28.7568
2020-12-26,28.7568
2020-12-27,28.7568
2020-12-28,28.7568
2020-12-29,28.7568
2020-12-30,28.7568
2020-12-31,28.7568
2021-01-01,28.7568
2021-01-02,28.7568
2021-01-03,28.7568
2021-01-04,28.7568
2021-01-05,28.7568
2021-01-06,28.7568
2021-01-07,28.7568
2021-01-08,28.7568
2021-01-09,28.7568
2021-01-10,28.7568
2021-01-11,28.7568
2021-01-12,28.7568
2021-01-13,28.7568
2021-01-14,28.7568
2021-01-15,28.7568
2021-01-16,28.7568
2021-01-17,28.7568
2021-01-18,28.7568
2021-01-19,28.7568
2021-01-20,28.7568
2021-01-21,28.7568
2021-01-22,28.7568
2021-01-23,28.7568
2021-01-24,28.7568
2021-01-25,28.7568
2021-01-26,28.7568
2021-01-27,28.7568
2021-01-28,28.7568
2021-01-29,28.7568
2021-01-30,28.7568
2021-01-31,28.7568
2021-02-01,28.7568
2021-02-02,28.7568
2021-02-03,28.7568
2021-02-04,28.7568
2021-02-05,28.7568
2021-02-06,28.7568
2021-02-07,28.7568
2021-02-08,28.7568
2021-02-09,28.7568
2021-02-10,28.7568
2021-02-11,28.7568
2021-02-12,28.7568
2021-02-13,28.7568
2021-02-14,28.7568
2021-02-15,28.7568
2021-02-16,28.7568
2021-02-17,28.7568
2021-02-18,28.7568
2021-02-19,28.7568
2021-02-20,28.7568
2021-02-21,28.7568
2021-02-22,28.7568
2021-02-23,28.7568
2021-02-24,28.7568
2021-02-25,28.7568
2021-02-26,28.7568
2021-02-27,28.7568
2021-02-28,28.7568
2021-03-01,28.7568
2021-03-02,28.7568
2021-03-03,28.7568
2021-03-04,28.7568
2021-03-05,28.7568
2021-03-06,28.7568
2021-03-07,28.7568
2021-03-08,28.7568
2021-03-09,28.7568
2021-03-10,28.7568
2021-03-11,28.7568
2021-03-12,28.7568
2021-03-13,28.7568
2021-03-14,28.7568
2021-03-15,28.7568
2021-03-16,28.7568
2021-03-17,28.7568
2021-03-18,28.7568
2021-03-19,28.7568
2021-03-20,28.7568
2021-03-21,28.7568
2021-03-22,28.7568
2021-03-23,28.7568
2021-03-24,28.7568
2021-03-25,28.7568
2021-03-26,28.7568
2021-03-27,28.7568
2021-03-28,28.7568
2021-03-29,28.7568
2021-03-30,28.7568
2021-03-31,28.7568
2021-04-01,28.7568
2021-04-02,28.7568
2021-04-03,28.7568
2021-04-04,28.7568
2021-04-05,28.7568
2021-04-06,28.7568
2021-04-07,28.7568
2021-04-08,28.7568
2021-04-09,28.7568
2021-04-10,28.7568
2021-04-11,28.7568
2021-04-12,28.7568
2021-04-13,28.7568
2021-04-14,28.7568
2021-04-15,28.7568
2021-04-16,28.7568
2021-04-17,28.7568
2021-04-18,28.7568
2021-04-19,28.7568
2021-04-20,28.7568
2021-04-21,28.7568
2021-04-22,28.7568
2021-04-23,28.7568
2021-04-24,28.7568
2021-04-25,28.7568
2021-04-26,28.7568
2021-04-27,28.7568
2021-04-28,28.7568
2021-04-29,28.7568
2021-04-30,28.7568
2021-05-01,28.7568
2021-05-02,28.7568
2021-05-03,28.7568
2021-05-04,28.7568
2021-05-05,28.7568
2021-05-06,28.7568
2021-05-07,28.7568
2021-05-08,28.7568
2021-05-09,28.7568
2021-05-10,28.7568
2021-05-11,28.7568
2021-05-12,28.7568
2021-05-13,28.7568
2021-05-14,28.7568
2021-05-15,28.7568
2021-05-16,28.7568
2021-05-17,28.7568
2021-05-18,28.7568
2021-05-19,28.7568
2021-05-20,28.7568
2021-05-21,28.7568
2021-05-22,28.7568
2021-05-23,28.7568
2021-05-24,28.7568
2021-05-25,28.7568
2021-05-26,28.7568
2021-05-27,28.7568
2021-05-28,28.7568
2021-05-29,28.7568
2021-05-30,28.7568
2021-05-31,28.7568
2021-06-01,28.7568
2021-06-02,28.7568
2021-06-03,28.7568
2021-06-04,28.7568
2021-06-05,28.7568
2021-06-06,28.7568
2021-06-07,28.7568
2021-06-08,28.7568
2021-06-09,28.7568
2021-06-10,28.7568
2021-06-11,28.7568
2021-06-12,28.7568
2021-06-13,28.7568
2021-06-14,28.7568
2021-06-15,28.7568
2021-06-16,28.7568
2021-06-17,28.7568
2021-06-18,28.7568
2021-06-19,28.7568
2021-06-20,28.7568
2021-06-21,28.7568
2021-06-22,28.7568
2021-06-23,28.7568
2021-06-24,28.7568
2021-06-25,28.7568
2021-06-26,28.7568
2021-06-27,28.7568
2021-06-28,28.7568
2021-06-29,28.7568
2021-06-30,28.7568
2021-07-01,28.7568
2021-07-02,28.7568
2021-07-03,28.7568
2021-07-04,28.7568
2021-07-05,28.7568
2021-07-06,28.7568
2021-07-07,28.7568
2021-07-08,28.7568
2021-07-09,28.7568
2021-07-10,28.7568
2021-07-11,28.7568
2021-07-12,28.7568
2021-07-13,28.7568
2021-07-14,28.7568
2021-07-15,28.7568
2021-07-16,28.7568
2021-07-17,28.7568
2021-07-18,28.7568
2021-07-19,28.7568
2021-07-20,28.7568
2021-07-21,28.7568
2021-07-22,28.7568
2021-07-23,28.7568
2021-07-24,28.7568
2021-07-25,28.7568
2021-07-26,28.7568
2021-07-27,28.7568
2021-07-28,28.7568
2021-07-29,28.7568
2021-07-30,28.7568
2021-07-31,28.7568
2021-08-01,28.7568
2021-08-02,28.7568
2021-08-03,28.7568
2021-08-04,28.7568
2021-08-05,28.7568
2021-08-06,28.7568
2021-08-07,28.7568
2021-08-08,28.7568
2021-08-09,28.7568
2021-08-10,28.7568
2021-08-11,28.7568
2021-08-12,28.7568
2021-08-13,28.7568
2021-08-14,28.7568
2021-08-15,28.7568
2021-08-16,28.7568
2021-08-17,28.7568
2021-08-18,28.7568
2021-08-19,28.7568
2021-08-20,28.7568
2021-08-21,28.7568
2021-08-22,28.7568
2021-08-23,28.7568
2021-08-24,28.7568
2021-08-25,28.7568
2021-08-26,28.7568
2021-08-27,28.7568
2021-08-28,28.7568
2021-08-29,28.7568
2021-08-30,28.7568
2021-08-31,28.7568
2021-09-01,28.7568
2021-09-02,28.7568
2021-09-03,28.7568
2021-09-04,28.7568
2021-09-05,28.7568
2021-09-06,28.7568
2021-09-07,28.7568
2021-09-08,28.7568
2021-09-09,28.7568
2021-09-10,28.7568
2021-09-11,28.7568
2021-09-12,28.7568
2021-09-13,28.7568
2021-09-14,28.7568
2021-09-15,28.7568
2021-09-16,28.7568
2021-09-17,28.7568
2021-09-18,28.7568
2021-09-19,28.7568
2021-09-20,28.7568
2021-09-21,28.7568
2021-09-22,28.7568
2021-09-23,28.7568
2021-09-24,28.7568
2021-09-25,28.7568
2021-09-26,28.7568
2021-09-27,28.7568
2021-09-28,28.7568
2021-09-29,28.7568
2021-09-30,28.7568
2021-10-01,28.7568
2021-10-02,28.7568
2021-10-03,28.7568
2021-10-04,28.7568
2021-10-05,28.7568
2021-10-06,28.7568
2021-10-07,28.7568
2021-10-08,28.7568
2021-10-09,28.7568
2021-10-10,28.7568
2021-10-11,28.7568
2021-10-12,28.7568
2021-10-13,28.7568
2021-10-14,28.7568
2021-10-15,28.7568
2021-10-16,28.7568
2021-10-17,28.7568
2021-10-18,28.7568
2021-10-19,28.7568
2021-10-20,28.7568
2021-10-21,28.7568
2021-10-22,28.7568
2021-10-23,28.7568
2021-10-24,28.7568
2021-10-25,28.7568
2021-10-26,28.7568
2021-10-27,28.7568
2021-10-28,28.7568
2021-10-29,28.7568
2021-10-30,28.7568
2021-10-31,28.7568
2021-11-01,28.7568
2021-11-02,28.7568
2021-11-03,28.7568
2021-11-04,28.7568
2021-11-05,28.7568
2021-11-06,28.7568
2021-11-07,28.7568
2021-11-08,28.7568
2021-11-09,28.7568
2021-11-10,28.7568
2021-11-11,28.7568
2021-11-12,28.7568
2021-11-13,28.7568
2021-11-14,28.7568
2021-11-15,28.7568
2021-11-16,28.7568
2021-11-17,28.7568
2021-11-18,28.7568
2021-11-19,28.7568
2021-11-20,28.7568
2021-11-21,28.7568
2021-11-22,28.7568
2021-11-23,28.7568
2021-11-24,28.7568
2021-11-25,28.7568
2021-11-26,28.7568
2021-11-27,28.7568
2021-11-28,28.7568
2021-11-29,28.7568
2021-11-30,28.7568
2021-12-01,28.7568
2021-12-02,28.7568
2021-12-03,28.7568
2021-12-04,28.7568
2021-12-05,28.7568
2021-12-06,28.7568
2021-12-07,28.7568
2021-12-08,28.7568
2021-12-09,28.7568
2021-12-10,28.7568
2021-12-11,28.7568
2021-12-12,28.7568
2021-12-13,28.7568
2021-12-14,28.7568
2021-12-15,28.7568
2021-12-16,28.7568
2021-12-17,28.7568
2021-12-18,28.7568
2021-12-19,28.7568
2021-12-20,28.7568
2021-12-21,28.7568
2021-12-22,28.7568
2021-12-23,28.7568
2021-12-24,28.7568
2021-12-25,28.7568
2021-12-26,28.7568
2021-12-27,28.7568
2021-12-28,28.7568
2021-12-29,28.7568
2021-12-30,28.7568
2021-12-31,28.7568
2022-01-01,28.7568
2022-01-02,28.7568
2022-01-03,28.7568
2022-01-04,28.7568
2022-01-05,28.7568
2022-01-06,28.7568
2022-01-07,28.7568
2022-01-08,28.7568
2022-01-09,28.7568
2022-01-10,28.7568
2022-01-11,28.7568
2022-01-12,28.7568
2022-01-13,28.7568
2022-01-14,28.7568
2022-01-15,28.7568
2022-01-16,28.7568
2022-01-17,28.7568
2022-01-18,28.7568
2022-01-19,28.7568
2022-01-20,28.7568
2022-01-21,28.7568
2022-01-22,28.7568
2022-01-23,28.7568
2022-01-24,28.7568
2022-01-25,28.7568
2022-01-26,28.7568
2022-01-27,28.7568
2022-01-28,28.7568
2022-01-29,28.7568
2022-01-30,28.7568
2022-01-31,28.7568
2022-02-01,28.7568
2022-02-02,28.7568
2022-02-03,28.7568
2022-02-04,28.7568
2022-02-05,28.7568
2022-02-06,28.7568
2022-02-07,28.7568
2022-02-08,28.7568
2022-02-09,28.7568
2022-02-10,28.7568
2022-02-11,28.7568
2022-02-12,28.7568
2022-02-13,28.7568
2022-02-14,28.7568
2022-02-15,28.7568
2022-02-16,28.7568
