,CWH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,53.1934
2020-01-02,52.7933
2020-01-03,52.4991
2020-01-04,52.4991
2020-01-05,52.4991
2020-01-06,51.7108
2020-01-07,51.4755
2020-01-08,51.7814
2020-01-09,51.2401
2020-01-10,51.5814
2020-01-11,51.5814
2020-01-12,51.5814
2020-01-13,52.911
2020-01-14,54.4641
2020-01-15,55.2642
2020-01-16,55.0407
2020-01-17,55.0642
2020-01-18,55.0642
2020-01-19,55.0642
2020-01-20,55.0642
2020-01-21,54.9583
2020-01-22,55.6761
2020-01-23,55.6525
2020-01-24,55.1819
2020-01-25,55.1819
2020-01-26,55.1819
2020-01-27,54.4524
2020-01-28,54.4053
2020-01-29,54.4994
2020-01-30,54.2759
2020-01-31,54.17
2020-02-01,54.17
2020-02-02,54.17
2020-02-03,54.4171
2020-02-04,54.4641
2020-02-05,54.7701
2020-02-06,54.3818
2020-02-07,53.9935
2020-02-08,53.9935
2020-02-09,53.9935
2020-02-10,53.9229
2020-02-11,53.5111
2020-02-12,54.0405
2020-02-13,54.5465
2020-02-14,54.6877
2020-02-15,54.6877
2020-02-16,54.6877
2020-02-17,54.6877
2020-02-18,54.5936
2020-02-19,54.8289
2020-02-20,55.2525
2020-02-21,55.0289
2020-02-22,55.0289
2020-02-23,55.0289
2020-02-24,54.4406
2020-02-25,53.3934
2020-02-26,52.958
2020-02-27,51.9697
2020-02-28,52.1457
2020-02-29,52.1457
2020-03-01,52.1457
2020-03-02,52.4197
2020-03-03,50.9307
2020-03-04,50.4495
2020-03-05,48.4472
2020-03-06,47.9228
2020-03-07,47.9228
2020-03-08,47.9228
2020-03-09,45.9444
2020-03-10,46.8621
2020-03-11,44.9314
2020-03-12,43.0721
2020-03-13,43.9779
2020-03-14,43.9779
2020-03-15,43.9779
2020-03-16,42.8814
2020-03-17,42.7503
2020-03-18,40.462
2020-03-19,40.4859
2020-03-20,40.9388
2020-03-21,40.9388
2020-03-22,40.9388
2020-03-23,41.6777
2020-03-24,43.3701
2020-03-25,43.7395
2020-03-26,44.2639
2020-03-27,43.9183
2020-03-28,43.9183
2020-03-29,43.9183
2020-03-30,42.9053
2020-03-31,45.1556
2020-04-01,43.928
2020-04-02,44.3163
2020-04-03,43.715
2020-04-04,43.715
2020-04-05,43.715
2020-04-06,44.5555
2020-04-07,45.3612
2020-04-08,46.154
2020-04-09,46.9715
2020-04-10,46.9715
2020-04-11,46.9715
2020-04-12,46.9715
2020-04-13,46.5504
2020-04-14,46.8477
2020-04-15,46.5999
2020-04-16,46.5008
2020-04-17,47.3308
2020-04-18,47.3308
2020-04-19,47.3308
2020-04-20,48.0369
2020-04-21,47.9378
2020-04-22,47.4051
2020-04-23,47.2936
2020-04-24,47.7272
2020-04-25,47.7272
2020-04-26,47.7272
2020-04-27,49.065
2020-04-28,49.5605
2020-04-29,49.9446
2020-04-30,49.0155
2020-05-01,48.2227
2020-05-02,48.2227
2020-05-03,48.2227
2020-05-04,48.6315
2020-05-05,49.35
2020-05-06,50.8984
2020-05-07,51.4187
2020-05-08,55.3703
2020-05-09,55.3703
2020-05-10,55.3703
2020-05-11,56.5967
2020-05-12,56.3861
2020-05-13,56.3241
2020-05-14,56.1012
2020-05-15,57.6744
2020-05-16,57.6744
2020-05-17,57.6744
2020-05-18,60.09
2020-05-19,60.2758
2020-05-20,61.9357
2020-05-21,63.67
2020-05-22,62.7904
2020-05-23,62.7904
2020-05-24,62.7904
2020-05-25,62.7904
2020-05-26,65.7139
2020-05-27,64.7848
2020-05-28,63.8186
2020-05-29,64.2646
2020-05-30,64.2646
2020-05-31,64.2646
2020-06-01,66.6554
2020-06-02,66.5563
2020-06-03,66.4819
2020-06-04,66.9155
2020-06-05,65.4166
2020-06-06,65.4166
2020-06-07,65.4166
2020-06-08,69.009
2020-06-09,68.5878
2020-06-10,67.7207
2020-06-11,64.2398
2020-06-12,66.9774
2020-06-13,66.9774
2020-06-14,66.9774
2020-06-15,69.2815
2020-06-16,68.7612
2020-06-17,69.4178
2020-06-18,70.6565
2020-06-19,71.4989
2020-06-20,71.4989
2020-06-21,71.4989
2020-06-22,72.6509
2020-06-23,71.6104
2020-06-24,69.5045
2020-06-25,70.0619
2020-06-26,69.4302
2020-06-27,69.4302
2020-06-28,69.4302
2020-06-29,71.3131
2020-06-30,25.4402
2020-07-01,25.8121
2020-07-02,25.7203
2020-07-03,25.7203
2020-07-04,25.7203
2020-07-05,25.7203
2020-07-06,25.0972
2020-07-07,24.619
2020-07-08,25.3677
2020-07-09,24.9233
2020-07-10,26.9231
2020-07-11,26.9231
2020-07-12,26.9231
2020-07-13,26.8217
2020-07-14,28.4254
2020-07-15,28.7249
2020-07-16,29.4011
2020-07-17,29.2804
2020-07-18,29.2804
2020-07-19,29.2804
2020-07-20,28.976
2020-07-21,30.0677
2020-07-22,30.8164
2020-07-23,29.5605
2020-07-24,29.2707
2020-07-25,29.2707
2020-07-26,29.2707
2020-07-27,30.7585
2020-07-28,29.9276
2020-07-29,29.1403
2020-07-30,29.9614
2020-07-31,30.0098
2020-08-01,30.0098
2020-08-02,30.0098
2020-08-03,31.6666
2020-08-04,31.1884
2020-08-05,32.7486
2020-08-06,28.3239
2020-08-07,28.0184
2020-08-08,28.0184
2020-08-09,28.0184
2020-08-10,27.9117
2020-08-11,27.868
2020-08-12,28.0378
2020-08-13,28.4888
2020-08-14,28.4548
2020-08-15,28.4548
2020-08-16,28.4548
2020-08-17,29.512
2020-08-18,29.512
2020-08-19,29.9194
2020-08-20,28.3675
2020-08-21,28.547
2020-08-22,28.547
2020-08-23,28.547
2020-08-24,28.0814
2020-08-25,26.4035
2020-08-26,27.1067
2020-08-27,27.2909
2020-08-28,27.6547
2020-08-29,27.6547
2020-08-30,27.6547
2020-08-31,26.4132
2020-09-01,27.9699
2020-09-02,27.8583
2020-09-03,27.3103
2020-09-04,27.097
2020-09-05,27.097
2020-09-06,27.097
2020-09-07,27.097
2020-09-08,28.5858
2020-09-09,29.5411
2020-09-10,29.415
2020-09-11,29.0222
2020-09-12,29.0222
