,SBGI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,31.5916
2020-01-02,31.4063
2020-01-03,31.4006
2020-01-04,31.4006
2020-01-05,31.4006
2020-01-06,31.3664
2020-01-07,31.3464
2020-01-08,31.3835
2020-01-09,31.288
2020-01-10,31.2865
2020-01-11,31.2865
2020-01-12,31.2865
2020-01-13,31.3806
2020-01-14,31.4662
2020-01-15,31.6857
2020-01-16,31.6501
2020-01-17,31.6087
2020-01-18,31.6087
2020-01-19,31.6087
2020-01-20,31.6087
2020-01-21,31.4961
2020-01-22,31.5075
2020-01-23,31.5104
2020-01-24,31.2965
2020-01-25,31.2965
2020-01-26,31.2965
2020-01-27,31.2138
2020-01-28,31.2922
2020-01-29,31.2138
2020-01-30,31.248
2020-01-31,31.104
2020-02-01,31.104
2020-02-02,31.104
2020-02-03,31.1839
2020-02-04,31.2167
2020-02-05,31.2965
2020-02-06,31.268
2020-02-07,31.0099
2020-02-08,31.0099
2020-02-09,31.0099
2020-02-10,31.0099
2020-02-11,31.1183
2020-02-12,31.124
2020-02-13,31.0912
2020-02-14,31.0841
2020-02-15,31.0841
2020-02-16,31.0841
2020-02-17,31.0841
2020-02-18,31.134
2020-02-19,31.1981
2020-02-20,31.0313
2020-02-21,30.9657
2020-02-22,30.9657
2020-02-23,30.9657
2020-02-24,30.8588
2020-02-25,30.7562
2020-02-26,30.1541
2020-02-27,30.1655
2020-02-28,30.1328
2020-02-29,30.1328
2020-03-01,30.1328
2020-03-02,30.1797
2020-03-03,30.2834
2020-03-04,30.3409
2020-03-05,30.1676
2020-03-06,29.9475
2020-03-07,29.9475
2020-03-08,29.9475
2020-03-09,29.6549
2020-03-10,29.8026
2020-03-11,29.5711
2020-03-12,29.1734
2020-03-13,29.1322
2020-03-14,29.1322
2020-03-15,29.1322
2020-03-16,28.7018
2020-03-17,28.7615
2020-03-18,28.6421
2020-03-19,28.8779
2020-03-20,28.7757
2020-03-21,28.7757
2020-03-22,28.7757
2020-03-23,28.9688
2020-03-24,29.1435
2020-03-25,29.5952
2020-03-26,29.4021
2020-03-27,29.3083
2020-03-28,29.3083
2020-03-29,29.3083
2020-03-30,29.145
2020-03-31,19.9018
2020-04-01,19.6046
2020-04-02,19.6018
2020-04-03,19.5381
2020-04-04,19.5381
2020-04-05,19.5381
2020-04-06,19.7204
2020-04-07,19.7508
2020-04-08,19.8581
2020-04-09,19.842
2020-04-10,19.842
2020-04-11,19.842
2020-04-12,19.842
2020-04-13,19.8121
2020-04-14,19.9246
2020-04-15,19.7527
2020-04-16,19.7318
2020-04-17,19.879
2020-04-18,19.879
2020-04-19,19.879
2020-04-20,19.8173
2020-04-21,19.7176
2020-04-22,19.6688
2020-04-23,19.7292
2020-04-24,19.7962
2020-04-25,19.7962
2020-04-26,19.7962
2020-04-27,19.865
2020-04-28,19.9729
2020-04-29,20.1171
2020-04-30,20.0166
2020-05-01,19.9431
2020-05-02,19.9431
2020-05-03,19.9431
2020-05-04,19.7743
2020-05-05,19.8055
2020-05-06,19.6853
2020-05-07,19.7073
2020-05-08,19.7388
2020-05-09,19.7388
2020-05-10,19.7388
2020-05-11,19.7409
2020-05-12,19.6332
2020-05-13,19.5364
2020-05-14,19.549
2020-05-15,19.6006
2020-05-16,19.6006
2020-05-17,19.6006
2020-05-18,19.7166
2020-05-19,19.721
2020-05-20,19.7583
2020-05-21,19.7379
2020-05-22,19.7906
2020-05-23,19.7906
2020-05-24,19.7906
2020-05-25,19.7906
2020-05-26,19.8181
2020-05-27,19.9181
2020-05-28,19.8378
2020-05-29,19.8457
2020-05-30,19.8457
2020-05-31,19.8457
2020-06-01,19.8941
2020-06-02,19.9684
2020-06-03,19.9857
2020-06-04,20.1006
2020-06-05,20.3241
2020-06-06,20.3241
2020-06-07,20.3241
2020-06-08,20.3335
2020-06-09,20.1848
2020-06-10,20.0809
2020-06-11,19.8803
2020-06-12,19.8929
2020-06-13,19.8929
2020-06-14,19.8929
2020-06-15,19.9275
2020-06-16,19.9259
2020-06-17,19.8732
2020-06-18,19.9165
2020-06-19,19.8756
2020-06-20,19.8756
2020-06-21,19.8756
2020-06-22,19.9086
2020-06-23,19.9102
2020-06-24,19.8323
2020-06-25,19.8205
2020-06-26,19.697
2020-06-27,19.697
2020-06-28,19.697
2020-06-29,19.7693
2020-06-30,12.6271
2020-07-01,12.615
2020-07-02,12.6119
2020-07-03,12.6119
2020-07-04,12.6119
2020-07-05,12.6119
2020-07-06,12.6332
2020-07-07,12.6282
2020-07-08,12.6287
2020-07-09,12.5428
2020-07-10,12.5895
2020-07-11,12.5895
2020-07-12,12.5895
2020-07-13,12.5857
2020-07-14,12.6129
2020-07-15,12.6736
2020-07-16,12.7013
2020-07-17,12.6876
2020-07-18,12.6876
2020-07-19,12.6876
2020-07-20,12.6083
2020-07-21,12.6444
2020-07-22,12.6881
2020-07-23,12.7156
2020-07-24,12.7298
2020-07-25,12.7298
2020-07-26,12.7298
2020-07-27,12.6754
2020-07-28,12.6927
2020-07-29,12.7278
