,MAXR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.85
2020-01-02,15.0323
2020-01-03,15.2388
2020-01-04,15.2388
2020-01-05,15.2388
2020-01-06,15.2564
2020-01-07,15.3574
2020-01-08,15.5968
2020-01-09,15.5507
2020-01-10,15.7791
2020-01-11,15.7791
2020-01-12,15.7791
2020-01-13,15.6869
2020-01-14,15.7528
2020-01-15,15.8318
2020-01-16,15.6978
2020-01-17,15.845
2020-01-18,15.845
2020-01-19,15.845
2020-01-20,15.845
2020-01-21,15.957
2020-01-22,15.8692
2020-01-23,15.8143
2020-01-24,15.5858
2020-01-25,15.5858
2020-01-26,15.5858
2020-01-27,15.4387
2020-01-28,15.4826
2020-01-29,15.1663
2020-01-30,15.1619
2020-01-31,14.9137
2020-02-01,14.9137
2020-02-02,14.9137
2020-02-03,15.0323
2020-02-04,15.1861
2020-02-05,14.995
2020-02-06,14.9884
2020-02-07,15.2366
2020-02-08,15.2366
2020-02-09,15.2366
2020-02-10,15.32
2020-02-11,15.5221
2020-02-12,15.5792
2020-02-13,15.5485
2020-02-14,15.6122
2020-02-15,15.6122
2020-02-16,15.6122
2020-02-17,15.6122
2020-02-18,15.3222
2020-02-19,15.2278
2020-02-20,15.2871
2020-02-21,15.1992
2020-02-22,15.1992
2020-02-23,15.1992
2020-02-24,15.0367
2020-02-25,14.8171
2020-02-26,14.7621
2020-02-27,14.6589
2020-02-28,14.749
2020-02-29,14.749
2020-03-01,14.749
2020-03-02,14.6501
2020-03-03,14.8107
2020-03-04,15.2855
2020-03-05,14.8306
2020-03-06,14.6451
2020-03-07,14.6451
2020-03-08,14.6451
2020-03-09,14.2057
2020-03-10,14.3802
2020-03-11,13.8789
2020-03-12,13.4417
2020-03-13,13.8546
2020-03-14,13.8546
2020-03-15,13.8546
2020-03-16,13.3667
2020-03-17,13.4947
2020-03-18,13.2408
2020-03-19,13.2607
2020-03-20,13.1282
2020-03-21,13.1282
2020-03-22,13.1282
2020-03-23,13.2187
2020-03-24,13.4793
2020-03-25,13.9143
2020-03-26,13.8546
2020-03-27,13.9076
2020-03-28,13.9076
2020-03-29,13.9076
2020-03-30,13.8083
2020-03-31,15.3904
2020-04-01,15.0524
2020-04-02,15.0507
2020-04-03,15.1165
2020-04-04,15.1165
2020-04-05,15.1165
2020-04-06,15.3064
2020-04-07,15.3113
2020-04-08,15.4939
2020-04-09,15.601
2020-04-10,15.601
2020-04-11,15.601
2020-04-12,15.601
2020-04-13,15.5231
2020-04-14,15.6132
2020-04-15,15.4525
2020-04-16,15.1725
2020-04-17,15.3989
2020-04-18,15.3989
2020-04-19,15.3989
2020-04-20,15.4281
2020-04-21,15.2163
2020-04-22,15.2772
2020-04-23,15.3161
2020-04-24,15.2455
2020-04-25,15.2455
2020-04-26,15.2455
2020-04-27,15.6254
2020-04-28,15.6789
2020-04-29,15.9176
2020-04-30,15.864
2020-05-01,15.5669
2020-05-02,15.5669
2020-05-03,15.5669
2020-05-04,15.4379
2020-05-05,15.4135
2020-05-06,15.3356
2020-05-07,15.3186
2020-05-08,15.5426
2020-05-09,15.5426
2020-05-10,15.5426
2020-05-11,15.6181
2020-05-12,15.2485
2020-05-13,15.0258
2020-05-14,15.0625
2020-05-15,15.0943
2020-05-16,15.0943
2020-05-17,15.0943
2020-05-18,15.3415
2020-05-19,15.2044
2020-05-20,15.1898
2020-05-21,15.2412
2020-05-22,15.7674
2020-05-23,15.7674
2020-05-24,15.7674
2020-05-25,15.7674
2020-05-26,16.2863
2020-05-27,16.2692
2020-05-28,16.4111
2020-05-29,16.4821
2020-05-30,16.4821
2020-05-31,16.4821
2020-06-01,16.8101
2020-06-02,16.744
2020-06-03,16.9325
2020-06-04,16.8492
2020-06-05,16.8615
2020-06-06,16.8615
2020-06-07,16.8615
2020-06-08,17.2237
