,SLGN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.4002
2020-01-02,15.3014
2020-01-03,15.2984
2020-01-04,15.2984
2020-01-05,15.2984
2020-01-06,15.1426
2020-01-07,15.1217
2020-01-08,15.0797
2020-01-09,15.1636
2020-01-10,15.1965
2020-01-11,15.1965
2020-01-12,15.1965
2020-01-13,15.3014
2020-01-14,15.3313
2020-01-15,15.4152
2020-01-16,15.5409
2020-01-17,15.5469
2020-01-18,15.5469
2020-01-19,15.5469
2020-01-20,15.5469
2020-01-21,15.505
2020-01-22,15.5469
2020-01-23,15.5649
2020-01-24,15.4481
2020-01-25,15.4481
2020-01-26,15.4481
2020-01-27,15.517
2020-01-28,15.502
2020-01-29,15.3553
2020-01-30,15.493
2020-01-31,15.3343
2020-02-01,15.3343
2020-02-02,15.3343
2020-02-03,15.4122
2020-02-04,15.3418
2020-02-05,15.538
2020-02-06,15.538
2020-02-07,15.5424
2020-02-08,15.5424
2020-02-09,15.5424
2020-02-10,15.6113
2020-02-11,15.6727
2020-02-12,15.6727
2020-02-13,15.6967
2020-02-14,15.7626
2020-02-15,15.7626
2020-02-16,15.7626
2020-02-17,15.7626
2020-02-18,15.8464
2020-02-19,15.7805
2020-02-20,15.7521
2020-02-21,15.7925
2020-02-22,15.7925
2020-02-23,15.7925
2020-02-24,15.6697
2020-02-25,15.3852
2020-02-26,15.4092
2020-02-27,14.8881
2020-02-28,14.6664
2020-02-29,14.6664
2020-03-01,14.6664
2020-03-02,15.1846
2020-03-03,15.0927
2020-03-04,15.3173
2020-03-05,15.2245
2020-03-06,15.2664
2020-03-07,15.2664
2020-03-08,15.2664
2020-03-09,14.7183
2020-03-10,14.895
2020-03-11,14.3439
2020-03-12,13.9336
2020-03-13,14.3439
2020-03-14,14.3439
2020-03-15,14.3439
2020-03-16,14.0653
2020-03-17,14.6644
2020-03-18,14.2391
2020-03-19,14.0024
2020-03-20,13.9186
2020-03-21,13.9186
2020-03-22,13.9186
2020-03-23,13.676
2020-03-24,13.7508
2020-03-25,14.1013
2020-03-26,14.3798
2020-03-27,14.3139
2020-03-28,14.3139
2020-03-29,14.3139
2020-03-30,14.8171
2020-03-31,15.0179
2020-04-01,14.9499
2020-04-02,15.3696
2020-04-03,15.21
2020-04-04,15.21
2020-04-05,15.21
2020-04-06,15.1893
2020-04-07,15.4021
2020-04-08,15.6474
2020-04-09,15.7627
2020-04-10,15.7627
2020-04-11,15.7627
2020-04-12,15.7627
2020-04-13,15.6503
2020-04-14,15.9577
2020-04-15,15.9754
2020-04-16,16.3124
2020-04-17,16.206
2020-04-18,16.206
2020-04-19,16.206
2020-04-20,16.0907
2020-04-21,16.0316
2020-04-22,16.2533
2020-04-23,16.401
2020-04-24,16.5311
2020-04-25,16.5311
2020-04-26,16.5311
2020-04-27,16.7468
2020-04-28,16.915
2020-04-29,16.8322
2020-04-30,16.6458
2020-05-01,16.4654
2020-05-02,16.4654
2020-05-03,16.4654
2020-05-04,16.4447
2020-05-05,16.3944
2020-05-06,16.3027
2020-05-07,16.3826
2020-05-08,16.4328
2020-05-09,16.4328
2020-05-10,16.4328
2020-05-11,16.3648
2020-05-12,16.0335
2020-05-13,15.8916
2020-05-14,16.0838
2020-05-15,16.1519
2020-05-16,16.1519
2020-05-17,16.1519
2020-05-18,16.3382
2020-05-19,16.143
2020-05-20,16.0927
2020-05-21,16.0187
2020-05-22,16.0187
2020-05-23,16.0187
2020-05-24,16.0187
2020-05-25,16.0187
2020-05-26,16.1844
2020-05-27,16.3116
2020-05-28,16.3974
2020-05-29,16.3323
2020-05-30,16.3323
2020-05-31,16.3323
2020-06-01,16.2583
2020-06-02,16.0868
2020-06-03,16.1755
2020-06-04,16.4536
2020-06-05,16.4506
2020-06-06,16.4506
2020-06-07,16.4506
2020-06-08,16.5393
2020-06-09,16.4092
2020-06-10,16.2761
2020-06-11,15.7555
2020-06-12,15.7555
2020-06-13,15.7555
2020-06-14,15.7555
2020-06-15,15.6816
2020-06-16,15.8028
2020-06-17,15.7599
2020-06-18,15.7052
2020-06-19,15.7762
2020-06-20,15.7762
2020-06-21,15.7762
2020-06-22,15.7348
2020-06-23,15.6342
2020-06-24,15.7614
2020-06-25,15.6904
2020-06-26,15.6963
2020-06-27,15.6963
2020-06-28,15.6963
2020-06-29,15.8383
2020-06-30,15.7677
2020-07-01,15.8082
2020-07-02,15.8792
2020-07-03,15.8792
2020-07-04,15.8792
2020-07-05,15.8792
2020-07-06,15.9375
2020-07-07,15.9476
2020-07-08,15.8741
2020-07-09,15.8107
2020-07-10,15.8868
2020-07-11,15.8868
2020-07-12,15.8868
2020-07-13,15.8437
2020-07-14,16.0224
2020-07-15,16.1022
2020-07-16,16.196
2020-07-17,16.381
2020-07-18,16.381
2020-07-19,16.381
2020-07-20,16.5026
2020-07-21,16.5077
2020-07-22,17.2047
2020-07-23,17.1869
2020-07-24,17.1134
2020-07-25,17.1134
2020-07-26,17.1134
2020-07-27,17.2173
2020-07-28,17.2072
2020-07-29,17.339
2020-07-30,17.2731
2020-07-31,17.2528
2020-08-01,17.2528
2020-08-02,17.2528
2020-08-03,17.197
2020-08-04,17.1007
2020-08-05,17.2021
2020-08-06,17.2047
2020-08-07,17.3149
2020-08-08,17.3149
2020-08-09,17.3149
2020-08-10,17.2173
2020-08-11,17.064
2020-08-12,17.1045
2020-08-13,17.1628
2020-08-14,17.1476
2020-08-15,17.1476
2020-08-16,17.1476
2020-08-17,17.1856
2020-08-18,17.1894
2020-08-19,17.14
2020-08-20,17.0564
2020-08-21,17.0691
2020-08-22,17.0691
2020-08-23,17.0691
2020-08-24,17.1299
2020-08-25,17.1172
2020-08-26,17.1121
2020-08-27,17.2211
2020-08-28,17.2439
2020-08-29,17.2439
2020-08-30,17.2439
2020-08-31,17.2059
2020-09-01,17.2287
2020-09-02,17.5684
2020-09-03,17.2668
2020-09-04,17.3098
2020-09-05,17.3098
2020-09-06,17.3098
2020-09-07,17.3098
2020-09-08,16.9144
2020-09-09,16.9803
2020-09-10,16.8764
2020-09-11,16.9854
2020-09-12,16.9854
2020-09-13,16.9854
2020-09-14,16.8637
2020-09-15,16.8967
2020-09-16,16.8739
2020-09-17,16.8587
2020-09-18,16.917
2020-09-19,16.917
2020-09-20,16.917
2020-09-21,16.557
2020-09-22,16.6686
2020-09-23,16.552
2020-09-24,16.6407
2020-09-25,16.8333
2020-09-26,16.8333
2020-09-27,16.8333
2020-09-28,16.884
2020-09-29,16.8637
2020-09-30,15.3115
2020-10-01,15.3
2020-10-02,15.3671
2020-10-03,15.3671
2020-10-04,15.3671
2020-10-05,15.4991
2020-10-06,15.4806
2020-10-07,15.6033
2020-10-08,15.7423
2020-10-09,15.7585
2020-10-10,15.7585
2020-10-11,15.7585
2020-10-12,15.9669
2020-10-13,15.9646
2020-10-14,15.8998
2020-10-15,15.9391
2020-10-16,15.9878
2020-10-17,15.9878
2020-10-18,15.9878
2020-10-19,15.7353
2020-10-20,15.74
2020-10-21,15.2073
