,WERN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.4347
2020-01-02,12.4163
2020-01-03,12.315
2020-01-04,12.315
2020-01-05,12.315
2020-01-06,12.1585
2020-01-07,12.3135
2020-01-08,12.3058
2020-01-09,12.4715
2020-01-10,12.6281
2020-01-11,12.6281
2020-01-12,12.6281
2020-01-13,12.7631
2020-01-14,12.9903
2020-01-15,13.0731
2020-01-16,13.1345
2020-01-17,13.1529
2020-01-18,13.1529
2020-01-19,13.1529
2020-01-20,13.1529
2020-01-21,13.0762
2020-01-22,12.9197
2020-01-23,12.9964
2020-01-24,12.9565
2020-01-25,12.9565
2020-01-26,12.9565
2020-01-27,12.8306
2020-01-28,12.8521
2020-01-29,12.9043
2020-01-30,12.9411
2020-01-31,12.579
2020-02-01,12.579
2020-02-02,12.579
2020-02-03,12.7846
2020-02-04,12.7785
2020-02-05,12.935
2020-02-06,13.4239
2020-02-07,13.1444
2020-02-08,13.1444
2020-02-09,13.1444
2020-02-10,13.0983
2020-02-11,13.0707
2020-02-12,13.0953
2020-02-13,13.1506
2020-02-14,12.9939
2020-02-15,12.9939
2020-02-16,12.9939
2020-02-17,12.9939
2020-02-18,12.9694
2020-02-19,13.0861
2020-02-20,13.0523
2020-02-21,12.9049
2020-02-22,12.9049
2020-02-23,12.9049
2020-02-24,12.6377
2020-02-25,12.4381
2020-02-26,11.9774
2020-02-27,11.7778
2020-02-28,11.6001
2020-02-29,11.6001
2020-03-01,11.6001
2020-03-02,11.5401
2020-03-03,11.4556
2020-03-04,11.8585
2020-03-05,11.4771
2020-03-06,11.4863
2020-03-07,11.4863
2020-03-08,11.4863
2020-03-09,10.9204
2020-03-10,11.3172
2020-03-11,11.1726
2020-03-12,10.4498
2020-03-13,11.1234
2020-03-14,11.1234
2020-03-15,11.1234
2020-03-16,10.3114
2020-03-17,11.6739
2020-03-18,11.7016
2020-03-19,11.7047
2020-03-20,11.1726
2020-03-21,11.1726
2020-03-22,11.1726
2020-03-23,10.9019
2020-03-24,11.6401
2020-03-25,12.0031
2020-03-26,11.9815
2020-03-27,11.8708
2020-03-28,11.8708
2020-03-29,11.8708
2020-03-30,12.4583
2020-03-31,12.9679
2020-04-01,12.3892
2020-04-02,12.3892
2020-04-03,11.9877
2020-04-04,11.9877
2020-04-05,11.9877
2020-04-06,13.038
2020-04-07,13.1672
2020-04-08,13.3826
2020-04-09,13.7868
2020-04-10,13.7868
2020-04-11,13.7868
2020-04-12,13.7868
2020-04-13,13.2865
2020-04-14,13.4687
2020-04-15,13.2964
2020-04-16,13.9458
2020-04-17,14.1976
2020-04-18,14.1976
2020-04-19,14.1976
2020-04-20,13.8315
2020-04-21,13.8232
2020-04-22,13.8564
2020-04-23,14.022
2020-04-24,14.191
2020-04-25,14.191
2020-04-26,14.191
2020-04-27,14.8205
2020-04-28,14.678
2020-04-29,14.5356
2020-04-30,14.2009
2020-05-01,14.4859
2020-05-02,14.4859
2020-05-03,14.4859
2020-05-04,14.4395
2020-05-05,14.741
2020-05-06,14.5091
2020-05-07,14.4792
2020-05-08,14.8205
2020-05-09,14.8205
2020-05-10,14.8205
2020-05-11,15.3175
2020-05-12,14.7973
2020-05-13,14.6515
2020-05-14,14.5091
2020-05-15,14.6018
2020-05-16,14.6018
2020-05-17,14.6018
2020-05-18,15.2612
2020-05-19,15.0756
2020-05-20,15.1253
2020-05-21,15.2446
2020-05-22,15.5825
2020-05-23,15.5825
