,MOV US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.3632
2020-01-02,9.113
2020-01-03,9.0605
2020-01-04,9.0605
2020-01-05,9.0605
2020-01-06,9.0403
2020-01-07,8.9878
2020-01-08,9.0726
2020-01-09,8.8142
2020-01-10,8.6931
2020-01-11,8.6931
2020-01-12,8.6931
2020-01-13,8.4186
2020-01-14,8.7174
2020-01-15,8.7012
2020-01-16,8.6608
2020-01-17,8.6205
2020-01-18,8.6205
2020-01-19,8.6205
2020-01-20,8.6205
2020-01-21,8.7375
2020-01-22,8.786
2020-01-23,8.7295
2020-01-24,8.3985
2020-01-25,8.3985
2020-01-26,8.3985
2020-01-27,7.9746
2020-01-28,8.0231
2020-01-29,7.9746
2020-01-30,7.9464
2020-01-31,7.8111
2020-02-01,7.8111
2020-02-02,7.8111
2020-02-03,7.5886
2020-02-04,7.5094
2020-02-05,7.9595
2020-02-06,7.5787
2020-02-07,7.4105
2020-02-08,7.4105
2020-02-09,7.4105
2020-02-10,6.995
2020-02-11,7.094
2020-02-12,7.4649
2020-02-13,7.6974
2020-02-14,7.638
2020-02-15,7.638
2020-02-16,7.638
2020-02-17,7.638
2020-02-18,7.5391
2020-02-19,7.2967
2020-02-20,7.3215
2020-02-21,7.1335
2020-02-22,7.1335
2020-02-23,7.1335
2020-02-24,6.812
2020-02-25,6.5994
2020-02-26,6.5994
2020-02-27,6.3521
2020-02-28,6.5648
2020-02-29,6.5648
2020-03-01,6.5648
2020-03-02,6.54
2020-03-03,6.3175
2020-03-04,6.6389
2020-03-05,6.362
2020-03-06,6.4411
2020-03-07,6.4411
2020-03-08,6.4411
2020-03-09,5.724
2020-03-10,5.5162
2020-03-11,5.4767
2020-03-12,5.0563
2020-03-13,5.5657
2020-03-14,5.5657
2020-03-15,5.5657
2020-03-16,4.4726
2020-03-17,4.8139
2020-03-18,4.6111
2020-03-19,3.9138
2020-03-20,3.8346
2020-03-21,3.8346
2020-03-22,3.8346
2020-03-23,3.617
2020-03-24,3.9187
2020-03-25,4.2798
2020-03-26,4.7991
2020-03-27,4.8521
2020-03-28,4.8521
2020-03-29,4.8521
2020-03-30,4.862
2020-03-31,5.1441
2020-04-01,4.5651
2020-04-02,4.763
2020-04-03,4.2236
2020-04-04,4.2236
2020-04-05,4.2236
2020-04-06,4.5898
2020-04-07,4.5552
2020-04-08,4.5106
2020-04-09,5.8271
2020-04-10,5.8271
2020-04-11,5.8271
2020-04-12,5.8271
2020-04-13,4.6937
2020-04-14,4.6343
2020-04-15,3.8474
2020-04-16,3.8128
2020-04-17,3.9514
2020-04-18,3.9514
2020-04-19,3.9514
2020-04-20,3.9415
2020-04-21,3.9167
2020-04-22,3.6445
2020-04-23,3.6544
2020-04-24,3.8425
2020-04-25,3.8425
2020-04-26,3.8425
2020-04-27,4.1543
2020-04-28,4.4364
2020-04-29,4.7432
2020-04-30,4.7432
2020-05-01,4.7432
2020-05-02,4.7432
2020-05-03,4.7432
2020-05-04,4.7432
2020-05-05,4.7432
2020-05-06,4.7432
2020-05-07,4.7432
2020-05-08,4.7432
2020-05-09,4.7432
2020-05-10,4.7432
2020-05-11,4.7432
2020-05-12,4.7432
2020-05-13,4.7432
2020-05-14,4.7432
2020-05-15,4.7432
2020-05-16,4.7432
2020-05-17,4.7432
2020-05-18,4.7432
2020-05-19,4.7432
2020-05-20,4.7432
2020-05-21,4.7432
2020-05-22,4.7432
2020-05-23,4.7432
2020-05-24,4.7432
2020-05-25,4.7432
2020-05-26,4.7432
2020-05-27,4.7432
2020-05-28,4.7432
2020-05-29,4.7432
2020-05-30,4.7432
2020-05-31,4.7432
2020-06-01,4.7432
2020-06-02,4.7432
2020-06-03,4.7432
2020-06-04,4.7432
2020-06-05,4.7432
2020-06-06,4.7432
2020-06-07,4.7432
2020-06-08,4.7432
2020-06-09,4.7432
2020-06-10,4.7432
2020-06-11,4.7432
2020-06-12,4.7432
2020-06-13,4.7432
2020-06-14,4.7432
2020-06-15,4.7432
2020-06-16,4.7432
2020-06-17,4.7432
2020-06-18,4.7432
2020-06-19,4.7432
2020-06-20,4.7432
2020-06-21,4.7432
2020-06-22,4.7432
2020-06-23,4.7432
2020-06-24,4.7432
2020-06-25,4.7432
2020-06-26,4.7432
2020-06-27,4.7432
2020-06-28,4.7432
2020-06-29,4.7432
2020-06-30,4.7432
2020-07-01,4.7432
2020-07-02,4.7432
2020-07-03,4.7432
2020-07-04,4.7432
2020-07-05,4.7432
2020-07-06,4.7432
2020-07-07,4.7432
2020-07-08,4.7432
2020-07-09,4.7432
2020-07-10,4.7432
2020-07-11,4.7432
2020-07-12,4.7432
2020-07-13,4.7432
2020-07-14,4.7432
2020-07-15,4.7432
2020-07-16,4.7432
2020-07-17,4.7432
2020-07-18,4.7432
2020-07-19,4.7432
2020-07-20,4.7432
2020-07-21,4.7432
2020-07-22,4.7432
2020-07-23,4.7432
2020-07-24,4.7432
2020-07-25,4.7432
2020-07-26,4.7432
2020-07-27,4.7432
2020-07-28,4.7432
2020-07-29,4.7432
2020-07-30,4.7432
2020-07-31,4.7432
2020-08-01,4.7432
2020-08-02,4.7432
2020-08-03,4.7432
2020-08-04,4.7432
2020-08-05,4.7432
2020-08-06,4.7432
2020-08-07,4.7432
2020-08-08,4.7432
2020-08-09,4.7432
2020-08-10,4.7432
2020-08-11,4.7432
2020-08-12,4.7432
2020-08-13,4.7432
2020-08-14,4.7432
2020-08-15,4.7432
2020-08-16,4.7432
2020-08-17,4.7432
2020-08-18,4.7432
2020-08-19,4.7432
2020-08-20,4.7432
2020-08-21,4.7432
2020-08-22,4.7432
2020-08-23,4.7432
2020-08-24,4.7432
2020-08-25,4.7432
2020-08-26,4.7432
2020-08-27,4.7432
2020-08-28,4.7432
2020-08-29,4.7432
2020-08-30,4.7432
2020-08-31,4.7432
2020-09-01,4.7432
2020-09-02,4.7432
2020-09-03,4.7432
2020-09-04,4.7432
2020-09-05,4.7432
2020-09-06,4.7432
2020-09-07,4.7432
2020-09-08,4.7432
2020-09-09,4.7432
2020-09-10,4.7432
2020-09-11,4.7432
2020-09-12,4.7432
2020-09-13,4.7432
2020-09-14,4.7432
2020-09-15,4.7432
2020-09-16,4.7432
2020-09-17,4.7432
2020-09-18,4.7432
2020-09-19,4.7432
2020-09-20,4.7432
2020-09-21,4.7432
2020-09-22,4.7432
2020-09-23,4.7432
2020-09-24,4.7432
2020-09-25,4.7432
2020-09-26,4.7432
2020-09-27,4.7432
2020-09-28,4.7432
2020-09-29,4.7432
2020-09-30,4.7432
2020-10-01,4.7432
2020-10-02,4.7432
2020-10-03,4.7432
2020-10-04,4.7432
2020-10-05,4.7432
2020-10-06,4.7432
2020-10-07,4.7432
2020-10-08,4.7432
2020-10-09,4.7432
2020-10-10,4.7432
2020-10-11,4.7432
2020-10-12,4.7432
2020-10-13,4.7432
2020-10-14,4.7432
2020-10-15,4.7432
2020-10-16,4.7432
2020-10-17,4.7432
2020-10-18,4.7432
2020-10-19,4.7432
2020-10-20,4.7432
2020-10-21,4.7432
2020-10-22,4.7432
2020-10-23,4.7432
2020-10-24,4.7432
2020-10-25,4.7432
2020-10-26,4.7432
2020-10-27,4.7432
2020-10-28,4.7432
2020-10-29,4.7432
2020-10-30,4.7432
2020-10-31,4.7432
2020-11-01,4.7432
2020-11-02,4.7432
2020-11-03,4.7432
2020-11-04,4.7432
2020-11-05,4.7432
2020-11-06,4.7432
2020-11-07,4.7432
2020-11-08,4.7432
2020-11-09,4.7432
2020-11-10,4.7432
2020-11-11,4.7432
2020-11-12,4.7432
2020-11-13,4.7432
2020-11-14,4.7432
2020-11-15,4.7432
2020-11-16,4.7432
2020-11-17,4.7432
2020-11-18,4.7432
2020-11-19,4.7432
2020-11-20,4.7432
2020-11-21,4.7432
2020-11-22,4.7432
2020-11-23,4.7432
2020-11-24,4.7432
2020-11-25,4.7432
2020-11-26,4.7432
2020-11-27,4.7432
2020-11-28,4.7432
2020-11-29,4.7432
2020-11-30,4.7432
2020-12-01,4.7432
2020-12-02,4.7432
2020-12-03,4.7432
2020-12-04,4.7432
2020-12-05,4.7432
2020-12-06,4.7432
2020-12-07,4.7432
2020-12-08,4.7432
2020-12-09,4.7432
2020-12-10,4.7432
2020-12-11,4.7432
2020-12-12,4.7432
2020-12-13,4.7432
2020-12-14,4.7432
2020-12-15,4.7432
2020-12-16,4.7432
2020-12-17,4.7432
2020-12-18,4.7432
2020-12-19,4.7432
2020-12-20,4.7432
2020-12-21,4.7432
2020-12-22,4.7432
2020-12-23,4.7432
2020-12-24,4.7432
2020-12-25,4.7432
2020-12-26,4.7432
2020-12-27,4.7432
2020-12-28,4.7432
2020-12-29,4.7432
2020-12-30,4.7432
2020-12-31,4.7432
2021-01-01,4.7432
2021-01-02,4.7432
2021-01-03,4.7432
2021-01-04,4.7432
2021-01-05,4.7432
2021-01-06,4.7432
2021-01-07,4.7432
2021-01-08,4.7432
2021-01-09,4.7432
2021-01-10,4.7432
2021-01-11,4.7432
2021-01-12,4.7432
2021-01-13,4.7432
2021-01-14,4.7432
2021-01-15,4.7432
2021-01-16,4.7432
2021-01-17,4.7432
2021-01-18,4.7432
2021-01-19,4.7432
2021-01-20,4.7432
2021-01-21,4.7432
