,CHX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,31.4201
2020-01-02,31.3359
2020-01-03,31.2746
2020-01-04,31.2746
2020-01-05,31.2746
2020-01-06,31.3435
2020-01-07,31.0217
2020-01-08,30.2325
2020-01-09,30.2631
2020-01-10,30.0792
2020-01-11,30.0792
2020-01-12,30.0792
2020-01-13,29.6884
2020-01-14,29.9643
2020-01-15,29.4356
2020-01-16,29.4202
2020-01-17,29.3053
2020-01-18,29.3053
2020-01-19,29.3053
2020-01-20,29.3053
2020-01-21,28.5927
2020-01-22,28.11
2020-01-23,27.8188
2020-01-24,27.5966
2020-01-25,27.5966
2020-01-26,27.5966
2020-01-27,26.5545
2020-01-28,26.7077
2020-01-29,25.8495
2020-01-30,25.9262
2020-01-31,25.3515
2020-02-01,25.3515
2020-02-02,25.3515
2020-02-03,25.3132
2020-02-04,25.5354
2020-02-05,26.3936
2020-02-06,26.179
2020-02-07,25.9338
2020-02-08,25.9338
2020-02-09,25.9338
2020-02-10,25.8878
2020-02-11,26.0181
2020-02-12,25.9032
2020-02-13,25.0143
2020-02-14,24.9684
2020-02-15,24.9684
2020-02-16,24.9684
2020-02-17,24.9684
2020-02-18,25.3974
2020-02-19,24.9147
2020-02-20,25.2825
2020-02-21,24.5163
2020-02-22,24.5163
2020-02-23,24.5163
2020-02-24,23.229
2020-02-25,22.2865
2020-02-26,21.3823
2020-02-27,19.7042
2020-02-28,19.7885
2020-02-29,19.7885
2020-03-01,19.7885
2020-03-02,20.6237
2020-03-03,19.557
2020-03-04,19.0434
2020-03-05,18.7367
2020-03-06,17.4029
2020-03-07,17.4029
2020-03-08,17.4029
2020-03-09,12.1595
2020-03-10,11.7456
2020-03-11,11.7686
2020-03-12,10.6341
2020-03-13,10.6417
2020-03-14,10.6417
2020-03-15,10.6417
2020-03-16,8.9629
2020-03-17,8.3497
2020-03-18,8.1427
2020-03-19,8.181
2020-03-20,8.3113
2020-03-21,8.3113
2020-03-22,8.3113
2020-03-23,7.8514
2020-03-24,8.7483
2020-03-25,9.8828
2020-03-26,10.3581
2020-03-27,10.0591
2020-03-28,10.0591
2020-03-29,10.0591
2020-03-30,9.9518
2020-03-31,9.9518
2020-04-01,9.9518
2020-04-02,9.9518
2020-04-03,9.9518
2020-04-04,9.9518
2020-04-05,9.9518
2020-04-06,9.9518
2020-04-07,9.9518
2020-04-08,9.9518
2020-04-09,9.9518
2020-04-10,9.9518
2020-04-11,9.9518
2020-04-12,9.9518
2020-04-13,9.9518
2020-04-14,9.9518
2020-04-15,9.9518
2020-04-16,9.9518
2020-04-17,9.9518
2020-04-18,9.9518
2020-04-19,9.9518
2020-04-20,9.9518
2020-04-21,9.9518
2020-04-22,9.9518
2020-04-23,9.9518
2020-04-24,9.9518
2020-04-25,9.9518
2020-04-26,9.9518
2020-04-27,9.9518
2020-04-28,9.9518
2020-04-29,9.9518
2020-04-30,9.9518
2020-05-01,9.9518
2020-05-02,9.9518
2020-05-03,9.9518
2020-05-04,9.9518
2020-05-05,9.9518
2020-05-06,9.9518
2020-05-07,9.9518
2020-05-08,9.9518
2020-05-09,9.9518
2020-05-10,9.9518
2020-05-11,9.9518
2020-05-12,9.9518
2020-05-13,9.9518
2020-05-14,9.9518
2020-05-15,9.9518
2020-05-16,9.9518
2020-05-17,9.9518
2020-05-18,9.9518
2020-05-19,9.9518
2020-05-20,9.9518
2020-05-21,9.9518
2020-05-22,9.9518
2020-05-23,9.9518
2020-05-24,9.9518
2020-05-25,9.9518
2020-05-26,9.9518
2020-05-27,9.9518
2020-05-28,9.9518
2020-05-29,9.9518
2020-05-30,9.9518
2020-05-31,9.9518
2020-06-01,9.9518
2020-06-02,9.9518
2020-06-03,9.9518
2020-06-04,9.9518
2020-06-05,9.9518
2020-06-06,9.9518
2020-06-07,9.9518
2020-06-08,9.9518
2020-06-09,9.9518
2020-06-10,9.9518
2020-06-11,9.9518
2020-06-12,9.9518
2020-06-13,9.9518
2020-06-14,9.9518
2020-06-15,9.9518
2020-06-16,9.9518
2020-06-17,9.9518
2020-06-18,9.9518
2020-06-19,9.9518
2020-06-20,9.9518
2020-06-21,9.9518
2020-06-22,9.9518
2020-06-23,9.9518
2020-06-24,9.9518
2020-06-25,9.9518
2020-06-26,9.9518
2020-06-27,9.9518
2020-06-28,9.9518
2020-06-29,9.9518
2020-06-30,9.9518
2020-07-01,9.9518
2020-07-02,9.9518
2020-07-03,9.9518
2020-07-04,9.9518
2020-07-05,9.9518
2020-07-06,9.9518
2020-07-07,9.9518
2020-07-08,9.9518
2020-07-09,9.9518
2020-07-10,9.9518
2020-07-11,9.9518
2020-07-12,9.9518
2020-07-13,9.9518
2020-07-14,9.9518
2020-07-15,9.9518
2020-07-16,9.9518
2020-07-17,9.9518
2020-07-18,9.9518
2020-07-19,9.9518
2020-07-20,9.9518
2020-07-21,9.9518
2020-07-22,9.9518
2020-07-23,9.9518
2020-07-24,9.9518
2020-07-25,9.9518
2020-07-26,9.9518
2020-07-27,9.9518
2020-07-28,9.9518
2020-07-29,9.9518
2020-07-30,9.9518
2020-07-31,9.9518
2020-08-01,9.9518
2020-08-02,9.9518
2020-08-03,9.9518
2020-08-04,9.9518
2020-08-05,9.9518
2020-08-06,9.9518
2020-08-07,9.9518
2020-08-08,9.9518
2020-08-09,9.9518
2020-08-10,9.9518
2020-08-11,9.9518
2020-08-12,9.9518
2020-08-13,9.9518
2020-08-14,9.9518
2020-08-15,9.9518
2020-08-16,9.9518
2020-08-17,9.9518
2020-08-18,9.9518
2020-08-19,9.9518
2020-08-20,9.9518
2020-08-21,9.9518
2020-08-22,9.9518
2020-08-23,9.9518
2020-08-24,9.9518
2020-08-25,9.9518
2020-08-26,9.9518
2020-08-27,9.9518
2020-08-28,9.9518
2020-08-29,9.9518
2020-08-30,9.9518
2020-08-31,9.9518
2020-09-01,9.9518
2020-09-02,9.9518
2020-09-03,9.9518
2020-09-04,9.9518
2020-09-05,9.9518
2020-09-06,9.9518
2020-09-07,9.9518
2020-09-08,9.9518
2020-09-09,9.9518
2020-09-10,9.9518
2020-09-11,9.9518
2020-09-12,9.9518
2020-09-13,9.9518
2020-09-14,9.9518
2020-09-15,9.9518
2020-09-16,9.9518
2020-09-17,9.9518
2020-09-18,9.9518
2020-09-19,9.9518
2020-09-20,9.9518
2020-09-21,9.9518
2020-09-22,9.9518
2020-09-23,9.9518
2020-09-24,9.9518
2020-09-25,9.9518
2020-09-26,9.9518
2020-09-27,9.9518
2020-09-28,9.9518
2020-09-29,9.9518
2020-09-30,9.9518
2020-10-01,9.9518
2020-10-02,9.9518
2020-10-03,9.9518
2020-10-04,9.9518
2020-10-05,9.9518
2020-10-06,9.9518
2020-10-07,9.9518
2020-10-08,9.9518
2020-10-09,9.9518
2020-10-10,9.9518
2020-10-11,9.9518
2020-10-12,9.9518
2020-10-13,9.9518
2020-10-14,9.9518
2020-10-15,9.9518
2020-10-16,9.9518
2020-10-17,9.9518
2020-10-18,9.9518
2020-10-19,9.9518
2020-10-20,9.9518
2020-10-21,9.9518
2020-10-22,9.9518
2020-10-23,9.9518
2020-10-24,9.9518
2020-10-25,9.9518
2020-10-26,9.9518
2020-10-27,9.9518
2020-10-28,9.9518
2020-10-29,9.9518
2020-10-30,9.9518
2020-10-31,9.9518
2020-11-01,9.9518
2020-11-02,9.9518
2020-11-03,9.9518
2020-11-04,9.9518
2020-11-05,9.9518
2020-11-06,9.9518
2020-11-07,9.9518
2020-11-08,9.9518
2020-11-09,9.9518
2020-11-10,9.9518
2020-11-11,9.9518
2020-11-12,9.9518
2020-11-13,9.9518
2020-11-14,9.9518
2020-11-15,9.9518
2020-11-16,9.9518
2020-11-17,9.9518
2020-11-18,9.9518
2020-11-19,9.9518
2020-11-20,9.9518
2020-11-21,9.9518
2020-11-22,9.9518
2020-11-23,9.9518
2020-11-24,9.9518
2020-11-25,9.9518
2020-11-26,9.9518
2020-11-27,9.9518
2020-11-28,9.9518
2020-11-29,9.9518
2020-11-30,9.9518
2020-12-01,9.9518
2020-12-02,9.9518
2020-12-03,9.9518
2020-12-04,9.9518
2020-12-05,9.9518
2020-12-06,9.9518
