,SAVE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.4438
2020-01-02,10.4903
2020-01-03,10.3769
2020-01-04,10.3769
2020-01-05,10.3769
2020-01-06,10.4548
2020-01-07,10.3332
2020-01-08,10.3933
2020-01-09,10.4015
2020-01-10,10.3728
2020-01-11,10.3728
2020-01-12,10.3728
2020-01-13,10.3687
2020-01-14,10.4165
2020-01-15,10.3578
2020-01-16,10.7635
2020-01-17,10.8018
2020-01-18,10.8018
2020-01-19,10.8018
2020-01-20,10.8018
2020-01-21,10.6365
2020-01-22,10.7567
2020-01-23,10.7895
2020-01-24,10.6884
2020-01-25,10.6884
2020-01-26,10.6884
2020-01-27,10.5818
2020-01-28,10.7294
2020-01-29,10.7717
2020-01-30,10.7348
2020-01-31,10.5477
2020-02-01,10.5477
2020-02-02,10.5477
2020-02-03,10.6693
2020-02-04,10.8578
2020-02-05,11.0086
2020-02-06,10.7846
2020-02-07,10.9758
2020-02-08,10.9758
2020-02-09,10.9758
2020-02-10,10.9157
2020-02-11,10.8543
2020-02-12,10.939
2020-02-13,11.0278
2020-02-14,10.9321
2020-02-15,10.9321
2020-02-16,10.9321
2020-02-17,10.9321
2020-02-18,10.7559
2020-02-19,10.5578
2020-02-20,10.5728
2020-02-21,10.5523
2020-02-22,10.5523
2020-02-23,10.5523
2020-02-24,10.055
2020-02-25,9.6793
2020-02-26,9.4347
2020-02-27,9.0016
2020-02-28,8.824
2020-02-29,8.824
2020-03-01,8.824
2020-03-02,8.6628
2020-03-03,8.3841
2020-03-04,8.5357
2020-03-05,7.8799
2020-03-06,8.0138
2020-03-07,8.0138
2020-03-08,8.0138
2020-03-09,7.8622
2020-03-10,8.0084
2020-03-11,7.7966
2020-03-12,6.858
2020-03-13,6.9974
2020-03-14,6.9974
2020-03-15,6.9974
2020-03-16,6.5301
2020-03-17,6.5383
2020-03-18,6.168
2020-03-19,6.0833
2020-03-20,6.1243
2020-03-21,6.1243
2020-03-22,6.1243
2020-03-23,6.2801
2020-03-24,6.7856
2020-03-25,7.1176
2020-03-26,7.1927
2020-03-27,6.9577
2020-03-28,6.9577
2020-03-29,6.9577
2020-03-30,6.6339
2020-03-31,10.3652
2020-04-01,10.0626
2020-04-02,9.9104
2020-04-03,9.9065
2020-04-04,9.9065
2020-04-05,9.9065
2020-04-06,9.8988
2020-04-07,10.0857
2020-04-08,10.2919
2020-04-09,10.5945
2020-04-10,10.5945
2020-04-11,10.5945
2020-04-12,10.5945
2020-04-13,10.448
2020-04-14,10.5559
2020-04-15,10.5328
2020-04-16,10.3208
2020-04-17,10.4538
2020-04-18,10.4538
2020-04-19,10.4538
2020-04-20,10.3767
2020-04-21,10.3382
2020-04-22,10.1802
2020-04-23,10.1551
2020-04-24,10.2226
2020-04-25,10.2226
2020-04-26,10.2226
2020-04-27,10.2418
2020-04-28,10.6446
2020-04-29,10.8486
2020-04-30,10.7792
2020-05-01,10.4223
2020-05-02,10.4223
2020-05-03,10.4223
2020-05-04,10.3702
2020-05-05,10.2563
2020-05-06,10.1097
2020-05-07,9.9091
2020-05-08,10.4389
2020-05-09,10.4389
2020-05-10,10.4389
2020-05-11,10.3493
2020-05-12,10.1701
2020-05-13,9.8673
2020-05-14,9.8915
2020-05-15,9.8213
2020-05-16,9.8213
2020-05-17,9.8213
2020-05-18,10.3008
2020-05-19,10.2282
2020-05-20,10.2427
2020-05-21,10.3202
2020-05-22,10.3444
2020-05-23,10.3444
2020-05-24,10.3444
2020-05-25,10.3444
2020-05-26,10.8627
2020-05-27,11.2478
2020-05-28,11.0129
2020-05-29,11.0177
2020-05-30,11.0177
2020-05-31,11.0177
2020-06-01,11.2624
2020-06-02,11.3907
2020-06-03,12.0737
2020-06-04,12.9723
2020-06-05,13.3598
2020-06-06,13.3598
2020-06-07,13.3598
2020-06-08,14.0718
2020-06-09,13.3937
2020-06-10,12.5968
2020-06-11,11.7758
2020-06-12,12.4394
2020-06-13,12.4394
2020-06-14,12.4394
2020-06-15,12.6598
2020-06-16,12.8996
2020-06-17,12.7058
2020-06-18,12.701
2020-06-19,12.437
2020-06-20,12.437
2020-06-21,12.437
2020-06-22,12.3619
2020-06-23,12.4297
2020-06-24,11.9793
2020-06-25,12.0955
2020-06-26,11.8969
2020-06-27,11.8969
2020-06-28,11.8969
2020-06-29,12.2408
2020-06-30,4648.0706
2020-07-01,4641.5875
2020-07-02,4611.0243
2020-07-03,4611.0243
2020-07-04,4611.0243
2020-07-05,4611.0243
2020-07-06,4642.5136
2020-07-07,4552.6764
2020-07-08,4547.1195
2020-07-09,4473.0269
2020-07-10,4623.0643
2020-07-11,4623.0643
2020-07-12,4623.0643
2020-07-13,4548.0456
2020-07-14,4598.9843
2020-07-15,4792.5511
2020-07-16,4672.1507
2020-07-17,4630.4736
2020-07-18,4630.4736
2020-07-19,4630.4736
2020-07-20,4541.5625
2020-07-21,4541.5625
2020-07-22,4589.6812
2020-07-23,4606.8619
2020-07-24,4571.546
2020-07-25,4571.546
2020-07-26,4571.546
2020-07-27,4541.0025
2020-07-28,4578.2273
2020-07-29,4569.637
2020-07-30,4549.5928
2020-07-31,4508.55
2020-08-01,4508.55
2020-08-02,4508.55
2020-08-03,4466.5528
2020-08-04,4574.4094
2020-08-05,4636.4509
2020-08-06,4646.9502
2020-08-07,4648.8591
2020-08-08,4648.8591
2020-08-09,4648.8591
2020-08-10,4746.2165
2020-08-11,4721.3999
2020-08-12,4703.2647
2020-08-13,4674.6302
2020-08-14,4694.6744
2020-08-15,4694.6744
2020-08-16,4694.6744
2020-08-17,4627.8605
2020-08-18,4652.6771
2020-08-19,4640.2688
2020-08-20,4642.1778
2020-08-21,4620.2246
