,SNDR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.5386
2020-01-02,17.7815
2020-01-03,18.0161
2020-01-04,18.0161
2020-01-05,18.0161
2020-01-06,17.8737
2020-01-07,18.0747
2020-01-08,18.0328
2020-01-09,18.0579
2020-01-10,18.259
2020-01-11,18.259
2020-01-12,18.259
2020-01-13,18.5102
2020-01-14,18.8118
2020-01-15,19.0882
2020-01-16,19.1719
2020-01-17,19.0966
2020-01-18,19.0966
2020-01-19,19.0966
2020-01-20,19.0966
2020-01-21,18.7783
2020-01-22,18.5856
2020-01-23,18.5689
2020-01-24,18.3092
2020-01-25,18.3092
2020-01-26,18.3092
2020-01-27,18.1584
2020-01-28,18.1836
2020-01-29,18.4097
2020-01-30,18.9039
2020-01-31,17.9155
2020-02-01,17.9155
2020-02-02,17.9155
2020-02-03,18.4013
2020-02-04,18.2171
2020-02-05,18.527
2020-02-06,18.6359
2020-02-07,18.6694
2020-02-08,18.6694
2020-02-09,18.6694
2020-02-10,18.0747
2020-02-11,18.0244
2020-02-12,18.1752
2020-02-13,18.1082
2020-02-14,17.7229
2020-02-15,17.7229
2020-02-16,17.7229
2020-02-17,17.7229
2020-02-18,17.7061
2020-02-19,17.6478
2020-02-20,17.5808
2020-02-21,17.3714
2020-02-22,17.3714
2020-02-23,17.3714
2020-02-24,16.5589
2020-02-25,16.0145
2020-02-26,15.2187
2020-02-27,14.4314
2020-02-28,14.2639
2020-02-29,14.2639
2020-03-01,14.2639
2020-03-02,14.6073
2020-03-03,14.5152
2020-03-04,14.9591
2020-03-05,14.2806
2020-03-06,14.2974
2020-03-07,14.2974
2020-03-08,14.2974
2020-03-09,13.644
2020-03-10,14.1717
2020-03-11,13.6692
2020-03-12,13.2587
2020-03-13,14.3979
2020-03-14,14.3979
2020-03-15,14.3979
2020-03-16,13.175
2020-03-17,14.289
2020-03-18,14.7078
2020-03-19,14.3393
2020-03-20,14.423
2020-03-21,14.423
2020-03-22,14.423
2020-03-23,13.5351
2020-03-24,14.1634
2020-03-25,14.7078
2020-03-26,14.2136
2020-03-27,14.1382
2020-03-28,14.1382
2020-03-29,14.1382
2020-03-30,15.1769
2020-03-31,14.7363
2020-04-01,14.057
2020-04-02,14.1325
2020-04-03,14.1073
2020-04-04,14.1073
2020-04-05,14.1073
2020-04-06,14.7028
2020-04-07,14.837
2020-04-08,15.1472
2020-04-09,15.4995
2020-04-10,15.4995
2020-04-11,15.4995
2020-04-12,15.4995
2020-04-13,14.9963
2020-04-14,15.4408
2020-04-15,15.6672
2020-04-16,16.0949
2020-04-17,16.4891
2020-04-18,16.4891
2020-04-19,16.4891
2020-04-20,16.1536
2020-04-21,15.6672
2020-04-22,15.7427
2020-04-23,15.9607
2020-04-24,16.1285
2020-04-25,16.1285
2020-04-26,16.1285
2020-04-27,17.0677
2020-04-28,16.7239
2020-04-29,17.2019
2020-04-30,16.9016
2020-05-01,17.2372
2020-05-02,17.2372
2020-05-03,17.2372
2020-05-04,16.1296
2020-05-05,16.5156
2020-05-06,16.331
2020-05-07,16.3226
2020-05-08,16.6666
2020-05-09,16.6666
2020-05-10,16.6666
2020-05-11,17.2204
2020-05-12,16.6414
2020-05-13,16.3562
2020-05-14,16.1716
2020-05-15,16.1632
2020-05-16,16.1632
2020-05-17,16.1632
2020-05-18,17.0862
2020-05-19,16.6498
2020-05-20,16.9519
2020-05-21,16.8512
2020-05-22,17.254
2020-05-23,17.254
2020-05-24,17.254
2020-05-25,17.254
2020-05-26,17.4721
2020-05-27,17.8246
2020-05-28,18.3951
2020-05-29,18.7979
2020-05-30,18.7979
2020-05-31,18.7979
2020-06-01,18.672
2020-06-02,18.5714
2020-06-03,17.9672
2020-06-04,17.9336
2020-06-05,18.0259
2020-06-06,18.0259
2020-06-07,18.0259
2020-06-08,18.2609
2020-06-09,18.0343
2020-06-10,18.3868
2020-06-11,17.1365
2020-06-12,17.3211
2020-06-13,17.3211
2020-06-14,17.3211
2020-06-15,17.6148
2020-06-16,18.0092
2020-06-17,18.5378
2020-06-18,18.8147
2020-06-19,18.4958
2020-06-20,18.4958
2020-06-21,18.4958
2020-06-22,18.3532
2020-06-23,18.6469
2020-06-24,18.3951
2020-06-25,18.2609
2020-06-26,18.4119
2020-06-27,18.4119
2020-06-28,18.4119
2020-06-29,18.7644
2020-06-30,17.5143
2020-07-01,17.0347
2020-07-02,17.1841
2020-07-03,17.1841
2020-07-04,17.1841
2020-07-05,17.1841
2020-07-06,17.53
2020-07-07,17.9625
2020-07-08,18.0018
2020-07-09,17.9625
2020-07-10,17.8681
2020-07-11,17.8681
2020-07-12,17.8681
2020-07-13,17.4357
2020-07-14,17.8838
2020-07-15,18.0647
2020-07-16,18.2534
2020-07-17,18.7408
2020-07-18,18.7408
2020-07-19,18.7408
2020-07-20,18.5443
2020-07-21,18.4814
2020-07-22,18.1905
2020-07-23,17.9782
2020-07-24,17.8209
2020-07-25,17.8209
2020-07-26,17.8209
2020-07-27,17.8288
2020-07-28,17.4986
2020-07-29,17.8052
2020-07-30,17.5278
2020-07-31,17.8897
2020-08-01,17.8897
2020-08-02,17.8897
2020-08-03,17.9998
2020-08-04,18.2123
2020-08-05,17.4176
2020-08-06,17.4884
2020-08-07,17.7009
2020-08-08,17.7009
2020-08-09,17.7009
2020-08-10,18.1729
2020-08-11,18.2988
2020-08-12,18.9282
2020-08-13,18.5348
2020-08-14,18.5585
2020-08-15,18.5585
2020-08-16,18.5585
2020-08-17,18.8889
2020-08-18,18.826
2020-08-19,19.0226
2020-08-20,19.0384
2020-08-21,19.5577
2020-08-22,19.5577
2020-08-23,19.5577
2020-08-24,19.4239
2020-08-25,19.4475
2020-08-26,19.6757
2020-08-27,19.5183
2020-08-28,19.5183
2020-08-29,19.5183
2020-08-30,19.5183
2020-08-31,19.4082
2020-09-01,19.7937
2020-09-02,19.7071
2020-09-03,19.4475
2020-09-04,19.4947
2020-09-05,19.4947
2020-09-06,19.4947
2020-09-07,19.4947
2020-09-08,19.4554
2020-09-09,19.9589
2020-09-10,19.2351
2020-09-11,18.9833
2020-09-12,18.9833
2020-09-13,18.9833
2020-09-14,18.409
2020-09-15,18.8574
2020-09-16,18.4404
2020-09-17,18.7551
2020-09-18,18.3303
2020-09-19,18.3303
2020-09-20,18.3303
2020-09-21,18.0313
2020-09-22,17.8267
2020-09-23,17.9762
2020-09-24,17.992
2020-09-25,17.8661
2020-09-26,17.8661
2020-09-27,17.8661
2020-09-28,18.1415
2020-09-29,17.8818
2020-09-30,14.9338
2020-10-01,15.0499
2020-10-02,15.1933
2020-10-03,15.1933
2020-10-04,15.1933
2020-10-05,15.1318
2020-10-06,15.0089
2020-10-07,15.5005
2020-10-08,15.5279
2020-10-09,15.0567
2020-10-10,15.0567
2020-10-11,15.0567
2020-10-12,14.8313
2020-10-13,15.3435
2020-10-14,15.2547
2020-10-15,15.5347
2020-10-16,14.7494
2020-10-17,14.7494
2020-10-18,14.7494
2020-10-19,14.0392
2020-10-20,14.2782
2020-10-21,14.1758
2020-10-22,14.3738
2020-10-23,14.4558
2020-10-24,14.4558
2020-10-25,14.4558
2020-10-26,14.4967
2020-10-27,13.9573
2020-10-28,13.6363
2020-10-29,13.4999
2020-10-30,13.1107
2020-10-31,13.1107
2020-11-01,13.1107
2020-11-02,13.1517
2020-11-03,13.8482
2020-11-04,13.6706
2020-11-05,14.2238
2020-11-06,12.38
2020-11-07,12.38
2020-11-08,12.38
2020-11-09,12.9946
2020-11-10,13.2199
2020-11-11,12.8444
2020-11-12,12.6395
2020-11-13,12.9195
2020-11-14,12.9195
2020-11-15,12.9195
2020-11-16,13.0765
