,PKG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.8722
2020-01-02,11.7581
2020-01-03,11.6234
2020-01-04,11.6234
2020-01-05,11.6234
2020-01-06,11.3314
2020-01-07,11.2308
2020-01-08,11.3089
2020-01-09,11.247
2020-01-10,11.3054
2020-01-11,11.3054
2020-01-12,11.3054
2020-01-13,11.4545
2020-01-14,11.3925
2020-01-15,11.5353
2020-01-16,11.6108
2020-01-17,11.6072
2020-01-18,11.6072
2020-01-19,11.6072
2020-01-20,11.6072
2020-01-21,11.3422
2020-01-22,11.361
2020-01-23,11.4293
2020-01-24,11.3027
2020-01-25,11.3027
2020-01-26,11.3027
2020-01-27,11.158
2020-01-28,11.1904
2020-01-29,11.2389
2020-01-30,10.761
2020-01-31,10.4133
2020-02-01,10.4133
2020-02-02,10.4133
2020-02-03,10.5391
2020-02-04,10.7475
2020-02-05,11.1374
2020-02-06,11.1841
2020-02-07,10.9191
2020-02-08,10.9191
2020-02-09,10.9191
2020-02-10,10.8463
2020-02-11,11.0287
2020-02-12,10.9523
2020-02-13,10.7933
2020-02-14,10.6999
2020-02-15,10.6999
2020-02-16,10.6999
2020-02-17,10.6999
2020-02-18,10.734
2020-02-19,10.699
2020-02-20,10.7142
2020-02-21,11.0071
2020-02-22,11.0071
2020-02-23,11.0071
2020-02-24,10.6999
2020-02-25,10.2812
2020-02-26,10.275
2020-02-27,10.0688
2020-02-28,9.952
2020-02-29,9.952
2020-03-01,9.952
2020-03-02,10.3275
2020-03-03,9.9772
2020-03-04,10.2485
2020-03-05,9.987
2020-03-06,9.9664
2020-03-07,9.9664
2020-03-08,9.9664
2020-03-09,9.4508
2020-03-10,9.9035
2020-03-11,9.4804
2020-03-12,8.7663
2020-03-13,9.3897
2020-03-14,9.3897
2020-03-15,9.3897
2020-03-16,9.0852
2020-03-17,10.2323
2020-03-18,9.9888
2020-03-19,9.758
2020-03-20,9.5423
2020-03-21,9.5423
2020-03-22,9.5423
2020-03-23,8.6727
2020-03-24,8.9752
2020-03-25,8.9977
2020-03-26,9.6674
2020-03-27,9.5612
2020-03-28,9.5612
2020-03-29,9.5612
2020-03-30,9.9816
2020-03-31,10.1869
2020-04-01,9.9054
2020-04-02,9.9112
2020-04-03,9.5798
2020-04-04,9.5798
2020-04-05,9.5798
2020-04-06,10.0524
2020-04-07,10.0111
2020-04-08,10.2839
2020-04-09,10.5356
2020-04-10,10.5356
2020-04-11,10.5356
2020-04-12,10.5356
2020-04-13,10.3819
2020-04-14,10.3473
2020-04-15,10.0639
2020-04-16,10.0284
2020-04-17,10.5721
2020-04-18,10.5721
2020-04-19,10.5721
2020-04-20,10.1187
2020-04-21,10.0764
2020-04-22,10.0639
2020-04-23,10.1206
2020-04-24,10.1062
2020-04-25,10.1062
2020-04-26,10.1062
2020-04-27,10.5068
2020-04-28,11.2877
2020-04-29,11.4712
2020-04-30,11.1302
2020-05-01,10.9477
2020-05-02,10.9477
2020-05-03,10.9477
2020-05-04,11.0466
2020-05-05,10.8257
2020-05-06,10.825
2020-05-07,10.8548
2020-05-08,11.2726
2020-05-09,11.2726
2020-05-10,11.2726
2020-05-11,11.2111
2020-05-12,10.9864
2020-05-13,10.4715
2020-05-14,10.8116
2020-05-15,10.5791
2020-05-16,10.5791
2020-05-17,10.5791
2020-05-18,10.8471
2020-05-19,10.5791
2020-05-20,10.8212
2020-05-21,10.7702
2020-05-22,10.7779
2020-05-23,10.7779
2020-05-24,10.7779
2020-05-25,10.7779
2020-05-26,11.2937
2020-05-27,11.6876
2020-05-28,11.6146
2020-05-29,11.5867
2020-05-30,11.5867
2020-05-31,11.5867
2020-06-01,11.7029
2020-06-02,11.726
2020-06-03,12.1688
2020-06-04,12.2802
2020-06-05,12.4656
2020-06-06,12.4656
2020-06-07,12.4656
2020-06-08,12.5866
2020-06-09,12.2053
2020-06-10,11.9623
2020-06-11,11.2716
2020-06-12,11.3475
2020-06-13,11.3475
2020-06-14,11.3475
2020-06-15,11.4004
2020-06-16,11.5406
2020-06-17,11.3629
2020-06-18,11.2227
2020-06-19,11.4273
2020-06-20,11.4273
2020-06-21,11.4273
2020-06-22,11.3139
2020-06-23,11.4455
2020-06-24,11.2534
2020-06-25,11.0603
2020-06-26,11.0363
2020-06-27,11.0363
2020-06-28,11.0363
2020-06-29,11.2611
2020-06-30,13.6341
2020-07-01,13.5845
2020-07-02,13.6168
2020-07-03,13.6168
2020-07-04,13.6168
2020-07-05,13.6168
2020-07-06,13.6571
2020-07-07,13.5039
2020-07-08,13.2319
2020-07-09,13.1236
2020-07-10,13.5292
2020-07-11,13.5292
2020-07-12,13.5292
2020-07-13,13.5165
2020-07-14,13.9014
2020-07-15,13.9844
2020-07-16,14.4695
2020-07-17,14.1998
2020-07-18,14.1998
2020-07-19,14.1998
2020-07-20,14.0858
2020-07-21,14.1319
2020-07-22,14.1491
2020-07-23,14.0558
