,SPB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,867.3925
2020-01-02,863.0402
2020-01-03,862.1853
2020-01-04,862.1853
2020-01-05,862.1853
2020-01-06,865.9158
2020-01-07,858.2215
2020-01-08,858.6879
2020-01-09,855.8122
2020-01-10,859.3096
2020-01-11,859.3096
2020-01-12,859.3096
2020-01-13,860.1645
2020-01-14,858.4547
2020-01-15,858.9987
2020-01-16,862.6516
2020-01-17,863.5842
2020-01-18,863.5842
2020-01-19,863.5842
2020-01-20,863.5842
2020-01-21,848.5065
2020-01-22,842.3666
2020-01-23,847.1076
2020-01-24,841.3563
2020-01-25,841.3563
2020-01-26,841.3563
2020-01-27,848.0402
2020-01-28,827.0846
2020-01-29,820.3413
2020-01-30,811.3257
2020-01-31,817.8492
2020-02-01,817.8492
2020-02-02,817.8492
2020-02-03,808.5404
2020-02-04,799.3502
2020-02-05,802.7108
2020-02-06,799.4963
2020-02-07,801.4689
2020-02-08,801.4689
2020-02-09,801.4689
2020-02-10,797.1585
2020-02-11,799.7886
2020-02-12,803.5145
2020-02-13,802.7839
2020-02-14,809.1398
2020-02-15,809.1398
2020-02-16,809.1398
2020-02-17,809.1398
2020-02-18,805.1217
2020-02-19,796.7202
2020-02-20,808.044
2020-02-21,818.9295
2020-02-22,818.9295
2020-02-23,818.9295
2020-02-24,803.8067
2020-02-25,785.4694
2020-02-26,764.2099
2020-02-27,746.384
2020-02-28,761.4337
2020-02-29,761.4337
2020-03-01,761.4337
2020-03-02,789.3414
2020-03-03,799.4233
2020-03-04,810.3088
2020-03-05,788.0995
2020-03-06,779.1865
2020-03-07,779.1865
2020-03-08,779.1865
2020-03-09,747.4799
2020-03-10,747.626
2020-03-11,726.7317
2020-03-12,667.6287
2020-03-13,703.3535
2020-03-14,703.3535
2020-03-15,703.3535
2020-03-16,667.7748
2020-03-17,620.9454
2020-03-18,545.6968
2020-03-19,565.3491
2020-03-20,561.9885
2020-03-21,561.9885
2020-03-22,561.9885
2020-03-23,558.0434
2020-03-24,588.9465
2020-03-25,633.0728
2020-03-26,648.5609
2020-03-27,132.8335
2020-03-28,132.8335
2020-03-29,132.8335
2020-03-30,133.4724
2020-03-31,133.9835
2020-04-01,129.5965
2020-04-02,132.8335
2020-04-03,132.2088
2020-04-04,132.2088
2020-04-05,132.2088
2020-04-06,135.1051
2020-04-07,136.2835
2020-04-08,136.9081
2020-04-09,139.0093
2020-04-10,139.0093
2020-04-11,139.0093
2020-04-12,139.0093
2020-04-13,136.7946
2020-04-14,137.0927
2020-04-15,133.9267
2020-04-16,134.1681
2020-04-17,136.1273
2020-04-18,136.1273
2020-04-19,136.1273
2020-04-20,133.8557
2020-04-21,133.9693
2020-04-22,132.6205
2020-04-23,133.2168
2020-04-24,133.6428
2020-04-25,133.6428
2020-04-26,133.6428
2020-04-27,136.8088
2020-04-28,139.3075
2020-04-29,143.2827
2020-04-30,143.4815
2020-05-01,141.8062
2020-05-02,141.8062
2020-05-03,141.8062
2020-05-04,141.6216
2020-05-05,139.1013
2020-05-06,136.3175
2020-05-07,138.4619
2020-05-08,140.9926
2020-05-09,140.9926
2020-05-10,140.9926
2020-05-11,137.3698
2020-05-12,136.0512
2020-05-13,131.6158
2020-05-14,132.4283
2020-05-15,134.3596
2020-05-16,134.3596
2020-05-17,134.3596
2020-05-18,139.4343
2020-05-19,138.4486
2020-05-20,139.1013
2020-05-21,140.6596
2020-05-22,141.7918
2020-05-23,141.7918
2020-05-24,141.7918
2020-05-25,141.7918
2020-05-26,145.2415
2020-05-27,149.9432
2020-05-28,146.4136
2020-05-29,145.3747
2020-05-30,145.3747
2020-05-31,145.3747
2020-06-01,146.014
2020-06-02,144.7087
2020-06-03,145.5078
2020-06-04,147.932
2020-06-05,148.1184
2020-06-06,148.1184
2020-06-07,148.1184
2020-06-08,149.9032
2020-06-09,147.6922
2020-06-10,146.014
2020-06-11,140.3
2020-06-12,142.6309
2020-06-13,142.6309
2020-06-14,142.6309
2020-06-15,143.2302
2020-06-16,145.8275
2020-06-17,145.055
2020-06-18,144.1493
2020-06-19,142.4977
2020-06-20,142.4977
2020-06-21,142.4977
2020-06-22,144.6821
2020-06-23,144.0294
2020-06-24,143.3634
2020-06-25,142.178
2020-06-26,122.899
2020-06-27,122.899
2020-06-28,122.899
2020-06-29,126.1457
2020-06-30,126.4489
2020-07-01,127.0427
2020-07-02,127.0932
2020-07-03,127.0932
2020-07-04,127.0932
2020-07-05,127.0932
2020-07-06,126.4363
2020-07-07,125.2235
2020-07-08,125.2614
2020-07-09,124.9961
2020-07-10,125.792
2020-07-11,125.792
2020-07-12,125.792
2020-07-13,125.9562
2020-07-14,127.6617
2020-07-15,128.7103
2020-07-16,129.6199
2020-07-17,130.6053
2020-07-18,130.6053
2020-07-19,130.6053
2020-07-20,129.3672
2020-07-21,128.8871
2020-07-22,130.0747
2020-07-23,130.5926
2020-07-24,129.6199
2020-07-25,129.6199
2020-07-26,129.6199
2020-07-27,130.8453
2020-07-28,131.3759
2020-07-29,134.3826
2020-07-30,135.2669
2020-07-31,136.884
2020-08-01,136.884
2020-08-02,136.884
2020-08-03,141.0025
2020-08-04,140.3961
2020-08-05,139.7139
2020-08-06,140.055
2020-08-07,141.8489
2020-08-08,141.8489
2020-08-09,141.8489
2020-08-10,143.7312
2020-08-11,143.2512
2020-08-12,144.7798
2020-08-13,143.1754
