,SNA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.7532
2020-01-02,10.7304
2020-01-03,10.6215
2020-01-04,10.6215
2020-01-05,10.6215
2020-01-06,10.5514
2020-01-07,10.4904
2020-01-08,10.5941
2020-01-09,10.597
2020-01-10,10.5907
2020-01-11,10.5907
2020-01-12,10.5907
2020-01-13,10.6437
2020-01-14,10.7002
2020-01-15,10.6261
2020-01-16,10.7116
2020-01-17,10.7874
2020-01-18,10.7874
2020-01-19,10.7874
2020-01-20,10.7874
2020-01-21,10.7195
2020-01-22,10.6534
2020-01-23,10.6985
2020-01-24,10.5577
2020-01-25,10.5577
2020-01-26,10.5577
2020-01-27,10.3827
2020-01-28,10.491
2020-01-29,10.4984
2020-01-30,10.4078
2020-01-31,10.1963
2020-02-01,10.1963
2020-02-02,10.1963
2020-02-03,10.3211
2020-02-04,10.3667
2020-02-05,10.4306
2020-02-06,10.2208
2020-02-07,9.9746
2020-02-08,9.9746
2020-02-09,9.9746
2020-02-10,9.9666
2020-02-11,9.9621
2020-02-12,10.0464
2020-02-13,9.9518
2020-02-14,9.9739
2020-02-15,9.9739
2020-02-16,9.9739
2020-02-17,9.9739
2020-02-18,10.0466
2020-02-19,10.0727
2020-02-20,10.1835
2020-02-21,10.1903
2020-02-22,10.1903
2020-02-23,10.1903
2020-02-24,10.1352
2020-02-25,9.8245
2020-02-26,9.5871
2020-02-27,9.4485
2020-02-28,9.3201
2020-02-29,9.3201
2020-03-01,9.3201
2020-03-02,9.5451
2020-03-03,9.2855
2020-03-04,9.5928
2020-03-05,9.1372
2020-03-06,9.1509
2020-03-07,9.1509
2020-03-08,9.1509
2020-03-09,8.5925
2020-03-10,9.0719
2020-03-11,8.4554
2020-03-12,7.8507
2020-03-13,8.2713
2020-03-14,8.2713
2020-03-15,8.2713
2020-03-16,7.7178
2020-03-17,8.227
2020-03-18,7.4075
2020-03-19,7.1807
2020-03-20,6.7738
2020-03-21,6.7738
2020-03-22,6.7738
2020-03-23,6.5294
2020-03-24,7.1557
2020-03-25,7.3461
2020-03-26,7.5507
2020-03-27,6.5155
2020-03-28,6.5155
2020-03-29,6.5155
2020-03-30,6.8272
2020-03-31,6.5738
2020-04-01,6.2994
2020-04-02,6.0899
2020-04-03,5.7733
2020-04-04,5.7733
2020-04-05,5.7733
2020-04-06,6.4077
2020-04-07,6.6346
2020-04-08,7.0313
2020-04-09,7.3743
2020-04-10,7.3743
2020-04-11,7.3743
2020-04-12,7.3743
2020-04-13,6.8952
2020-04-14,7.0168
2020-04-15,6.625
2020-04-16,6.6924
2020-04-17,7.1462
2020-04-18,7.1462
2020-04-19,7.1462
2020-04-20,6.9253
2020-04-21,6.6368
2020-04-22,6.8295
2020-04-23,6.8241
2020-04-24,6.9676
2020-04-25,6.9676
2020-04-26,6.9676
2020-04-27,7.5042
2020-04-28,7.585
2020-04-29,8.1312
2020-04-30,7.8183
2020-05-01,7.445
2020-05-02,7.445
2020-05-03,7.445
2020-05-04,7.2865
2020-05-05,7.3026
2020-05-06,7.1848
2020-05-07,7.3349
2020-05-08,7.6412
2020-05-09,7.6412
2020-05-10,7.6412
2020-05-11,7.4923
2020-05-12,7.3667
2020-05-13,7.2057
2020-05-14,7.4354
2020-05-15,7.3792
2020-05-16,7.3792
2020-05-17,7.3792
